//Sentences
"Flight 115 to Albuquerque, New Mexico.", "Flight 115 till Albuquerque, New Mexico."
"Decisions on further handling of cases are taken by the Assistant University Director.", "Beslut om fortsatt handläggning fattas av biträdande universitetsdirektören."
"Camilla currently works as an assistant on the product department at Albrecht's Gold.", "Camilla arbetar idag som assistent på produktavdelningen på Albrekts Guld."
"Despite this his assistant, or secretary, voted here with Mr Becali's MEP card.", "Trots detta röstade hans assistent, eller sekreterare, här med herr Becalis ledamotskort."
"When he was my assistant, he was a very good policeman... with a bright future.", "När han var min assistent var han en bra polis... med en ljus framtid."
"As regards the delegation, the delegate has been appointed, as has the assistant delegate.", "Vad gäller delegationen är representanten utsedd, liksom den biträdande representanten."
"There has been a reduction in the disparity at assistant, head of unit and director levels.", "Den ojämna könsfördelningen på assistent-, enhetschefs- och direktörsnivå har minskat."
"The assistant supervisor may be able to contribute expertise that the main supervisor lacks.", "Handledaren kan exempelvis tillföra kompetens som huvudhandledaren saknar."
"Maria Ek Styvén, assistant professor in industrial marketing", "Fil.dr Maria Ek Styvén, forskare och universitetslektor i industriell marknadsföring"
"Once aid is approved, the Technical Assistant monitors its implementation on the ground.", "Så snart biståndet har godkänts övervakar den tekniske experten dess genomförande på platsen."
"The Technical Assistant also coordinates with other donors and humanitarian stakeholders.", "Den tekniske experten svarar även för samordning med andra givare och humanitära intressenter."
"The first half as a political group assistant, the second as Member of Parliament.", "Den första halvan av tiden som assistent i en politisk grupp, den senare halvan som parlamentsledamot."
"Data protection (appointment of the European supervisor and the assistant supervisor): see Minutes", "Dataskydd (utnämning av datatillsynsman och biträdande datatillsynsman): se protokollet"
"Anna Ingemark Milos, Assistant Professor of Art History, focuses at our built environment.", "Universitetslektor Anna Ingemark Milos inriktning inom konstvetenskapen är vår gestaltade miljö."
"We are about 107 employees, including 23 PhD, six professors and seven assistant professors.", "Vi är cirka 107 anställda, varav 23 doktorander, sex professorer och sju biträdande professorer."
"This assistant will help you decide whether or not you wish to accept this Certificate Authority.", "Här får du hjälp med att bestämma om du vill godkänna certifikatet."
"assistant will help you decide whether or not you wish to accept this Certificate and to what extent.", "får du hjälp med att bestämma om du vill godkänna certifikatet och i vilken utsträckning."
"The shop assistant told her that her guarantee had run out, and that she was not eligible for a refund.", "Hon fick där höra att garantin hade gått ut och att hon inte hade rätt till ersättning."
"My chief assistant, Gustav, took sick and phoned not one hour ago.", "Min assistent Gustav sjukanmälde sig för mindre än en timme sen."
"Earlier this year the European Data-Protection Supervisor and the Assistant Supervisor were appointed.", "Tidigare i år utsågs Europeiska datatillsynsmannen och den biträdande datatillsynsmannen."
"Each student has tilldeladats two supervisors (one supervisor and one assistant supervisor).", "Varje doktorand har tilldeladats två handledare (en huvudhandledare samt en biträdande handledare)."
"Everyone knows that the EU will, in future, be playing a bigger role in Kosovo.", "Alla vet att EU i framtiden kommer att spela en större roll i Kosovo."
"Our committees will have to take on a much bigger role in checking.", "Våra utskott kommer att behöva anta en mycket större roll när det gäller kontroll."
"If China wishes to play a bigger role on the world stage, it must shoulder the resultant responsibilities.", "Om Kina vill spela en större roll i världen måste landet åta sig det medföljande ansvaret."
"We want to see a bigger role for national parliaments, on a systematic and constructive basis.", "Vi vill att de nationella parlamenten skall spela en större roll, på en systematisk och konstruktiv grund."
"I would argue in favour of the EU being given a bigger role in public health matters, precisely because these are so important to the public.", "Jag är för att EU ges en större roll i folkhälsofrågor, just för att de är så viktiga för människor."
"Like Mr Spencer, who has given an excellent analysis of the situation, I also see a bigger role for the German Presidency.", "I likhet med Spencer, vilken har givit oss en utmärkt analys av situationen, ser även jag en stor roll för det tyska ordförandeskapet."
"I would argue in favour of the EU being given a bigger role in public health matters, precisely because these are so important to the public.", "På så sätt kan EU betyda något för medborgarna och förändra den negativa bild av byråkrati och krångel som många medborgare har av EU."
"I should therefore like to seize the opportunity of arguing in favour of the European Union adopting a bigger role in health and health care.", "Jag vill därför ta detta tillfälle i akt att förespråka att Europeiska unionen bör axla ett större ansvar på folkhälso- och sjukvårdsområdet."
"I only wish that the European Parliament would adopt this desire for change, for we should be playing a bigger role than that of mere film extras.", "Denna lust till förändring, den skulle jag också önska mig av Europaparlamentet, ty vår roll måste vara en annan än att vara statister i kulissen!"
"After the entry into force of the Treaty of Lisbon, the European Commission will play a bigger role in monitoring Member States' economic development.", "Efter Lissabonfördragets ikraftträdande kommer kommissionen att spela en större roll i övervakningen av medlemsstaternas ekonomiska utveckling."
"I am convinced that it is possible to allow plant protection with non-chemical, that is biological and mechanical, products to play a bigger role.", "Jag är övertygad om att det är möjligt att tillåta växtskydd med icke-kemiska produkter, det vill säga genom att ge biologiska och mekaniska produkter en större roll."
"The information society, which we have rightly debated, will, I believe, force the European Union to claim a steadily bigger role for itself in this field.", "Jag tror att särskilt informationssamhället, som vi just har talat om, kommer att framtvinga att Europeiska unionen spelar en allt större roll på detta område."
