//Sentences
"We should not forget the sobering comment made this week by Dr Blix.", "Vi bör inte glömma den allvarsamma kommentar som dr Blix framförde den här veckan."
"Having said that, I will now concentrate on making a few rather sobering comments.", "Med detta sagt skall jag nu inrikta mig på att fälla några tämligen tillnyktrande kommentarer."
"The reality as described in the annual report is, however, more sobering.", "Verkligheten så som den beskrivs i årsrapporten får en att nyktra till."
"The progress report on the accession negotiations with Turkey was, once again, more than sobering.", "Framstegsrapporten om anslutningsförhandlingarna med Turkiet var återigen mer än sakliga."
"The Commission has quite rightly taken stock in a rather sobering way as regards coordination.", "Det stämmer att kommissionens balansräkning tar oss ned på jorden när det handlar om samordningen."
"In the face of these sobering statistics we cannot be complacent.", "Inför denna deprimerande statistik kan vi inte låta oss nöja."
"A remarkable state of affairs, given the sobering fact that hardly any foreigners live in East Germany.", "Ett märkligt faktum, med tanke på den sakliga uppgiften att få utlänningar bor i östra Tyskland."
"In Germany, the Pisa survey came up with some sobering results.", "Resultaten av Pisastudien är en väckarklocka för Tyskland."
"Lastly, China is to be seen as a sobering example, bearing in mind Russia's impending WTO membership.", "Slutligen bör vi se Kina som ett varnande exempel med tanke på Rysslands förestående WTO-medlemskap."
"The recent Enron debacle offers a sobering lesson in what a lack of transparency could provoke.", "Det nyligen inträffade Enron-sammanbrottet ger en nyttig lektion i vad en brist på öppenhet kan föra med sig."
"The figures are sobering: only 15% of all professors are female.", "Endast 15 procent av alla professorer är kvinnor."
"Mr President, ladies and gentlemen, the account that Mr Solana has given us of the way 2006 has started is a sobering one.", "Javier Solanas redogörelse för inledningen av 2006 är allvarsam."
"It has to be said that the results were sobering.", "Det bör sägas att resultaten var desillusionerande."
"Maybe a sobering thought and something you all know about.", "Det kommer att stå klart inom kort."
"However, it is sobering that the NAPs for employment are so unspecific about these measures.", "Däremot blir man desillusionerad över att dessa åtgärder inte tar sig mer konkreta uttryck i de nationella handlingsplanerna för sysselsättning."
"(DE) Mr President, ladies and gentlemen, I find today's debate on the one hand a sobering experience, but am also, on the other, refreshed and reinvigorated by it.", "(DE) Herr talman, mina damer och herrar! Jag tycker att dagens debatt är sansad."
"The result is sobering.", "Resultatet får en dock att se nyktert på saken."
"The facts are sobering.", "Omständigheterna får en att nyktra till."
"The results of the Swedish referendum and the recent surveys of the level of commitment to Europe in Norway are a sobering warning.", "Resultaten av den svenska folkomröstningen och undersökningarna nyligen om inställningen till Europa i Norge är en väckarklocka."
"Our conclusion is sobering.", "Vår slutsats är enkel."
"The abject failure to deal with the crisis is driving the European project into political deadlock.", "Det skamliga misslyckandet att hantera krisen har försatt EU-projektet i ett politiskt dödläge."
"This itself is graphic testimony to the abject failure of the measures thus far implemented.", "Detta är i sig ett åskådligt vittnesbörd om det fullständiga misslyckandet för de åtgärder som hittills har genomförts."
"Mr President, the partition of Ireland has been a complete and abject failure, socially, economically and politically.", "– Herr talman! Delningen av Irland har varit ett fullkomligt och uselt misslyckande, socialt, ekonomiskt och politiskt."
"We would not even be having this debate if it were not for the total, abject failure of the CFP and the need for more and more waters.", "Vi skulle inte ens ha denna debatt om det inte vore för det fullständiga, eländiga misslyckandet för den gemensamma fiskepolitiken och behovet av fler och fler vatten."
"I said then and I will say again that it is time to admit that this form of European government is an abject failure and that it should be abolished.", "Det jag sa då och som jag återigen säger, är att det är på tiden att inse att denna form av europeisk ledning är ett katastrofalt misslyckande och att den borde avskaffas."
"After 11 years of abject failure to produce auditable financial accounts, how can we possibly justify putting in place an agreement allowing more of the same?", "Efter 11 års ynkligt misslyckande med att lägga fram kontrollerbara räkenskaper, hur kan vi möjligen motivera införandet av ett avtal som möjliggör ännu mer i den vägen?"
"Clearly this has not been the case and must be viewed as an abject failure for the so-called humanitarian aid programmes the EU is supposed to operate on occasions like this.", "Uppenbarligen har detta inte varit fallet och måste ses som ett eländigt misslyckande för de så kallade humanitära hjälpprogram som EU antas att driva vid tillfällen som dessa."
"We must also make sure we do not create any new hierarchies between the countries.", "Hit hör dessutom att vi inte får upprätta några nya hierarkier mellan länderna."
"We can then formulate any new requirements and measures on the basis of that.", "Därefter kan vi utforma eventuella nya krav och åtgärder på grundval av detta."
"European states will be able to help each other in the event of any new gas crises.", "EU-staterna kommer även att kunna hjälpa varandra i händelse av en ny gaskris."
"Where possible, we are adopting a regionalised approach to any new outbreaks.", "Då det är möjligt anlägger vi ett regionalistiskt synsätt på de nya utbrotten."
"Will environmental and climate change considerations be part of any new WTO package?", "Kommer miljö- och klimatöverväganden att ingå i ett eventuellt nytt WTO-paket?"
"If any new requirements were placed on this instrument, we would have a problem.", "Om några nya krav skulle ställas på detta instrument skulle vi få problem."
"That is an absolute must in order to prevent any new derailments of the markets.", "Detta är absolut nödvändigt för att hindra att marknaderna spårar ur igen."
"The debates did not provide any new proof, any evidence, or any sound arguments.", "De debatter som har hållits har inte fört fram nya bevis, belägg eller solida argument."
"In any case, a new Directive on waste disposal is coming into force on 1 January 1998.", "Den 1.1.1998 träder i alla fall ett nytt direktiv om transport av avfall i kraft."
"Both parties agree that any new agreement must be reached through diplomatic channels.", "Båda parter instämmer i att det nya avtalet måste nås genom diplomatiska kanaler."
"I thank Mr Wibe for his question but he is not really introducing any new information.", "Jag tackar Wibe för hans fråga men han tillför egentligen ingen ny information."
"The Commission must be notified of any new aid (notification requirement).", "Kommissionen måste underrättas om alla nya stöd (enligt regeln om anmälningsplikt)."
"Any new menu item you define here is included as a submenu for scanning.", "Om du nu definierar nya menyposter förs dessa in som undermenyer till " Skanna "."
"Does ECHO have sufficient funding to deal with any new crisis which may occur?", "Förfogar ECHO över tillräckliga anslag för att kunna klara av en eventuell ny katastrof?"
"This is the first time we have this objective in any draft for the new Constitution.", "Det är första gången vi har denna målsättning i något fördrag i den nya konstitutionen."
"And do you have any new ideas about what is to be done in the near future?", "Och har ni några nya idéer om vad som bör ske inom den närmaste framtiden?"
"It is not as if any major new issues have emerged in the debate over the last few months.", "Jag vill avsluta med en sista tanke: Vi måste vara medvetna om vad alternativet är."
"It is therefore vital that in any new EU initiative we put an end to uncertainty.", "Det är därför av avgörande vikt att vi gör slut på denna osäkerhet i alla nya EU-initiativ."
"Is there any room for a new catchword without any new financial backing?", "Finns det verkligen plats för ett nytt slagord utan finansiell uppbackning?"
"Yes, there are always potential risks in any new technology product or process.", "Ja, det finns alltid potentiella risker inom den nya teknikens alla produkter och processer."
"Mr President, I am speaking both as an environmentalist and a Luxembourger.", "Herr ordförande! Jag uttalar mig i egenskap av ekolog och luxemburgare."
"Mr President, today, as a European environmentalist, I am embarrassed.", "Herr ordförande! Idag skäms jag i egenskap av europeisk miljöaktivist."
"This industry does not deserve the environmentalist hostility which is often heaped upon it.", "Denna sektor förtjänar inte den fientliga inställning som miljöaktivister ofta visar mot den i stora mått."
"Well, as an environmentalist, we would rather that didn't happen.", "Som miljövän skulle jag helst vilja slippa se det hända."
"Of course, thanks to the environmentalist movement we're all sensitive to the plight of marine mammals.", "Och förstås, tack vara miljörörelsen så är vi alla känsliga för marina däggdjurs svåra situation."
"The British people are very astute and they are clear that politicians have hijacked the environmentalist agenda.", "Britterna är mycket skarpsinniga, och de är medvetna om att politikerna har stulit miljövännernas dagordning."
"As a Russian democrat, as an environmentalist, and as a human rights activist, he deserves our support.", "Pasko är en person som i egenskap av rysk demokrat, som förtjänar vårt fulla stöd som miljökämpe och människorättskämpe."
"There, now, is a task for you, Commissioner - to cut a swathe through this forest of bureaucracy; this would be one type of deforestation that every environmentalist would support.", "Käre herr kommissionär, det kunde vara ett röjningsarbete i den byråkratiska skogen där ni skulle ha alla miljövårdare på er sida."
"I am sure that the environmentalist in you and also your humanity, even in those of you who speak against smoking and link smoking with tobacco growing, will lead you to change your minds.", "Jag är säker på att både miljövännen och humanisten i er, även hos er som är emot rökning och förknippar rökning med tobaksodling, kommer att få er att ändra åsikt."
"We shall certainly have an opportunity to discuss this issue again another time.", "Vi kommer naturligtvis att få möjlighet att diskutera saken vid ett annat tillfälle."
"Let us keep our dreams of a totally integrated human race for another time.", "Låt oss spara drömmen om en fullständigt integrerad mänsklighet till senare."
"Let us now consider the question of own resources or maybe another time.", "Låt oss nu, eller kanske någon annan gång, överväga frågan om våra egna medel."
"Uncovering Mr Bösch’s part in all this will have to wait for another time.", "Att utröna vilken del Herbert Bösch haft i detta får vänta till ett senare tillfälle."
"I believe that it should have been scheduled for another day and another time.", "Jag anser att den borde ha förlagts till en annan dag och en annan tid."
"It should be raised at another time.", "Det är knappast en punkt för föredragningslistan utan bör tas upp vid ett annat tillfälle."
"You can tell me individually another time.", "Det är inte en fråga som jag behöver ett svar på genast, och ni kan svara mig personligen."
"But it may be something that we will need to revisit at another time.", "Men det kan vara någonting som vi kommer att behöva se över i framtiden."
"If you need to continue this debate, it must be at another time.", "Om ni måste fortsätta denna debatt får det bli vid ett annat tillfälle."
"You can do it at another time, but I cannot give you the floor now.", "Ni kan göra det en annan gång, men jag kan inte ge er ordet nu."
"These are methods that are reminiscent of another time and another place.", "Dessa metoder hör till en annan tid och en annan plats."
"Payback comes another time when you are on the requesting end.", "Det slår tillbaka nästa gång när ni står på den krävande sidan."
"I am ready to have another look at this and will be happy to discuss that issue another time.", "Jag är beredd att se över detta en gång till och diskuterar gärna denna fråga vid ett annat tillfälle."
"I thought we could have been alone, but another time maybe!", "Jag trodde att vi skulle bli ensamma, men kanske en annan gång!"
"Mr Santini says we should leave that to another time.", "Santini säger vi att vi bör lämna detta till ett annat tillfälle."
"There will be another time to debate fisheries policy.", "Det kommer andra tillfällen för att diskutera fiskeripolitiken."
"(Laughter) "Another time."", "(Skratt) "... En annan gång, kanske.""
"We are talking about another time and another era.", "Vi talar om ett annat tillfälle och om en annan tidsperiod."
"As you said at another time and in another place, you want to tackle the transportation of live animals, for example.", "Ni vill faktiskt - det sade ni nyss i ett annat sammanhang - exempelvis ge er på transporterna."
"You should have spoken to the chairman of your group to see if it were possible to schedule it for another time.", "Ni skulle ha talat med er gruppordförande för att se om det var möjligt att välja en annan tidpunkt."
"more_vert open_in_new Link to statmt.org warning Request revision You now have AA, A+, A20, A40, and soon all products will have some type of A rating.", "expand_more Idag har vi AA, A+, A20, A40 och snart kommer alla produkter att ha någon typ av A-gradering."
"more_vert open_in_new Link to Luleå Tekniska Universitet warning Request revision English language as a subject at Luleå University of Technology gets top marks in a new Quality Review from Swedish National Agency for Higher Education (HSV).", "toppbetyg i en ny kvalitetsgranskning av Högskoleverket (HSV)."
"more_vert open_in_new Link to OpenSubtitles warning Request revision Get me an SUV, a minivan, a bus, a scooter... a motorcycle, or a rickshaw.", "expand_more Ge mig en stor bil, en minivan, en buss, en scooter... en motorcykel, eller en lådebil."
"more_vert open_in_new Link to European Parliament warning Request revision In one case, even a company with 2, 000 employees was defined as a small company.", "expand_more I ett fall definierades ett företag med 2 000 anställda som ett litet företag."
"more_vert open_in_new Link to European Parliament warning Request revision But what we do not want is a vote on something that has not been discussed.", "expand_more Men något som vi inte vill ha är en omröstning om något som inte har diskuterats."
"more_vert open_in_new Link to European Parliament warning Request revision I really do not think that a new law or new provisions are needed here.", "expand_more Här anser jag inte att någon ny lag eller någon ny föreskrift är nödvändig."
"more_vert open_in_new Link to statmt.org warning Request revision Does this mean by a few hundredths, a few tenths or a few points?", "expand_more Menar han med några hundradelar, några tiondelar eller några procentenheter?"
"more_vert open_in_new Link to statmt.org warning Request revision Every company, every country and every citizen will have to make an effort.", "expand_more Varje företag, varje land och varje medborgare måste dra sitt strå till stacken."
"more_vert open_in_new Link to European Parliament warning Request revision I support, as Mr Pirker's report does, a degree of controlled primary immigration.", "expand_more Jag stöder, liksom Pirkers betänkande, en viss kontrollerad huvudsaklig invandring."
"more_vert open_in_new Link to European Parliament warning Request revision Per-hectare aid for hemp is more than twice as high as that for cereals.", "expand_more Stödet per hektar är mer än dubbelt så högt som stödet per hektar till spannmål."
"more_vert open_in_new Link to statmt.org warning Request revision At a time of globalisation, toys are not just another type of goods.", "expand_more I globaliseringens tidevarv är inte leksaker bara en vara, vilken som helst."
