//Sentences
"They call for research and better practice in the care of age-related diseases.", "De efterlyser också forskning och en bättre praxis i fråga om vård av åldersbetingade sjukdomar."
"Also, the three regulations, the three zones in Europe for recognition and admission are also much better aligned with actual practice.", "De tre förordningarna och de tre zonerna i EU för erkännande och godkännande stämmer också mycket bättre överens med aktuell praxis."
"A better analysis and a better practice of equality in financial matters would make it possible to reduce a cost rather than to increase it.", "En bättre analys och en ökad tillämpning av jämställdhet i ekonomiska frågor skulle göra det möjligt att minska en kostnad snarare än att öka den."
"Better medical practice which not only constitutes the most effective means of combating diseases, but also restricts further losses to our health.", "Bättre sjukvårdsmetoder är inte bara det mest effektiva sättet att bekämpa sjukdomar, utan motverkar dessutom ytterligare försämringar av hälsan."
"However, it is still better than the current practice, which is why we shall endorse it with a heavy heart, but it is not an improvement for the consumer.", "Visserligen är det bättre än dagens praxis och därför kommer vi med stor vånda att rösta för, men det innebär ingen förbättring för konsumenterna."
"We agreed that we would work closely on devising better planning and best-practice models for conflict prevention and post-conflict peace building.", "Vi kom överens om att ha ett nära samarbete för att få fram bättre modeller för planering och bästa praxis för konfliktförebyggande och fredsarbete efter konflikter."
"The fact that those concerned felt it would be better to allow a free-for-all rather than conclude this compromise speaks volumes: a free-for-all, in practice, is better than this compromise.", ". – En liten medlemsstat utsätts för en åtgärd som den allmänna opinionen i landet samstämmigt och utan tvekan har avvisat."
"Defining an active strategy on the issue of ageing assumes, as an essential component, a greater awareness and the promotion of better practice in this area.", "En aktiv strategi i fråga om åldrande förutsätter en ökad medvetenhet om och ett främjande av bättre förhållanden på det här området, detta bör vara en grundläggande beståndsdel."
"By laying down common definitions and indicators, the proposed regulation ensures the comparability of data and, as a result, promotes better practice in the Member States.", "I förslaget till förordning fastställs gemensamma definitioner och indikatorer och uppgifterna blir därmed jämförbara, vilket främjar en bättre praxis i medlemsstaterna."
"It is in any case better to legalise this practice rather than, over a period of decades, to accept that many are doing it illegally, and so I think the approach we have opted for is the right one.", "Det är hur som helst bättre att göra den här metoden laglig än att under flera decennier acceptera att många använder den illegalt. Jag tycker att den linje som vi har valt är den rätta."
"The approach is one area Björklund Boistrup herself has researched.", "Bemötandet är ett område Lisa Björklund Boistrup själv forskat kring."
