//Sentences
"The report also highlights the repression of Christians and the Baha'i community.", "Betänkandet lyfter också fram förtrycket av kristna och Baha'i-samfundet."
"Seven leading figures in the Bahá'í religious community were taken into custody in May 2008.", "Sju ledande personer i det religiösa samfundet Bahá'í togs i förvar i maj 2008."
"Iran continues to persecute religious minorities, including the Baha’i Community.", "Iran fortsätter att förfölja religiösa minoriteter, som bahaierna."
"For example, the seven Baha'i leaders are still imprisoned only on the basis of their religious convictions.", "Till exempel hålls de sju Baha'i-ledarna fortfarande fängslade, enbart på grund av sin religiösa övertygelse."
"Another recent issue is the detention of another 12 members of the Baha'i religious community.", "En annan händelse under den senaste tiden är att ytterligare 12 medlemmar av den religiösa Baha'i-rörelsen har internerats."
"Minorities, particular the Baha'is, are persecuted.", "Minoriteter, framför allt bahaer, förföljs."
"Mr President, the issue here - the eternal persecution of the Baha'is - is similar to one mentioned earlier.", "Herr ordförande! Det handlar här om en liknande fråga som redan ställts tidigare, nämligen om den eviga förföljelsen av Bahai."
"We have seen further arrests in the last 24 hours of people who have worked with her and indeed other members of the Bahá'í faith.", "Vi har under de senaste dygnet sett ytterligare arresteringar av personer som har arbetat med henne och förvisso andra medlemmar av Bahá'í faith."
"Mr President, the reason for this resolution on Iran is that once again two death sentences have been passed on Baha'is in the country.", "Herr ordförande! Anledningen till de här resolutionerna om Iran är att återigen har det utdömts två dödsdomar för människor ur kretsen kring Bahai."
"However, we do hear complaints of discrimination against the Copts and against other religious minorities such as the Bahá'í in the workplace and by the judicial system.", "Ändå får vi klagomål om diskriminering mot kopterna och mot andra religiösa minoriteter såsom bahá'í på arbetsplatser och inom rättssystemet."
"It applies of course not only to the exposed group associated with the Baha'i movement, but also to a great many other people who are being put to death by the Iranian authorities.", "Det gäller naturligtvis inte bara den utsatta kretsen kring Bahai, utan också väldigt många andra människor som dödas av de iranska myndigheterna."
"Now, these seven dignitaries of the Bahá'í religious community are to be subjected to a trial this week that meets not even the most basic requirements of the rule of law.", "När nu de sju dignitärerna från det religiösa samfundet Bahá'í ska ställas inför rätta denna vecka så uppfylls inte ens de mest grundläggande kraven i rättsordningen."
"We should do everything in our power to help the Baha'is to regain the religious freedom that they had before Khomeini seized power, and the freedom to which they should be entitled once again.", "Vi skall likväl göra allt så att bahaierna äntligen kan återvinna den religiösa frihet de hade tiden före Khomeinis maktövertagande och som återigen borde tillkomma dem."
"The report also highlights the repression of Christians and the Baha'i community.", "Betänkandet lyfter också fram förtrycket av kristna och Baha'i-samfundet."
"I am very much on the side of the Bahai and agree that they must not be persecuted.", "Jag är mycket solidarisk med bahai-gruppen, och instämmer i att de inte får förföljas."
"Seven leading figures in the Bahá'í religious community were taken into custody in May 2008.", "Sju ledande personer i det religiösa samfundet Bahá'í togs i förvar i maj 2008."
"Iran continues to persecute religious minorities, including the Baha’i Community.", "Iran fortsätter att förfölja religiösa minoriteter, som bahaierna."
"Mr Habsburg is right when he says that we should also be concerned about the fate of the Bahai.", "Habsburg har rätt då han säger att vi måste bry oss om också bahai ' s öde."
"Mr Habsburg is right when he says that we should also be concerned about the fate of the Bahai.", "Habsburg har rätt då han säger att vi måste bry oss om också bahai's öde."
"For example, the seven Baha'i leaders are still imprisoned only on the basis of their religious convictions.", "Till exempel hålls de sju Baha'i-ledarna fortfarande fängslade, enbart på grund av sin religiösa övertygelse."
"Another recent issue is the detention of another 12 members of the Baha'i religious community.", "En annan händelse under den senaste tiden är att ytterligare 12 medlemmar av den religiösa Baha'i-rörelsen har internerats."
"Most recently, on Monday, Sudanese military forces bombarded Cariari and Bahai, two villages in north Darfur close to the Chad-Sudan border.", "Senast i måndags bombade sudanesisk militär Cariari och Bahai, två byar i norra Darfur intill gränsen mellan Tchad och Sudan."
"We have seen further arrests in the last 24 hours of people who have worked with her and indeed other members of the Bahá'í faith.", "Vi har under de senaste dygnet sett ytterligare arresteringar av personer som har arbetat med henne och förvisso andra medlemmar av Bahá'í faith."
"It concerns the intolerable persecution of the Bahai, for the Bahai are one of the most civilised groups, and we must support them in the exercise of their freedom.", "Det är den outhärdliga förföljelsen av Bahai, ty Bahai är en av de mest civiliserade grupperna, och vi måste stödja deras frihet!"
"However, we do hear complaints of discrimination against the Copts and against other religious minorities such as the Bahá'í in the workplace and by the judicial system.", "Ändå får vi klagomål om diskriminering mot kopterna och mot andra religiösa minoriteter såsom bahá'í på arbetsplatser och inom rättssystemet."
"It applies of course not only to the exposed group associated with the Baha'i movement, but also to a great many other people who are being put to death by the Iranian authorities.", "Det gäller naturligtvis inte bara den utsatta kretsen kring Bahai, utan också väldigt många andra människor som dödas av de iranska myndigheterna."
"Now, these seven dignitaries of the Bahá'í religious community are to be subjected to a trial this week that meets not even the most basic requirements of the rule of law.", "När nu de sju dignitärerna från det religiösa samfundet Bahá'í ska ställas inför rätta denna vecka så uppfylls inte ens de mest grundläggande kraven i rättsordningen."
"more_vert open_in_new Link to European Parliament warning Request revision We are still awaiting a report on the by the flag state, the Bahamas.", "expand_more Vi väntar fortfarande på en rapport om ” Prestige ” från flaggstaten, Bahamas."
"more_vert open_in_new Link to European Parliament warning Request revision Vi väntar fortfarande på en rapport om ” Prestige ” från flaggstaten, Bahamas.", "expand_more We are still awaiting a report on the by the flag state, the Bahamas."
"more_vert open_in_new Link to European Parliament warning Request revision Vi väntar fortfarande på en rapport om ” Prestige ” från flaggstaten, Bahamas.", "expand_more We are still awaiting a report on the by the flag state, the Bahamas."
"What happens that is so infinitely more decisive for the fate of the European Union in the Bahamas compared with Baghdad?", "Vad händer där som är så oändligt mycket mer avgörande för EU:s öde jämfört med Bagdad?"
"The US navy stated in its report on the Bahamas case that the radar system had been the most likely cause of death.", "Det höga ljudet drev valarna till stranden, där de dog av värmeslag och till sist även av inre blödningar."
"The US navy stated in its report on the Bahamas case that the radar system had been the most likely cause of death.", "Förenta staternas flotta konstaterade själv i sin rapport över dödsfallen på Bahamasöarna att radarsystemet var den mest sannolika orsaken till att valarna dog."
"In March 2000, in the Bahamas, 17 whales were beached and eight of them died at the same time as the navy’ s radar system was being tested at sea.", "Vid obduktionen av de döda valarna kunde man konstatera blodutgjutningar i deras hjärnor och inneröron orsakade av extremt högt ljud."
"In March 2000, in the Bahamas, 17 whales were beached and eight of them died at the same time as the navy’s radar system was being tested at sea.", "I mars 2000 drev 17 valar upp på stränderna på Bahamasöarna, och åtta av dem dog, samtidigt som man testade flottans radarsystem på havet."
"Mr President, last night, I dreamt once again about Mr Fatuzzo the sailor who worked on a cruise ship sailing between New York and the Bahamas from 1963 to 1965.", "Del B i denna kod består av rekommendationer, men kommissionen föreslår att vissa av dem skall bli obligatoriska bestämmelser."
"The US navy itself stated in its report on the whale deaths in the Bahamas that LFAS had been the most likely cause of death.", "Förenta Staternas flotta konstaterade själv i sin rapport över dödsfallen bland valarna på Bahamasöarna att LFAS var den mest sannolika orsaken till att valarna dött."
"In March 2000, 17 whales were beached on the shores of the Bahamas Islands and eight of them died whilst the navy's radar system was being tested in the sea.", "I mars 2000, samtidigt som man testade flottans radarsystem på havet, drev 17 valar upp på stränderna på Bahamasöarna av vilka åtta dog."
"Yet Deutsche Bahn AG is not yielding: politicians have had to capitulate.", "Ändå ger sig inte Deutsche Bahn AG: Politikerna har tvingats kapitulera."
"Even though Deutsche Bahn has bought Transfesa, it is still having a difficult time.", "Trots att Deutsche Bahn har köpt Transfesa innebär detta fortfarande svårigheter för bolaget."
"I would urgently advise Deutsche Bahn to look into taking legal action against this decision.", "Jag uppmanar Deutsche Bahn att snarast undersöka möjligheten att överklaga detta beslut."
"Yet Deutsche Bahn AG will not budge; politicians are helpless.", "Men Deutsche Bahn AG kommer inte att ge vika, och politikerna är hjälplösa."
"Deutsche Bahn is protected.", "De nationella förvaltarna kommer att ha befogenhet att fatta beslut: Deutsche Bahn är säker."
"In Germany, the rail operator Deutsche Bahn AG is planning to stop mainline trains from calling at Berlin Zoo station.", "I Tyskland planerar järnvägsföretaget Deutsche Bahn AG att hindra tågen på huvudlinjen att göra uppehåll på stationen Berliner Bahnhof Zoo."
"In Germany, the rail operator Deutsche Bahn AG is planning to stop mainline trains from calling at Berlin Zoo station.", "Passagerarnas rättigheter ska förstärkas inom alla EU-medlemsstaters persontrafik på järnväg med möjlighet att genomdriva rättsliga krav på ersättning vid förseningar."
"To give some examples in Germany, should Deutsche Telekom, Deutsche Bahn or the Schlecker drug store chain still be worried about collecting information on their employees?", "Låt mig ge er några tyska exempel. Bör Deutsche Telekom, Deutsche Bahn eller apotekskedjan Schlecker fortfarande känna oro för att samla in uppgifter om sina anställda?"
"Through this European network, the various transport operators, Deutsche Bahn amongst others, will compete against one another, enjoying non-discriminatory access to it.", "Genom detta europeiska nät kommer de olika transportoperatörerna att konkurrera sinsemellan - bland andra Deutsche Bahn - och de kommer att ha en icke-diskriminerad tillgång till nätet."
"more_vert open_in_new Link to statmt.org warning Request revision These challenges are not only to be found in Bahrain, Yemen, Iran and Armenia.", "expand_more Dessa lösningar finns inte enbart i Bahrain, Jemen, Iran och Armenien."
"more_vert open_in_new Link to statmt.org warning Request revision Dessa lösningar finns inte enbart i Bahrain, Jemen, Iran och Armenien.", "expand_more These challenges are not only to be found in Bahrain, Yemen, Iran and Armenia."
"This must be made clear in the bilateral contacts between the Union and Bahrain.", "Detta måsta göras klart i de bilaterala kontakterna mellan unionen och Bahrein."
"On the other hand, however, Bahrain is under extreme threat from Iranian forces.", "Å andra sidan är Bahrein dock ytterst hotat av de iranska krafterna."
"The question of Iranian interference in Bahrain's domestic affairs was raised.", "Frågan om Irans inblandning i Bahrains inrikespolitik togs upp."
"Bahrain has a, if not the, key position in the whole region.", "Bahrein har en nyckelposition, om inte rent av nyckelpositionen i hela regionen."
"There is also a simple reason why they want to overthrow the Bahrain Government.", "De vill också störta Bahreins regering av en enkel orsak."
"The EU has been dismayingly ambiguous regarding Bahrain, in particular.", "I Bahrains fall har EU agerat på ett fruktansvärt ambitiöst sätt."
"I know a bit about the history of Bahrain, back into the Forties.", "Jag känner till Bahreins historia en del, tillbaka till 40-talet."
"Political prisoners must be released and political exiles must be able to return to Bahrain without risk.", "Politiska fångar måste friges och politiska flyktingar måste utan risk kunna återvända till Bahrein."
"It shows that these reports on Bahrain had nothing whatever to do with realities there.", "Det visar bara, att dessa rapporter om Bahrein överhuvud taget inte har någonting att göra med verkligheten i Bahrein."
"I have been to Bahrain on more than one occasion.", "Mer än en gång har jag varit i Bahrein."
