//Sentences
"As far as export refunds are concerned, just 13% of the money has been recovered.", "Beträffande exportersättningen har endast 13 procent av medlen drivits in."
"As far as export refunds are concerned, just 13 % of the money has been recovered.", "Beträffande exportersättningen har endast 13 procent av medlen drivits in."
"According to the Spanish authorities, 43 000 tonnes of crude oil have been recovered.", "Enligt de spanska myndigheterna har man samlat upp 43 000 ton råolja."
"According to the Spanish authorities, 43 000 tonnes of crude oil have been recovered.", "Enligt de spanska myndigheterna har man samlat upp 43 000 ton råolja."
"We are talking here about EUR 3.1 billion, 70% of which has still not yet been recovered.", "Vi talar om cirka 3,1 miljarder euro, varav 70 procent fortfarande inte har inkasserats."
"All these samples have been corrected, recovered and the necessary documents provided.", "Samtliga stickprov har rättats och återvunnits, och nödvändiga dokument har tillhandahållits."
"Now, nearly two weeks later, 476 bodies have been recovered from the sea and 500 remain missing.", "I dag, nästan två veckor senare, har man funnit 476 kroppar i havet och fortfarande saknas 500."
"Little or none of this money has to date been recovered.", "Inget eller mycket lite av denna finansiering har hittills återgäldats."
"EUR 429 million in undue amounts have still not been recovered for the 1985-1998 period.", "Fortfarande återstår 429 miljoner euro att återkräva av oriktigt utbetalade belopp för perioden 1985 till 1998."
"In the past year children who have been missing - in some cases for up to 18 months - have been recovered.", "Under det senaste året har barn som varit saknade - i vissa fall upp till 18 månader - återförts."
"In your speech to the Committee on Budgetary Control on the 23rd, you said that 2 100 million had been recovered.", "I ert tal till budgetkontrollutskottet den 23 oktober sa ni att det hade återkrävts 2,1 miljarder."
"Only 6 % has been recovered so far.", "Nätt och jämnt 6 procent har hittills drivits in."
"Only 6% has been recovered so far.", "Nätt och jämnt 6 procent har hittills drivits in."
"In another Member State, the inquiry has not even got off the ground, so none of the EUR 50 million-plus has been recovered.", "I en annan medlemsstat har undersökningen inte ens inletts, så ingenting av de över 50 miljoner euro som saknas har kunnat inkasseras."
"It hasn't been recovered yet?", "" Det har inte hittats ännu "?!"
"A great deal of money in the agriculture sector has just not been recovered because of the difficulties with Member States not cooperating.", "Ganska mycket pengar inom jordbruksområdet har inte inkasserats på grund av svårigheter med medlemsstater som inte samarbetar."
"The parts of these insulating materials which have so far been recovered do not suggest that thermal action could have caused the accident.", "De hittills dolda delarna av de nämnda isoleringsmaterialen ger ingen anledning att tro att det är värmereaktioner som har utlöst olyckan."
"A typical situation involves countless items plundered during World War II, many of which have still not been recovered by their owners or the owners’ successors.", "I denna svåra balansgång mellan olika intressen måste hänsyn också tas till rättigheterna för de tredje parter som har köpt föremålen i god tro."
"Some of the refugees were rescued by the Egyptian and Libyan authorities, and some bodies have been recovered, but hundreds of people are still missing.", "Några av flyktingarna räddades av de egyptiska och libyska myndigheterna, och några kroppar har påträffats. Hundratals människor saknas emellertid fortfarande."
"A typical situation involves countless items plundered during World War II, many of which have still not been recovered by their owners or the owners’ successors.", "Ett typiskt exempel är de oräkneliga föremål som stals under andra världskriget, varav många fortfarande inte har återbördats till sina ägare eller ägarnas ättlingar."
"The goals now being set are different from those which existed at its genesis.", "De mål som nu ställs upp skiljer sig från dem som fanns från början."
"We must also, remember that the war against terrorism is being fought on many different fronts.", "Vi måste också komma ihåg att kriget mot terrorismen utkämpas på många olika fronter."
"Even today, this right is still being suppressed, under various different pretexts.", "Nåväl, detta nekas de än i dag, med olika förevändningar."
"In both, people are treated differently, and the notion of a human being is different.", "Inom dessa båda inriktningar behandlas människor olika, och uppfattningen om människan ser olika ut."
"We cannot have two different procedures being applied in the same week.", "Vi kan inte tillämpa två olika förfaranden under samma vecka."
"Being different is normal, including in this, our common Europe.", "Det är normalt att vara annorlunda. Även i vårt gemensamma Europa."
"The rules are just being interpreted in completely different ways.", "Det är helt enkelt så att reglerna tillämpas på helt olika sätt."
"All of the European Union's Member States are being affected by the different aspects of the crisis.", "Alla EU:s medlemsstater är nu påverkade av olika aspekter av krisen."
"Separate labelling of the batches that are being processed from different countries is technically impossible.", "Separat märkning av bearbetade partier från olika länder är tekniskt omöjlig."
"The whole column is taken into account with a limit of 2000 cells or 200 different characters being in place.", "Hela kolumnen inkluderas, upp till en längd på 2000 celler respektive 200 olika strängar."
"Although all Member States have adopted the same provisions, the latter are being implemented in many different ways.", "Även om alla medlemsstater har infört samma bestämmelser tillämpas de väldigt olika."
"Mr Wijkman has not questioned these results, but has referred to the opinion in the corridors probably being different.", "– Nästa punkt på föredragningslistan är en gemensam debatt om följande betänkanden:"
"It may be that, in the end, there will be some redundancy, but there are different points being made.", "Det kan hända att det i slutändan kommer att finnas några överflödiga delar men olika åsikter förs fram."
"In this respect, there are two different messages being given, making the European Union two-faced.", "Här ges dubbla budskap, vilket ger EU två ansikten."
"Money is being laundered through different channels from the ones which were used in the past.", "Penningtvätten går andra vägar än tidigare."
"Some of us have been hearing different numbers being called.", "Några av oss har hört olika nummer ropas upp."
"That is what is being developed with, obviously, different levels of contribution from the various parties involved.", "Detta håller på att utvecklas med mer eller mindre omfattande bidrag från de olika berörda parterna."
"You know, being different isn't always a bad thing.", "Det är inte alltid så dåligt att vara annorlunda."
"They do not know where exactly the funding they are giving, as they see it, is being distributed amongst the different countries.", "De vet inte exakt hur de medel de bidrar med, som de ser det, fördelas på de olika länderna."
"Ms McKenna talked about fish being different because they do not stay put like animals in a farmer's field.", "McKenna talade om att fisk skulle vara annorlunda, eftersom den inte står kvar på samma ställe som djur på en bondgård."
"My country is the number one destination for Moldovan exports and the second biggest source of imports.", "Mitt land är det främsta målet för moldavisk export och den näst största importkällan."
"On the one hand, farming is the third-biggest source of pollution after transport and industry.", "För det första är jordbruket den tredje största föroreningskällan efter transporter och industri."
"(SK) The European Union represents the biggest source of direct international investment in Latin America.", "(SK) EU står för den största delen av internationella direktinvesteringar i Latinamerika."
"Problem area Industry accounts for roughly 40% of energy use in Sweden and is the second biggest source of carbon emissions.", "Industrin står för cirka 35% av energianvändningen i Sverige och är näst största emittent av koldioxid."
"Worldwide, trafficking in human beings is the third biggest source of illegal income, after arms trafficking and drugs trafficking.", "Människohandeln är den tredje största illegala inkomstkällan efter vapensmuggling och narkotikahandel."
"To be precise, deforestation now affects 13 million hectares worldwide and is the third biggest source of greenhouse gas emissions.", "Avskogningen drabbar nu närmare bestämt 13 miljoner hektar världen över och är den tredje största källan till växthusgasutsläpp."
"Terrorism is indeed a real threat, the single biggest source of which in the world today is the ideology of fundamentalist, literalist and extremist Islam.", "Terrorismen är verkligen ett stort hot, vars största enskilda källa i världen i dag är ideologin inom det fundamentalistiska, bokstavliga och extremistiska islam."
