//Sentences
"Cathrine Reineholm - Master in public health and a bachelor in social science.", "Cathrine Reineholm - Magister i folkhälsovetenskap samt kandidatexamen i pedagogik."
"Daniel Dackemo is aiming for a bachelor's degree and studies at a distance.", "Daniel Dackemo siktar mot en kandidatexamen och läser utbildningen på distans."
"LTU offers Bachelor and Master Programme in Wood Technology, start autumn 2012.", "LTU Skellefteå erbjuder HT2012 Högskoleingenjörsutbildning och Masterutbildning i Träteknik."
"And in those two years, I graduated with my first degree -- a bachelor’s degree.", "Och efter två år så fick jag min första examen, en kandidatexamen."
"If you have an older qualification to the occupational therapist and want to load a bachelor?", "Har du en äldre yrkesexamen till arbetsterapeut och vill läsa in en kandidatexamen?"
"In the tough evaluation was LTU's bachelor's and master's degree graded with high quality.", "I den tuffa utvärderingen fick LTU:s kandidat- och magisterexamen betyget hög kvalitet."
"How is it to study engineering or Bachelor of Science at Luleå University?", "Hur är det att läsa till civilingenjör eller högskoleingenjör vid Luleå tekniska universitet?"
"Five years of university study cannot suddenly be packed into a three-year bachelor's degree course.", "Fem års universitetsstudier kan inte plötsligt klämmas in i en treårig kandidatkurs."
"1991 - 1995 / Seattle University / Seattle, WABachelor of Business Administration", "1991 - 1995 / Seattle University / Seattle, WA Tradenom"
"Also bachelor's degree in the same subject at the university gets high ranks.", "Även kandidatexamen i samma ämne vid LTU får höga betyg."
"Edward, how does it feel to be the city's newest, most-eligible bachelor?", "Hur känns det att vara Gothams mest eftertraktade ungkarl?"
"Hey, when you get your bachelor party together, I manage some girls in town.", "När ni ska ha svensexan, så har jag fixat några brudar."
"At the bachelor’s level in China, this means two weeks of work on campus with constant teacher support.", "På kandidatnivå i Kina betyder det två veckors arbete på campus, med ständigt lärarstöd."
"Bachelor of Arts Uppsala University 1985. PhD in Literature, Duke University, USA, 1997.", "Född 1961 i Kinna. FK Uppsala Univ. 1985. PhD i litteratur, Duke University, USA, 1997."
"He said, "Listen, we’re really proud of you son, but what are you going to do with a bachelor’s degree?", "Han sade, "Hör på, vi är verkligen stolta över dig, men vad ska du göra med en kandidatexamen?"
"Bachelor of arts in sociology from Linköping University.", "Filosofie kandidatexamen i sociologi från Linköpings universitet."
"Gunilla Avby - Gunilla Nordström - Master of Arts with a major in Education, Bachelor in Human Resource Development.", "Gunilla Avby - Magisterexamen i pedagogik med inriktning på vuxnas lärande."
"After the bachelor's degree, you can deepen your knowledge by study for an artistic master's degree.", "Efter kandidatexamen kan du fördjupa dina kunskaper genom att läsa till en en konstnärlig masterexamen."
"The program is a Bachelor of Science, which means three years of study and consists of 180 credits.", "Utbildningen är en högskoleingenjörsutbildning vilket innebär 3 års studier och omfattar 180 högskolepoäng."
"The rating applies to both Bachelor of Econ.", "Betyget gäller såväl ekonomie kandidat som ekonomie magister."
"more_vert open_in_new Link to Linköpings Universitet warning Request revision Bachelor of arts in sociology from Linköping University.", "Filosofie kandidatexamen i sociologi från Linköpings universitet."
"more_vert open_in_new Link to bab.la warning Request revision (Bachelor of Arts)", "filosofie kandidat)"
"Bachelor of Arts Uppsala University 1985. PhD in Literature, Duke University, USA, 1997.", "Född 1961 i Kinna. FK Uppsala Univ. 1985. PhD i litteratur, Duke University, USA, 1997."
"LTU offers Bachelor and Master Programme in Wood Technology, start autumn 2012.", "LTU Skellefteå erbjuder HT2012 Högskoleingenjörsutbildning och Masterutbildning i Träteknik."
"Bachelor’s Programme in Craft, Handicraft and Design", "Kandidatprogram i slöjd hantverk och formgivning"
"Hanna Laisfeldt from Skellefteå reads the second year of the Bachelor programme in Energy Engineering at LTU in Skellefteå.", "Hanna Laisfeldt från Skellefteå läser andra året på högskoleingenjör Energiteknik vid LTU i Skellefteå."
"Bachelor Programme in Maintenance Engineering", "Högskoleingenjör Underhållsteknik"
