//Sentences
"Back to square one, and disrespect for national languages remained.", "Tillbaka till ruta ett, och den bristande respekten för nationella språk kvarstod."
"Three days later, it was not adopted by Congress and the Americans were back to square one.", "Tre dagar senare antogs det inte av kongressen, och amerikanerna fick gå tillbaka till ruta ett."
"Failing that, we will soon be back to square one.", "Om vi inte lyckas med det kommer vi snart att vara tillbaka på ruta ett."
"Almost a year later, it seems that we are back to square one.", "Nästan ett år senare tycks vi stå på ruta noll."
"Last week's decision by the Bureau will not enter into force, therefore, and we will be back to square one.", "Presidiets beslut förra veckan kommer alltså inte att träda i kraft och alltså är vi tillbaka till utgångspunkten."
"However, according to the weather forecast, the winds will pick up this evening and then we are back to square one tomorrow.", "Men enligt väderrapporterna skall det börja blåsa hårdare i kväll, och i morgon har det hänt igen."
"If an agreement on the Statute is rendered impossible, we are back to square one as regards the travel costs, too.", "Om ett avtal om stadgan omöjliggörs så är vi tillbaka vid utgångspunkten även med avseende på resekostnaderna."
"If they are approved, we shall be back at square one.", "Om de antas är vi tillbaka på ruta ett."
"This does not mean, however – and here the Commission agrees with the rapporteur – that we need to go back to square one.", "Det innebär dock inte att vi skall gå tillbaka till ruta ett – det håller kommissionen med föredraganden om."
"We've got to go back to square one and start again."", "Vi måste börja om från ruta ett igen."
"That alone would signify 'back to square one' and, for us, new opportunities of obtaining an improved directive.", "Detta skulle ta oss tillbaks till utgångspunkten, vilket för oss skulle innebära nya chanser att få ett bättre direktiv."
"That alone would signify 'back to square one ' and, for us, new opportunities of obtaining an improved directive.", "Detta skulle ta oss tillbaks till utgångspunkten, vilket för oss skulle innebära nya chanser att få ett bättre direktiv."
"One year later, we are back at square one.", "Ett år senare är vi tillbaka på ruta ett."
"They didn't want to go back to square one.", "De ville inte gå tillbaka till ruta ett."
"Now we are back to square one, and we have lost a considerable amount of important and beneficial legislation on novel foods.", "Nu är vi tillbaka på ruta ett, och vi har förlorat en stor mängd viktig och ändamålsenlig lagstiftning om nya livsmedel."
"And if you think from a design perspective, about going back to square one, and say, "I just want to protect kids in the back seat."", "Och utifrån ett designperspektiv, om att börja om från början, och säga, "Jag vill bara skydda barnen i baksätet.""
"We have gone back to square one.", "Vi är tillbaka på ruta ett."
"You go back to square one.", "Man går tillbaka till ruta ett."
"This does not mean, however – and here the Commission agrees with the rapporteur – that we need to go back to square one.", "Hur som helst står OLAF inför större förändringar, som måste genomföras senast när vi har nått vårt mål att etablera en europeisk åklagarmyndighet."
"to be back to square one", "vara tillbaka på ruta ett"
"My request is, in fact, to put this country back on the top of the agenda.", "Min vädjan är egentligen att även det landet på nytt skall sättas högt upp på dagordningen."
"We must therefore put the subject of sustainable development back at the top of the world's political agenda.", "Vi måste alltså åter sätta temat hållbar utveckling främst på den globalpolitiska dagordningen."
"Not only was this financing fully repaid, but Airbus also paid back 40% on top of the amount lent to it by EU governments.", "Inte nog med att denna finansiering återbetalades helt, Airbus betalade även tillbaka 40 procent utöver den summa som EU:s regeringar lånade ut."
"Back to the top", "Tillbaka till början"
"Strong and positive leadership is required to bring the Middle East peace process back to the top of the international political agenda.", "Det krävs ett starkt och positivt ledarskap för att åter föra upp fredsprocessen i Mellanöstern högst upp på den internationella politiska dagordningen."
"The first task of UNGASS must therefore be to make clear the seriousness of the situation and to put sustainable development back at the top of the international agenda.", "UNGASS första uppgift måste därför vara att klargöra situationens allvar och sätta hållbar utveckling högt på den internationella dagordningen."
"Back when I was your age, we didn't know what the universe was going to do.", "När jag var i er ålder visste vi inte vad universum skulle göra."
"(DE) Mr President, back when I was a child, I received letters from what was then Rhodesia.", "(DE) Herr talman! När jag var barn tog jag emot brev från det land som på den tiden var Rhodesia."
"I'll call you back when I get to the bank!", "Jag ringer när jag kommer till banken."
"Back when I was a correspondent for der Spiegel magazine, I saw speculation against particular currencies and the euro has protected us against that.", "När jag var korrespondent för tidskriften Der Spiegel såg jag att spekulation skedde mot vissa valutor, och euron har skyddat oss mot det."
"More emphasis should be placed on establishing links between women's organisations, which is something I called for back when I was rapporteur for the interim report on the fourth action programme.", "Som jag krävde redan som föredragande för det preliminära betänkandet om det fjärde åtgärdsprogrammet, bör en väsentlig tyngdpunkt läggas på att skapa ett nätverk av kvinnoorganisationer."
"I can assure you, Mr Baco, that everything has been done perfectly correctly.", "Jag kan garantera er att allt har gått helt rätt till, herr Baco."
"Mr Baco, the competent committee has recommended that the House reject the initiative.", "– Herr Baco! Det behöriga utskottet har rekommenderat att parlamentet förkastar initiativet."
"I can assure you, Mr Baco, that everything has been done perfectly correctly.", "Mot bakgrund av detta anser vi att det under alla omständigheter är viktigt att bordlägga omröstningen."
"In my view, Mr Baco's vote is more of a misunderstanding.", "Enligt min uppfattning handlar Peter Bacos röst mer om en missuppfattning."
"It is not possible that we are all wrong and that you are the only person who has got it right, Mr Baco.", "Det är inte möjligt att alla andra har fel och ni är den enda som har rätt, herr Baco."
"No, Mr Baco, there has been a very clear majority of votes against.", "– Nej, herr Baco, en väldigt klar majoritet var emot."
"Mr Baco, the competent committee has recommended that the House reject the initiative.", "Därför har jag gett ordet till kommissionsledamoten."
"No, Mr Baco, there has been a very clear majority of votes against.", "– Nej, herr Baco, en väldigt klar majoritet var emot."
"It is not possible that we are all wrong and that you are the only person who has got it right, Mr Baco.", "Jag accepterar inte påtryckningarna från rådet när det säger åt oss att vi måste debattera nu eftersom rådet sammanträder nästa vecka."
"Sour cream and butter and Baco Bits.", "Sour cream och smör och Baco Bits."
