//Sentences
". - Madam President, we are tonight talking about the single CMO on wine.", "Fru talman! I kväll talar vi om den gemensamma marknadsorganisationen för vin."
"Without wine, the single CMO would simply remain incomplete.", "Utan vin är den enda gemensamma marknadsorganisationen helt enkelt inte fullständig."
"However, today it appears that the wine CMO has been swallowed up in this large volume.", "Idag verkar den gemensamma marknadsorganisationen för vin dock ha uppslukats av denna större volym."
"Most sectors have already been successfully incorporated into the CMO.", "De flesta sektorer har redan framgångsrikt införlivats i den enda gemensamma marknadsorganisationen."
"Madam President, the single CMO Regulation has been in force since December 2006.", "Fru talman! Vi har haft den enda förordningen om de gemensamma organisationerna av marknaden sedan december 2006."
"I would like to remind you that this is not a CMO.", "Jag vill påminna er om att detta inte är en GOM (gemensam organisation av marknaden)."
"Because of this, it was understood that the wine CMO would remain separate.", "Det var därför underförstått att vin även i fortsättningen skulle ha en separat gemensam marknadsorganisation."
"Modification of Regulation (EC) No 1234/2007 (the 'Single CMO Regulation') (debate)", "Ändring av förordning (EG) nr 1234/2007 (enda förordningen om de gemensamma organisationerna av marknaden) (debatt)"
"Amendment of the single CMO Regulation (debate)", "Ändring av "enda förordningen om de gemensamma organisationerna av marknaden" (debatt)"
"No substance changes to the CMO wine reform will be done.", "Vinreformen kommer inte att ändras på några väsentliga punkter."
"To finish, I think we need to take the final step to complete the single CMO.", "Jag tror avslutningsvis att vi måste ta det sista steget för att fullborda den enda gemensamma marknadsorganisationen."
"Amendment of the single CMO Regulation (", "Ändring av "enda förordningen om de gemensamma organisationerna av marknaden" ("
"The reformed CMO for fruit and vegetables foresees new crisis prevention and management tools.", "Den reformerade GOM för frukt och grönsaker syftar till nya verktyg för krisförebyggande och krishantering."
"The single CMO is currently working really well.", "Den enda gemensamma marknadsorganisationen fungerar idag mycket bra."
"Subject: Amendment of the CMO in wine", "Angående: Reformering av den gemensamma organisationen av marknaden för vin"
"In any event, it must be said that the wine CMO is more than a market CMO.", "Det måste hur som helst slås fast att den gemensamma organisationen av vinmarknaden är mer än en gemensam marknadsorganisation."
"Regarding the organisation of the CMO for wine, we need the funding to be under the first pillar.", "När det gäller den gemensamma organisationen av marknaden för vin måste finansieringen utgå från den första pelaren."
"Then in 2009 we also have the full CMO review.", "År 2009 har vi sedan också den fullständiga översynen av GOM."
"School Fresh Fruit Scheme (amendment of Single CMO Regulation) (debate)", "Program för frukt i skolan (debatt)"
"They are outlined extensively in both the CMO and in the EFF.", "De beskrivs utförligt både i den gemensamma organisationen av marknaden (GOM) och i Europeiska fiskerifonden (EFF)."
"The color models RGB and CMYK are just two of the models most used to define colors.", "Färgmodellerna RGB och CMYK hör till de mest använda modellerna för att definiera färger."
"Select the Yellow color value in the CMYK color model.", "Här väljer du färgvärdet gult (yellow) i CMYK-färgmodellen."
"Select the Cyan color value in the CMYK color model.", "Här väljer Du färgvärdet cyan i CMYK-färgmodellen."
"The list box recognizes the two settings RGB and CMYK.", "I listrutan finns alternativen RGB och CMYK."
"DARE logo small for print CMYK", "DARE logga liten för tryck CMYK"
"Vinnova logo for print CMYK", "Vinnova logga för tryck CMYK"
"Please pay special attention to the Cmyk.soc color palette, which helps you optimize your color graphics on paper in the CMYK color space.", "Lägg särskilt märke till färgpaletten Cmyk.soc som hjälper dig att optimalt återge färgglad grafik i CMYK-kulörsystem på papper."
"I am chairman of the C.N. Group, which owns several newspapers.", "Jag är styrelseordförande för C.N. Group, som äger åtskilliga tidningar."
"Accordingly, following the amendment to the Combined Nomenclature, CN codes 1214 90 91 and 1214 90 99 should be replaced by CN code 1214 90 90.", "Till följd av en ändring av den kombinerade nomenklaturen ska KN-numren 1214 90 91 och 1214 90 99 ersättas med KN-numret 1214 90 90."
"Chinese/China [zh-CN]", "Kinesiska/Kina [zh-CN]"
"To that end, the Commission is considering appropriate measures that include references to the United Nations regulations, CN and ISO standards, and OECD codes.’", "I detta syfte överväger kommissionen lämpliga åtgärder som hänvisningar till FN-förordningar, KN- och ISO-standarder och OECD-koder."
"In the Siebrand judgment of 2009 the Court of Justice ruled that such beverages should be classified under CN 2208 and hence taxed as spirituous.", "Under 2009 fastslog domstolen i domen i målet Sibrand att dessa drycker ska klassificeras som KN‑nummer 2208 och således beskattas som spritdrycker."
"In the Siebrand judgment of 2009 the Court of Justice ruled that such beverages should be classified under CN 2208 and hence taxed as spirituous.", "Under 2009 fastslog domstolen i domen i målet Sibrand att dessa drycker ska klassificeras som KN‑nummer 2208 och således beskattas som spritdrycker."
"Accordingly, following the amendment to the Combined Nomenclature, CN codes 1214 90 91 and 1214 90 99 should be replaced by CN code 1214 90 90.", "Den garanterade maximala kvantiteten för torkat foder på 4 855 900 ton bör ersättas med 4 960 723 ton, vilket motsvarar summan av nuvarande nationella kvantiteter."
"Baroness Ashton ran CND and still refuses to tell us whether she took money from the Communist Party of Great Britain.", "Catherine Ashton drev kampanjen mot kärnvapen (CND) och vägrar fortfarande att tala om huruvida hon tog emot pengar från kommunistpartiet i Storbritannien."
"In fact, she was the treasurer of the Campaign for Nuclear Disarmament during a period of time when CND took very large donations and refused to reveal the source.", "Faktum är att hon var kassör för denna kampanj under en period när den mottog mycket stora donationer och vägrade uppge källan."
"And are we really happy that somebody who will be in charge of our overseas security policy was an activist a few years ago in an outfit like CND?", "Och är vi egentligen nöjda med att någon som ska vara ansvarig för vår internationella säkerhetspolitik för några år sedan var aktivist i en organisation som CND?"
"My Written Question E‑6627/09 addressed ONLY the matter of Baroness Ashton's disclosure of her background in CND (the Campaign for Nuclear Disarmament).", "Min skriftliga fråga nr E‑6627/09 gällde BARA om Ashton hade informerat om sin anställning inom ramen för kampanjen mot kärnvapen (Campaign for Nuclear Disarmament, CND)."
"To what extent did (Baroness) Catherine Ashton disclose to the Commission her background as one of four paid employees of CND (the Campaign for Nuclear Disarmament) and then CND's Treasurer,", "Catherine Ashton var en av de fyra personer som anställdes inom ramen för kampanjen mot kärnvapen (Campaign for Nuclear Disarmament, CND), och hon var sedan kassör för kampanjen."
"I watched a very disturbing report on CNN about the state of the Pearl River in China.", "Jag såg ett väldigt upprörande CNN-reportage om situationen vid Zhu Jiang-floden i Kina."
