//Sentences
"In the colonial past, pillaging was carried out in an open and shameless fashion.", "Under den forna kolonialtiden skedde plundringen öppet och skamlöst."
"(CS) Europe used to have a bad conscience over Africa due to its past colonial policies.", "(CS) EU brukade ha dåligt samvete för Afrika på grund av Europas tidigare kolonialpolitik."
"It includes powerful countries which have been colonial powers in the past.", "Vi har stormakter med ett förflutet som kolonialmakter."
"It has a huge diplomatic corps which reflects its colonial past.", "Landet har en enorm diplomatkår och detta återspeglar i grund och botten dess koloniala historia."
"In the past, during colonial supremacy, this was done under duress.", "Tidigare, under kolonialtiden, skedde det under tvång."
"In future, we will have to learn to live without fishing concessions bequeathed to us by our colonial past.", "I framtiden måste vi lära oss leva utan de fiskeritillstånd som är en kvarleva från kolonialtiden."
"We have a post-colonial past.", "Vi har ett postkolonialt förflutet."
"Yemen is a country troubled by religious and tribal conflicts and by mistakes made by past colonial and US policies.", "Jemen är ett land som plågas av religiösa konflikter och konflikter mellan stammar och av misstag som gjorts vid utövandet av tidigare kolonistaters och USA:s politik."
"The states and their national borders derive not from domestic movements which shaped an independent state, but simply from the colonial past.", "Länderna och deras nationsgränser har inte sitt ursprung i inhemska rörelser som format en oberoende stat, utan helt enkelt i det koloniala förflutna."
"Europe provides a convenient fiction for us to continue a dialogue with the Chinese, free from the colonial past and the colonial resentment.", "Europa tillhandahåller en bekväm konstruktion för oss för att fortsätta en dialog med kineserna, utan det koloniala förflutna och den koloniala förtrytelsen."
"Past colonial interference and brutal conquest in Africa, often exploiting communal and tribal divisions, have left a lasting legacy.", "Den tidigare koloniala inblandningen och kolonialmakternas brutala erövringar i Afrika, där motsättningar mellan folkgrupper och stammar ofta utnyttjades, har skapat ett bestående arv."
"If you had questions about your and my and other people's colonial past, then that was the moment to ask them, to make your remarks and to formulate your criticisms.", "Om ni hade frågor om ert och mitt och andra folks koloniala förflutna, så var det tidpunkten för att ställa dem, att yttra er och att formulera er kritik."
"However, I believe that we can forecast negative effects on the smaller commercial operators and on producers in the ACP countries.", "Men jag tror att vi kan förutse negativa effekter för de mindre företagen och för producenterna i AVS-länderna."
"This unique system allows public service broadcasters and commercial operators to function in a balanced and mutually complementary relationship.", "Detta unika system gör att public serviceföretagen och de kommersiella aktörerna kan fungera i en balanserad och ömsesidigt kompletterande relation."
"Including self-regulation codes in the legislative framework will ensure transparency, responsibility and the equal status of public and commercial operators.", "Genom att även lägga in bestämmelser om självreglering i regelverket uppnår man insyn, ansvar och samma värde för offentliga och kommersiella företag."
"The proposed penalties are proportionate and necessary, and it is hoped that they will discourage the improper commercial practices that have been adopted by commercial operators.", "De föreslagna påföljderna är proportionerliga och nödvändiga och vi hoppas att de kommer att avskräcka kommersiella operatörer från otillbörliga affärsmetoder."
"EU regulators are concerned about the risks that may be run, while the investment industry is attracted by the commercial opportunities of tapping into this trend.", "EU:s tillsynsmyndigheter oroas av de möjliga riskerna, medan fondbolagen å sin sida lockas av de kommersiella fördelarna med att haka på den här trenden."
"EU regulators are concerned about the risks that may be run, while the investment industry is attracted by the commercial opportunities of tapping into this trend.", "Vi anser att detta är ett lämpligt tillfälle att införa ett smidigt och ändamålsenligt EU-omfattande regelsystem som uppmuntrar till etablering av dessa fonder inom EU."
"The question is whether the European Union's institutions are best placed to be aware of the constantly changing commercial opportunities available in a rapidly changing commercial sector.", "Frågan är om EU:s institutioner är bäst lämpade att hålla reda på de ständigt varierande handelsmöjligheter som står till förfogande inom en hastigt föränderlig kommersiell sektor."
"The question is whether the European Union's institutions are best placed to be aware of the constantly changing commercial opportunities available in a rapidly changing commercial sector.", "Vi känner alla till att förslaget kommer att läggas fram, och vi vet att rådet och parlamentet kommer att diskutera det, så ni har inte sagt någonting som vi inte redan kände till."
"The value added, the commercial potential of every connection is going up all the time.", "Mervärdet, den kommersiella potentialen hos varje uppkoppling ökar hela tiden."
"The value added, the commercial potential of every connection is going up all the time.", "Allt som vi diskuterar visar hur snabbt marknaden förändras."
"A certain superpower, in terms of its resources and potential commercial might, Russia, is still outside the WTO.", "En viss supermakt, när det gäller resurser och handelspotential, Ryssland, står fortfarande utanför WTO."
"Our aim is not only to identify highly innovative and novel research findings with technical and commercial potential.", "Vårt mål är inte bara att identifiera innovativa och nya forskningsrön med teknisk och kommersiell potential."
"I believe that any alternative to that would handicap the development of the sector, which has significant commercial potential.", "Jag anser att varje alternativ till detta skulle belasta utvecklingen av en sektor som har en betydande kommersiell potential."
