//Sentences
"Mr President, crying over spilt milk will not solve the problem of unemployment in Europe.", "Herr ordförande, allmänt gnäll räcker inte för att lösa arbetslöshetsproblemen i Europa."
"In my view, the President of the Commission is crying over spilt milk.", "Jag tycker att kommissionens ordförande gråter över spilld mjölk."
"There is no point crying over spilt milk, we must think about recuperating the misappropriated sums and giving specific guarantees to savers in the case of collapse.", "Vi kan vara stolta över det faktum att den här processen startade innan Parmalat hände, för det har, som redan har sagts här, förekommit skandaler i hela världen."
"There is no point crying over spilt milk, we must think about recuperating the misappropriated sums and giving specific guarantees to savers in the case of collapse.", "Det är ingen idé att gråta över spilld mjölk, vi måste tänka på att återvinna de belopp som förskingrats och ge särskilda garantier till småspararna om det blir en krasch."
"Impact assessment is a particular area of current interest for my country, Ireland.", "Konsekvensbedömning är ett särskilt område som nu är av intresse för mitt land, Irland."
"Returns the number of days in the current interest period in which the settlement date falls.", "Returnerar antalet dagar i den aktuella ränteperioden i vilken likviddagen ligger som resultat."
"Below is current information on interest and repayment period.", "Nedan följer aktuell information om räntor och amorteringstider."
"It aims to reintroduce current hearings of special interest groups in the revised scheme.", "Det siktar till att återinföra den nuvarande behandlingen av intressegrupper i den reviderade förordningen."
"Understanding the role of emotion in the decision to help others in need (monetary donations) constitutes a current research interest.", "Ett aktuellt intresse är att förstå känslors roll för beslutet att hjälpa andra människor i nöd (monetära donationer)."
"The current level of interest rates across the entire maturity spectrum remains low by historical standards, both in nominal and real terms.", "Den aktuella räntenivån över hela löptidsintervallet förblir låg historiskt sett, både nominellt och i verkligheten."
"In this context, he has further analysed how thinkers and artists have related to revolutionary change, a topic of current interest.", "I detta sammanhang har han också analyserat hur tänkare och konstnärer ställt sig till revolutionär förändring, ett aktuellt ämne i dag."
"The current level of interest rates across the entire maturity spectrum remains low by historical standards, both in nominal and real terms.", "Kommissionen är dock försiktig när det gäller att kommentera Europeiska centralbankens politik, eftersom banken bär hela ansvaret."
"My current research interest is aligned with Entrepreneurship within Triple Helix clusters, which include authorities, industries and academia.", "Mitt nuvarande forskningsintresse är entreprenörskap inom Triple Helix kluster, som omfattar myndigheter, industrier och den akademiska världen."
"Equally of current interest is Jonsson's on-going research into the emergence of a European identity in relation to colonialism and decolonisation during the 20th century.", "Lika aktuell är Jonssons pågående forskning om den europeiska identitetens framväxt i förhållande till kolonialismen och avkoloniseringen under 1900-talet."
"- Perhaps I should start with a historical, not current, declaration of interest on why I have voted in favour of Amendment No 5, Article 1(6), concerning junior doctors.", "Jag kanske bör inleda med en historisk, inte föreliggande, intresseförklaring till varför jag röstat för ändringsförslag 5, artikel 1.6, om läkare under utbildning."
"At international level, we shall tackle all the cooperation issues regarding our common neighbourhood and, of course, those of current interest following the Georgian conflict.", "På internationell nivå kommer vi att ta upp alla samarbetsfrågor som rör vårt gemensamma grannskap, och givetvis de som är extra aktuella på grund av Georgienkonflikten."
"Much work has been done already on withholding taxes, and this report adds to the current interest in raising transparency of savings and transactions in such tax havens.", "Det har redan gjorts mycket arbete när det gäller källskatt och detta betänkande bidrar till ökad insyn i det sparande och de transaktioner som äger rum i sådana skatteparadis."
"Today, the credibility of plans for the shipyards is determined by the interest of current and potential private investors, who want to risk their own money in the future of these sites.", "I nuläget avgörs trovärdigheten hos planerna för varven av befintliga och eventuella investerares intressen, som vill riskera sina egna pengar i varvens framtid."
"(ES) Mr President, the number of questions presented on this issue demonstrates the current level of interest in immigration issues amongst us representatives of the peoples of Europe.", "(ES) Herr talman! De frågor som kommit upp i detta ärende visar vilket stort intresse som finns för invandringsfrågorna bland oss som är företrädare för EU:s befolkning."
"In this regard, it can only be helpful for the international community, whether it is the UN, the Commonwealth or the European Union, to maintain a strong and current interest in developments.", "I detta hänseende kan det endast vara till hjälp för världssamfundet, antingen det är FN, brittiska samväldet eller Europeiska unionen, att bibehålla ett starkt och aktuellt intresse i utvecklingen."
"I believe we can make this contribution on several fronts at European level, too.", "Jag anser också att vi kan arbeta för detta i ett flertal europeiska sammanhang."
"With tantra you can make an entire session of sex... feel like one giant orgasm.", "Med tantra kan man få hela sexakten... att kännas som en enda gigantisk orgasm."
"I hope therefore that we can make progress both with EUREP and with this proposal.", "Därför hoppas jag, att vi kan komma framåt både med Eurep och med detta förslag."
"The European Union can make its influence felt, and it has a role to play here.", "Europeiska unionen har ett inflytande att använda sig av och en roll att spela."
"We want to turn 'can make an appeal ' into 'insist that an appeal is made '.", "Vi vill ändra " kan överklaga " till " insistera på att ett överklagande görs "."
"The document is now available and people can make their own judgements accordingly.", "Detta dokument finns tillgängligt för alla och kan ge underlag för bedömningar."
"We have to ask ourselves how we can make progress jointly with other states.", "Vi måste fråga oss hur vi ska kunna göra framsteg tillsammans med andra länder."
"Mr Cox, do you really think we can make this change to the Rules of Procedure now?", "Ledamot Cox! Kan vi enligt er mening genomföra denna ändring av arbetsordningen nu?"
"In the meantime, we can make good use of the Member States' diplomatic academies.", "Fram till dess kan vi använda oss av medlemsstaternas diplomatutbildningar."
"This can make an enormous difference in reducing car accidents on our roads.", "Detta kan innebära en enorm skillnad för att minska trafikolyckorna på våra vägar."
"We want to turn 'can make an appeal' into 'insist that an appeal is made' .", "Vi vill ändra " kan överklaga" till " insistera på att ett överklagande görs" ."
"And leaving the door open is the worst mistake any employee can make because...?", "Att lämna dörren öppen är det värsta misstag nån anställd kan göra, för..."
"We are confident that these countries can make them, so that the deadline can be met.", "Vi litar på att dessa länder kan åstadkomma dem, så att tidsfristen kan följas."
"It can make its voice heard and is not playing a supporting role to the United States.", "Den kan göra sin röst hörd och har inte en biroll i skuggan av Förenta staterna."
"Anti-dumping duties can make supplies more expensive - including for SMEs.", "Antidumpningstullar kan göra varor dyrare - även för små och medelstora företag."
"The school fruit scheme can make a valuable contribution in this context.", "Programmet för frukt i skolan kan vara ett värdefullt bidrag till detta ändamål."
"Hopefully we can make the future, even at this critical stage, a better one.", "Förhoppningsvis kan vi, även i detta kritiska skede, skapa en bättre framtid."
"In this context, voluntary service can make a small, but important contribution.", "I detta sammanhang kan volontärtjänst vara ett litet, men viktigt bidrag."
"Such advertising affects young people above all, which can make its impact more severe.", "Sådan reklam påverkar framför allt unga människor, vilket är ännu allvarligare."
"I think this report is very timely and can make an impact especially in two areas.", "Jag tycker att betänkandet kommer lägligt och det kan särskilt inverka på två områden."
"The decade 2004-2013 will be characterised by the accession of 12 new countries.", "Decenniet 2004–2013 kommer att kännetecknas av tillträdet av tolv nya länder."
"Moreover, the marine environment is by no means characterised by rapid change.", "Dessutom är snabba förändringar inte på något sätt utmärkande för havsmiljön."
"We need to modernise the European social model, which is characterised by solidarity.", "Den europeiska sociala modellen, som utmärks av solidaritet, måste moderniseras."
"Europe is characterised by great territorial diversity and polycentric development.", "EU kännetecknas av stora territoriella skillnader och polycentrisk utveckling."
"Today's press is characterised by pessimism: will an agreement be reached or not?", "Dagens press utmärks av pessimism: Kommer man att uppnå ett avtal eller ej?"
"Europe needs a common immigration and asylum policy characterised by humanitarianism.", "Europa behöver en gemensam migrations- och asylpolitik som präglas av humanism."
"For the first time, we have seen in terrorism something characterised by two elements.", "För första gången har vi kunnat se en terrorism som kännetecknas av två element."
"All these cases are characterised by the fact that they have been taken care of.", "Alla dessa fall kännetecknas av det faktum att man har tagit hand om dem."
"The European project is characterised by respect for diversity and cultural wealth.", "Det europeiska projektet kännetecknas av respekt för mångfald och kulturell rikedom."
"Besides its unity, Europe is also characterised by its cultural diversity.", "Europa utmärker sig vid sidan av sin enhetlighet genom sin kulturella mångfald."
". - We have entered into a period characterised by food insecurity.", "skriftlig. - (EN) Vi har gått in i en period som kännetecknas av livsmedelsosäkerhet."
"We are part of a project that is characterised by its shared and voluntary sovereignty.", "Vi är delar av ett projekt som kännetecknas av delad och frivillig suveränitet."
"I welcome the pragmatic approach which has characterised these early contacts.", "Jag välkomnar den pragmatiska inställning som har kännetecknat dessa första kontakter."
