//Sentences
"Mr President, in the short amount of time available I shall only refer to the CARNOT programme.", "Herr ordförande! På den här korta stunden ämnar jag bara beröra Carnot-programmet."
"This is why, in my opinion, the CARNOT programme is so important.", "Därför anser jag att Carnot-programmet är av stor vikt."
"I would also like to point out that part 5 restricts the flexibility of the CARNOT programme, and that is why we cannot accept it.", "Jag skulle vilja poängtera att avsnitt 5 begränsar flexibiliteten i Carnot-programmet, och vi kan därför inte godkänna det."
"As for individual programmes, the CARNOT programme for the improvement of energy efficiency is really very modest and is founded mainly on an exchange of information.", "Vad de enskilda programmen beträffar är Carnot-programmet för förbättring av energieffektiviteten synnerligen anspråkslöst och grundar sig framför allt på informationsutbyte."
"The intention of the CARNOT programme is to support the exploitation of solid fuels - especially coal - in such a way that emissions of carbon dioxide and other pollutants are minimised.", "Carnot-programmet skall stödja användandet av fasta bränslen - särskilt kol - på ett sådant sätt att det sker minsta möjliga utsläpp av koldioxid och andra förorenande ämnen."
"I went in for the CAT scan, and it turns out there were five of these things in both my lungs.", "Jag gick tillbaka för min CT-röntgen, och det visade sig att det fanns fem av dessa saker i båda mina lungor."
"In Italy, for instance, people have to wait 300 days for a prostate operation and very often a month or more for a CAT scan.", "I Italien måste man till exempel vänta 300 dagar för att genomgå en prostataoperation och väldigt ofta en månad eller mer för datortomografi."
"She was resuscitated, stabilized, whisked over to a CAT scan suite right next to the emergency room, because they were concerned about blood clots in the lung.", "Hon återupplivades, stabiliserades skickades raskt över till CT precis bredvid akutrummet, för de var oroliga för blodproppar i lungan."
"I joke, but I only half joke, that if you come to one of our hospitals missing a limb, no one will believe you till they get a CAT scan, MRI or orthopedic consult.", "Jag skojar, men bara halvt, att om du kommer in till ett av våra sjukhus med en avsaknad lem, så kommer ingen tro dig tills de får en CT, MR eller ortopeduttalande."
"And the CAT scan revealed no blood clots in the lung, but it showed bilateral, visible, palpable breast masses, breast tumors, that had metastasized widely all over the body.", "Och CT:n avslöjade inga blodproppar i lungan, utan visade bilaterala, synliga, palperbara bröstmassor, brösttumörer, som hade spridit sig långt genom hela kroppen."
"DES EDE3 encryption in CBC mode with a 168-bit key", "DES EDE3-kryptering i CBC-läge med 168-bitars nyckel"
"RC5 encryption in CBC mode with a 128-bit key", "RC5-kryptering i CBC-läge med 128-bitars nyckel"
"RC2 encryption in CBC mode with a 128-bit key", "RC2-kryptering i CBC-läge med 128-bitars nyckel"
"RC5 encryption in CBC mode with a 64-bit key", "RC5-kryptering i CBC-läge med 64-bitars nyckel"
"RC5 encryption in CBC mode with a 40-bit key", "RC5-kryptering i CBC-läge med 40-bitars nyckel"
"RC2 encryption in CBC mode with a 64-bit key", "RC2-kryptering i CBC-läge med 64-bitars nyckel"
"RC2 encryption in CBC mode with a 40-bit key", "RC2-kryptering i CBC-läge med 40-bitars nyckel"
"DES encryption in CBC mode with a 56-bit key", "DES-kryptering i CBC-läge med 56-bitars nyckel"
"But PHARE-CBC funds previously earmarked for cooperation with Interreg cannot under any circumstances be used at the borders between the CEECs.", "Men Phare-CBC-medel, som hittills har varit öronmärkta för samarbetet med Interreg, får inte heller i något fall sättas in också vid gränserna mellan de central- och östeuropeiska länderna."
"I also think it an excellent and most welcome proposal from the Committee on Regional Policy that coordination between TACIS-CBC and INTERREG should be included in structural fund reforms.", "Jag tycker också att det är ett mycket bra och välkommet förslag som utskottet för regionalpolitik har ställt om att koordineringen av Tacis-CBC och Interreg borde införlivas i strukturfondsreformen."
"First of all I would like to quote the evidence that was given by the regional CBI.", "För det första skulle jag vilja citera ett svar från det regionala grenen av Industriförbundet (CBI)."
"I am very pleased that in my country the CBI has backed Mrs Wallis' approach.", "Det gläder mig mycket att det brittiska industriförbundet (CBI) i mitt land har ställt sig bakom Wallis strategi."
"The Trade Union Congress, the CBI, the exporters of whom Scotland has very many, are all in favour of EMU.", "Den brittiska landsorganisationen, den brittiska arbetsgivarföreningen, de exportörer som Skottland har så många av, är alla för EMU."
"I recall that earlier this week, Mr President, you and I were addressing a meeting of the CBI in the United Kingdom and I made the same point then.", "Jag kommer ihåg, herr talman, att jag sade samma sak tidigare i veckan, när ni och jag talade på ett möte i den brittiska arbetsgivarföreningen."
"I recall that earlier this week, Mr President, you and I were addressing a meeting of the CBI in the United Kingdom and I made the same point then.", "Hela denna process går tillbaka på Nicefördraget och chocken över resultatet av folkomröstningen i Irland – jag ber er inte att kommentera det, herr talman."
