//Sentences
"The annual emissions have been, on average, 15 tonnes of CFC-11, which is quite substantial.", "De årliga utsläppen har legat på i genomsnitt 15 ton CFC-11 vilket är ganska avsevärt."
"In the 1990s, today ’ s much maligned HFC gases replaced CFC gases, which were destroying the ozone layer.", "Detta visar att principen om att byta ut skadliga ämnen mot säkrare redan är verklighet."
"Another question raised relates to the continuation of CFC imports.", "En annan fråga gäller den fortsatta importen av freon."
"Du Pont itself has developed an alternative to CFC-11.", "Du Pont själva har tagit fram ett alternativ till CFC 11."
"For almost 15 years Du Pont de Nemours has used CFC-11 as a solvent to produce a polyurethane fleece.", "Under nästan 15 år har Du Pont de Nemours använt CFC-11 som lösningsmedel för att tillverka fleecetyger gjorda av polyuretan."
"Imports of CFC products from China and Russia", "Import av freonprodukter från Kina och Ryssland"
"In the 1990s, today’s much maligned HFC gases replaced CFC gases, which were destroying the ozone layer.", "På 1990-talet ersattes klorfluorkarbonerna, som förstörde ozonlagret, av de fluorkolväten som vi i dag ondgör oss så mycket över."
"I also said that, clearly, the prohibition of CFC sales would facilitate the combat against fraud.", "Jag sade för övrigt att förbudet mot försäljning av freon självfallet var av det slaget att det skulle förenkla bekämpningen av bedrägeriet."
"An exemption of this kind is granted for CFC-11 to the firm Du Pont in Luxembourg for the manufacture of polyolefin fibres.", "En dylik undantagsreglering finns det för CFC 11, det gäller firman Du Pont i Luxemburg och produktionen av polyolefinfiber."
"Du Pont de Nemours now calls its solvent a processing agent but that is just a trick to allow them to continue to use CFC-11.", "Du Pont de Nemours kallar nu sitt lösningsmedel för ett fabrikationsmedel men det är bara ett knep för att de skall få tillåtelse att fortsätta använda CFC-11."
"The Group of the European Radical Alliance wishes to invite Parliament to make progress towards total prohibition of CFC imports into the European Union.", "Gruppen europeiska radikala alliansen uppmanar parlamentet att verka för ett totalt förbud mot import av freon till Europeiska unionen."
"In the refrigeration equipment field, the industry believes that a volume of between 50, 000 and 100, 000 tonnes of CFC is still contained in existing equipment.", "När det gäller kylutrustning uppskattar industrin att en volym på mellan 50 000 och 10 000 ton freon fortfarande finns i befintlig utrustning."
"Methyl bromide, which has two thirds of the damaging potential of CFC, and is used mainly in developing countries in agriculture, is principal amongst these.", "Det är framför allt metylbromid, som fortfarande innehåller två tredjedelar av freonets potentiella skadeeffekt och som framför allt i utvecklingsländerna används i jordbruket."
"Moreover, the text relating to certain companies' imports of CFCs contained a wrong base year.", "Dessutom fanns ett felaktigt basår i texten vad gäller vissa företags importer av CFC."
"Moreover, the text relating to certain companies ' imports of CFCs contained a wrong base year.", "Av misstag hade exporten av astmainhalatorer och smärtstillande cancerpumpar förbjudits."
"Europe has been described as being awash with illegal CFCs.", "Europa har beskrivits såsom översköljt av illegala freonprodukter."
"And the remainder would disappear if you took measures on other greenhouse gases like CFCs and methane.", "Och resten skulle elimineras om man vidtog åtgärder mot andra växthusgaser som freon och metan."
"The Montreal Protocol was an attempt to eliminate CFCs, as these gases are harmful to stratoshperic ozone.", "Montrealprotokollet var ett försök att få bort CFC eftersom dessa gaser skadar ozonen i stratosfären."
"The contraband CFCs that have been discovered are surely a mere fraction of what is being smuggled into the Union.", "Nu är de smugglade freonerna som hittats säkert bara en del av det som smugglas inom unionen."
"We have moved on to getting rid of CFCs, moving on to deal with the other substances - HCFCs and halons.", "Vi har fortsatt försöka bli av med CFC, fortsatt för att göra något åt de andra ämnena - HCFC och haloner."
"CFCs have been forbidden in industrial countries since 1996.", "Sedan 1996 är freon förbjudet i industriländerna."
"Fluorinated gases were introduced in the nineties to replace the ozone-depleting CFCs and HCFCs.", "Fluorerade gaser infördes på 1990-talet som ersättning för freoner och klorfluorkolväten som bryter ned ozonskiktet."
