//Sentences
"We have just obtained the same recognition for the DCI.", "Vi har just uppnått samma erkännande för instrumentet för utvecklingssamarbete."
"Given the design of the DCI, the legislative gap was inevitable.", "Med tanke på DCI:s utformning var luckan i lagstiftningen oundviklig."
"The DCI Regulation takes account of the multi-dimensionality of poverty.", "I förordningen om instrumentet för utvecklingssamarbete tas hänsyn till fattigdomens många dimensioner."
". - Mr President, the DCI, the European Union's Development Cooperation Instrument, is a powerful tool.", "Herr talman! EU:s instrument för utvecklingssamarbete är ett kraftfullt verktyg."
"Parliament gave up 16 scrutiny instruments when it created the DCI.", "Parlamentet gav upp 16 granskningsinstrument när det skapade finansieringsinstrumentet för utvecklingssamarbete."
"The first steps of the new DCI framework are being taken and we all have responsibilities to get it right.", "De första stegen inom den nya ramen för DCI tas nu, och vi har alla ett ansvar för att få det att fungera."
"Therefore, the Committee on Development and I urge you to accept delegated acts for the DCI.", "Därför uppmanar utskottet för utveckling och jag er att godkänna delegerade rättsakter för instrumentet för utvecklingssamarbete."
"Everyone who has spoken today of the positive results of our negotiations on the DCI and the ICI has also seen that.", "Alla som i dag har talat om de positiva resultaten av våra förhandlingar om DCI och ICI har också sett det."
"The ODA quota must be even stricter than in the current DCI.", "Kvoten för offentligt utvecklingsbistånd måste bli ännu strängare än den är i det nuvarande instrumentet för utvecklingssamarbete."
"Just as the DCI is deployed, our Parliament here must be given real influence and control in the same manner.", "På samma sätt som i samband med instrumentet för utvecklingssamarbete måste Europaparlamentet få verkligt inflytande och verklig kontroll."
"The Commission should remember that the European Parliament has an essential role in the implementation of the DCI.", "Kommissionen borde komma ihåg att Europaparlamentet har en avgörande roll att spela i tillämpningen av instrumentet för utvecklingssamarbete."
"Since the proposals concerning the mid-term review, another amendment to the DCI was presented on 17 March 2010.", "Efter förslagen om halvtidsöversynen lades ett annat ändringsförslag till finansieringsinstrumentet för utvecklingssamarbete fram den 17 mars 2010."
"We will therefore take care to require absolute compliance with the overall legislative framework, in particular relating to the DCI.", "Vi kommer därför vara noga med att begära att lagstiftningen efterlevs till fullo, särskilt när det gäller utvecklingsinstrumentet."
"I would like to stress that the new DCI should provide a basis for targeted and more flexible aid in situations of fragility.", "Jag vill framhålla att det nya finansieringsinstrumentet bör utgöra grunden för ett riktat och mer flexibelt bistånd i bräckliga situationer."
". - Parliament has closely scrutinised the way the provisions of the DCI are implemented ever since it came into force in 2007.", "Parlamentet har noga granskat hur bestämmelserna för instrumentet för utvecklingssamarbete har genomförts sedan de trädde i kraft 2007."
