//Sentences
"Daimler/ Chrysler is visibly becoming a crime, when we look at what is going on there.", "Daimler / Chrysler blir synbarligen ett brott, när man ser vad som pågår där."
"As Mrs Mann says, we shall have Daimler Benz and Chrysler on both sides of the Atlantic.", "Mann har redan sagt det: Daimler Benz / Chrysler på båda sidor av havet."
"As Mrs Mann says, we shall have Daimler Benz and Chrysler on both sides of the Atlantic.", "Mann har redan sagt det: Daimler Benz/Chrysler på båda sidor av havet."
"The huge merger of Daimler and Chrysler is only a foretaste of what we can expect in the near future.", "Den jättelika fusionen av Daimler och Chrysler är endast ett förebud om det som väntar framöver."
"Daimler and the Abu Dhabi Investment Authority have recently taken this type of step, so it should also be possible for us.", "Daimler och Abu Dhabi Investment Authority har nyligen tagit ett steg av det här slaget, så det borde även vara möjligt för oss."
"We decided here that anyone producing mines, which includes Daimler Benz, should not receive any additional money for mine clearance.", "Vi har här beslutat, att den, som producerar minor, och det gör Daimler Benz, får inte dessutom extra pengar för minröjning."
"Until just a few months ago, General Motors, Daimler and co were focussing on gas-guzzlers, whilst their marketing made out that SUVs were the new city cars.", "Fram till för bara några månader sedan koncentrerade sig General Motors, Daimler m.fl. på bränsleslukande fordon och deras marknadsföring gick ut på att stadsjeepar var de nya stadsbilarna."
"Dairy produce; birds ' eggs; natural honey", "Mjölk och mejeriprodukter; ägg, naturlig honung"
"It is all the more important as beef production is largely dependent on the calves which dairy cattle farms produce.", "Det är ännu viktigare med tanke på att köttproduktionen i hög grad är beroende av de kalvar som produceras inom mejerisektorn."
"This also makes it more urgent for the Commission to adopt direct measures to combat the adulteration of products such as olive oil, wine and dairy produce.", "Den gör det också nödvändigt att kommissionen vidtar direkta åtgärder för att bekämpa manipuleringen av produkter som olivolja, vin och mjölkprodukter."
"As regards dairy produce, whilst the price guidelines are acceptable, there is no real justification for providing support according to the 'virtual cow' system.", "När det gäller mjölkprodukter är de förutsedda stöden enligt den s.k. " virtuella kossan" inte rättfärdigade, även om man accepterar prisinriktningen."
"As regards dairy produce, whilst the price guidelines are acceptable, there is no real justification for providing support according to the 'virtual cow'system.", "När det gäller mjölkprodukter är de förutsedda stöden enligt den s.k. " virtuella kossan " inte rättfärdigade, även om man accepterar prisinriktningen."
"- (CS) - Madam President, ladies and gentlemen, the crisis in the dairy produce sector shows that the entire European system of quota-based regulation is faulty and ineffective.", "- (CS) - Fru talman, mina damer och herrar! Krisen i mejerisektorn visar att hela EU-systemet med kvotbaserad reglering är bristfälligt och ineffektivt."
"For example, a small quantity of dairy produce from Italy was found which had been fraudulently imported from China, but this does not mean that we do not have proper regulations.", "Till exempel hittades en liten mängd mjölkprodukter från Italien som hade importerats i smyg från Kina, men det betyder inte att vi inte har ett fungerande regelverk."
