//Sentences
"We have learned the new vocabulary of e-coli, salmonella and listeria and so on.", "Vi har lärt oss en ny vokabulär med e-kolibakterier, salmonella och listeria och så vidare."
"Research into the source of the E coli outbreak is proving complicated.", "Det har visat sig vara en svår uppgift att hitta orsaken till EHEC-utbrottet."
"Occasionally, however, there is a problem such as the E-coli outbreak in Scotland.", "Ibland finns dock problem som utbrottet med E-coli i Skottland."
"It is affecting unusual groups of people in a way not normally associated with E coli outbreaks.", "Det drabbar andra kategorier människor på ett sätt som normalt inte har samband med EHEC-utbrott."
"In fact, Agriculture Ministers are holding an extraordinary Council meeting today to address E coli.", "Jordbruksministrarna håller faktiskt ett extra möte i rådet i dag för att behandla EHEC-frågan."
"For instance, to name but one, the recent threat of E. coli O157 probably emerged in South America.", "För att bara nämna ett exempel uppstod troligen det nya hotet från e-kolibakterien O157 i Sydamerika."
"On top of this we have the backdrop of BSE, the tragedy of foot-and-mouth, and E.coli scares.", "Utöver detta har vi efterdyningarna av BSE-utbrotten, tragedin med mul- och klövsjukan, och larmrapporterna om E.coli-bakterier."
"It is sensible to simplify the two key tests relating to public health – on gastro-enteritis and e-coli.", "Det är klokt att förenkla de två tester som är mest betydelsefulla för folkhälsan – de som rör maginfluensa och e-koli."
"Mr President, the German and European authorities are still trying to identify the source of the E coli outbreak.", "(EN) Herr talman! De tyska och de europeiska myndigheterna försöker fortfarande identifiera källan till EHEC-utbrottet."
"Just how important the latter is has been made clear to us once again by the recent enterohaemorrhagic E. coli (EHEC) crisis.", "Hur viktigt det senare är har vi fått klart för oss ännu en gång efter den ehec-kris som drabbade oss nyligen."
"There are now over 1 672 Shiga-toxin-producing E coli cases, and serious complications have developed in at least 661 people.", "Det finns nu över 1 672 fall med Shigatoxinproducerande Escherichia coli (STEC), och minst 661 personer har fått allvarliga komplikationer."
"More people have died recently from E coli in the UK than from the new strain of CJD as a result of eating contaminated beef products.", "Fler människor har nyligen avlidit av E-colibakterien efter att ha ätit smittade köttprodukter i Förenade kungariket än av den nya vågen av CJD."
"These discharges have not only killed thousands of fish but also resulted in dangerous levels of E. coli and other harmful bacteria.", "Dessa utsläpp har inte bara tagit död på tusentals fiskar utan de har också resulterat i farligt höga nivåer av e-coli och andra skadliga bakterier."
". - Mr President, I should like to thank all of you for this opportunity to inform you about developments in relation to the outbreak of E coli.", "Herr talman! Jag vill tacka er alla för att jag får möjlighet att informera er om utvecklingen när det gäller EHEC-utbrottet."
"She was telling me about the problems of E coli in fruit and vegetables in the United States and we discussed how this was not common in the European Union.", "Hon berättade om problemen med förekomsten av EHEC i frukt och grönsaker i Förenta staterna, och vi diskuterade hur ovanligt detta var i EU."
"We have all become only too used to food scares concerning salmonella in eggs, risk from BSE and e-coli in beef and pesticides residues in carrots.", "Vi har blivit alldeles för vana vid att det slås larm om salmonella i ägg, risker för BSE och e-kolibakterier i nötkött och rester av bekämpningsmedel i morötter."
"We have had scares and scandals in Europe on olive oil, contaminated wine, mineral water, listeria, salmonella, E. coli, BSE, dioxins, sludge and slurry.", "Vi har haft larmrapporter och skandaler i Europa angående olivolja, förorenat vin, mineralvatten, listeria, salmonella, E. Coli, BSE, dioxin, slam och flytgödsel."
"We experienced the human misery of flooded homes and farms, no sanitation, no drinking water and the environmental disasters of E. coli-infected water.", "Vi upplevde den mänskliga misären med översvämmade hem och gårdar, utan hälsovård och dricksvatten, och de miljömässiga katastroferna med E-kolibakteriesmittat vatten."
