//Sentences
"In addition, the neutrality of the ECtHR judges is not guaranteed.", "Dessutom finns det inte några garantier för att Europadomstolens domare är neutrala."
"For me the ECtHR is neither European nor a court of human rights.", "Enligt min åsikt är Europadomstolen varken en europeisk domstol eller en domstol för mänskliga rättigheter."
"It puts fundamental rights in the EU under the control of the European Court of Human Rights (ECtHR).", "Den innebär att grundläggande rättigheter i EU kontrolleras av Europeiska domstolen för de mänskliga rättigheterna (ECHR)."
"The ECtHR seems to believe that the Member States with the best systems of social services should bear the entire burden of refugees in the EU.", "Europadomstolen verkar anse att de medlemsstater som har de bästa socialtjänstsystemen ska bära hela flyktingbördan i EU."
"In addition, one judge at the ECtHR comes from Turkey, where human rights are not respected and which has areas of the EU under military occupation.", "Dessutom kommer en av domarna från Turkiet, ett land som inte respekterar mänskliga rättigheter och som militärt ockuperar delar av EU."
"This judgment by the ECtHR will not lead to the improved integration of refugees and is not an effective way of resolving the asylum challenges faced by the EU.", "Dess dom kommer inte att leda till förbättrad integration av flyktingar och den är inte ett effektivt sätt att lösa de asylproblem som EU står inför."
"The Treaty on the European Defence Community (EDC) remains a useful source of inspiration.", "Europeiska försvarsgemenskapen (EDC) är fortfarande en viktig inspirationskälla."
"Will the Development Commissioner continue to be responsible for EDC only in the ACP countries?", "Är kommissionären för utveckling endast ansvarig för EU:s utvecklingssamarbete i AVS-staterna?"
"Jean Monnet, president of the ECSC High Authority, resigns after the EDC failure.", "Ordföranden i EKSG:s Höga Myndighet, Jean Monnet, avgår efter misslyckandet med Europeiska försvarsgemenskapen."
"What are the precise responsibilities of the EU delegations in defining and implementing EDC?", "Vilka är EU-delegationens exakta ansvarsområden vid utformningen/genomförandet av det europeiska utvecklingssamarbetet?"
"What are the precise responsibilities of the Development Commissioner with regard to defining EDC?", "Vilka är de exakta ansvarsområdena för kommissionären för utveckling vid utformningen av EU:s utvecklingssamarbete?"
"Does EuropeAid retain responsibility for EDC implementation?", "Kommer man att behålla byrån för samarbete, EuropeAid, som ansvarigt generaldirektorat för genomförandet av EU:s utvecklingssamarbete?"
"Subject: Dealing with EDC mixtures", "Angående: Hantering av EDC-blandningar"
"Belgium, France, Germany, Italy, Luxembourg and the Netherlands sign the European Defence Community (EDC) Treaty in Paris.", "Belgien, Frankrike, Tyskland, Italien, Luxemburg och Nederländerna undertecknar i Paris Fördraget om Europeiska försvarsgemenskapen, (EDC)."
"What concrete measures will the Commission propose in its forthcoming report on implementation of the EU EDC strategy?", "Vilka konkreta åtgärder tänker kommissionen föreslå i sin kommande rapport om förverkligandet av EU:s strategi mot kemikalier som stör hormonsystemet?"
"European Development Cooperation (EDC) is one of the areas that take on a substantially different institutional framework with the entry into force of the Lisbon Treaty.", "I samband med att Lissabonfördraget trädde i kraft fick EU:s utvecklingssamarbete en mycket förändrad institutionell ram."
"Which directorate-general is in charge of implementing EDC in the abovementioned countries and to which Commissioner does it report?", "Vilket generaldirektorat är ansvarigt för genomförandet av EU:s utvecklingssamarbete i de ovan nämnda länderna och under vilken kommissionsledamot lyder det?"
"The French statesman Pierre Mendès France does not succeed in his request to attenuate the supranational character of the European Defence Community (EDC).", "Den franske politikern Pierre Mendès France vidhåller inte längre sitt krav på att tona ned Europeiska försvarsgemenskapens överstatliga karaktär."
"What other units of the Council’s institutional substructure (regional ‘desks’, for example) are involved in defining and implementing EDC and what are their specific areas of authority?", "Vilka är deras exakta befogenheter?"
"The pessimists point out that we are in a major crisis, perhaps, I have heard it said, the biggest since the rejection of the EDC Treaty in 1954.", "Pessimisterna säger att vi befinner oss i en stor kris, kanske den största, har jag hört sägas, sedan fördraget om Europeiska försvarsgemenskapen (EDC) förkastades 1954."
"Where exactly is the dividing line between the responsibilities of the DGs in question and those of the EU delegations in relation to defining and implementing EDC?", "Var exakt går skiljelinjen mellan ansvarsområdena för dessa generaldirektorat och ansvarsområdena för EU-delegationerna när det gäller utformningen och förverkligandet av EU:s utvecklingssamarbete?"
"- B5-0033/2004 by Bastiaan Belder, on behalf of the EDD Group, on Zimbabwe.", "- B5-0033/2004 av Bastiaan Belder, på EDD-gruppens vägnar, om Zimbabwe."
"I have also tabled a resolution on this subject on behalf of the EDD Group.", "Å EDD-gruppens vägnar har jag också ingivit en resolution i den frågan."
"B5-0424/ 2002, by Mr Belder, on behalf of the EDD Group, on freedom of press in Belarus;", "B5-0424 / 2002 av Belder för EDD-gruppen om pressfriheten i Vitryssland,"
"B5-0424/2002, by Mr Belder, on behalf of the EDD Group, on freedom of press in Belarus;", "B5-0424/2002 av Belder för EDD-gruppen om pressfriheten i Vitryssland,"
"Egypt- B5-0422/ 2001 by Bastiaan Belder, on behalf of the EDD Group, on the situation in Egypt;", "Egypten- B5-0422 / 2001 av Bastiaan Belder för EDD-gruppen om läget i Egypten;"
"- (B5-0496/2003) by Mrs Sandbæk, on behalf of the EDD Group, on the situation in Aceh;", "– (B5-0496/2003) av Sandbæk, för EDD-gruppen, om situationen i Aceh."
"- (B5-0494/2003) by Mr Belder, on behalf of the EDD Group, on religious freedoms in Vietnam;", "– (B5-0494/2003) av Belder, för EDD-gruppen, om religionsfrihet i Vietnam."
"Egypt- B5-0422/2001 by Bastiaan Belder, on behalf of the EDD Group, on the situation in Egypt;", "Egypten- B5-0422/2001 av Bastiaan Belder för EDD-gruppen om läget i Egypten;"
"B5-0350/ 2001 by Belder, on behalf of the EDD Group, on the situation in Algeria;", "B5-0350 / 2001 av Belder för EDD-gruppen, om läget i Algeriet,"
"5-0151/2003 by Mr Belder, on behalf of the EDD Group, on the situation in Zimbabwe.", "A5-0151/2003 av Belder för EDD-gruppen om situationen i Zimbabwe."
"5-0151/ 2003 by Mr Belder, on behalf of the EDD Group, on the situation in Zimbabwe.", "A5-0151 / 2003 av Belder för EDD-gruppen om situationen i Zimbabwe."
"(B5-0549/2001) by Mr Belder, on behalf of the EDD Group, on the situation in Zimbabwe;", "(B5-0549/2001) av Belder för EDD-gruppen om situationen i Zimbabwe."
"B5-0552/2002 by Mr Belder, on behalf of the EDD Group, on the 'Human Rights' dialogue with Iran;", "B5-0552/2002 av Belder för EDD-gruppen om dialogen om mänskiga rättigheter med Iran,"
"(B5-0548/2001) by Mr van Dam, on behalf of the EDD Group, on foot-and-mouth disease;", "(B5-0548/2001) av van Dam för EDD-gruppen om mul- och klövjsuka."
"- B5-0033/ 2004 by Bastiaan Belder, on behalf of the EDD Group, on Zimbabwe.", "ZANU-PF-regimen är ett förskräckligt exempel på förtryck av en utfattig och hungrande befolkning."
"The EDD Group is lending its unqualified support to the assistants' legitimate wishes.", "EDD-gruppen stöder verkligen assistenternas berättigade önskemål."
"B5-0350/2001 by Belder, on behalf of the EDD Group, on the situation in Algeria ;", "B5-0350/2001 av Belder för EDD-gruppen, om läget i Algeriet,"
"The EDD Group is lending its unqualified support to the assistants ' legitimate wishes.", "EDD-gruppen stöder verkligen assistenternas berättigade önskemål."
