//Sentences
"Fine Gael and Labour are part of the PPE and S&D groups respectively in this Parliament.", "Fine Gael och Labour ingår i PPE- respektive S&D-grupperna i Europaparlamentet."
"The Fine Gael delegation supported these reports with caveats.", "Fine Gael-delegationen röstade för dessa betänkanden med invändningar."
"With these proposals Fine Gael is attempting to address the root causes of the Irish 'no'.", "Med dessa förslag försöker Fine Gael att ta itu med de grundläggande orsakerna till Irlands ”nej”."
"For all these reasons, my colleagues in Fine Gael and I will be supporting our Government.", "Av alla dessa anledningar kommer mina kolleger i Fine Gael-partiet och jag att stödja vår regering."
". - This is an explanation of vote on behalf of the Fine Gael Delegation to the European Parliament.", "skriftlig. - (EN) Detta är en röstförklaring från Fine Gaels delegation i Europaparlamentet."
"Madam President, Fine Gael members have asked me to speak on behalf of all four of us in the EPP on this issue.", "(EN) Fru talman! Fine Gael-medlemmar har bett mig tala för oss alla fyra i EPP i denna fråga."
". - The Fine Gael members of the EPP Group voted in favour of Draft amending budget No 8/2009.", "skriftlig. - (EN) Fine Gael-ledamöterna i PPE-gruppen röstade för förslaget till ändringsbudget nr 8/2009."
"The party of which I am a member, Fine Gael, supports the 3% target, as do all the major parties in Ireland.", "Det parti som jag tillhör, Fine Gael-partiet, stöder 3-procentsmålet. Det gör alla större partier på Irland."
"I do not necessarily share in accepting the detail of the plan, but overall figures are supported by Fine Gael.", "Jag håller inte nödvändigtvis med om detaljerna i planen, men de övergripande siffrorna stöds av Fine Gael-partiet."
"Of course, I welcome the outcome of the referendum in Ireland along with my Fine Gael colleagues here in Parliament.", "Givetvis välkomnar jag, liksom mina kolleger i Fine Gael-partiet här i parlamentet, resultatet av folkomröstningen på Irland."
"However, I do not think even the worst enemies of Fine Gael would wish Mrs Banotti to be locked up for 15 years for that.", "Jag tror dock inte att ens de värsta fienderna till Fine Gael skulle önska att Mary Elizabeth Banotti låstes in i 15 år för den sakens skull."
". - The Fine Gael Delegation in the EPP-ED welcomes Ms Jordan-Cizeli's report on a mid-term review of industrial policy.", "skriftlig. - (EN) Fine Gael-delegationen i PPE-DE välkomnar Romana Jordan-Cizelis betänkande om översyn av industripolitiken efter halva tiden."
