//Sentences
"These include, among other things, the use of chemicals in agriculture and forestry management.", "Dessa faktorer är bland annat användandet av kemikalier inom jord- och skogsbruk."
"This must not, however, stop Europe pursuing the coordinated management of forestry issues.", "Men det bör inte hindra Europa från att genomföra en samordnad förvaltning av skogsfrågorna."
"There can be no talk of maintenance or sustainable forestry management.", "Det kan inte bli tal om upprätthållande eller hållbart skogsbruk."
"Basically, we are talking about starting to work together for sustainable management of forestry resources.", "Det handlar i grund och botten om att börja samarbeta för en hållbar förvaltning av skogens resurser."
"It must also review prevention measures and the forestry management models that encourage large fires.", "Regeringen måste även se över de förebyggande åtgärderna och de typer av skogsbruk som ökar risken för stora bränder."
"I believe that it is therefore very important to establish a sustainable common European forestry management policy.", "Jag anser därför att det är mycket viktigt att fastställa en hållbar gemensam europeisk skogsbrukspolitik."
"Lending forestry equipment and making personnel qualified in forestry management available are also covered by this measure.", "Lån av skogsutrustning och tillhandahållande av behörig personal ingår också i ett sådant arrangemang."
"In the Czech Republic, forestry management has become a business, in which the financial profits of the firms involved are all that matters.", "I Tjeckien har skogsbruket blivit en affärsverksamhet där de berörda bolagens ekonomiska vinster är det enda som räknas."
"Forestry management to control the risk of forest fires, since increased droughts will mean a greater risk of desertification in case of fire.", "Skogsskötsel för att begränsa risken för skogsbrand, eftersom längre torkperioder kommer att innebära större risk för ökenspridning i händelse av brand."
"Chapter 3 of the EU-Canada joint action plan contains specific language concerning preservation of the environment in general and sustainable management of forestry in particular.", "Kapitel 3 i EU: s och Kanadas gemensamma åtgärdsplan innehåller särskilda passusar om skyddande av miljön i allmänhet, och uthållig skogsskötsel i synnerhet."
"One of the vital tasks in the realm of development policy is to redirect our efforts towards a sustainable conservationist approach to logging, forestry management and fishing.", "En av de viktigaste uppgifterna inom utvecklingspolitiken är att omrikta våra insatser mot en hållbar bevarandestrategi för avverkning, skogsförvaltning och fiske."
"Due to the significant contribution forests make in tackling the climate crisis, sustainable forestry management is of major importance to ensuring that the EU achieves its climate objectives.", "På grund av skogens betydelse när det gäller att bekämpa klimatkrisen är det hållbara skogsbruket av stor vikt för att garantera att EU når sina klimatmål."
"Mr President, ladies and gentlemen, it was essential that the European Union define a forestry strategy in order to improve the use and management of forestry resources.", "Herr ordförande, ärade kollegor, för att förbättra utnyttjandet och förvaltningen av skogsbruksresurserna var det nödvändigt för Europeiska unionen att formulera en skogsbruksstrategi."
"The Commission has a duty to secure guarantees regarding illegal forestry operations and the management of fishing quotas, as the Commissioner pointed out just a minute ago.", "Kommissionen är skyldig att se till att det finns garantier mot olaglig skogsverksamhet och i hanteringen av fiskekvoter, vilket kommissionsledamoten påpekade för bara någon minut sedan."
"New research findings show that biodiversity and the landscape which has developed over centuries can only be preserved with the aid of appropriate systems of land and forestry management.", "Nya forskningsrön visar att mångfalden och det kulturlandskap som under flera århundraden vuxit fram endast kan bevaras med hjälp av adekvata åtgärder inom jord- och skogsbruket."
