//Sentences
"The free thinkers and the independent spirits are soon removed.", "Den fria tanken och det självständiga sinnet är snart röjda ur vägen."
"Scientists and representatives of political circles were eliminated, and people who were famous for being free thinkers were eliminated too.", "Vetenskapsmän och företrädare för politiska kretsar rensades bort och kända fritänkare eliminerades också."
"We must recognise that Iranian fundamentalists continue to organise political trials in an attempt to further intimidate free thinkers.", "Vi måste erkänna att iranska fundamentalister fortsätter att organisera politiska rättegångar för att skrämma fritänkare."
"We also need to provide technologies for citizens to communicate freely and to access information, and the EU needs to be a safe haven for free thinkers.", "Vi behöver även förse folket med teknik så att de kan kommunicera fritt och få tillgång till information, och EU måste vara en tillflyktsort för fritänkare."
"Which financial instruments should be applied in the furtherance of these objectives?", "Vika finansiella instrument skall användas för att bidra till att dessa mål uppnås?"
"What attitude do you take to this position as regards any furtherance of this agreement?", "Frågor som rör Libanon och Syrien kommer uppenbarligen att bli en del av den dialogen."
"What attitude do you take to this position as regards any furtherance of this agreement?", "Vilken attityd intar ni till den här ståndpunkten vad avser allt främjande av det här avtalet?"
"The agreement reached in the Council last month for the furtherance of the Lisbon Treaty is welcome.", "Överenskommelsen som man nådde i rådet förra månaden för att främja Lissabonavtalet är välkommen."
"Would he say exactly the way he sees the furtherance of the work on the White Paper fitting in with that of the convention?", "Kan han tala om exakt på vilket sätt främjandet av arbetet på vitboken passar in med arbetet på konventionen?"
"Because of those procedures, the furtherance of penal and disciplinary matters has been and is being delayed and claims are being set aside.", "På grund av dessa förfaranden försenades och försenas expedieringen av straffärenden och disciplinära ärenden och kraven avskrivs."
"The protection of human rights and minorities and the furtherance of democracy must be priority issues for a combined foreign and defence policy.", "Skyddet av mänskliga rättigheter och minoriteter och främjandet av demokrati måste prioriteras i en gemensam utrikes- och säkerhetspolitik."
"It is a scandal in the history of Community promotion of research that the Council has no intention of even keeping pace with inflation in the furtherance of research.", "Det är en skandal i gemenskapens forskningsbidrags historia att rådet inte ens vill kompensera forskningsbidragen för inflationen."
"Mr President, I too agree with the furtherance of this extension of programmes related to the protection of forests from atmospheric pollution and fires.", "Herr ordförande, även jag är överens om att främja denna breddning av programmen angående skyddet av skogarna mot luftföroreningar och skogsbränder."
"Though the priorities might be the furtherance of knowledge and skills, student exchanges open up a whole new approach to international issues and problems.", "Även om det primära syftet är att fördjupa kunskaper och färdigheter öppnar studentutbytet ett helt nytt sätt att angripa internationella frågor och problem."
"The first of these forums will take place on 9 May and will address its conclusions to the European Council, which is to take some first decisions about the furtherance of the project.", "Det första av dessa forum kommer att äga rum den 9 maj och resultaten från det kommer att sändas till Europeiska rådet som ska ta de första besluten om främjandet av projektet."
"Place the cursor at the point where you want to insert the result and press (F2).", "Placera markören på den plats där du vill infoga resultatet och tryck på F2."
"I therefore hope that the House will delete recital F and approve Amendment 4.", "Jag hoppas därför att kammaren stryker skäl F och ger bifall till ändringsförslag 4."
"Maghmul f'Ruma fid-disa ' u ghoxrin jum ta ' Ottubru tas-sena elfejn u erbgha", "Magħmul f'Ruma fid-disa ' u għoxrin jum ta ' Ottubru tas-sena elfejn u erbgħa"
"Number is probability value for which the inverse F distribution is to be calculated.", "tal är sannolikhetsvärdet för vilket den inverterade F-fördelningen ska beräknas."
"Just update the fields with F9 and the references in the document are updated too.", "Du behöver bara uppdatera fältkommandona med F9, så stämmer korshänvisningarna igen."
"For inserted database fields, first select the field and then press the F9 key.", "Vid infogade databasfält markerar du fältkommandot och trycker sedan på F9."
"When you see the label document, open the data source view by pressing the F4 key.", "När du ser etikettdokumentet öppnar du datakällvyn genom att trycka på F4."
"Open the Navigator with the F5 key or the Navigator icon on the function bar.", "Öppna Navigator, t.ex. med tangenten F5 eller med ikonen Navigator på funktionslisten."
"To do this, use the Enter Group command in the context menu of the group or press F3.", "Välj t.ex. Gå in i gruppering på snabbmenyn till gruppen eller tryck på F3."
"The Commission will know that three 'F' gases are among the six major greenhouse gases.", "Som kommissionen vet finns tre ”F-gaser” bland de sex stora växthusgaserna."
"A standard time format is applied, which cannot be updated by using the F9 function key.", "Du kan inte anpassa tidsangivelsen genom att uppdatera fältkommandot med F9."
"If this button is activated, the Recalculate function (F9) is not available.", "När du har markerat detta alternativ så är kommandot Beräkna på nytt (F9) inte aktiverat."
"First of all, I should like to congratulate the rapporteur, Jacques F.", "Först och främst vill jag lyckönska föredraganden Jacques F. Poos till betänkandet."
"This is the addition referred to as point f in the Committee' s amendment.", "Detta är en komplettering, punkt f, till utskottets ändringsförslag 35."
"This is the addition referred to as point f in the Committee's amendment.", "Detta är en komplettering, punkt f, till utskottets ändringsförslag 35."
"And then the date in recital F should be 7 January instead of 4 February.", "Sedan bör datumet i stycke F i ingressen vara den 7 januari i stället för den 4 februari."
"And then the date in recital F should be 7 January instead of 4 February.", "Sedan bör datumet i stycke F i ingressen vara den 7 januari i stället för den 4 februari."
"Use a menu command or Ctrl+F3 or by double-clicking in a space next to all objects.", "Lämna grupp: via menykommando eller Ctrl+F3 eller genom att dubbelklicka bredvid alla objekt."
"degrees_freedom 2 is the degree of freedom in the denominator in the F distribution.", "frihetsgrader_2 är antalet frihetsgrader i F-fördelningens nämnare."
"One point is obvious, paragraph 11(f), which refers to a Euro-Islamic university.", "Den ena är tydlig, det är artikel 11 f), där handlar det om ett islamiskt vetenskapligt centrum."
"The core issue with the f-gas Regulation is its legal basis.", "Kärnpunkten med förordningen om fluorerade gaser är den rättsliga grunden."
"We have a regulation that represents a shameful capitulation to the F-gas industry.", "Vi har en förordning som utgör en skamlig underkastelse inför den industri som använder fluorerad växthusgas."
"Outside the EU, where F-gas technology will remain mainstream, the service networks for such systems will simply not exist.", "För det andra är koldioxidtekniken inte lämplig för användning i vissa extrema temperaturer, till exempel i mycket varmt klimat."
"Outside the EU, where F-gas technology will remain mainstream, the service networks for such systems will simply not exist.", "Utanför EU, där fluorgastekniken kommer att fortsätta att vara integrerad, kommer det helt enkelt inte att finnas några servicenätverk för dessa system."
"Press the shortcut keys (Shift)(F1) to enable Extended Tips once.", "Tryck på tangentkombinationen Skift+F1 för att aktivera den aktiva hjälpen."
"You can also start this function with (Shift)(F1).", "Du aktiverar även den här funktionen via Skift+F1."
"The help of the control field help can be opened if the focus is positioned on the control field and the user presses (F1).", "Om kontrollfältet är markerat och användaren trycker på F1-tangenten, öppnas hjälpen för kontrollfältet."
"Help Contents\tF1", "Innehållsförteckning för hjälpen/tF1"
"F1 events and, in particular, Mr Ecclestone's work to preserve the monopoly in the field, have been looked into for years now, but no results have been forthcoming.", "Formel 1-tävlingarna och framför allt Ecclestones agerande för att behålla branschens monopol har undersökts i åratal, men ingenting konkret har gjorts."
"Article F(1) of the Amsterdam Treaty has introduced the possibility of denying the vote of a Member State guilty of human rights violations.", "I artikel 7 i det reviderade Fördraget om Europeiska unionen har man infört möjligheten att förvägra en medlemsstat att rösta om denna åsidosatt principerna om de mänskliga rättigheterna."
"I do lots and lots of flying, and if I was at the FAA, what would I be doing a lot of direct observation of?", "Jag flyger jättemycket, och om jag jobbade på Luftfartsverket, vad skulle jag titta på?"
"We now have a European Aviation Safety Agency, which is recognised as having the desired authority, including by the US FAA.", "Det är det som inträffar när små flygbolag flyger utan att det har utförts kontroller."
"The study analyses among other things fines imposed on airlines by the US Federal Aviation Administration (FAA) between 2003 and 2009.", "I studien analyseras bland annat de böter som USA:s federala luftfartsmyndighet (FAA) dömde flygbolagen att betala mellan 2003 och 2009."
"We now have a European Aviation Safety Agency, which is recognised as having the desired authority, including by the US FAA.", "Nu har vi Europeiska byrån för luftfartssäkerhet, som är erkänd för att ha den befogenhet som krävs, och även Förenta staternas luftfartsmyndighet står bakom detta erkännande."
"Alongside this action plan for Africa, there is apparently a new plan by the FAO.", "Vid sidan om den här handlingsplanen för Afrika, har FAO tydligen också en ny plan."
"We need more dialogue with the FAO and local fishermen before we are ready to vote.", "Vi behöver mer dialog med FAO och lokala fiskare innan vi är redo att rösta."
"However, the FAO considers that Congo has the potential to feed some 2 billion people.", "FAO menar å andra sidan att Kongo skulle kunna livnära två miljarder människor."
"FAO standards mean that there must be a dimension of public ownership.", "FAO:s standarder innebär att det måste finnas en dimension av offentligt ägande."
"FAO standards mean that there must be a dimension of public ownership.", "FAO: s standarder innebär att det måste finnas en dimension av offentligt ägande."
"Moreover, the FAO has not received any requests for this kind of transfer.", "Dessutom har FAO inte mottagit någon begäran om denna sortens transporter."
"This is stated by the FAO in its report 'Livestock's long shadow' of 2006.", "Detta konstateras av FAO i rapporten ”Livestock's long shadow” från 2006."
