//Sentences
"Recently we have been able to see sportsmen from North Korea playing at the FIFA World Cup.", "Vi har nyligen kunnat se idrottsmän från Nordkorea spela i fotbolls-VM."
"I strongly object to the ridiculous challenge issued to South Africa to boycott Zimbabwe at the FIFA World Cup.", "Jag motsätter mig starkt den löjliga utmaningen till Sydafrika att bojkotta Zimbabwe vid VM i fotboll."
"The grave situation as regards the trafficking of women has been put at the centre of attention in association with the FIFA World Cup.", "Den allvarliga situationen när det gäller kvinnohandel har hamnat i centrum för uppmärksamheten i samband med fotbolls-VM."
"In voting for this resolution I am concerned that, in particular, the FIFA World Cup is producing a major and unacceptable increase in the trafficking of women.", "– Jag röstar för resolutionsförslaget eftersom jag oroad över att i synnerhet fotbolls-VM leder till en ökning av handeln med kvinnor."
"In voting for this resolution I am concerned that, in particular, the FIFA World Cup is producing a major and unacceptable increase in the trafficking of women.", "– Jag röstar för resolutionsförslaget eftersom jag oroad över att i synnerhet fotbolls-VM leder till en ökning av handeln med kvinnor."
"We promised the FIME EUR 2.2 million in the last financial year.", "Vår grupps inställning till öronmärkning: vi är för öronmärkning."
"We promised the FIME EUR 2.2 million in the last financial year.", "Vi lovade FIME 2,2 miljoner euro förra budgetåret."
"The FIME has offered to allow everything in it to be looked at properly, as laid down in an agreement with the Commission.", "Olyckligtvis är min motståndare nu Viviane Reding som inte kan göra någonting åt det."
"The FIME has offered to allow everything in it to be looked at properly, as laid down in an agreement with the Commission.", "FIME har erbjudit en ordentlig granskning av allt material, enligt avtalet med kommissionen."
"Those EUR 200 000 could easily have been deducted from the 2.4 million and then the FIME would have been able to work.", "Dessa 200 000 euro skulle lätt ha kunnat dras från de 2,4 miljonerna och FIME hade kunnat fungera."
"If the Commission applied to itself the standards it applied to the FIME in this case, it would have been out of office long ago.", "Om kommissionen hade tillämpat samma normer på sig själv som på FIME i det här fallet skulle den ha varit arbetslös för länge sedan."
"It got none of that money this year, nothing, simply because one of the FIME’s houses, Avignon, was guilty of a EUR 200 000 fraud.", "I år fick de inte några av dessa pengar på grund av att ett av FIME-husen, i Avignon, hade gjort sig skyldig till bedrägeri till ett värde av 200 000 euro."
"I should like, however, to explain to you that the Commission has already begun to phase out preferential collaboration activities with independent networks such as FIME.", "Även om vi delar parlamentets uppfattning på denna punkt tycker vi att det är lämpligare att detta krav på offentlighet finns i bilagan."
"I should like, however, to explain to you that the Commission has already begun to phase out preferential collaboration activities with independent networks such as FIME.", "Jag skulle dock vilja förklara för er att kommissionen redan har inlett en successiv nedtrappning av prioriterade samarbetsaktiviteter med självständiga nätverk som FIME."
"This will replace the Netscape internal module with the Netscape FIPS-140-1 cryptographic module.", "Detta ersätter Netscapes interna modul med Netscapes krypteringsmodul FIPS-140-1."
"This will replace the FIPS-140-1 cryptographic module with the Netscape internal module.", "Ersätter krypteringsmodulen FIPS-140-1 med Netscapes interna modul."
"FIPS 140-1 compliant triple DES encryption and SHA-1 MAC", "FIPS 140-1-kompatibel tredubbel DES-kryptering och SHA-1 MAC"
"FIPS 140-1 compliant DES encryption and SHA-1 MAC", "FIPS 140-1-kompatibel DES-kryptering och SHA-1 MAC"
"Do you wish to delete the FIPS-140-1 module, anyway?", "Vill du ändå ta bort FIPS-140-1-modulen?"
"We must continue to pursue the eradication of FMD on an international level.", "Vi måste fortsätta våra försök att utrota mul- och klövsjuka på internationell nivå."
"We support you in what you are saying about the import controls and about FMD.", "Vi instämmer i det ni säger om importkontroller och mul- och klövsjukan."
"Every attempt should now be made, however, to prevent FMD from being imported.", "Men nu måste vi göra allt för att förhindra den här importen av mul- och klövsjukeviruset."
"At the same time it is an extra stimulus for research into the development of FMD vaccines.", "Det är samtidigt en extra stimulans för undersökning av vaccin mot mul- och klövsjukan."
"Prior to last year's outbreak, the EU was broadly FMD-free for almost a decade.", "Före fjolårets utbrott fanns det EU i stort sett ingen mul- och klövsjuka under nästan ett årtionde."
"Mr President, Commissioner, honourable Members, the FMD crisis has left deep scars.", "Herr talman, herr kommissionär, kolleger! Mul- och klövsjukekrisen har lämnat djupa spår efter sig."
"FMD-vaccinated animals are not infectious when they get into the food chain.", "Djur som är vaccinerade mot mul- och klövsjuka är inte smittsamma när de förs in i livsmedelskedjan."
"There are seven serotypes of FMD, each with several sub-strains.", "Det finns sju serologiska typer av mul- och klövsjuka, var och en med flera understammar."
"Our fundamental position on prophylactic vaccination for FMD remains unchanged.", "Vår principiella ståndpunkt när det gäller förebyggande mul- och klövsjukevaccinering förblir oförändrad."
