//Sentences
"The FSA in the United Kingdom has a rule book of half a million words.", "Brittiska FSA har en regelbok på en halv miljon ord. Ingen förstår den - minst av allt FSA."
"Within the FSA in London there is a unit working with banking.", "Med andra ord finns det en konsoliderad tillsynsapparat i både London och Stockholm."
"Within the FSA in London there is a unit working with banking.", "Inom den brittiska finansinspektionen finns det en enhet som arbetar med banksektorn."
"The general public has been given the impression that if a regulation has an FSA stamp on it it cannot go wrong.", "Allmänheten har getts intrycket att om en bestämmelse har en FSA-stämpel på sig kan den inte vara felaktig."
"Given that it is illegal to sell GM rice, how can the conduct advised by the FSA possibly be legal?", "Hur i all världen kan, mot bakgrund av att det är olagligt att sälja GMO-ris, den hållning som tillstyrks av FSA vara laglig?"
"You say that the FSA has clarified its position, but can you say what explanation you received from the FSA?", "Ni säger att Food Standards Agency (FSA) har klargjort sin ståndpunkt, men kan ni tala om vilken förklaring ni fick från FSA?"
"Nobody understands it - least of all the FSA.", "FSA tolkar sin egen regelbok i hemlighet."
"Let me just say a little about the UK Financial Services Authority (FSA), which will guide us onto the target of how mistakes are made.", "Låt mig bara säga något om UK Financial Services Authority (FSA), som kommer att visa oss hur misstag begås."
"The Labour Government has proven its commitment to the welfare of consumers by creating the FSA (Food Standards Agency).", "Labourregeringen har visat sin vilja att ta till vara konsumenternas intressen, genom att skapa FSA (Food Standards Agency)."
"Does this inspire confidence in the FSA?", "Ger det förtroende för FSA?"
"The FSA interprets its own rule book in secret; they keep the fines that they impose to beef up their own salaries and pensions; there is no court of appeal.", "De behåller de böter som de utdömer för att förbättra sina egna löner och pensioner. Det finns ingen instans för överklagande."
"We have a remarkable level of scientific competence on food safety available at national level, for example the British FSA or the French FSA.", "Vi har faktiskt på nationell nivå anmärkningsvärd vetenskaplig kompetens när det gäller livsmedelssäkerhet, vare sig det handlar om det brittiska FSA eller det franska FSA."
"This being the case, I was very surprised to hear Mr Pedersen advocating that we should now establish a single FSA type solution, even before the matter has been discussed.", "Jag är därför mycket förvånad över att höra Pedersen redan nu förespråka att en gemensam lösning av samma typ som FSA skall väljas, redan innan något beslut fattats."
"Mr Litvinenko’s exposure of illegal FSB activities forced him to seek political asylum abroad.", "Litvinenkos avslöjande av illegal verksamhet inom FSB tvingade honom att söka politisk asyl utomlands."
"Mr Litvinenko’ s exposure of illegal FSB activities forced him to seek political asylum abroad.", "Litvinenkos avslöjande av illegal verksamhet inom FSB tvingade honom att söka politisk asyl utomlands."
"Before deciding on a place of refuge, he consulted his friend, General Anatoly Trofimov, a former deputy chief of the FSB.", "Innan han bestämde tillflyktsort rådfrågade han sin vän, general Anatolij Trofimov, en före detta biträdande chef inom FSB."
"The KGB – now the FSB – is central for the institutionalised web of organised crime and corruption that dominates Russia.", "KGB – numera FSB – har en central roll i det institutionaliserade nätverk av organiserad brottslighet och korruption som dominerar Ryssland."
"Mr President, one of my constituents, Alexander Litvinenko, was formerly a lieutenant colonel in the Russian Federation’s FSB, the successor to the KGB.", "– Herr talman! En av mina väljare, Alexander Litvinenko, var tidigare överstelöjtnant i Ryska federationens FSB, efterföljaren till KGB."
"The FSB secret service, the successor to the KGB and which Mr Putin once ran, is now three times larger than when President Putin came to office.", "Underrättelsetjänsten FSB, som efterträdde KGB och en gång i tiden leddes av Vladimir Putin, är nu tre gånger så stor som när president Putin kom till makten."
"The attack was aimed at a cell of people working for the FSB and which was therefore a strategic target for the combatants or Chechen resistance.", "De angrep en kärna av personer som arbetade för den ryska säkerhetstjänsten FSB, och därmed ett strategiskt mål för de stridande, för de tjetjenska motståndsmännen."
"Alexander was fearless in exposing the political gangsters that now run Russia, and the creatures of the KGB and FSB that still hold political office in Europe.", "Alexander var orädd i sina avslöjanden av de politiska gangstrar som nu styr Ryssland och av de typer från KGB och FSB som fortfarande innehar politiska poster i Europa."
"The FSC report indicated three challenges revealing the need for further action.", "I rapporten från Kommittén för finansiella tjänster pekade man på tre utmaningar som visade på ett behov av ytterligare åtgärder."
"The FSC has also been instructed to monitor the convergence of supervisory powers at an adequate level.", "Kommittén för finansiella tjänster har också uppmanats att övervaka konvergensen när det gäller tillsynsbefogenheter på en tillfredsställande nivå."
