//Sentences
"Fair dinkum.", "Verkligen?"
"So now, I had all the topology I needed to replicate the Maltese Falcon.", "Så nu hade jag all topologi jag behövde för att göra en kopia av Malteserfalken."
"There's my somewhat ruined Sculpey Falcon, because I had to get it back out of the mold.", "Där är min hyfsat förstörda lerfalk, eftersom jag var tvungen att få ut den ur formen."
"As I moved through, I achieved a very reasonable facsimile of the Maltese Falcon.", "Medan jag arbetade mig igenom detta, lyckades jag uppnå en väldigt hyfsad kopia av Malteserfalken."
"And so I went back and looked through my "Creative Projects" folder, and I happened across the Maltese Falcon.", "Så jag gick tillbaka och tittade på min "Kreativa Projekt" mapp, och jag råkade på Malteserfalken."
"So here I had this Falcon, and it was lovely.", "Så nu hade jag denna falk, och den var fantastisk."
"Now, James Ellroy believes that Fred Sexton, the sculptor of the Maltese Falcon, killed James Elroy's mother.", "James Ellroy tror att Fred Sexton, malteserfalkens skulptör, dödade James Elroys mor. ~~~ Jag ger er något ännu konstigare."
"I ended up with this: my Maltese Falcon.", "Till slut hade jag denna: min malteserfalk."
"A falcon swoops by, flying low.", "En lärkfalk svischar förbi på låg höjd."
"One, I can fire a freaking laser at it, which I have already done, to do a 3D scan -- there's a 3D scan of this Falcon.", "Ett, jag kan skjuta iväg en jäkla laser mot den, vilket jag redan gjort, för att göra en 3D-scan -- där är 3D-scanen av denna falk."
"He took my master Falcon pattern, he actually did lost wax casting in bronze for me, and this is the bronze I got back.", "Han tog mitt originalmönster för falken, gjorde "förlorad vax"-gjutning i brons för mig, och detta är bronsstycket jag fick tillbaka."
"I'd bought a replica, a really crappy replica, of the Maltese Falcon on eBay, and had downloaded enough pictures to actually have some reasonable reference.", "Jag hade köpt en kopia, en riktigt dålig kopia, av Malteserfalken på eBay, och hade laddat ner tillräckligt många bilder för att kunna ha någon sorts vettig referenspunkt."
"It is a ceremonial pouring vessel made around 1700 for a Swedish Count, and it is very likely the object from which Hammett drew his inspiration for the Maltese Falcon.", "Det är en ceremoniell tillbringare gjord runt år 1700 för en svensk greve, och det är högst troligt att detta är objektet från vilket Hammett hämtade sin inspiration till Malteserfalken."
"The present Grotius and Falcone programmes have become out-dated as a result of developments.", "Utvecklingen har sprungit ifrån de nuvarande programmen, Grotius och Falcone."
"Because as much as I care about getting Falcone, I care more about you.", "Hur mycket jag än vill sätta dit Falcone, så är jag mer mån om dig."
"It was for this reason also that I recently proposed the long-term Falcone programme of action.", "Det är också därför som jag nyligen har föreslagit det fleråriga handlingsprogrammet Falcone."
"Falcone.", "Jag är väl medveten om att du inte känner dig hotad av mig."
"Falcone may not have killed your parents, Bruce...... but he's destroying everything that they stood for.", "Falcone kanske inte dödade dina föräldrar, Bruce...... man han förstör allt de stod för."
"Carmine Falcone brings in shipments of drugs every week.", "Carmine Falcone smugglar in sändningar med knark varje vecka."
"You referred to the Falcone programme, Madam Commissioner.", "Ni hänvisade till Falcode-programmet, fru kommissionär."
"In particular, I am considering the possibilities for allocating project support through the Oisin and Falcone programmes.", "Jag tänker då främst på de möjligheter som vi har att ge projektstöd via programmen Oisin och Falcone."
"In prison, he shared a cell with Carmine Falcone.", "Han delade cell med Carmine Falcone."
"Falcone sent them to kill you.", "Falcone skickade dem för att döda er."
"But he's put Falcone behind bars.", "Han har fått Falcone inlåst."
