//Sentences
"The least we can do for the living is to return the town of Famagusta to its inhabitants.", "Det minsta vi kan göra för de levande är att återge invånarna sin stad, Famagusta."
". - Mr President, Famagusta is being held hostage.", "för IND/DEM-gruppen. - (EN) Herr talman! Famagusta hålls som gisslan."
"This movement was created in 1976 by the displaced inhabitants of Famagusta.", "Rörelsen bildades 1976 av de invånare som hade drivits ut ur Famagusta."
"In 1974 Turkish troops invaded Famagusta and since then the city has been fenced off.", "Famagusta invaderades av turkiska trupper 1974, och sedan dess har staden varit inhägnad."
"The sealed-off section of Famagusta (Varosha) currently serves no purpose.", "Den stadsdel i Famagusta som är stängd (Varosha) är för närvarande inte till någon nytta."
"The sealed-off section of Famagusta (Varosha) is at the moment of no use.", "Området Varosha, som omfattas av begränsningar, är för närvarande inte till någon nytta."
"The sealed-off section of Famagusta (Varosha) is at the moment of no use.", "Den stadsdel i Famagusta som är stängd (Varosha) är för närvarande inte till någon nytta."
"The occupied town of Famagusta is arbitrarily regarded by the Turkish army as such an area.", "Den turkiska armén anser godtyckligt att den ockuperade staden Famagusta är ett sådant område."
"In particular, progress on the issue of Famagusta might also result in progress on the question of trade.", "Framför allt kan framsteg i frågan om Famagusta leda till framsteg i handelsfrågan."
"At the same time, it was also said that this part of Famagusta, Varosha, is not currently being used.", "Den stadsdel i Famagusta som är stängd (Varosha) är för närvarande inte till någon nytta."
". - Mr President, the Famagusta question is primarily a humanitarian one.", "för PPE-DE-gruppen. - (EN) Herr talman! Famagustafrågan är huvudsakligen av humanitär natur."
"Famagusta is a city on the east coast of Cyprus.", "Den är öde, isolerad och tom. Famagusta är en stad på Cyperns östkust."
"Secondly, the problem of Famagusta is like schizophrenia, or like a cancer on the body of the European Union.", "För det andra kan problemet med Famagusta liknas vid schizofreni, eller en svulst på EU-kroppen."
"It cannot continue to occupy the city of Famagusta in breach of the United Nations Security Council Resolution.", "Turkiet kan inte fortsätta ockupera staden Famagusta i strid mot FN:s säkerhetsråds resolution."
"They represent an organisation which is very important in Cyprus, and is called the Famagusta Refugees Movement.", "De företräder rörelsen för flyktingar från Famagusta, en organisation som är väldigt viktig för Cypern."
"The beautiful city of Famagusta is still uninhabited.", "Den vackra staden Famagusta är fortfarande obebodd."
"Famagusta only enjoyed independence for 14 years.", "Famagusta fick bara åtnjuta självständighet i 14 år."
"Lake Paralimni is a natural freshwater lake in the eastern part of Cyprus near Paralimni (Famagusta district).", "Paralimnis är en naturlig sötvattensjö på östra Cypern, i närheten av staden Famagusta i provinsen Ammochostos."
"This is what has happened in the case of Famagusta.", "Det är vad som hände i fallet med Famagusta."
"The desperate appeal coming from those refugees from Famagusta who are still alive is: 'Help us to go back home'.", "Den desperata vädjan från flyktingarna från Famagusta som fortfarande lever lyder: ”Hjälp oss att återvända hem.”"
"Let me emphasise that nobody wants to use abortion as a means of family planning.", "Låt mig framhålla att ingen vill använda abort som en familjeplaneringsmetod."
"Family means people with children, and what does a marriage certificate have to do with that?", "Familj innebär människor med barn. Vad har vigselattesten med det att göra?"
"Let me emphasise that nobody wants to use abortion as a means of family planning.", "Jag uppmanar er därför att rösta mot ändringsförslag 12."
"And perhaps only those people who have experienced that know what the grief of a family means.", "Vi måste samordna våra insatser och sprida våra bästa metoder."
"And perhaps only those people who have experienced that know what the grief of a family means.", "Och kanske är det bara de människor som har erfarit något sådant som vet vad en familjesorg innebär."
"The violent practice of abortion should therefore be excluded as a general means of family planning.", "Således skulle den våldsamma metoden abort vara utesluten som instrument för storskalig planering."
"This means that family values in society are falling into the wrong, or at least biased, hands.", "På det här sättet håller familjevärdena i samhället att hamna i orätta eller åtminstone ensidiga händer."
"Let us admit the immediate family by all means, but not the entire extended family.", "Kärnfamilj ja, men hela släkten nej."
"Every job created means a family with a decent living and good-quality education for the younger generation.", "Varje arbetstillfälle som skapas innebär en familj med en anständig levnadsstandard och utbildning av god kvalitet för den yngre generationen."
"It is not appropriate for the European Parliament and the Council to change the Member States' family legislation by means of a directive concerning asylum policy.", "Det är inte lämpligt att Europaparlamentet och rådet förändrar medlemsstaternas familjelagstiftning genom ett direktiv som behandlar asylpolitik."
"It is not appropriate for the European Parliament and the Council to change the Member States ' family legislation by means of a directive concerning asylum policy.", "Det är inte lämpligt att Europaparlamentet och rådet förändrar medlemsstaternas familjelagstiftning genom ett direktiv som behandlar asylpolitik."
"In fact, within this institution we have voted that abortion should never be used as a means of family planning and that it never should be funded for that purpose.", "I själva verket har vi i denna institution röstat att abort aldrig bör användas som en metod för familjeplanering och att det aldrig får finansieras för det ändamålet."
"The family must also be protected by means of more incisive and substantial measures because forgetting the family means overlooking one of the essential components of society.", "Familjen måste också skyddas genom skarpare och mer omfattande åtgärder, för om familjen glöms bort innebär det att man bortser från en av samhällets grundläggande beståndsdelar."
"It will not, however, be beneficial for the island of Formentera, because it requires the elimination of most of the island's tourist facilities, which means small family businesses will be seized.", "Det kommer däremot inte att gynna ön Formentera eftersom det kräver att de flesta av öns turistanläggningar försvinner, vilket innebär att små familjeföretag kommer att konfiskeras."
"Fancy Pants!", "Herr Storfräsare."
