//Sentences
"In the future we intend to gather such information in a more structured manner.", "I framtiden har vi för avsikt att samla in sådan information på ett mer strukturerat sätt."
"The first but decisive step is to gather the necessary information.", "Det första och samtidigt avgörande steget är att samla in den information som behövs."
"It would gather information, it would put up a portal, it would have experts, etc.", "Det skulle samla in information, det skulle upprätta en portal, det skulle ha experter, och så vidare."
"I welcome the fact that he is going to look into this in detail and gather all the relevant information.", "Jag vill påstå, herr kommissionär, att detta är ett anmärkningsvärt erkännande."
"The Ombudsman's right to gather uncensored information is sabotaged outright by the Commission.", "Ombudsmannens rätt att inhämta ocensurerade upplysningar saboteras helt enkelt av kommissionen."
"This will also make it possible to gather more information from countries that, unfortunately, do not yet have any data available.", "Vi har nu mycket mer kunskap tack vare ökade insatser även på forskningsområdet."
"I welcome the fact that he is going to look into this in detail and gather all the relevant information.", "Jag välkomnar det faktum att han kommer att undersöka detta ingående och samla in alla relevanta uppgifter."
"This is why the greatest emphasis is to be placed on research, so as to enable us to gather as much information as possible.", "Därför måste forskning vara viktigast, så att vi kan samla så mycket information som möjligt."
"The first step is therefore to gather information.", "Det första steget är därför att samla information."
"What we are trying to do now is gather such kinds of information using the consumer market scoreboard.", "Det som vi försöker göra nu är att samla in den typen av information med hjälp av resultattavlan för konsumentmarknaden."
"We will continue to gather information and hopefully be able to link all those concerned with this issue.", "Vi kommer att fortsätta att samla information och förhoppningsvis kunna koppla ihop alla dem som är engagerade i frågan."
"This project has made it possible to gather important information on violations of human rights in the past.", "Det projektet har gjort det möjligt att samla in viktig information om brott mot mänskliga rättigheter i det förflutna."
"Unfortunately there is no that would allow us to gather accurate information from the current Member States.", "Tyvärr finns det inget regelverk som tillåter oss att samla in rättvisande information från de nuvarande medlemsstaterna."
"They are better qualified than we are to gather the necessary information and to decide when to convey this to us.", "De är mer kvalificerade än vi för att inhämta nödvändiga upplysningar och välja rätt ögonblick för att överlämna dessa till oss."
"We hope that this could be a very good start for the discussions and gather as much information as possible.", "Vi hoppas att detta kan bli en väldigt bra inledning till diskussionerna och hjälpa oss att samla in så mycket information som möjligt."
"This will also make it possible to gather more information from countries that, unfortunately, do not yet have any data available.", "Detta medför också att mer uppgifter kan samlas in från länder som tyvärr inte har några tillgängliga uppgifter än."
"That is why I have written to both the UK Government and authorities and also to the US, in order to gather the correct information.", "Jag har också förstått att samtliga dessa fartyg byggdes mellan 1945 och 1967 och alltså är mellan 36 och 58 år gamla."
"The preparations proceeded practically and effectively: people went to Galicia and also to other places to gather information.", "Förberedelserna fortsatte praktiskt och effektivt: man åkte till Galicien och även till andra platser för att samla information."
"We are flying to Dhaka tomorrow, in order to gather first-hand information about the situation in Cox's Bazar and the Bandarban region.", "Vi flyger till Dhaka i morgon för att samla förstahandsinformation om situationen i distrikten Cox's Bazar och Bandarban."
"He voluntarily entered the Auschwitz extermination camp to organise the resistance movement and gather information about mass murders.", "Han gick frivilligt in i förintelselägret Auschwitz för att organisera motståndsrörelsen och samla information om massmorden."
"We are all gathered together in this House to stand up for Europe's industrial jobs.", "Vi är alla samlade här i kammaren för att stå upp för industrijobben i EU."
"It is important and good that we have gathered together so many excellent rapporteurs.", "Det är angeläget och bra att vi har samlat så många duktiga föredraganden."
"The captain gathered us together imploring us to have more team spirit.", "Lagkaptenen samlade ihop oss och bad oss att ha mer laganda."
"Everything you need to know is gathered together in this chapter, where you can find information on education and related subjects.", "Allt du behöver veta finns i det här kapitlet, där du hittar information om utbildning och utbildningsrelaterade frågor."
"With this system, more and more personal data can be gathered together, and for reasons of which the validity is subject to interpretation.", "Genom det nya systemet kan allt fler personliga uppgifter samlas in och på grund av motiv vars giltighet är en tolkningsfråga."
