//Sentences
"That will be possible from Monday's GAC.", "Det kommer att vara möjligt efter måndagens rådsmöte för allmänna frågor."
"How do the GAC guidelines of 30 September accord with the legal advice given previously by the Commission and Council?", "Hur stämmer rådets riktlinjer från den 30 september överens med de tidigare yttrandena från kommissionens och rådets rättstjänster?"
"ICANN consists of four advisory committees, including the GAC (Governmental Advisory Committee), which includes representatives of the European Commission and the Member States.", "Bl.a. GAC (regeringskommitté) i vilken kommissionen och medlemsstaterna deltar."
"ICANN also has four advisory committees, including the GAC (Governmental Advisory Committee) to which the European Commission and the Member States belong.", "ICANN omfattar slutligen 4 rådgivande kommittéer, däribland GAC (regeringskommittén) där Europeiska kommissionen och medlemsstaterna deltar."
"You know as well as we do that there are genuine and widespread worries about GATS.", "Ni vet lika väl som vi att det finns genuina och vida spridda bekymmer angående GATS."
"The most important thing to remember is that public services are not under threat from GATS.", "Det är viktigt att komma ihåg att den offentliga servicen inte hotas av GATS."
"I would simply respond by saying that water is outside the remit of GATS.", "På detta vill jag bara svara att det har inget med saken att göra."
"We simply want the convention and the WTO and GATS negotiations to complement each other.", "Vi vill helt enkelt att konventionen och WTO- och GATS-förhandlingarna kompletterar varandra."
"The authors of the joint resolution are aware of the general concern caused by GATS.", "Författarna av den gemensamma resolutionen är medvetna om den utbredda oro som GATS-avtalet väcker."
"That is the impression given by the General Agreement on Trade in Services (GATS).", "Det intrycket ger Allmänna tjänstehandelsavtalet (GATS)."
"We believe such a development would make GATS even more of a trap for us.", "Vi anser att en sådan utveckling skulle förvärra GATS-fällan."
"We do not want the markets in the service trade (GATS) to be deregulated and opened up unchecked.", "Vi vill inte ha någon avreglering och okontrollerat öppnande av handeln med tjänster (GATS)."
"It agreed on services (GATS) with the other imperialist centres during WTO negotiations.", "EU enades om tjänster (GATS) tillsammans med de andra imperialistiska centren vid WTO-förhandlingarna."
"I understand that GATS do not necessarily affect publicly controlled utilities.", "Jag har förstått att Allmänna tjänstehandelsavtalet (GATS) inte nödvändigtvis påverkar allmännyttiga företag."
"The negotiations on GATS need to change course.", "Förhandlingarna om det allmänna tjänstehandelsavtalet måste ändra kurs."
"I can tell Mrs Auroi and Mrs Boudjenah that we debated GATS only a few weeks ago.", "Jag kan berätta för Auroi och Boudjenah att vi diskuterade det allmänna tjänstehandelsavtalet bara för några veckor sedan."
"Indeed, GATS does contain provisions on investments too.", "GATS innehåller för övrigt bestämmelser om investeringarna."
"Developing countries have not rejected GATS completely.", "Utvecklingsländer har inte förkastat GATS helt och hållet."
"It is reported that things are even worse for the GATS negotiations, where nothing has been achieved as yet.", "Det har rapporterats att läget är ännu värre i GATS-förhandlingarna, där man inte har uppnått någonting än."
"We are against the GATS and in favour of designating world public goods as outside the scope of the market.", "Vi är emot GATS och för att fastställa att globala kollektiva nyttigheter ska ligga utanför marknadens räckvidd."
"Mr President, the curious thing about the EU position on GATS is that it has become a very defensive position.", "Herr talman! Det konstiga med EU:s ståndpunkt i fråga om GATS är att det blivit en mycket defensiv ståndpunkt."
"Subject: Preparations for the GATS negotiations", "Angående: Förberedelserna inför GATS-förhandlingarna"
"Therefore, let us have the political courage to define water as a public good and exclude it from GATS.", "Låt oss därför ha det politiska modet att definiera vatten som en offentlig tillgång och dra tillbaka vattnet från GATS."
"When it comes to TRIPS and GATS, too, it is obvious that the EU is on a collision course with the developing countries.", "Även när det gäller TRIPS och GATS är det uppenbart att EU befinner sig på kollisionskurs med u-länderna."
