//Sentences
"He will lead the European Council's work and take it forward from 1 January.", "Han kommer att leda Europeiska rådets arbete och driva det framåt från och med den 1 januari."
"He promised to lead the country into the Quintet engaged in combating hunger instead.", "Han lovade att i stället föra landet till den kvintett som arbetar för att bekämpa hungersnöden."
"He will thus lead the debate, respond to its first round, and will then be replaced.", "Han kommer därför att inleda debatten, svara på den första omgången inlägg och sedan få en ersättare."
"If he's here, he might lead us to Captain Jennings.", "Om han är här kanske han leder oss till kapten Jennings."
"What he wants to achieve requires a complete change of tack and what he proposes will lead to further regression.", "Det han vill uppnå kräver ett helt annat tillvägagångssätt, och det han föreslår kommer att leda till en ytterligare tillbakagång."
"Make a deal with him he could lead us to it.", "Gör en överenskommelse med honom."
"And he totally stole the lead in Oklahoma!", "Och nu sitter han fast i Oklahoma."
"However, in addition to the lead he has taken, I would encourage him to put real effort into reducing the legislative output from the Commission itself.", "Kommissionen måste vara lika effektiv som den kräver att våra företag och medborgare skall vara."
"I congratulate the Commissioner on the lead he is setting for greater efficiency not only in aid, but also in this area.", "Jag gratulerar kommissionären för den väg han visar för att öka effektiviteten inte bara i fråga om stöd utan också på detta område."
"Why did he lead us down here?", "Varför förde han oss ner hit?"
"He nailed the other lead?", "Fick han den andra huvudrollen?"
"We are sure that he will lead the negotiations in the transitional period in which we currently find ourselves very well and with great self-assurance.", "Vi är övertygade om att han på ett mycket förtjänstfullt sätt och med stor pondus kommer att leda förhandlingarna under den nuvarande övergångsperioden."
"However, in addition to the lead he has taken, I would encourage him to put real effort into reducing the legislative output from the Commission itself.", "Emellertid skulle jag vilja uppmuntra honom att, utöver den ledarposition han intagit, också verkligen anstränga sig för att minska den mängd lagstiftning som kommer från kommissionen själv."
"It is no surprise that the most heated debates were on the question of the budget.", "Det är inte förvånande att de hetsigaste diskussionerna har gällt budgetfrågan."
"Mr President, drugs policy has often led to heated debates in the European Parliament.", "Herr talman! Narkotikapolitiken har vid ett flertal tillfällen föranlett hetsiga debatter i Europaparlamentet."
"Mr President, we have had some very heated debates.", "Herr talman! Vi har haft en del mycket livliga debatter."
"It will come as no surprise that these have led to heated debates within the groups in recent weeks.", "Det är ingen överraskning att dessa intressen under de senaste veckorna har lett till livliga debatter i grupperna."
"We have had very heated debates about it.", "Vi har haft mycket hetsiga debatter om detta."
"The regular heated debates in our national parliaments, regional institutions and in the media leave us in no doubt about this.", "Debatterna som regelbundet skakar om våra nationella parlament, regionala instanser och massmedier lämnar inga tvivel."
"The reports on those visits resulted in heated debates, and this Parliament urged the Council and Commission to take action.", "Rapporterna om de besöken resulterade i livliga debatter, och parlamentet uppmanade rådet och kommissionen att vidta åtgärder."
"I can recall some of the heated debates on this subject; they were often interesting and, at times, slightly irrational.", "Jag minns vissa av de hetsiga debatter vi har haft i frågan. Debatterna har ofta varit intressanta och ibland aningen irrationella."
"This situation has given rise to heated debates about the future of nuclear energy - whether to continue with or abandon it.", "Denna situation har gett upphov till livliga debatter om framtiden för kärnenergi - huruvida vi ska fortsätta med den eller upphöra med den."
"The definition of 'parent carrier' has led to heated debates, since the obligations imposed on those companies are very burdensome.", "Definitionen ”moderföretag” har lett till livliga debatter, eftersom de skyldigheter som har ålagts dessa företag är mycket betungande."
"As a rule, strong ethical arguments are adduced in heated debates of this nature, and references are made to the inalienable right to life.", "Vanligtvis anförs starka etiska argument i intensiva debatter av detta slag, och det hänvisas till den omistliga rätten till liv."
"There are some heated debates at the moment, with one country boasting various economies, while seeking to work towards one harmonious society.", "Det pågår för närvarande några livliga debatter med ett land som skryter om olika ekonomier samtidigt som det försöker arbeta i riktning mot ett harmoniskt samhälle."
"However, the start of the Hungarian Presidency has been overshadowed by the heated debates about a shameful law which tarnishes the Union's fundamental values.", "Inledningen av det ungerska ordförandeskapet har dock överskuggats av de livliga debatterna om en skamlös lag som fläckar ned EU:s grundläggande värderingar."
"Some aspects of this report have stirred up heated debates in numerous European Union Member States, especially those relating to biometric identification.", "Vissa aspekter av detta betänkande har orsakat heta debatter i många av Europeiska unionens medlemsstater, framför allt de delar som avser biometrisk identifiering."
"As a patriot, I am particularly saddened by the fact that it was the Hungarian media law that sparked heated debates in the European Parliament and other European institutions.", "Som patriot är jag extra ledsen att det var den ungerska medielagen som satte igång upprörda debatter i Europaparlamentet och i andra EU-institutioner."
"In view of the unusually heated debates and political battles that are currently taking place in Poland, Hungary and Slovakia, I regard this proposal as being well-founded.", "I ljuset av de ovanligt hetsiga debatter och politiska stridigheter som just nu äger rum i Polen, Ungern och Slovakien anser jag att förslaget är välgrundat."
"This is the task which unites us, beyond the substantial political differences which characterise us, and which will certainly be expressed in heated debates.", "Det är denna uppgift som förenar oss, oavsett de viktiga politiska åsiktsskillnader som utmärker oss, och som utan tvekan kommer att komma till uttryck i livfulla debatter."
"It is a very loaded topic which, after the European food crisis, has led to heated debates, and Mr Bowis managed very well to incorporate this debate in his report.", "Det är ett mycket laddat ämne som lett till intensiva diskussioner efter de europeiska livsmedelskriserna och den diskussionen har Bowis bearbetat i sitt betänkande på ett mycket gediget sätt."
"The common agricultural policy in particular - a topic which is currently the subject of heated debates prior to the forthcoming reform of this area - is a special subject because of its importance.", "Den gemensamma jordbrukspolitiken - ett ämne som just nu är föremål för hetsiga debatter inför den kommande reformen på området - är ett särskilt viktigt ämne."
"This fact is less noticed by the public as most people do not buy heavy-duty vehicles.", "Detta faktum märks mindre av allmänheten eftersom de flesta inte köper tunga fordon."
"Several Member States have created environmental zones for heavy-duty vehicles.", "Flera medlemsländer har skapat miljözoner för tunga fordon."
"Certainly in terms of noise, heavy-duty vehicles play a key role.", "När det gäller buller utgör de tunga lastbilarna otvivelaktigt en betydelsefull faktor."
"The new Euro VI regulation for heavy-duty vehicles and buses is one of the measures we have been calling for.", "Den nya Euro 6-förordningen för tunga fordon och bussar är en av de åtgärder som vi har efterfrågat."
"This is certainly the case for heavy-duty vehicles.", "Det gäller otvivelaktigt fallet med tunga lastbilar."
"CO2 emissions from heavy-duty vehicles are a continually rising percentage of total road traffic emissions.", "Koldioxidutsläppen från tunga lastbilar utgör en allt större procentuell andel av de totala vägtrafikutsläppen."
