//Sentences
"I would like to take this opportunity to thank Commissioner Hahn for this work.", "Jag vill passa på att tacka kommissionsledamot Johannes Hahn för detta arbete."
"Commissioner Hahn agreed that the mechanism was complex and difficult to implement.", "Johannes Hahn höll med om att mekanismen är komplex och svår att genomföra."
"Mr Hahn, I invite you to come to Maastricht - it is not very far for you to come.", "Johannes Hahn, jag bjuder in dig till Maastricht - det är inte så långt för dig att resa."
"(DE) Mr President, Mr Hahn, cohesion policy is an important political tool.", "(DE) Herr talman, herr Hahn! Sammanhållningspolitiken är ett viktigt politiskt instrument."
"That was the European Year of Music, which took place following an initiative by Mr Hahn.", "Det var på sin tid musikåret, som ägde rum på vår kollega Hahns initiativ."
"Mr President, it is fortunate that Mr Hahn is the Commissioner responsible.", "Herr talman! Det är tur att det är Johannes Hahn som är den ansvarige kommissionsledamoten."
"Mr President, ladies and gentlemen, Mr Hahn, let us speak plainly.", "Herr talman, mina damer och herrar! Herr Hahn, låt oss tala klarspråk."
"On 6 and 7 March, Mr Hahn will visit Madeira in order to see the damage first hand.", "Den 6-7 mars kommer Johannes Hahn att besöka Madeira för att själv bilda sig en uppfattning om skadorna."
"I have a question for Mr Hahn: does he not want to follow this good example with another?", "Jag har en fråga till Johannes Hahn: vill ni inte följa upp detta goda exempel med ytterligare ett?"
"Commissioners Hahn and Andor, are you concerned about this general climate of cuts?", "Kommissionsledamöter Hahn och Andor, är ni oroade över detta allmänna klimat som präglas av nedskärningar?"
"Commissioner Hahn is not with you, and it would probably have been helpful if he had been.", "Du har inte kommissionsledamot Johannes Hahn med dig. Det kanske hade varit lämpligt om han hade varit med."
"I am pleased that Commissioner Hahn is present during this debate on the future of cohesion policy.", "Det gläder mig att kommissionsledamot Hahn är närvarande under denna debatt om sammanhållningspolitikens framtid."
"This is why I have a particular question for Mr Hahn.", "Jag har därför en särskild fråga till Johannes Hahn."
"(DE) Madam President, Mr Hahn, ladies and gentlemen, the importance of regional policy has been highlighted today.", "(DE) Fru talman, herr Hahn, mina damer och herrar! Regionalpolitikens betydelse har framhållits i dag."
"This is why we are calling on Mr Hahn to take drastic measures with regard to his very important portfolio.", "Det är därför som vi uppmanar Johannes Hahn att vidta drastiska åtgärder för sitt mycket viktiga ansvarsområde."
"Mr Hahn, I do not know whether you will be able to answer them now, as transport is not actually your area.", "Jag vet inte om Johannes Hahn kan besvara dem alla nu, eftersom transporter inte är hans egentliga ansvarsområde."
"To build his 2014-2020 programming, Mr Hahn must be able to rely on the same budgetary amounts as in the past.", "För att Johannes Hahn ska kunna göra sin planering för 2014-2020 måste han kunna räkna med samma budgetanslag som tidigare."
"(DE) Mr President, Commissioner Hahn, culture and identity must clearly be placed centre stage at global level.", "(DE) Herr talman, kommissionsledamot Hahn! Det är tydligt att kultur och identitet måste ges en central plats på global nivå."
"This means that there is still a great deal for Mr Hahn to do, among others, to put this portfolio in order.", "Det innebär att det fortfarande finns en hel del för bland annat Johannes Hahn att göra för att få ordning på detta ansvarsområde."
"(HU) Commissioners Andor and Hahn, the cohesion policy is the European Union's most successful and most perceivable public policy.", "(HU) László Andor, Johannes Hahn! Sammanhållningspolitiken är EU:s mest framgångsrika och synliga offentliga system."
"We expelled them then and we continue to reject what Mr Haider stands for now.", "(Applåder) Vi uteslöt dem då och vi fortsätter att förkasta det som Haider står för nu."
"Dr Haider was elected with 42% of the vote in Carinthia in a free, democratic election.", "Doktor Haider valdes med 42 procent av rösterna i Kärnten i ett fritt, demokratiskt val."
"Dr Haider was elected with 42 % of the vote in Carinthia in a free, democratic election.", "Doktor Haider valdes med 42 procent av rösterna i Kärnten i ett fritt, demokratiskt val."
"Madame President, the people of Austria have spoken by electing Herr Haider to their Parliament.", "Fru talman! Österrikes folk har talat genom att välja Haider till sitt parlament."
"Mr Haider was represented by his lawyer, Dieter Böhmdorfer, who is now Austria's Justice Minister.", "Målet drevs av Haiders advokat Dieter Böhmdorfer, som numera är Österrikes justitieminister."
"The fabric of Turkey' s government contains a few Haider-type personalities.", "I Turkiet sitter strukturella Haiders i regeringen."
"The fabric of Turkey's government contains a few Haider-type personalities.", "I Turkiet sitter strukturella Haiders i regeringen."
"What I know is the fact that legal proceedings are pending between Mr Pelinka and Mr Haider.", "Vad jag vet är faktumet det att ett rättsligt förfarande mellan Pelinka och Haider har anhängiggjorts."
"We found that Mr Jörg Haider, as a wordsmith, has been a voice for racism and for xenophobia.", "Vi ansåg att Jörg Haider, som ordvrängare, har varit en röst för rasism och för främlingsfientlighet."
"They will not weaken Mr Haider and the FPÖ. On the contrary, they will strengthen them.", "Det kommer inte att försvaga Haider och FPÖ (Österrikiska liberala partiet), det kommer tvärtom att stärka dem."
"Let us remember how the European Union tried to boycott Austria when Jörg Haider came into power.", "Låt oss komma ihåg att Europeiska unionen försökte bojkotta Österrike när Jörg Haider kom till makten."
"I condemn Jörg Haider' s racist and xenophobic policy.", "Jag fördömer Jörg Haiders rasistiska och främlingsfientliga linje."
"I condemn Jörg Haider's racist and xenophobic policy.", "Jag fördömer Jörg Haiders rasistiska och främlingsfientliga linje."
"We thought Mr Haider' s Austria was endangering our freedom.", "Vi trodde att vår frihet äventyrades av Haiders Österrike."
"We thought Mr Haider's Austria was endangering our freedom.", "Vi trodde att vår frihet äventyrades av Haiders Österrike."
"As I see it, this means that Mr Haider's politics are already casting their shadow over this Parliament.", "Det betyder enligt mitt sätt att se att Haiderpolitiken redan kastar sin skugga över detta parlament."
"As I see it, this means that Mr Haider' s politics are already casting their shadow over this Parliament.", "Det betyder enligt mitt sätt att se att Haiderpolitiken redan kastar sin skugga över detta parlament."
"We are talking about deeds by the Freedom Party and Mr Haider.", "Vi talar om gärningar av Frihetspartiet och Haider."
"We have also voted in favour of the resolution in protest against the detestable politics that Jörg Haider stands for.", "Vi har också röstat för resolutionen i protest mot den avskyvärda politik Jörg Haider står för."
"The President was the first to refer to the terms of Article 6 of the Treaty in connection with the Haider case.", "Presidenten var den första att erinra om skyldigheten i artikel 6 i fördraget i samband med Haideraffären."
"It would be appropriate for condolences to be sent to the victims in Haifa.", "Det vore lämpligt att översända våra kondoleanser till offren i Haifa."
"Approximately a week ago, 19 people died in a suicide attack in Haifa.", "För ungefär en vecka sedan dog 19 människor i en självmordsattack i Haifa."
"All the speakers here have condemned the Haifa bombings, and I, of course join them in so doing.", "Alla talare har här fördömt attacken i Haifa, och jag sällar mig förstås till dem."
"We went to Haifa, where there was constant danger from rockets.", "Vi åkte till Haifa där det var ständig fara för raketer."
"Hizbollah has been bombing Haifa and Natanya for years now.", "Hizbollah har bombat Haifa och Natanya i flera år nu."
"The attack in Haifa on the eve of Yom Kippur is a further example of what must never again be allowed to happen.", "Attacken i Haifa kvällen före yom kippur är ytterligare ett exempel på något som aldrig mer får tillåtas att hända."
"The attack in Haifa on the eve of Yom Kippur is a further example of what must never again be allowed to happen.", "Attacken i Haifa kvällen före yom kippur är ytterligare ett exempel på något som aldrig mer får tillåtas att hända."
"On behalf of the Group of the Party of European Socialists, I would also like to express our condemnation of the Haifa attack.", "Som talesman för Europeiska socialdemokratiska partiets grupp vill jag också uttrycka vårt fördömande av Haifa-attacken."
"It must stand for reconciliation and for the good, and not for the deaths of innocent people, as in the case of the suicide bombing in Haifa.", "Religion måste stå för försoning, för det goda, och inte för oskyldiga människors död, som vid självmordsattacken i Haifa."
"Think of Haifa!", "Tänk på Haifa!"
"What happened after the dramatic attack in Haifa, an attack deep in Syria, and one that we deplore and denounce, simply invites further military escalation.", "Den iranska regimen drar också nytta av situationen i Irak, samtidigt som den möter stark kritik från den allmänna opinionen i hemlandet."
"What happened after the dramatic attack in Haifa, an attack deep in Syria, and one that we deplore and denounce, simply invites further military escalation.", "Det som hände efter den dramatiska attacken i Haifa, en attack långt inne i Syrien, en händelse som vi beklagar och kritiserar, inbjuder helt enkelt till ytterligare militär upptrappning."
"It's the old Hail Mary play.", "Det är från en gammal skolpjäs."
"The structural funds measures have certainly had a major impact on Hainaut.", "Det är sant att strukturfondsåtgärderna har utövat ett stort inflytande på Hainaut."
"Corsica and French Hainaut will no longer be included among the regions assisted under Objective 1.", "Korsika och franska Hainaut kommer inte längre att utgöra en del av de regioner som är berättigade till mål 1-stöd."
"The case of the Belgian Hainaut is significant.", "Fallet med belgiska Hainaut är betecknande."
"Mr Decourrière's report draws up a clear and precise table for the utilization of the structural funds, particularly in Hainaut.", "Betänkandet av Decourrière målar en tydlig bild av utnyttjandet av strukturfonderna, särskilt i Hainaut."
"My region of Nord-Pas-de-Calais will be particularly affected with French Hainaut losing the aid paid to Objective 1 regions.", "Min region, Nord-Pas-de-Calais, kommer att särskilt beröras, eftersom franska Hainaut förlorar mål 1-stöden."
"Already in the year 2000, Brussels withdrew the Structural Funds granted under the former Objective I from the cantons of France's Hainaut region.", "Redan 2000 drog Bryssel tillbaka de strukturfonder som beviljats inom ramen för tidigare mål I från kantonerna i den franska regionen Hainaut."
"Thus, the cantons of France’s Hainaut region, despite being affected by massive unemployment, are no longer entitled to Structural Funds under Objective 1.", "Därför har kantonerna i den franska regionen Hainaut, trots att de har drabbats av mycket hög arbetslöshet, inte längre rätt till strukturfonder under Mål 1."
"Thus, the cantons of France’ s Hainaut region, despite being affected by massive unemployment, are no longer entitled to Structural Funds under Objective 1.", "Därför har kantonerna i den franska regionen Hainaut, trots att de har drabbats av mycket hög arbetslöshet, inte längre rätt till strukturfonder under Mål 1."
"In my home town, on the border between the French and Belgian Hainaut regions, when a mother-to-be is late giving birth, we say she will give birth to a donkey.", "I min födelseby, vid gränsen mellan det belgiska Hainaut och det franska Hainaut, brukar man säga att en blivande mor som går över tiden kommer att " nedkomma med en åsna "."
"Looking at the situation in Belgium, the Court of Auditors, too, says that a large proportion of the funds spent in Wallonia - Hainaut, in particular - was misspent.", "Revisionsrätten framhåller också, med avseende på situationen i Belgien, att en stor andel av de medel som använts i Vallonien - i synnerhet i Hainaut - har använts felaktigt."
"The report points out that this aid primarily favours the sub-regions of Hainaut which are the best adapted to benefit from the funds, that is the regions of d'Ath, Tournai and Mouscron.", "Betänkandet visar att stöden gynnar i synnerhet Hainauts underregioner, bäst anpassade för att dra nytta av medlen, nämligen regionerna Ath, Tournai och Mouscron."
"I should lastly like to lend my backing to Mr Henin's remarks about certain cross-border regions, such as Hainaut in France and Belgium, which has differentiated access to the Structural Funds.", "Slutligen vill jag ställa mig bakom Jacky Henins inlägg om vissa gränsregioner, som Hainaut i Frankrike och Belgien, där man har olika tillgång till strukturfonderna."
"I should lastly like to lend my backing to Mr Henin's remarks about certain cross-border regions, such as Hainaut in France and Belgium, which has differentiated access to the Structural Funds.", "Slutligen vill jag ställa mig bakom Jacky Henins inlägg om vissa gränsregioner, som Hainaut i Frankrike och Belgien, där man har olika tillgång till strukturfonderna."
"more_vert open_in_new Link to European Parliament warning Request revision The earthquake in Haiti has caused a further deterioration in the position of women there.", "expand_more Jordbävningen i Haiti har ytterligare försämrat kvinnornas ställning på ön."
