//Sentences
"I would like to clarify to them that my idea does not violate their Union Jack.", "Jag skulle vilja förklara för dem att min tanke inte var att kränka Union Jack."
"I've unearthed many treasures in my lifetime, but the best ones I found are you and Jack.", "Jag har hittat många skatter i mitt liv, men de bästa jag har hittat är du och Jack."
"Interpol agent Jack Valentine couldn't be bought, at Ieast not with money.", "Agent Jack Valentine kunde inte köpas...... åtminstone inte med pengar."
"I am sure that then, like a jack in-the-box, the principle of solidarity will re-emerge.", "Jag är övertygad om att principen om solidaritet kommer att återuppstå som gubben i lådan då."
"I fear we have a similar problem with Sir Jack's proposal about operations on routes.", "Jag befarar att vi har ett liknande problem i samband med Sir Jacks förslag om aktioner utmed rutterna."
"Sir Jack has tabled amendments that we welcome.", "Sir Jack har lämnat in ändringsförslag som vi ställer oss positiva till."
"I went to the Spanish police station immediately and reported the incident before you could say 'Jack Robinson '.", "Jag gick genast till den spanska polisen som tog emot min stöldanmälan."
"Mr President, Sir Jack Stewart-Clark has compiled an excellent report on these two joint actions.", "Herr ordförande! Stewart-Clark har sammanställt ett utmärkt betänkande om dessa båda gemensamma åtgärder."
"And I think the real Jessica Martin is in trouble, Jack.", "Jag tror att den riktiga Jessica Martin har råkat illa ut."
"In the famous words of Jack Nicholson, 'this is as good as it gets'.", "För att citera en av Jack Nicholsons gestalter: "this is as good as it gets" (ung. bättre än så här blir det inte)."
"And if Paula decides should she marry Joe or Jack, somehow Paul sounds the most interesting.", "Och om Paula försöker bestämma om hon ska gifta sig med Joe eller Jack, låter Paul av någon anledning mest intressant."
"I've got Jack Johnson and Tom O' Leary waiting for you.", "Jag har Jack Johnson och Tim O' Leary som väntar på dig"
"You say that it is not that easy to hi-jack an airplane.", "Ni säger att det inte är lätt att kapa ett flygplan."
"Mr President, Sir Jack Stewart-Clark's report is short, to the point and effective.", "Herr ordförande! Kort, rakt på sak och effektivt, så kan man karaktärisera detta betänkande av vår kollega Sir Jack Stewart-Clark."
"Question No 17 by Sir Jack Stewart-Clark (H-0015/97):", "Fråga nr 17 från Sir Jack Stewart-Clark (H-0015/97):"
"I think jack of spades is number 12 from the top.", "Jag tror att spader knekt är nummer tolv från toppen."
"' cause I will give you a rap right on the Jack Johnson!", "då ska jag slå till dig rakt på Jack Johnson!"
"Jack moved to a remote part of the Scottish countryside and wanted to get an internet connection in his new house there.", "Jack bor i Skottland och när han flyttade långt ut på landet ville han skaffa internet i sitt nya hus."
"Jack say, "Me, Mama-san, could we spend the night here?", "Jack sa, "Jag, kära mor, kan vi sova här?""
"Your mother's married now, to my friend Jack Barnes.", "Din mor är gift nu, med min vän Jack Barnes."
