//Sentences
"This we will not go along with, and we will keep on telling uncomfortable truths.", "Detta kommer vi inte att stödja, och vi kommer att fortsätta att påpeka obekväma sanningar."
"Mr President, EU institutions keep telling themselves that the euro is a success.", "Herr talman! EU-institutionerna fortsätter att framhålla för sig själva att euron är en framgång."
"Now, as I keep telling you, I always use a rubber with you cunts.", "Som jag har berättat för dig, så använder jag alltid kådis på fittor som du."
"When I talk to Mr Olmert, as I do frequently, I keep telling him unilateralism is not possible.", "När jag talar med Ehud Olmert, vilket jag ofta gör, säger jag till honom att unilateralism inte är en möjlighet."
"I keep telling you to leave it out.", "Jag har sagt åt dig att ha den framme."
"To my surprise, at the conferences we have held so far the Member States did not keep telling us to go away and mind our own business!", "Till min överraskning har medlemsländerna på de konferenser som vi hittills haft inte tenderat att säga: ut med er, det här angår er inte!"
"You keep telling the Committee on Agriculture and Rural Development that you want the premiums to be both ecologically and socially beneficial.", "Du säger ständigt i utskottet för jordbruk och landsbygdens utveckling, att du vill ge bidragen en ekologisk och social utformning."
"It is a different logic from that of the ultra-nationalists we shall experience again tomorrow, who keep telling us that more nationalism is needed.", "Det är en annan logik än ultranationalisternas, som vi kommer att få uppleva igen i morgon och som ständigt går ut på att vi behöver mer nationalism."
"Here, the Commission must breathe life into the human rights clause in the treaties and not keep telling us why economic interests come first.", "Nu gäller det att kommissionen ser till att blåsa liv i klausulen om de mänskliga rättigheterna i fördragen i stället för att ständigt tala om för oss varför de ekonomiska intressena är så viktiga."
"I believe it is important that we keep telling people, showing them clearly, how they benefit from the European Union and what we achieved back then to make it possible.", "Jag anser att det är viktigt att vi fortsätter att berätta och tydligt visa för människor vilken nytta de har av EU och vad vi på den tiden åstadkom för att göra det möjligt."
"The destabilizing effects of hunger are known throughout human history.", "Svältens destabiliserande effekt är välkända i människans historia."
"This is one of the most dangerous substances known to human life – and not only human life.", "Plutonium är ett av de ämnen som är farligast för människans hälsa."
"This is one of the most dangerous substances known to human life – and not only human life.", "Det är det minsta som medborgarna kommer att förvänta sig."
"A great deal more is known about avian and human cases and about the transmission history of this swine influenza.", "Vi vet betydligt mer i dag om fågelinfluensa och human influensa och om hur svininfluensan sprids."
"It is a universally known fact that human rights were violated during General Pinochet's 15-year rule in Chile, sometimes flagrantly so.", "Det är allmänt känt att det skedde grova kränkningar av de mänskliga rättigheterna under general Pinochets femtonåriga herravälde i Chile."
"Given the Council's well-known concern over the human rights of the Cuban people, can it state whether it is aware of this case?", "Jag åtar mig att kontrollera saken ytterligare och att – i den mån jag har möjlighet att göra det – besvara den ärade ledamotens fråga skriftligen."
"Given the Council's well-known concern over the human rights of the Cuban people, can it state whether it is aware of this case?", "Rådet är mycket engagerat i situationen för de mänskliga rättigheterna för det kubanska folket, och därför undrar jag om rådet känner till detta ärende?"
"I believe that where security and consequently peace are concerned, it is essential for Europe to adopt the concept known as human security.", "Jag anser att det i fråga om säkerhet och följaktligen fred är mycket viktigt för EU att godkänna det koncept som är känt som mänsklig säkerhet."
"(PL) Mr President, the brutal murder of David Kato, one of Uganda's best-known human rights defenders, is the result of hatred towards homosexual people.", "(PL) Herr talman! Det brutala mordet på David Kato, en av Ugandas mest välkända människorättsförsvarare, är en följd av hatet mot homosexuella människor."
"Mr President, it is important that the European Parliament makes its views known on the deteriorating human rights situation in Equatorial Guinea.", "Herr talman! Det är viktigt att Europaparlamentet uttrycker sina åsikter om den alltmer försämrade situationen för de mänskliga rättigheterna i Ekvatorialguinea."
"After all, in recent years, it has turned out several times that the show has been run by countries that are known for violating human rights.", "Under de senaste åren har det faktiskt visat sig vid flera tillfällen att showen har dominerats av länder som är ökända för sina brott mot de mänskliga rättigheterna."
"(FI) Mr President, Nasrin Sotoudeh is one of the best known human rights lawyers in Iran and she defended Shirin Ebadi, winner of the Nobel Peace Prize, among others.", "(FI) Herr talman! Nasrin Sotoudeh är en av de kändaste människorättsadvokaterna i Iran och hon har bland andra försvarat nobelpristagaren Shirin Ebadi."
"Only recently, one of Iran's best-known human rights defenders, Mr Emaddedin Baghi, was once again imprisoned under the charge of propaganda against the Government.", "Helt nyligen fängslades återigen Emaddedin Baghi, en av Irans mest kända försvarare av de mänskliga rättigheterna, anklagad för att ha propagerat mot regeringen."
"In July, Natalia Estemirova, a well-known Russian human rights activist and journalist, was found dead in Ingushetia after being abducted by armed men in neighbouring Chechnya.", "I juli hittades Natalja Estemirova, en välkänd rysk människorättsaktivist och journalist, död i Ingusjien efter att ha förts bort av beväpnade män i den angränsande delrepubliken Tjetjenien."
"The close links between the army and its illegal right arm, the paramilitaries, is well known and the "Human Rights Watch" report, published today, only serves to underline this.", "De nära förbindelserna mellan armén och dess högra illegala hand, paramilitärerna, är allmän kännedom och rapporten från "Human Rights Watch" som publicerades i dag understryker bara detta."
"Nevertheless, these same institutions showed no reluctance to accept Turkey as a candidate for membership of the European Union, despite its well-known human rights violations.", "Likväl har dessa institutioner inte tvekat om att godkänna Turkiets anslutning till Europeiska unionen, samtidigt som man känner till att det förekommer kränkningar av de mänskliga rättigheterna."
"The close links between the army and its illegal right arm, the paramilitaries, is well known and the " Human Rights Watch " report, published today, only serves to underline this.", "De nära förbindelserna mellan armén och dess högra illegala hand, paramilitärerna, är allmän kännedom och rapporten från " Human Rights Watch " som publicerades i dag understryker bara detta."
"The recent sentencing of the well-known human rights and pro-democracy campaigner, Professor Saad Ibrahim, and his colleagues has aroused widespread interest in the international community.", "Den dom som nyligen avkunnades mot den välkände förkämpen för mänskliga rättigheter och demokrati, professor Saad Ibrahim, och hans kolleger, har väckt stort intresse i det internationella samfundet."
"more_vert open_in_new Link to statmt.org warning Request revision If it is AC, it is either 15 kV, or 30 kV, or 35 kV.", "expand_more Om de drivs av växelström är spänningen antingen 15 kV, 30 kV eller 35 kV."
"more_vert open_in_new Link to statmt.org warning Request revision Om de drivs av växelström är spänningen antingen 15 kV, 30 kV eller 35 kV.", "expand_more If it is AC, it is either 15 kV, or 30 kV, or 35 kV."
"This is what the U.K. government target on carbon and greenhouse emissions looks like.", "Så här ser Storbritanniens regerings mål för koldioxid och växthusgasutsläpp ut."
"Now, you can see Africa's total debt there and the U.K. budget deficit for reference.", "Här kan ni se Afrikas totala skuld och Storbritanniens budgetunderskott som referens."
"And yet, it is not taught in any K through 12 curriculum in America that I'm aware of.", "Och ändå lärs inte detta ut ens på gymnasienivå i Amerika så vitt jag vet."
"And I'm delighted to see a great competition between the U.K. in blue, and the U.S. in red.", "Jag är jätteglad över att se en bra tävling mellan Storbritannien i blått och USA i rött."
"This was a headline in a U.K. newspaper, The Guardian, not that long ago.", "Detta var en huvudrubrik i en storbritannisk tidning, "The Guardian", för inte så länge sedan."
"Sonar sends out ultrasound with frequencies of 15 kHz and higher.", "Sonaren skickar ut ultraljud med en frekvens från 15 kilohertz och uppåt."
"In the U.K. we have an epidemic of facial injuries among young people.", "I England har vi en epidemi av ansiktsskador bland unga människor."
"Therefore, why should the Commission propose an extension of Annex K if it has not worked?", "Christa Randzio-Plath nämnde barnskor, som är nollbeskattade i Förenade kungariket och Irland."
"This is what it looks like, essentially, this credit and debt system, just for the U.K.", "Det här är hur det ser ut, i all väsentlighet, detta kredit och skuldsystem, bara för Storbritannien."
"The Commission has not made a proposal to continue Annex K. It does so because it is not effective.", "Jag har inget emot hårfrisörer, men varför skall vi subventionera dem?"
"Why would I help you and not k ee p the whole hoard for myself?", "Varför skulle jag hjälpa dig i stället för att behålla den själv?"
"Lizard offered Dakota 250K to deliver my live ass to him.", "Ödlan erbjöd Dakota 250. 000 för att leverera mig levande till honom."
"Once the treasure is gone, there is nothing to k ee p him here.", "När skatten väl är borta har han inget som knyter honom hit."
"Under this directive, micro-cogeneration refers to installations with a maximum capacity of 50kWe.", "Medlemsstaterna kan underlätta tillgången till nätet för små anläggningar och mikrokraftvärmepannor."
"So, that's happening in the U.K. with U.K. government data.", "Så det här händer i Storbritannien just nu, med brittisk data."
"The frequency of its call is unusually high - 60 kHz.", "Frekvensen på lätet är ovanligt hög, 60 000 svängningar i sekunden."
"And after Second World War, United States is richer than U.K.", "Och efter andra världskriget är USA rikare än England."
"Mr President, I should first like to say something about Annex K, on which a number of speakers have voiced their opinion.", "Anledningen är ganska enkel: i alltför få fall har den sänkta skatten delgivits konsumenterna."
"I should like to take this opportunity to explain why I am convinced that an extension of Annex K is not a realistic solution.", "Dessutom skulle det kunna ge upphov till förväntningar på att försöket skulle bli permanent."
"Whereas U.K. and United States is getting richer and richer.", "Medan England och USA blir allt rikare."
"And they will not be guaranteed, if Article K.6 of the Maastricht Treaty is constantly trampled underfoot!", "Dessa garanteras inte, när artikel K6 i Maastrichtfördraget ständigt överträds!"
"Article K.6 EU; Schengen cooperation (continuation)", "Artikel K6 i fördraget om Europeiska unionen - Schengensamarbetet (fortsättning)"
"I am thinking in particular of the new framework decisions in Article K6 which will be moved to Article 34.", "Jag tänker i synnerhet på rambesluten i artikel K 6, som kommer att flyttas till artikel 34."
"Article 109k(6) provides for precisely such a possibility.", "Artikel 109k.6 öppnar väg för just en sådan möjlighet."
"The Council failed to consult the European Parliament properly, in accordance with Article K.6(2) of the EU Treaty.", "Här har inte Europaparlamentets åsikt inhämtas på i artikel K6, stycket 2, föreskrivet, rimligt sätt."
"Article K.6 EU; Schengen cooperation", "Artikel K6 i fördraget om Europeiska unionen - Schengensamarbetet"
"It has also always urged the presidency to consult Parliament in accordance with Article K.6 EU.", "Den har också alltid uppmanat ordförandeskapet att höra parlamentet i enlighet med artikel K 6 i Fördraget om Europeiska unionen."
"Mr President, ladies and gentlemen, this is probably the last time that we will be holding this debate under Article K.6.", "Fru ordförande, mina damer och herrar! Det är förmodligen sista gången som vi debatterar med anledning av artikel K6."
"Article K.6 of the TEU provides for Parliament to be informed and/or consulted by the Council Presidency in the framework of Chapter 6.", "Artikel K6 anger att ordförandeskapet informerar och/eller samråder med parlamentet inom ramen för kapitel 6."
"Article K.6 of the TEU provides for Parliament to be informed and/ or consulted by the Council Presidency in the framework of Chapter 6.", "Artikel K6 anger att ordförandeskapet informerar och / eller samråder med parlamentet inom ramen för kapitel 6."
"Annual debate pursuant to Article K.6", "Årlig diskussion enligt artikel K6"
"The Parliament's involvement in the framework of Article K.6 is an imperfect one and depends on the goodwill of the Presidency.", "Parlamentets delaktighet inom ramen för artikel K6 är inte tillräcklig och är beroende av den goda viljan hos varje ordförandeskap."
"This is what we did when we noted that the Parliament was now better informed and more often consulted, in accordance with article K6.", "Det är vad vi gjorde när vi noterade att parlamentet fått mer information och oftare blivit tillfrågat, i enlighet med artikel K 6."
"To start with, we thought that under Article K.6 of the EU Treaty and given the codecision procedure, we should have been consulted beforehand.", "Vi tyckte till att börja med att vi på grundval av artikel K 6 i EU-fördraget och i ljuset av medbeslutandeförfarandet borde ha rådfrågats i förväg."
"PCP-consolidated silicalite-1 supports show high single gas permeability (left) and negative coefficient of thermal expansion (right) 0.65 X 10-6 /K.", "PCP-consolidated silicalite-1 supports show high single gas permeability (left) and negative coefficient of thermal expansion (right) 0.65 X 10-6 /K."
"Thirdly - I cannot go any faster or put my points any more briefly - as far as our committee is concerned the K.6 debate is extremely important.", "Jag gör det så snabbt och kortfattat det går; men denna fråga är också väldigt viktig. Den artikel-K6-debatt som vi för här är den viktigaste debatten för vårt utskott."
"Secondly because in so far as it might concern the third pillar, this House has not received a request for consultation from the Council presidency, pursuant to Article K6.", "För det andra, i den mån tredje pelaren berörs, har inte parlamentet hört fått någon förfrågan från rådets ordförandeskap i enlighet med artikel K 6."
"Article K.6 of the Treaty on European Union provides for the European Parliament to be consulted on measures such as the setting-up of a customs information system.", "I artikel 6 i Fördraget om Europeiska unionen stadgas, att Europaparlamentet ska rådfrågas i samband med åtgärder som upprättandet av tullinformationssystemet."
"File size: 745 KB Supported devices: 8900, 9000, 9630, 9700 Supported operators: All", "Filstorlek: 745 KB Stödda enheter: 8900, 9000, 9630, 9700 Stödda operatörer: Alla"
"File size: 237 KB Supported devices: OS 1.5 (Cupcake) and 1.6 (Donut).", "Filstorlek: 237 KB Stödda enheter: OS 1.5 (Cupcake) och 1.6 (Donut)."
"See the EU guide on posting rules [690 KB] .", "Mer information finns i EU:s vägledning om utstationering [690 KB] English."
"Compiler: an identifier in the formula exceeds 64KB.", "Kompilator: en identifierare i formeln är större än 64KB."
"If you are not satisfied with their reply, you can contact the national enforcement body [111 KB] in your country.", "Om du är missnöjd med svaret på klagomålet kan du kontakta din nationella tillsynsmyndighet [111 KB]."
"The size of the object in bytes, KB or MB.", "Här anges objektets storlek i byte, kB eller MB."
"If you are not satisfied with their reply, you can contact the national enforcement body [176 KB] in the country where the incident happened.", "Om inte det hjälper kan du kontakta tillsynsmyndigheten [176 KB] i det land där du fick problem."
"Noise Blackout for better sound quality Technology that optimises transmission speech quality by reducing background noise (PDF 924 KB)", "Noise Blackout för bättre ljudkvalitet En teknik som optimerar röstkvaliteten genom att reducera bakgrundsljudet (PDF 924 KB)"
"In November 2009 KB (The National Library of Sweden) held an international workshop on web archiving: "Archiving the Web - New Perspectives".", "I november 2009 höll KB (Kungliga biblioteket) en internationell workshop med namnet "Archiving the Web - New Perspectives"."
