//Sentences
"I want to focus on one particular thing KIPP is doing that Bill didn't mention.", "Jag vill fokusera på en speciell sak som KIPP gör som Bill inte nämnde."
"Bill Gates talked about the importance of education and, in particular, the model that KIPP was providing: "Knowledge is power."", "Bill Gates pratade om vikten av utbildning och särskilt den modell som KIPP erbjöd."
"There are great ones, like KIPP's; it's a great system.", "Det finns jättebra system, såsom KIPP systemet."
"Kipp, you should be in makeup, kiddo.", "Kipp, du borde vara i sminket."
"And he talked about a lot of the wonderful things that KIPP is doing to take inner-city kids and turn them in the direction of college.", ""Kunskap är makt:" Han pratade om många av de fantastiska saker som KIPP gör för att få innerstadsungdomar att gå på college."
"You too, Kipp.", "Dig också, Kipp."
"Aer Lingus, Alitalia, Air France and KLM are not far behind.", "Aer Lingus, Alitalia, Air France och KLM ligger inte långt efter."
"What measures will the Commission take to prevent KLM-Air France from implementing its proposed policy?", "Vilka åtgärder tänker kommissionen vidta för att förhindra att KLM-Air France sätter sin planerade policy i verket?"
"For that reason, the alliance with KLM was sabotaged.", "Av dessa skäl saboterades alliansen med KLM."
"Commissioner, you mentioned the case of KLM and you reassured us that the way in which the US obtained the data was perfectly legitimate.", "Hur många ”no fly”-passagerarlistor finns det i dag i Förenta staterna och hur kan felaktigt positiva träffar undvikas?"
"Is the Commission aware that KLM-Air France has announced that in future obese passengers will have to reserve two seats?", "Känner kommissionen till att KLM-Air France har meddelat att överviktiga personer i fortsättningen måste boka två platser på bolagets flygningar?"
"One other comment I have on flights under visual flight rules is that in the case of the KLM plane, the ash cloud was not visible.", "En annan kommentar som jag har om flygningar enligt bestämmelser om visuella flygningar är att i fallet med KLM-planet var askmolnet inte visibelt."
"Themistocles Koltsidopoulos, a Greek national studying at the University of Piraeus, was travelling to Scotland on a KLM flight via Amsterdam.", "Themistoklis Koltsidopoulos, grekisk medborgare och studerande vid universitetet i Pireus, var på väg till Skottland med KLM via Amsterdam."
"Is the Commission aware of KLM-Air France's plans to compel passengers to buy two tickets if they are too fat to fit into a single seat?", "Känner kommissionen till KLM-Air Frances planer på att låta passagerare som är för tjocka för att få plats i en enda stol köpa en andra biljett?"
