//Sentences
"Scientists Helena Johnsson and Kajsa Simu are studying the quality of Swedish construction.", "Forskarna Helena Johnsson och Kajsa Simu studerar kvaliteten i svenskt byggande."
"A few years ago, Kajsa De Bourg had no idea that she would be an estate agent.", "För några år sedan hade Kajsa De Bourg ingen aning om att hon skulle bli fastighetsmäklare."
"Name: Kajsa Simu Title: Univ.lektor,adj", "Namn: Kajsa Simu Titel: Univ.lektor,adj"
"A friend of the host family sold properties, Kajsa was intrigued and decided to apply to Luleå University of Techonology.", "En vän till värdfamiljen sålde fastigheter, Kajsa blev intresserad och bestämde sig för att börja plugga på Luleå tekniska universitet."
"The situation in parts of Kalimantan is intolerable and I back this motion totally.", "Situationen i delar av Kalimantan är oacceptabel och jag stöder fullständigt denna motion."
"Timor, Moluccas, Aceh, Papua and now Borneo-Kalimantan all show this.", "Timor, Moluckerna, Aceh, Papua och nu Borneo-Kalimantan visar alla på detta."
"Kalimantan and Brazil have been ravaged by massive fires for weeks.", "Kalimantan och Brasilien härjas redan i flera veckor av omfattande bränder."
"They must establish temporary shelter for the refugees in Kalimantan.", "De måste införa tillfälliga skydd för flyktingar i Kalimantan."
"For example, a few hundred thousand people moved from the island of Madura to Kalimantan, formerly Borneo.", "På det sättet flyttade några hundratusen personer från ön Madura till Kalimantan, före detta Borneo."
"That is the case in Irian Jaya and the Moluccas, as well as for the people from Madura in Kalimantan.", "Det är fallet i Irian Jaya och befolkningen från Moluckerna och även befolkningen från Madura i Kalimantan."
"In Thailand the baht is plunging, and in Kalimantan, Sumatra and Celebes the forests have been burning for weeks.", "I Thailand sjunker bahten drastiskt, i Borneo, Sumatra, på Sulawesi brinner sedan veckor tillbaka skogarna."
"The riots in Kalimantan are no exception.", "Oroligheterna på Kalimantan är inget undantag."
"B5-0217/2001, by Mr Vinci and Mrs Frahm, on behalf of the Confederal Group of the European United Left/Nordic Green Left, on the violence in Kalimantan;", "B5-0217/2001 av Vinci och Frahm för GUE/NGL-gruppen om våldet i Kalimantan"
"However, they also need to consider whether to assist those who want to leave Kalimantan permanently and return to Madura.", "De måste dock också överväga huruvida de ämnar hjälpa dem som permanent vill lämna Kalimantan och återvända till Madura."
"Before the vote on Kalimantan:", "Inför omröstningen om Kalimantan:"
"Situation in Kalimantan", "Situationen i Kalimantan"
"B5-0199/2001, by Mr Maaten, on behalf of the Group of the European Liberal, Democrat and Reform Party, on the situation in the Indonesian province of central Kalimantan;", "B5-0199/2001 av Maaten för ELDR-gruppen om situationen i den indonesiska provinsen i centrala Kalimantan"
"B5-0199/ 2001, by Mr Maaten, on behalf of the Group of the European Liberal, Democrat and Reform Party, on the situation in the Indonesian province of central Kalimantan;", "B5-0199 / 2001 av Maaten för ELDR-gruppen om situationen i den indonesiska provinsen i centrala Kalimantan"
"B5-0207/2001, by Mrs McKenna and others, on behalf of the Group of the Greens/European Free Alliance, on the situation in the Indonesian province of central Kalimantan;", "B5-0207/2001 av McKenna m.fl. för Verts/ALE- gruppen om situationen i den indonesiska provinsen i centrala Kalimantan"
"A mission will be carried out by ECHO to Indonesia in April to assess further humanitarian needs in vulnerable areas, including Kalimantan.", "Ett uppdrag kommer att genomföras av ECHO för Indonesien i april i syfte att utvärdera vidare humanitära behov i sårbara områden, inklusive Kalimantan."
"B5-0207/ 2001, by Mrs McKenna and others, on behalf of the Group of the Greens/ European Free Alliance, on the situation in the Indonesian province of central Kalimantan;", "B5-0207 / 2001 av McKenna m.fl. för Verts / ALE- gruppen om situationen i den indonesiska provinsen i centrala Kalimantan"
"Mr President, Commissioner, ladies and gentlemen, it was with utter disgust that we witnessed the massacres in Kalimantan, which are unprecedented in their brutality.", "Herr talman, herr kommissionär, bästa kolleger! Vi har med avsky sett bilderna från de otroligt brutala massakrer som äger rum i Kalimantan."
"Situation in Kalimantan- B5-0187/2001, by Mr Candal and others, on behalf of the Group of the Party of European Socialists, on the situation in Kalimantan (Indonesian part of the island of Borneo);", "Situationen i Kalimantan- B5-0187/2001 av Candal m.fl. för PSE-gruppen om situationen i Kalimantan (indonesisk del av ön Borneo)"
"In West Kalimantan, the riots broke out as early as 1997 and 1999 and, across the country, these are, in actual fact, the result of the imposed transmigration programme of 1960.", "I västra Kalimantan utbröt oroligheterna redan 1997 och 1999 och överallt är de egentligen en följd av det påtvingade folkförflyttningsprogrammet från år 1960."
"Secondly, I welcome what the Commissioner had to say on Cyprus and Kaliningrad.", "För det andra, välkomnar jag vad kommissionären sade om Cypern och Kaliningrad."
"I am pleased that the heated controversy over Kaliningrad was resolved at the summit.", "Jag är belåten över att man vid toppmötet lyckades lösa den heta Kaliningradfrågan."
"The only real problem was in connection with Kaliningrad, and that has been resolved.", "Det enda verkliga problemet fanns i samband med Kaliningrad, och det är löst."
"The other issue - Kaliningrad - is also directly linked to enlargement.", "Även den andra frågan - Kaliningrad - är direkt sammankopplad med utvidgningen."
"This week we voted on the transit problems of Russians living in Kaliningrad.", "Den här veckan har vi röstat om transiteringsproblemen för ryssar som bor i Kaliningrad."
"Nothing concrete has been achieved for several years, apart from the Kaliningrad question.", "Ingenting konkret har uppnåtts på flera år, förutom när det gäller Kaliningrad."
"I would like to focus on the economic, social and political future of Kaliningrad.", "Jag skulle för min del vilja betona Kaliningrads ekonomiska, sociala och politiska framtid."
"Differing positions have been adopted on Kaliningrad, Chechnya and the Yukos affair.", "Olika ståndpunkter har intagits när det gäller Kaliningrad, Tjetjenien och Yukos-affären."
"We had all hoped that Kaliningrad would become for Russia what Hong Kong was for China.", "Vi hade alla hoppats att Kaliningrad skulle bli för Ryssland vad Hongkong var för Kina."
"In addition, Kaliningrad must consider the Schengen Agreements as a framework for a solution.", "Vidare måste man i fråga om Kaliningrad se Schengenavtalen som ram för en lösning."
"There are more tanks in Kaliningrad than in the British and French armies combined.", "Det finns fler stridsvagnar i Kaliningrad än i de brittiska och franska arméerna tillsammans."
"If I could turn to Kaliningrad, Mr Haarder mentioned negotiations with Russia.", "I fråga om Kaliningrad nämnde Haarder förhandlingar med Ryssland."
"In fact, the border has been extended only around Kaliningrad and the Baltic states.", "Gränsen är egentligen bara förlängd runt Kaliningrad och Baltikum."
"If that is not done there will be tension, and a good example of that is Kaliningrad.", "Om detta inte görs kommer det att uppstå spänningar, vilket Kaliningrad är ett bra exempel på."
"We have done our utmost to help bring the Kaliningrad problem to a successful conclusion.", "Vi gjorde vårt yttersta för att hjälpa till att finna en lösning på problemet Kaliningrad."
"We have been talking about people in the Kaliningrad region and thinking about facilitation.", "Vi har talat om människorna i Kaliningradområdet och tänkt på lättnader."
"And Kaliningrad is, of course, a very special case, due to its unique geographic location.", "Och Kaliningrad är naturligtvis ett specialfall på grund av dess unika geografiska placering."
"That is the only way of giving Kaliningrad a chance to improve its development potential.", "Bara på så vis finns det en chans att förbättra utvecklingsmöjligheterna också för Kaliningrad."
"In any case Kaliningrad will become a barometer of our relations.", "I vilket fall som helst kommer Kaliningrad att fungera som barometer för våra relationer."
"Initiatives concerning cooperation with the region of Kaliningrad fit into the same framework.", "Inom samma ram passar initiativ för samarbete med Kaliningradområdet."
"Get the Kalinka over here, load all your light balls on a sled, and...", "Släpa hit Kalinka och skicka alla era ljuskulor till Omstart på en kälke."
"Sir, the shipment from the Kalinka just arrived from the sled bay.", "Sir, kälkstallet skickade precis upp sändningen från Kalinka."
"Capt Sergey Fukov of the CPP Kalinka to unidentified vessel: -", "Kapten Sergej Fukov på CPP Kalinka till oidentifierad farkost."
"According to our scanners, the Kalinka still has 20 light balls.", "Enligt pejlarna har Kalinka 20 ljuskulor kvar."
"Message from the Kalinka: all clear.", "Meddelande från Kalinka: det är grönt."
"It is half past eight in the morning when we step into the mini bus for departure to Kalix.", "Klockan är halv nio på morgonen och vi kliver in i minibussen för avfärd mot Kalix."
"Hospital care, for term 4: Sunderby, Piteå Alvdal, Kalix, Gällivare and Kiruna hospital.", "Öppna rehabiliteringsformer, gäller termin 4:"
"Kalix: Kenneth Björnfot", "Kalix kommun: Kenneth Björnfot"
"Work-based training in the hospital: Sunderby Hospital, Piteå Älvdal Hospital, Kalix Hospital, Gällivare Hospital and Kiruna hospitals.", "Verksamhetsförlagda utbildningsplatser: Sunderby sjukhus, Piteå älvdals sjukhus, Kalix sjukhus, Gällivare sjukhus och Kiruna sjukhus."
"Work-based training in the hospital: Sunderby Hospital, Piteå Älvdal Hospital, Kalix Hospital, Gällivare Hospital and Kiruna hospitals.", "Verksamhetsförlagda utbildningsplatser inom slutenvård: Sunderby sjukhus, Piteå älvdals sjukhus, Kalix sjukhus, Gällivare sjukhus och Kiruna sjukhus."
"Work-based training in the municipalities: Elder Care: All municipalities in the county Mental health: Luleå, Boden and Kalix Municipality", "Verksamhetsförlagda utbildningsplatser inom kommunerna: Äldreomsorg: Samtliga kommuner i länet Psykiatrisk vård: Luleå-, Boden samt Kalix kommun"
"Kalix Municipality", "Kalix kommun"
