//Sentences
"Select this option if you already have address data on an LDAP server.", "Välj det här alternativet om du redan använder en adressbok på en LDAP-server."
"Here you can enter the maximum number of records to be loaded during access to the LDAP server.", "Här anger du hur många dataposter som maximalt laddas vid åtkomst till LDAP-servern."
"Enter the name of the LDAP server here, (for example, in the form: ldap.server.com).", "Här anger du namnet på LDAP-servern, t.ex.: ldap.server.com."
"This is where you enter the settings for an LDAP Server, that you have registered as Address book database type.", "Här gör du inställningar för en LDAP-server som du har registrerat som databastyp Adressbok."
"Here you can enter the port number of the LDAP server, e.g.", "Här anger du LDAP-serverns portnummer, t.ex. 389."
"LDAP Server Properties", "Egenskaper för LDAP-server"
"If you selected " LDAP address book ", the Data Source Administration dialog will display a LDAP tab page, where you enter the LDAP server and its parameters.", "Om du har valt LDAP adressbok har nu dialogrutan Administrera datakällor en ny flik som heter LDAP där du kan ange LDAP-servern och dess parametrar."
"LDIF is an address book interchange format and is usually created by exporting an address book from Netscape Messenger or a directory from an LDAP server.", "LDIF är ett interchange-format för adressböcker och skapas när en adressbok exporteras från Netscape Messenger eller när en katalog exporteras från en LDAP-server."
"Mrs Kinnock wanted to know which LDC countries in particular are likely to export arms.", "Kinnock frågade vilka andra länder som för närvarande kommer att följa efter."
"Market imbalance is not going to come from LDC imports.", "Marknadens obalans kommer inte att orsakas av importen från de mindre utvecklade länderna."
"Mr Graefe zu Baringdorf mentioned ACP and LDC countries.", "Friedrich-Wilhelm Graefe zu Baringdorf tog upp AVS-länderna och de minst utvecklade länderna."
"Why are we focusing so much on LDC imports here?", "Varför fokuserar vi på importen från mindre utvecklade länder?"
"The category of LDC was created by the UN General Assembly in the early 1970s, which was more than 40 years ago.", "Kategorin minst utvecklade länder skapades av FN:s generalförsamling i början på 1970-talet, dvs. för över 40 år sedan."
"On the detail, as has been said, about 99% of LDC exports already enter EU markets duty free.", "När det gäller detaljerna förs, som man redan sagt, ca 99 procent av exporten från de minst utvecklade länderna redan in på EU-marknaderna tullfritt."
"I will go through them, quoting from a speech I made on this issue during the LDC Conference on 16 May.", "Jag skall gå igenom dem, och citera från ett anförande som jag höll om denna fråga vid konferensen om de minst utvecklade länderna den 16 maj."
"We now need a solution for those non-LDC countries which do not feel able to sign up at present.", "Vi behöver nu en lösning för de länder som inte hör till de minst utvecklade länderna och som inte anser sig kunna underteckna avtalet för närvarande."
"The Fourth United Nations conference on the least developed countries (LDC-IV) will take place in Istanbul, Turkey, on 9-13 May this year.", "FN:s fjärde konferens om de minst utvecklade länderna kommer att äga rum i Istanbul i Turkiet den 9-13 maj i år."
"The safeguard clause that was agreed by the Council calls for an upper limit of a 25% increase per year on LDC imports.", "I den skyddsklausul som rådet enats om kräver man en övre gräns på en ökning med 25 procent per år för importer från de minst utvecklade länderna."
"The safeguard clause that was agreed by the Council calls for an upper limit of a 25 % increase per year on LDC imports.", "Vi får inte rösta för en försening av genomförandet eller för någon skyddsklausul som skulle begränsa det löfte som getts i och med ” Allt utom vapen ”."
"It is clear that the reform of the sugar industry will only benefit multinational companies, not the LDC and ACP countries.", "Det är uppenbart att reformeringen av sockerindustrin endast kommer att gynna multinationella bolag, inte de minst utvecklade länderna och AVS-länderna."
"The LDC countries in the Caribbean will be able to ban European exports from the overseas territories using the negative list system.", "AVS-länderna i det karibiska området kan å sin sida förbjuda europeisk export från de utomeuropeiska departementen genom systemet med negativ förteckning."
"EU sugar production of 17 million tonnes will not be distorted; there will not be a market imbalance because of LDC imports.", "EU:s sockerproduktion på 17 miljoner ton kommer inte att drabbas av någon snedvridning. Importer från de minst utvecklade länderna kommer inte att leda till någon obalans på marknaden."
"At the same time we need to go further in eliminating export subsidies and much further in responding to ACP and LDC concerns in particular.", "Samtidigt måste vi gå längre när det gäller att avskaffa exportstöd och ännu mycket längre i fråga om att möta oron från speciellt AVS-länderna och de minst utvecklade länderna."
"I did not realise its members felt they had the right to be spokesmen for the LDC and ACP countries, which have a slightly different view from what is proposed in their amendments.", "Det är uppenbart att reformeringen av sockerindustrin endast kommer att gynna multinationella bolag, inte de minst utvecklade länderna och AVS-länderna."
"However, 10 years later, we have not achieved the goals we set and only two of the 48 countries that make up the LDC block have managed to graduate from LDC status.", "Tio år senare har vi dock inte uppnått de mål vi ställde upp och endast två av de 48 länder som ingår i kategorin minst utvecklade länder har lyckats lämna den kategorin."
"It is true that he is entitled to speak on behalf of all of Africa, but he is not affected because he is an LDC and he has the 'Everything But Arms' system.", "Det är sant att han har rätt att tala för hela Afrika, men han påverkas inte eftersom hans land hör till de minst utvecklade länderna och eftersom han har ”Allt utom vapen”-systemet."
"Are you aware that the Cotonou Agreement also expresses a commitment to undertaking impact studies which might affect non-LDC countries as well as to have consultation?", "Känner ni till att Cotonou-avtalet också ger uttryck för ett åtagande att genomföra konsekvensstudier som kanske berör länder som inte har svag utveckling liksom att ha samråd?"
"Like the resolution that I voted for, I would also like to emphasise that, in 2007, Cape Verde was one of three countries that pulled themselves out of LDC status.", "Precis som i den resolution som jag röstade för vill även jag betona att Kap Verde 2007 var ett av de tre länder som tog sig ut ur situationen att vara ett av de minst utvecklade länderna."
"From time to time the LDP Centre also engages university students for various tasks.", "LDB-centrum engagerar periodvis även studenter vid universiteten i olika uppdragsformer."
"In Oktober 2007 people from Mikkeli and Tampere in Finland were visiting the LDP Centre.", "I oktober 2007 fick LDB-centrum besök från Mikkeli och Tampere i Finland."
"Our research in the LDP area happened in collaboration with the LDP Centre.", "Vår forskning inom LDB-projektet skedde i samarbete med LDB-centrum."
"In order to increase communication we have created a Facebook page for the LDP Centre.", "För att öka möjligheterna till kommunikation har vi skapat en Facebooksida för LDB-centrum."
"To find LDP Centre at Twitter, search for our Twitter name "ldbcentrum".", "För att hitta LDB-centrum på Twitter, sök efter namnet "ldbcentrum"."
"Read about what happens on the LDP-center and in our world right now.", "Läs om vad som händer på LDB-centrum och i vår omvärld just nu."
"About Archives Service, National and LDP activities in Finland.", "Om Arkivverket, Nationalbiblioteket och LDB-aktiviteter i Finland."
"Information about current projects in which LDP Centre is active.", "Information om pågående projekt där LDB-centrum är aktiva."
"The LDP Project started in January 2004.", "I januari år 2004 startade LDB-projektet i Skapa Företagsby, Bodens kommun."
"The LDP Centre is primarily developing methods and technology for digital preservation and preservation systems.", "LDB-centrum utvecklar i första hand metoder och teknik för digitalt bevarande och bevarandesystem."
"Moreover: LTU has been reorganized, LDP center belonging to the Department of Systems and Space Technology (SRT).", "Övrigt: LTU har omorganiserats, LDB-centrum tillhör institutionen för system- och rymdteknik (SRT)."
"Overall on LDP: deals with the topic as a whole.", "Övergripande om LDB: behandlar ämnet i sin helhet."
"Moreover: New members of the LDP Centre Board.", "Övrigt: Nya ledamöter i LDB-centrums styrelse."
"The LDP Centre consists today of four parts working together with long-term digital preservation and access.", "LDB-centrum består i dag av fyra parter som arbetar tillsammans med långsiktigt digitalt bevarande och tillgängliggörande."
"Project Manager: Östen Jonsson, LDP Centre", "Projektledare: Östen Jonsson, LDB-centrum"
"LDP Centre is engaged in the project ENSURE (Enabling knowledge Sustainability Usability and Recovery for Economic value).", "LDB-centrum deltar i projektet ENSURE (Enabling kNowledge Sustainability Usability and Recovery for Economic value)."
"Earlier projects in the LDP Centre.", "Tidigare projekt inom LDB-centrum."
"This is the mission for the LDP Centre.", "Det är LDB-centrums uppgift."
"Contact information for the LDP Centre: E-mail, phone, fax, postal address and information about LDP Centre on Twitter and Facebook.", "Kontaktinformation för LDB-centrum: E-post, telefon, fax, postadress samt information om LDB-centrum på Twitter och Facebook."
"To the LDP Centre web page", "Till LDB-centrums hemsida"
