//Sentences
"GUILAD SHALIT, AUNG SAN SUU KYI, LUIS MENDIETA, ALAN JARA, JORGE TRUJILLO, FORERO,...", "Guilad Shalit, Aung San Suu Kyi, Luis Mendieta, Alan Jara, Jorge Trujillo, Forero ..."
"– Luís Queiró and José Ribeiro e Castro, on behalf of the UEN Group, on Cuba (B5-0214/2004).", "– Luís Queiró och José Ribeiro e Castro för UEN-gruppen om Kuba (B5-0214/2004)."
"Mr President, I would like firstly to congratulate the rapporteur, Luis de Grandes.", "Herr talman! Jag skulle först vilja gratulera föredraganden, Luis de Grandes Pascual."
"I have voted against the report by Luís Queiró on the future of general and business aviation.", "Jag röstade nej till Luís Queirós betänkande om framtiden för allmän- och affärsflyget."
"I therefore thank Luís Queiró for taking the trouble to prepare the report on this subject.", "Jag vill därför tacka Luís Queiró för att han tagit sig tid att skriva ett betänkande om ämnet."
"A 46-year-old army sergeant-major, Luis Conde de la Cruz, was killed by a car bomb in northern Spain.", "En 46-årig militäranställd, Luis Conde de la Cruz, dödades av en bilbomb i norra Spanien."
"Throughout his life José Luis López de Lacalle fought to defend freedom and democracy.", "José Luis López de Lacalle har fört en kamp för att försvara friheten och demokratin under hela sitt liv."
"But there is one aspect included in the wonderful report by Mr Luis Queiró that I would like to stress.", "Ingen annan ekonomisk sektor är så beroende av miljön som turismen."
"But there is one aspect included in the wonderful report by Mr Luis Queiró that I would like to stress.", "Men det finns framför allt en aspekt i det fantastiska betänkandet av Luís Queiró som jag vill framhålla."
"Prosecutor Luis Moreno-Ocampo is already taking action.", "Åklagare Luis Moreno-Ocampo vidtar redan åtgärder."
"The plan that was distributed shows that my colleague Luís Queiró and I, Ribeiro e Castro, should be sitting here.", "Planen som har delats ut placerar min kollega Luís Queiró och mig själv, Ribeiro e Castro, på denna plats."
"The Court's Chief Prosecutor, Luis Moreno-Ocampo, has skilfully helped the Court to strengthen its impartiality globally.", "Domstolens chefsåklagare, Luis Moreno-Ocampo, har skickligt hjälpt domstolen att stärka sin opartiskhet globalt."
