//Sentences
"I think that we must demonstrate transparency and integrity to those who elected us.", "Jag anser att vi måste visa öppenhet och integritet för dem som har valt oss."
"As our rapporteur Mrs Mann said, there must be transparency and full information.", "Det måste finnas, som vår föredragande fru Mann sade, öppenhet och fullständig information."
"Mr President, you are right that we must investigate transparency and accountability.", "Jag har kontinuerligt bekymrat mig över avsaknaden av en ledamotsstadga."
"But at some point there has to be a plan on the table, there must be transparency.", "Men någon gång måste det läggas fram en plan, måste det finnas insyn."
"It must improve transparency and supervision in the banking sector to ward off danger.", "Det måste öka insynen och tillsynen i banksektorn för att undvika risker. Herr Lenarčič!"
"Mr President, you are right that we must investigate transparency and accountability.", "– Herr talman! Ni har rätt i att vi måste undersöka öppenheten och ansvarsskyldigheten."
"The EU must have transparency in its administration, and mad cow disease helps to illustrate this need.", "EU skall ha offentlighet i förvaltningen, och galna ko-sjukan hjälper till att illustrera behovet."
"We must ensure transparency, here and in the Council.", "Vi måste kunna garantera öppenhet, både här och i rådet."
"There must be transparency, there must be more than philanthropy in this notion of corporate social responsibility.", "Det måste finnas en öppenhet, det måste finnas mer än välgörenhet i begreppet ”företagens sociala ansvar”."
"We must increase transparency in the allocation and use of funds and reduce administrative costs and bureaucracy.", "Vi måste öka öppenheten om tilldelning och användning av medel och minska de administrativa kostnaderna och byråkratin."
"This proves that this policy has got out of hand and that we must inject transparency into the flow of funding.", "Detta visar, herr talman, att den här politiken har spårat ur och att vi måste få en bättre insyn i det finansiella flödet."
"There must be transparency within public bodies, but not within the parties, the privacy of whose debates must be guaranteed.", "Det måste finnas insyn inom offentliga organ, men inte inom partierna, vars diskussioner måste få ske inom stängda dörrar."
"There must be transparency of origin.", "Ursprunget måste redovisas öppet."
"Inquiries need to be conducted, there needs to be punishment for the mistake, the punishment needs to be fair and there must be transparency.", "Det är därför vi vill få fram vem som bär skulden, men systemet är utformat för att hindra oss från att göra det."
"Inquiries need to be conducted, there needs to be punishment for the mistake, the punishment needs to be fair and there must be transparency.", "Det måste göras undersökningar, misstaget måste bestraffas, straffet måste vara rättvist och det måste finnas insyn."
"We must increase transparency.", "Vi måste öka transparensen."
"We must guarantee transparency and competition, and that means we must make open tenders, announcements and proposals.", "Vi måste se till att garantera insyn och konkurrens, och det betyder att vi måste ha öppna procedurer för anbudsförfaranden, tillkännagivanden och förslag."
"In this group too, the watchwords must be transparency and accessibility, so the agenda, minutes and minority opinions must all be made public.", "Även i den kommittén skall öppenhet och tillgänglighet vara nyckelord, det vill säga öppenhet med avseende på dagordning, protokoll och även minoritetsåsikter."
"We must demand transparency, and we must demand that the existing European parties scrupulously observe rules and laws instead of cheating their way around them.", "Vi måste kräva öppenhet, och vi måste kräva att befintliga europeiska partier till punkt och pricka följer regler och lagar i stället för att fiffla med dem."
"The examinations must be thorough, they must be carried out by independent experts and there must be transparency about methods and possible factors of uncertainty.", "Undersökningarna skall vara grundliga, de skall utföras av oberoende experter, och det skall råda öppenhet kring metoder och eventuella osäkerhetsfaktorer."
"My buddy, Jay Binns, has some really rare ones.", "Min kompis, Jay Binns, har några riktigt ovanliga."
"My buddy says, 'C'mon, let's do this.'", "Min kompis säger, "Kom igen, nu gör vi detta.""
"My buddy lives in Montauk.", "Min kompis bor i Montauk."
"My buddy and me.", "Min partner och jag."
"Recently in my home town of Poznań an incident occurred which is symptomatic of this.", "I min hemstad Poznań inträffade nyligen en händelse som är symptomatisk för detta."
"I saw the words 'Nobody is illegal' painted on a wall in my home town of Poznań.", "Jag såg orden ”ingen är olaglig” målade på en vägg i min hemstad Poznań."
"In my home town there was once a rubber factory, but it is no longer there.", "I min stad fanns det en gång en gummifabrik som inte finns längre."
"It costs DM 2 to park for half an hour in my home town, Hamburg, which is pretty steep!", "Två D-mark för en halv timmes parkering i min hemstad Hamburg - det är inget dåligt pris det!"
"In my home town of Hamburg, this discussion is of very major importance.", "I min hemstad Hamburg är detta en oerhört viktig diskussion."
"I was with Mrs Banotti, who was canvassing in my home town yesterday.", "Jag följde med Banotti, som värvade röster i min hemstad i går."
"We have a saying in my home town that "what is born crooked will take a long time, if at all, to grow straight' .", "Man säger i mitt land att den som föds sned, sent eller aldrig rätar på sig."
"We have a saying in my home town that " what is born crooked will take a long time, if at all, to grow straight '.", "Man säger i mitt land att den som föds sned, sent eller aldrig rätar på sig."
"Mr President, Commissioner, the Erika is still lying at the bottom of the sea, off the coast of my home town.", "Herr talman, fru kommissionär! Erika ligger fortfarande på havets botten utanför min stad."
"We do not have enough nurses any more in my town.", "Vi har inte längre tillräckligt med sjuksköterskor i min hemstad."
"A few years ago a tragedy occurred in my own home town.", "Det kan aldrig försvaras eller uppfattas i relativ mening."
"A few years ago a tragedy occurred in my own home town.", "För ett par år sedan inträffade en tragedi i min hemstad."
"We can benefit from practical experience gained in ports such as my home town, Rotterdam.", "I det sammanhanget kan vi alla dra nytta av de praktiska erfarenheterna från hamnar i bland annat min hemort Rotterdam."
"A few years ago, a goods wagon containing poison overturned in my home town of Næstved, with catastrophic consequences.", "För ett par år sedan välte en tågvagn med gift ombord i min hemstad Næstved med katastrofala följder."
"My home town, Budapest, is one of the candidates.", "Min egen hemstad, Budapest, är en av kandidaterna."
"For many decades my town, Sopron, was separated from its immediate environment and from Austria by an iron curtain.", "Under många årtionden skiljde en järnridå min stad, Sopron, från den närmaste omgivningen och från Österrike."
"The third point I should like to make relates to the fact that a sugar refinery operated in my home town from 1890 until 1994.", "För det tredje vill jag tala om det sockerraffinaderi som fanns i min hemstad mellan 1890 och 1994."
"Last week, a young person from my town, Apeldoorn, sent a touching e-mail about peace in the Middle East.", "Herr talman! Förra veckan skickade en ung pojke i min bostadsort Apeldoorn ett rörande e-postmeddelande om fred i Mellanöstern."
"By way of example, in January 1996, we set up for my town of Istres the third plan entitled 'information technology - schools' .", "Som ett exempel införde vi i januari 1996 i min stad, Istres, den tredje IT-strategin, avsedd för skolorna."
"By way of example, in January 1996, we set up for my town of Istres the third plan entitled 'information technology - schools '.", "Som ett exempel införde vi i januari 1996 i min stad, Istres, den tredje IT-strategin, avsedd för skolorna."
"A system that addresses CO2 alone will not yield the maximum effect.", "Ett system som endast inriktas på koldioxid kommer inte att ge maximal effekt."
"At the same time we have to make sure that this money is well spent to ensure the maximum effect.", "Samtidigt måste vi se till att dessa medel spenderas väl för att maximal effekt ska uppnås."
"The call for resources to be used to maximum effect in the motion for a resolution is of course welcome.", "En effektiv insats av resurser, som det krävs i resolutionsförslaget, kan naturligtvis välkomnas."
"If it is to have maximum effect a human rights policy must be clear, transparent, fair and consistent.", "För att få bästa möjliga effekt måste politiken för mänskliga rättigheter vara entydig, tydlig, rättvis, alltså konsekvent."
"As is the case with drugs, a greater stimulus is needed to achieve the maximum effect.", "Visst kommer man att tala om för mig att det krävs ännu mer om man vill att stimuleringseffekten skall bli fullständig, som för den drogade."
"The international community must act as unanimously as possible to give diplomatic pressure maximum effect.", "Den internationella gemenskapen måste i så hög grad som möjligt uppträda som en enhet för att ge det diplomatiska trycket maximal effektivitet."
"Member States are now being given opportunities to direct these resources so as to achieve the maximum effect in increasing energy efficiency.", "Medlemsstaterna får nu möjlighet att rikta dessa resurser så att de får maximal effekt när det gäller att öka energieffektiviteten."
"I fully agree that development aid to Afghanistan must be used to maximum effect and that effective coordination is critical.", "Jag instämmer till fullo i att utvecklingsbiståndet till Afghanistan måste användas så effektivt som möjligt och att en effektiv samordning är avgörande."
"This means that funds must be used to achieve maximum effect and information on successful partnerships must be widely and rapidly disseminated.", "Detta innebär att medlen måste användas så att de ger maximal effekt, och information om framgångsrika partnerskap måste spridas snabbt och vida omkring."
"The Commission services will cooperate very closely with Parliament to ensure that these resources are used to maximum effect, but I cannot give any further details at this stage.", "Kommissionens avdelningar kommer att samarbeta mycket nära med parlamentet för att garantera att dessa resurser används till maximal verkan, men jag kan inte ge fler detaljer än så för närvarande."
"In practice, however, this House could make do with one newspaper for a whole year.", "I praktiken skulle dock denna kammare kunna klara sig med samma tidning under ett helt år."
"So we are going to have to make do with the possibilities we have.", "Vi kommer alltså att vara tvungna att anpassa detta till de möjligheter vi har."
"The European Union can no longer make do with declarations of intent.", "Europeiska unionen kan inte längre hålla till godo med avsiktsförklaringar."
"With this policy we will have to make do with 7% or 8% instead.", "Med den här politiken kommer vi att ha att göra med 7 eller 8 procent i stället."
"One way or the other, we cannot expect the House to make do with the present system.", "Det här tillvägagångssättet borde vi i alla fall inte ha i längden."
"The poor population has to make do with emergency humanitarian aid.", "Den fattiga befolkningen får klara sig med en utdragen humanitär nödhjälp."
"Since we do not have a Toulouse I, we shall have to make do with Seveso II and its revised version.", "I brist på Toulouse 1 kommer vi att nöja oss med Seveso 2 och översynen av det."
"Why make do with studies conducted by the companies themselves?", "Varför nöjer man sig med undersökningar som har utförts av företagen själva?"
"At the moment, they have to make do with American websites.", "Nu får de söka svar på sina frågor så gott de kan på amerikanska webbplatser."
"The company was thus obliged to make do with documentation in French only.", "Företagaren kunde alltså bara arbeta med dokument på franska."
"We can make do with those that are available. We have ample opportunities.", "Det finns rikligt med kosmetiska produkter på marknaden."
"We cannot just make do with speeches here, in the European Parliament.", "Vi kan inte bara nöja oss med att prata här i parlamentet."
