//Sentences
". - (NL) Has this Parliament really not learnt from its past mistakes?", "skriftlig. - (NL) Har parlamentet verkligen inte lärt av sina tidigare misstag?"
"(NL) Mr President, I voted against the Roure report for a number of basic reasons.", "(NL) Herr talman! Jag röstade mot Roure-betänkandet av flera grundläggande skäl."
"(NL) Mr President, volunteers do a great deal, at both local and regional level.", "(NL) Herr talman! Volontärarbetare gör mycket, både på lokal och på regional nivå."
"(NL) Mr President, we are discussing the last budget under the Treaty of Nice.", "(NL) Herr talman! Vi diskuterar den sista budgeten inom ramen för Nicefördraget."
"(NL) First of all, I would like to thank Baroness Ludford for this fine report.", "(NL) Först och främst vill jag tacka Sarah Ludford för detta utmärkta betänkande."
". - (NL) Two key reasons prevented me from supporting this resolution.", "skriftlig. - (NL) Två huvudsakliga skäl hindrade mig från att stödja resolutionen."
"(NL) Mr Deva's proposal is the best we can expect from a British Conservative.", "(NL) Devas förslag är så bra som vi kan förvänta oss av en brittisk konservativ."
"(NL) Madam President, I am happy that Croatia is coming ever closer to accession.", "(NL) Fru talman! Jag är glad över att Kroatien kommer allt närmare en anslutning."
"(NL) Mr President, I wish to thank the Commissioner for his clear intervention.", "(NL) Herr talman! Jag vill tacka kommissionsledamoten för hans tydliga ingripande."
"(NL) 'Prevention is better than cure' is the motto of the European Commission.", "(NL) ”Det är bättre att förebygga än att behandla”, är mottot för kommissionen."
"(NL) Mr President, industry is bound to notice that drastic measures will be taken.", "(NL) Herr talman! Industrin måste märka att drastiska åtgärder kommer att vidtas."
"(NL) Madam President, I am speaking here on behalf of my colleague Mr Blokland.", "(NL) Fru talman! Jag talar som företrädare för min kollega Johannes Blokland."
"(NL) Mr President, gender equality is a regularly recurring theme in this House.", "(NL) Herr talman! Jämställdhet mellan könen är ett återkommande tema här i kammaren."
"(NL) Without democratic regulation by the state, health becomes a commodity.", "(NL) Utan demokratiska regler från myndigheternas sida blir hälsan en handelsvara."
". - (NL) In 2006, liberalisation of the services market was introduced.", "skriftlig. - (NL) Under 2006 påbörjades liberaliseringen av tjänstemarknaden."
"(NL) Mr President, in life, and certainly in politics, hope is very important.", "(NL) Herr talman! I livet, och förvisso i politiken, är hoppet mycket viktigt."
"- (NL) Mr President, I wish to make a number of remarks on behalf of my group.", "- (NL) Herr talman! Jag vill framföra några kommentarer på min grupps vägnar."
"(NL) Mr President, this was a disaster on an unprecedented scale for Taiwan.", "(NL) Herr talman! Detta var en katastrof av helt oförutsedd storlek för Taiwan."
"- (NL) In a democratic state, political and ethnic minorities have rights, too.", ". (NL) I en demokratisk stat har även politiska och etniska minoriteter rättigheter."
