//Sentences
"Passenger Name Record (PNR) (motions for resolutions tabled): see Minutes", "Passageraruppgifter (PNR-uppgifter) (ingivna resolutionsförslag): se protokollet"
"The next item is the Council and Commission statements on the Passenger Name Record (PNR).", "Nästa punkt är rådets och kommissionens uttalanden om passageraruppgifter (PNR-uppgifter)."
"Mr President, for the record, my name is pronounced van Velzen.", "Herr talman! Mitt namn är Van Velzen, för den nederländska översättningen."
"EU external strategy on Passenger Name Record (PNR) (debate)", "EU:s yttre strategi för passageraruppgifter (PNR) (debatt)"
"First, we had Secure Widespread Identities for Federated Telecommunications (SWIFT), and now Passenger Name Record (PNR).", "Först hade vi Swiftavtalet och nu har vi avtalet om passageraruppgifter."
"Sinn Féin believes the Passenger Name Record (PNR) Agreement should not be entered into lightly or behind closed doors.", "(EN) Sinn Féin anser att PNR-avtalet inte bör ingås utan vägande skäl eller bakom stängda dörrar."
"EU external strategy on Passenger Name Record (PNR) (", "EU:s yttre strategi för passageraruppgifter (PNR) ("
"Parliament aims to strengthen the procedures for the transfer of passenger name record (PNR) data to third countries.", "Parlamentet har för avsikt att stärka förfarandena för överföring av PNR-uppgifter till tredjeländer."
"So far, the United States has refused to limit its use of passenger name record data to the fight against terrorism.", "Hittills har Förenta staterna vägrat begränsa användningen av flygbolagens personuppgifter till kampen mot terrorismen."
"This is precisely what makes this debate and the conclusion of a sound Passenger Name Record (PNR) agreement so important, of course.", "Det är naturligtvis just detta som gör denna debatt och slutandet av ett grundligt PNR-avtal så viktigt."
"Passenger Name Record (PNR) (debate)", "Passageraruppgifter (PNR-uppgifter) (debatt)"
"The next item is the statements by the Council and the Commission on the European Union's external strategy on the Passenger Name Record (PNR).", "Nästa punkt är uttalanden av rådet och kommissionen om EU:s yttre strategi för passageraruppgifter (PNR)."
"Passenger Name Record (PNR) (", "Passageraruppgifter (PNR-uppgifter) ("
"The transfer of Passenger Name Record (PNR) data is an important element in the fight against terrorism and transnational crime.", "skriftlig. - (FR) Överförandet av passageraruppgifter är en viktig del av kampen mot terrorism och annan gränsöverskridande brottslighet."
"The argument that there are Passenger Name Record data now that are already being transferred to third countries without any sort of checks does not hold.", "Argumentet att det redan finns passageraruppgifter som överförs till tredjeländer utan något slags kontroll håller inte."
"On 21 September 2010, the European Commission presented its global approach to transfers of Passenger Name Record (PNR) data to third countries.", "Den 21 september 2010 lade Europeiska kommissionen fram sin globala strategi för överföring av passageraruppgifter till tredjeländer."
