//Sentences
"It is almost impossible for the Court of Auditors to obtain access to documents.", "Det är nästan omöjligt för revisionsrätten att få tillgång till dokument."
"To obtain access to a document, one needs first of all to know that it exists.", "För att få tillgång till en handling måste man först och främst veta att den existerar."
"In the United States it is easy for an SME to obtain access to risk capital.", "I Förenta staterna är det enkelt för små och medelstora företag att få tillgång till riskkapital."
"Despite searching, I have been unable to obtain access to your decision.", "Trots eftersökningar har jag icke fått tillgång till ert beslut."
"by accession, enabling Czech steel companies to obtain access to coal at international market prices.", "Det stödmottagande företaget Nová Huťs verksamhetsplan skall genomföras."
"No international body has been able to obtain access to refugees returned to Uzbekistan.", "Inga internationella organ har kunnat få tillgång till de flyktingar som återvänt till Uzbekistan."
"It provides the people of Europe with unifying legislation concerning the way in which they are to obtain access to documents.", "Den ger Europas medborgare en sammanhållande lagstiftning om hur de får tillgång till dokument."
"As a Member of the European Parliament, I could not obtain access to the proposal until a few hours before it was in actual fact adopted.", "Som ledamot av Europaparlamentet fick jag inte tillgång till förslaget förrän några timmar innan det faktiskt antogs."
"If, however, they were to obtain access to energy under conventional conditions, that would lead to major damage to the environment and climate.", "Om de emellertid får tillgång till energi på konventionella villkor leder det till stora skador för miljö och klimat."
"However, the issue that is still causing me concern is whether we really will obtain access to the Indian market for our enterprises.", "Den fråga som emellertid fortfarande oroar mig är huruvida vi verkligen kommer att få tillträde till den indiska marknaden för våra företag."
"The latter do not appear to require greater occupational flexibility and mobility.", "De senare tycks inte vara i behov av större flexibilitet och rörlighet på arbetsmarknaden."
"I believe that geographical and occupational mobility is a crucial instrument for the success of the Revised Lisbon Strategy.", "Jag anser att geografisk och yrkesmässig rörlighet är nödvändigt för att den förnyade Lissabonstrategin ska lyckas."
"Mr President, Mr Bartenstein, I share your view that the possibility of transferring supplementary occupational pensions undoubtedly increases mobility.", "Vi vill inte bara införa riktlinjerna för överföring av kompletterande tjänstepensioner – vi vill ha en allmän strategi."
"Mr President, Mr Bartenstein, I share your view that the possibility of transferring supplementary occupational pensions undoubtedly increases mobility.", "– Herr talman, herr Bartenstein! Jag delar er uppfattning att möjligheten att överföra kompletterande tjänstepensioner utan tvekan ökar rörligheten."
"Occupational mobility is hampered by the frequent absence of mutual recognition of taxation systems and of transferability of supplementary pension rights.", "Den fria rörligheten hindras av att det ofta saknas ett ömsesidigt erkännande av de olika skattesystemen och möjligheter att överföra pensionsrättigheter mellan medlemsstaterna."
"In this way we will guarantee that the certification processes are complementary and that the conditions for the occupational mobility of European workers and young people are improved.", "På så sätt garanterar vi att certifieringsprocesserna blir kompletterande och att villkoren för den yrkesmässiga rörligheten för arbetstagare och unga i EU förbättras."
"(HU) There has been much talk about growth in geographic and occupational mobility within the Union as a key factor in reducing unemployment and increasing economic competitiveness.", "(HU) Det har talats mycket om ökningen av den geografiska och yrkesmässiga rörligheten som en avgörande förutsättning för att minska arbetslösheten och öka den ekonomiska konkurrenskraften."
"How does the Commission intend to support and promote further the geographic and occupational mobility of workers as a means to improving the functioning of the labour market in Europe?", "Hur avser kommissionen att ytterligare stödja och främja arbetstagarnas geografiska och yrkesmässiga rörlighet som ett led i arbetet för att förbättra den europeiska arbetsmarknadens funktion?"
"The Luxembourg proposal was already scarce and at the limits of acceptability.", "Redan det luxemburgska förslaget var otillräckligt och på gränsen till oacceptabelt."
"These are two safeguards for the quality and the acceptability of European legislation.", "Dessa är två garanter för gemenskapslagstiftningens kvalitet och godtagbarhet."
"The public acceptability of research in the Member States plays an important part in this.", "Acceptansen i medlemsstaterna av denna forskning spelar här en viktig roll."
"Society signals the limits of acceptability in part by what it criminalises or bans.", "Samhället signalerar till en del gränserna för det acceptabla genom det som det kriminaliserar eller förbjuder."
"Any problems in relation to the acceptability of this directive are based on a fundamental misunderstanding.", "Problemen avseende acceptansen av detta direktiv beror på en grundläggande missuppfattning."
"Are Professor Pelinka's remarks not completely within the bounds of acceptability in a democracy?", "Är inte Pelinkas yttrande något som ligger helt inom ramen för vad som måste accepteras i en demokrati?"
"How does the Commission judge the acceptability of the keeping of rabbits in cages with regard to animal protection?", "Anser kommissionen att uppfödningen av kaniner i bur är acceptabel med hänsyn till djurskyddet?"
"It is a question of legitimacy and acceptability.", "Det handlar om berättigande och att kunna acceptera."
"The challenge for the British presidency and the Austrian and every other one that succeeds is acceptability.", "Utmaningen för det brittiska ordförandeskapet och det österrikiska och alla andra som följer sedan är godtagbarhet."
"Say whether it agrees that parliamentary assent would give the agreement greater legitimacy and public acceptability?", "Håller rådet med om att parlamentets samtycke skulle ge avtalet större legitimitet och allmän acceptans?"
"Competition, however, cannot be used as the sole criterion when assessing the acceptability of a planned merger.", "Det går emellertid inte att bedöma om företagskoncentrationer är välgrundade enbart utifrån ett konkurrensperspektiv."
"Decoupling aid from production would decrease production, whilst its acceptability would grow more uncertain.", "Att frikoppla stödet från produktionen skulle leda till att produktionen minskar, och det är osäkert om detta skulle accepteras."
"The question on the ballot paper was about one thing only – the acceptability of the Constitution – and the answer was equally clear.", "Frågan på valsedeln handlade om en enda sak – godkännande av konstitutionen – och svaret var lika tydligt."
"This could have a very profound impact on both the people of Europe and the acceptability of the whole European project.", "Den kan ha ett mycket djupgående inflytande på både Europas befolkning och hela det europeiska projektets godtagbarhet."
"And you talk of social acceptability?", "Och du talar om samhällets acceptans?"
"Doctors in training are in many cases exploited far beyond the bounds of acceptability and this puts human lives in danger.", "Läkare under utbildning utnyttjas ofta långt över gränsen till vad som är godtagbart och på det sättet äventyras människors liv."
"Mrs Frassoni, all issues of acceptability are studied with the chairmen and with the services before the vote.", "Fru Frassoni! Alla frågor som har att göra med tillåtlighet behandlas tillsammans med ordförandena och tjänsterna innan omröstningen äger rum."
"To me there is no harm in that, and the acceptability of Europe requires that we do not try to do away with that tradition.", "Enligt min uppfattning är ingen skada skedd med det och den europeiska godtagbarheten kräver att vi inte gör oss av med den traditionen."
"The rapporteur recognises this problem, but places too much faith in the availability and acceptability of non-animal tests.", "Föredraganden erkänner detta problem, men har en alltför stor tro på tillgängligheten och godtagbarheten av tester som inte utförs på djur."
"Meeting the need predominantly from non-renewable sources of energy is beginning to outweigh environmental acceptability.", "I miljösynpunkt håller vi på att överskrida gränsen för det godtagbara genom att vi främst tillgodoser detta behov med energi från icke förnybara källor."
"It seems right that the EU should act to get rid of another substance of high concern.", "Det verkar vettigt att EU agerar för att bli av med ännu ett oroväckande ämne."
"I am conscious that this issue is of high concern to the public and to business.", "Jag är medveten om att frågan är av stor betydelse både för allmänheten och för näringslivet."
"The lack of coordination among UN agencies in managing humanitarian crises is of high concern.", "Bristen på samordning mellan FN-organ när det gäller att hantera humanitära kriser är mycket problematisk."
"Such issues are of high concern to many parts of Ireland.", "Sådana frågor är mycket viktiga för många delar av Irland."
"REACH requires any substance of very high concern to be banned unless a strong case for authorisation is made justifying its continued use.", "Inom ramen för REACH krävs att alla högriskämnen måste förbjudas, såvida det inte föreligger starka skäl för godkännande som rättfärdigar fortsatt bruk av ämnet."
