//Sentences
"That would certainly be very beneficial and useful from a political point of view.", "Det skulle verkligen vara mycket gynnsamt och värdefullt ur politisk synvinkel."
"However, I should like to look at the issue more from the political point of view.", "Jag skulle emellertid vilja belysa saken mera från den politiska sidan."
"That part is very important for us, including from a political point of view.", "Detta är oerhört viktigt för oss, inklusive ur ett politiskt perspektiv."
"The report assumes an overly one-sided political view of human rights in the Union.", "Betänkandet återspeglar en alltför ensidig politisk syn på mänskliga rättigheter i unionen."
"From a political point of view, though, this change is of the utmost significance.", "Ur politisk synvinkel är denna förändring dock av största betydelse."
"The majority of Parliament seems not to share Mrs d'Ancona's political view.", "Majoriteten av parlamentets ledamöter verkar inte dela kollega d'Anconas politiska vision."
"From a political point of view, the revision of the directive still remains on the agenda.", "Ur politisk synvinkel finns översynen av direktivet fortfarande kvar på dagordningen."
"From a political point of view, it is nevertheless a regrettable decision.", "Från politisk synpunkt är det icke desto mindre ett beklagligt beslut."
"The majority of Parliament seems not to share Mrs d'Ancona's political view.", "Majoriteten av parlamentets ledamöter verkar inte dela kollega d ' Anconas politiska vision."
"In this field, therefore, we must act very prudently, from legal and political points of view.", "Därför måste vi röra oss mycket försiktigt, både från rättslig och politisk synpunkt."
"I want to talk about a subject that is almost taboo from a political point of view.", "Jag vill tala om ett ämne som nästan är politiskt tabubelagt."
"If we could achieve this, it would be important from both economic and political points of view.", "Det skulle vara viktigt både ur ekonomisk och politisk synvinkel om vi kunde uppnå det."
"From a more political point of view, this agreement fulfils four additional important objectives.", "I ett mer politiskt perspektiv uppnår detta avtal fyra andra viktiga mål."
"From a political point of view, the Council will bear it in mind before it decides what to do.", "Rådet kommer att betrakta saken ur politisk synvinkel och då undersöka hur det skall handla."
"From a social and political point of view, it is when violence causes concern that the problem arises.", "Ur social och politisk synvinkel är det när våldet skapar oro som det uppstår problem."
"I know your political view on this issue and you know mine.", "Jag känner till er politiska åsikt i denna fråga, och ni känner till min."
"The region is also important from the point of view of political stability.", "Området är också viktigt ur säkerhetspolitisk synvinkel."
"From a political point of view, a series of questions is being raised to which I shall refer in a moment.", "Ur politisk synvinkel finns det en rad frågor, vilka jag skall tala om i det följande."
"It is therefore also necessary from a purely political point of view to reinforce the Roma population.", "Det är därför nödvändigt från en ren politisk ståndpunkt att stärka den romska befolkningen."
"I have been involved in these discussions for twenty years and I have changed my political view to some extent.", "Jag har följt denna diskussion i tjugo år och har med tiden kommit att ändra åsikt."
"Kazakhstan lies between Russia and China and near to Iran and politically unstable Afghanistan.", "Kazachstan ligger mellan Ryssland och Kina och nära Iran och det politiskt instabila Afghanistan."
"The Stability Pact is being applied to an area which continues to be politically fragile and unstable.", "Stabilitetspakten tillämpas på ett område som fortsätter att vara politiskt bräckligt och instabilt."
"How can we negotiate in such a politically unstable area?", "Hur kan vi förhandla i en så politiskt instabilt region?"
"We will be less dependent on imports from countries that are sometimes both politically and economically unstable.", "Vi blir mindre beroende av import från länder som ibland är både politiskt och ekonomiskt instabila."
"However, the price of imported energy is rising, and energy is imported from politically and economically unstable regions.", "Priset på importerad energi stiger likväl, och energi importeras från politiskt och ekonomiskt instabila områden."
"Owing to the politically unstable situation in the country and the civil war, not one Member State recognises the Taleban government.", "På grund av den instabila politiska situationen och inbördeskriget i landet erkänner inte en enda av unionens medlemsstater talibanregeringen."
"European initiatives may help the politically unstable countries in North Africa from which large numbers of illegal immigrants originate.", "Med europeiska initiativ kan vi hjälpa de politiskt instabila länderna i Nordafrika, varifrån det stora antalet olagliga invandrare nu kommer."
"Both those in government and the people of that country are fearful of the possibility that Muslim extremists will take advantage of the politically unstable situation.", "Detta måste få ett slut, för alla länderna i Centralasien har faktiskt religionsfrihet inskriven i sina konstitutioner."
"Fossil fuels are running out; they come from politically unstable parts of the world and continue to be a major source of CO2 emissions.", "Fossila bränslen är på väg att ta slut. De kommer från politiskt instabila delar av världen och fortsätter att vara en stor källa till koldioxidutsläpp."
"Both those in government and the people of that country are fearful of the possibility that Muslim extremists will take advantage of the politically unstable situation.", "Både de styrande och folket i landet är rädda för att muslimska extremister kan komma att dra nytta av den politiskt instabila situationen."
"Trying at all costs to speed up enlargement, including economically weak and politically unstable countries, certainly has not helped the consolidation of the European project.", "Att till varje pris försöka skynda på utvidgningen och få med ekonomiskt svaga och politiskt instabila länder har verkligen inte varit till någon hjälp för konsolideringen av EU-projektet."
"But we also must avoid panic, because if we panic we will make poor decisions.", "Men vi måste också undvika panik, för om vi drabbas av panik kommer vi att fatta dåliga beslut."
"In Poland, we come across many instances of fraud, or simply of consumers making poor financial decisions, unaware of their implications.", "I Polen stöter vi på många fall av bedrägerier, eller helt enkelt att konsumenterna fattar dåliga finansiella beslut eftersom de är okunniga om dess konsekvenser."
"As I have often said, a poorly informed citizen and in particular a poorly informed politician make poor judgements and poor decisions.", "Jag tröttnar aldrig på att här upprepa att en dåligt informerad medborgare och i synnerhet en dåligt informerad politiker gör dåliga bedömningar och fattar dåliga beslut."
"No excellent information policy can cover for a chaotic structure or poor decisions, but much of the dissatisfaction felt by our citizens stems from the EU's distant stance.", "Inte ens med en bra informationspolitik kan man rätta till en rörig struktur eller dåliga beslut, men till en stor del beror medborgarnas missnöje på EU: s avlägsenhet."
"(DE) Mr President, we must not forget that misinformation and poor decisions made by the US secret service have repeatedly made it possible for acts of international terrorism to happen.", "(DE) Herr talman! Vi får inte glömma att den amerikanska underrättelsetjänstens felaktiga upplysningar och dåliga beslut vid flera tillfällen har möjliggjort internationella terrordåd."
"The basic aim of long-term EU climate policy is to limit the rise in temperature to a maximum of 2°C above pre-industrial levels.", "Det grundläggande målet för EU:s långsiktiga klimatpolitik är att den globala uppvärmningen skall uppgå till +2 °C som mest i förhållande till nivåerna före industrialiseringen."
"It is therefore imperative to adhere to the aim of limiting global warming to a maximum of two degrees Celsius above pre-industrial levels.", "Det är därför absolut nödvändigt att hålla fast vid målet att begränsa den globala uppvärmningen till högst två grader Celsius över de nivåer som rådde före industrialiseringen."
"Yes, we must come to an agreement in Copenhagen to limit the increase in the global mean temperature so that it does not exceed the pre-industrial levels by more than 2 degrees.", "Vi måste nå ett avtal i Köpenhamn om att begränsa ökningen av den globala medeltemperaturen, så att den inte överskrider de förindustriella nivåerna med mer än 2 grader."
"In fact, agreement was reached only on a legally non-binding target of limiting global warming to a maximum of 2°C by comparison with pre-industrial levels.", "I själva verket enades man endast om ett i rättsligt hänseende icke bindande lägsta mål som innebär en begränsning av den globala uppvärmningen till maximalt 2 °C jämfört med förindustriell nivå."
