//Sentences
"Again, Goldstone is clear: these detentions of PLC members are contrary to international law.", "Ännu en gång är Richard Goldstone tydlig: detta förvar av PLC-ledamöterna strider mot folkrätten."
"That's a Siemens S7-400 PLC, programmable logic [controller].", "Det här är en Siemens S7-400 PLC, ett programmerbart styrsystem."
"I can assure him that as a UK PLC this simply would not do at all.", "Jag kan försäkra honom om att detta inte hade gått för sig för ett publikt aktiebolag i Storbritannien."
"‘Fruitflow’ is a water-soluble tomato extract produced by Provexis plc which inhibits platelet aggregation;", "Fruitflow tillverkas av företaget Provexis och är ett vattenlösligt tomatextrakt som motverkar blodplättsaggregation."
"The Commission is currently in the process of reviewing a ‘restructuring plan’ submitted to it by Allied Irish Banks plc (AIB).", "Kommissionen utvärderar för närvarande en s.k. omstruktureringsplan som Allied Irish Banks plc (AIB) har lagt fram för den."
"PLC's, these small boxes which have no display, no keyboard, which are programmed, are put in place, and they do their job.", "Programmerbara styrsystem, dessa små lådor utan skärm, utan tangentbord, som att programmerade, placerade på plats, och gör det de ska."
"I am a member of the Environmental Advisory Board of a company called Shanks plc in the UK and have been for the past three years.", "Jag är medlem i det rådgivande organet för miljöfrågor för ett företag som heter Shanks plc i Storbritannien och har varit detta under de senaste tre åren."
"Yet the UK, and therefore its tax payers, are usually unwilling donors to aid recipients whilst debt mountains pile up for UK plc.", "Ändå är Storbritannien och därmed dess skattebetalare vanligtvis motvilliga givare till stödmottagare samtidigt som skuldberget växer för de brittiska börsnoterade företagen."
"In the case of Ireland, penetration rates by these companies in the larger cities and towns is of the order of 90 %, far exceeding those of Eirecom PLC.", "När det gäller Irland, har dessa bolag en genomslagsgrad i storleksordningen 90 procent i större och mellanstora städer, vilket är långt mer än Eirecom PLC."
"We may well speed up in the long run by putting this directive back on track, rather than continuing endlessly with the European plc.", "Det kan mycket väl vara så att det på sikt går snabbare för oss om vi på nytt initierar detta direktiv i stället för att bara fortsätta med europeiska aktiebolag i all evighet."
"1 January 2000 is very close indeed, and a certain strategy has already been put in place by her predecessor for keeping an eye on what is happening as regards the European plc.", "Den 1 januari 2000 närmar sig redan. Även hennes föregångare hade satt in en viss strategi för att se hur det gick med det europeiska aktiebolaget."
