//Sentences
"In this directive, the PSC authorities are at risk of being given extra tasks.", "I detta direktiv riskerar PSC-myndigheterna att åläggas extra uppgifter."
"Firstly, the points of single contact (PSC).", "För det första de gemensamma kontaktpunkterna."
"Fourthly: it is common knowledge that the capacity of the port State control, or PSC, in the Member States is inadequate.", "För det fjärde: det är vida känt att kapaciteten hos hamnstatens inspektionsmyndighet, hamnstatskontrollen eller PSC, i medlemsstaterna är otillräcklig."
"Mr Ehler's report calls for the conditions for military cooperation to be laid down and for a clear definition of the PSC.", "Christian Ehler begär i sitt betänkande att villkor för det militära samarbetet ska fastställas och att det permanenta strukturerade samarbetet ska definieras tydligt."
"Military capabilities will be developed at an EU level among those Member States which want this by means of a Permanent Structured Cooperation (PSC).", "Den militära kapaciteten kommer att utvecklas på EU-nivå i de medlemsstater som vill ha en sådan genom ett permanent strukturerat samarbete."
"The United States' request for bilateral agreements was first discussed by the Council in the Political and Security Committee (PSC) on 26 July.", "Förenta staternas uppmaning till bilaterala överenskommelser diskuterades för första gången av rådet i kommittén för utrikes- och säkerhetspolitik den 26 juli."
"I supported the position of the rapporteur who thinks that setting up points of single contact (PSC) is a key element to implementing this directive effectively.", "Jag håller med föredraganden om att inrättandet av gemensamma kontaktpunkter är väsentligt för att direktivet ska kunna genomföras på ett effektivt sätt."
"There was agreement in the PSC on a provisional common response that the Member States could give to the United States in the course of bilateral contacts.", "I kommittén för utrikes- och säkerhetspolitik rådde enighet om ett preliminärt gemensamt svar som medlemsstaterna skulle kunna ge till Förenta staterna under de bilaterala kontakterna."
"Everything happening in Portugal was foreseen by the PSD during the 2009 elections.", "Allt det som händer i Portugal förutsåg PSD i valrörelsen 2009."
"Members of the Portuguese PSD (Social Democratic Party) therefore voted in favour of this report.", "Ledamöterna av portugisiska PSD (socialdemokratiska partiet) röstade därför för detta betänkande."
"Unfortunately, you did not mention this correction in the PSD study.", "Tyvärr nämnde ni inte rättningen i PSD:s studie."
"I do not wish to return to the issue of whether it was right or wrong for you to appear in an advert for the PSD in Portugal.", "Jag vill inte återgå till frågan om huruvida det var rätt eller fel av er att figurera i en reklamannons för PSD i Portugal."
"It is significant that our motion was rejected by the majority of EP Members, including those from the PS, the PSD and the CDS-PP.", "Det är talande att vårt yrkande avvisades av en majoritet av Europaparlamentets ledamöter, inklusive de från PS, PSD och CDS-PP."
"The PS, PSD and CDS-PP can try all they like to deflect attention from, or hide, their broad understanding, yet reality is giving the game away.", "PS, PSD och CDS-PP kan försöka avleda uppmärksamheten från, eller gömma, sitt breda samförstånd så mycket de vill men verkligheten avslöjar alltihop."
"Significantly, the majority of EP Members, including those from the PES, the PSD and the CDS-PP, has rejected the motion to reject the common position.", "Det är talande att vårt yrkande att avvisa den gemensamma ståndpunkten avvisades av en majoritet av Europaparlamentets ledamöter, inklusive de från PS, PSD och CDS-PP."
"(PT) Mr President, the Portuguese Social Democratic Party (PSD) responsibly supported all the austerity packages, unlike many parties in other countries of the Union.", "(PT) Herr talman! Det portugisiska socialdemokratiska partiet (PSD) har tagit sitt ansvar och stött alla åtstramningspaketen, till skillnad mot många partier i andra länder i unionen."
". - (PT) The Members from the PSD (Portuguese Social Democratic Party) support this report, which is particularly opportune in the light of the international financial crisis.", "skriftlig. - (PT) Ledamöterna från PSD (det portugisiska socialdemokratiska partiet) stöder detta betänkande som kommer särskilt lägligt med hänsyn till den internationella finanskrisen."
"We have placed this amendment in 6a in order to respond to the PSE Group request.", "Vi har infört denna ändring i punkt 6 a för att tillmötesgå PSE-gruppens begäran."
"Mr President, I support this resolution by the PPE-DE, PSE, Liberals and the UEN.", "Herr talman! Jag stöder föreliggande resolution från PPE-DE, PSE, ELDR och UEN."
"I wish everybody well in their efforts, and the PSE Group will vote in favour.", "Jag önskar alla lycka till i deras insatser, och PSE-gruppen kommer att rösta ja."
"The PPE and PSE refuse to acknowledge a link with the BNFL MOX shipments to Japan.", "PPE och PSE vägrar att tillstå ett samband med BNFL:s MOX-transporter till Japan."
"Out of loyalty, we have decided to support the bulk of the PSE Group's proposals.", "Av lojalitetsskäl har vi valt att i huvudsak stödja socialistgruppens förslag."
