//Sentences
"The prince even fought a bout with Qin's greatest warrior, and exchanged sword with him.", "Prinsen utkämpade även en duell med Qin' s mäktigaste krigare, och bytte svärd med honom."
"The Qin Emperor gifted him one of his concubines, but he picked the Emperor's favourite.", "Kejsaren av Qin belönade honom med en av sina konkubiner. men han valde Kejsarens favorit."
"Princess Ok Soo shall be Concubine Li of Qin, for our nations mutual concord.", "Prinsessan Ok Soo skall bli Konkubin Li av Qin, enligt det avtal som ingåtts mellan våra länder."
"Who'd have thought, the Qin Emperor would use the meteorite to create a weightless world?", "Vem hade kunnat tro att Qin Kejsaren skulle använda meteoriten för att skapa en tyngdlös värld?"
"This prince once brought treasures and women to Qin.", "Denna prins förde värdefulla skatter och vackra kvinnor till Qin."
"The Emperor reneged and gave him her painting instead, as well as the Qin Star Gem in apology.", "Kejsaren ångrade sig och gav honom ett porträtt av kvinnan istället och även Qin' s Stjärnjuvel som kompensation."
"It's a surrender of our sovereignty to Qin!", "Det är att ge upp vår självständighet till Qin!"
"General Meng Yi of Qin welcomes your Highness", "General Meng Yi av Qin välkomnar ers Höghet."
"Her Royal Highness is now Concubine Li of Qin", "Hennes Höghet är nu Konkubinen Li av Qin"
"A Qin-dynasty Deputy Imperial General!", "En Kejserlig Vice General från Qin-Dynastin!"
"I'd say it belonged to a Qin general.", "Gissar jag att det tillhört en Qin-general."
"Where's the Qin Emperor's sarcophagus?", "Var är Qin Kejsarens kista?"
"You are now Concubine Li of Qin.", "Du är nu Konkubin Li av Qin."
"Indeed my Quaestor colleague, Mrs Banotti, did so in her opening speech.", "Min kvestorskollega Mary Elizabeth Banotti gjorde det faktiskt i sitt öppningstal."
"Indeed my Quaestor colleague, Mrs Banotti, did so in her opening speech.", "Min kvestorskollega Mary Elizabeth Banotti gjorde det faktiskt i sitt öppningstal."
"I propose, as a Quaestor, to discuss this with the medical services.", "Som kvestor föreslår jag att vi skall diskutera detta med hälsovårdstjänsterna."
"Then, the problem was solved, thanks to our efficient Quaestor over there.", "Så lyckades det, tack vare vår duktiga kvestor, som står där borta."
"As a Quaestor of this House I am surprised that he had to raise something like that on the floor of the House.", "Som kvestor i parlamentet är jag förvånad över att han tog upp något sådant här i kammaren."
"We have filled all five positions for Quaestor.", "Vi har fyllt de fem kvestorplatserna."
