//Sentences
"Mrs Prets has suggested that the Union should sponsor radio or television programmes.", "Christa Prets har föreslagit att EU bör stödja radio- eller tv-program."
"Structures for the management of the European satellite radio navigation programmes (", "Strukturer för förvaltningen av de europeiska programmen för satellitbaserad radionavigering ("
"Management of the European satellite radio-navigation programmes (vote)", "Förvaltningen av de europeiska programmen för satellitbaserad radionavigering (omröstning)"
"The EU satellite radio navigation programmes are an unmitigated disaster.", "EU:s satellitradionavigeringsprogram är en fullständig katastrof."
"We grew up listening to banned radio programmes, broadcast from Munich, with the proud name of 'Radio Free Europe'.", "När vi växte upp lyssnade vi till förbjudna radioprogram, som sändes från München, med det stolta namnet ”Radio Free Europe”."
"Besides a full range of radio programmes, it also broadcasts news about China, including human rights violation incidents.", "Radiokanalen har ett brett programutbud men sänder även nyheter om Kina och rapporterar bland annat om fall av kränkning av de mänskliga rättigheterna."
"Gentlemen, obviously the quaestors who look into this matter are not going to be basing their assessment just on information from radio programmes.", "Kära kolleger! Det är självklart att kvestorerna som skall granska frågan inte enbart kommer att förlita sig på information som hörts i radion."
"The Commission agrees that the issue of managing online rights for the redistribution of TV and radio programmes merits close attention.", "Kommissionen håller med om att frågan om hanteringen av online-rättigheter för återutsändning av tv- och radioprogram förtjänar att uppmärksammas noggrant."
"I have heard and seen on many radio and television programmes what I regard as naive scientists say: ' why should anyone wish to clone human beings?", "Jag har sett och hört i många radio- och TV-program i mitt tycke naiva forskare som säger " varför skulle någon vilja klona mänskliga varelser? ""
". - Easy vote, the one on the report on structures for the management of the European satellite radio navigation programmes (Tošenovský).", "Det var enkelt att rösta om betänkandet om strukturer för förvaltningen av de europeiska programmen för satellitbaserad radionavigering (Tošenovský)."
"Moreover, pirate firms are pushing up the cost of encrypted TV and radio programmes, so that consumers who receive these programmes legally are having to pay higher prices.", "Härtill kommer att piratverksamheten höjer priset på bl.a. krypterade TV- och radioprogram så att de konsumenter som lagligt mottar dessa program kommer att få betala ett högre pris."
"The current TV and radio programmes supported by the EC make an important contribution to democratisation, but also to the EU’s visibility in Belarus, which we have discussed today.", "De nuvarande tv- och radioprogram som stöds av EU utgör ett viktigt bidrag till demokratiseringen, men bidrar också till EU:s synlighet i Vitryssland, vilket har diskuterats i dag."
"We all use radio spectrum in our daily lives for listening to radio programmes, for using our mobile telephones, for remotely locking our cars and for using satellite navigation systems.", "Vi använder alla radiospektrumet i vår vardag för att lyssna på radioprogram, använda våra mobiltelefoner, fjärrlåsa våra bilar och använda satellitbaserade navigationssystem."
"The current TV and radio programmes supported by the EC make an important contribution to democratisation, but also to the EU’ s visibility in Belarus, which we have discussed today.", "De nuvarande tv- och radioprogram som stöds av EU utgör ett viktigt bidrag till demokratiseringen, men bidrar också till EU: s synlighet i Vitryssland, vilket har diskuterats i dag."
"The unemployment rate is higher among women in all European countries except Sweden.", "I alla Europas länder utom Sverige är andelen kvinnliga arbetslösa större."
"(PL) Madam President, Commissioner, for many years, a growing death rate has been observed among bees.", "(PL) Fru talman, herr kommissionsledamot! Under många år har bidödligheten ökat."
"The employment rate among women is less than 25%, way below the 55% in the European Union.", "Sysselsättningsgraden bland kvinnor är lägre än 25 procent, långt under Europeiska unionens 55 procent."
"Unfortunately, the unemployment rate among young people is high, and inequalities in the labour market persist.", "Tyvärr är arbetslösheten bland ungdomar hög och ojämlikheten på arbetsmarknaden består."
"The mortality rate among those who are subjected to this practice is high.", "Dödligheten bland dem som genomgår detta är hög."
"The suicide rate is particularly high among young people who can no longer endure their bleak situations.", "Självmord framför allt bland ungdomar som inte längre kan stå ut med sin utsiktslösa situation."
