//Sentences
"This explains why companies relocate to where the return on capital is greatest.", "Det förklarar att företagen flyttar dit där avkastningen på kapitalet är bäst."
"This is the first ever attempt to relocate Eurasian wolf pups between litters.", "Det här är det första försöket någonsin att flytta euroasiatiska vargvalpar mellan kullar."
"These EUR 10 million will be used relocate more refugees in the Union in 2009.", "Dessa 10 miljoner euro kommer att användas för att omflytta fler flyktingar i EU under 2009."
"If that is not the case, there is no reason to relocate in the first place.", "I annat fall finns det ingen ursprunglig anledning att utlokalisera."
"It must be possible to relocate industries if these are to be developed.", "Omstrukturering av branscher måste kunna ske för att utveckla dessa."
"Furthermore, companies would simply relocate and continue producing.", "Vidare skulle företagen helt enkelt flytta och fortsätta att producera."
"There is another argument against helping firms to relocate.", "Det finns ett annat argument mot att hjälpa företag att omlokalisera sin verksamhet."
"They damage the land of indigenous peoples, with the result that they have to relocate.", "De skadar urbefolkningarnas mark och tvingar dem att flytta."
"Furthermore, companies from EU countries in this sector sometimes relocate production.", "Dessutom förekommer det att företag från EU-länder inom denna sektor ibland omlokaliserar produktionen."
"On finding such an alternative they relocate, leaving social devastation behind them.", "Efter sig lämnar de utslagning och social förödelse."
"It is time to relocate the production of plant protein crops.", "Det är dags att omlokalisera produktionen av växtproteiner."
"Many factors, however, can contribute to a commercial decision to relocate a plant.", "Det finns emellertid många faktorer som kan bidra till ett affärsmässigt beslut att omlokalisera en industrianläggning."
"Both companies intend to relocate to enlargement countries and to third countries.", "Båda företagen har för avsikt att omlokalisera verksamheten till länder som ingår i utvidgningen och till tredje länder."
"The port I referred to has recently attempted to relocate to a location outside the city, to deeper water.", "Den hamn jag nämnde har nyligen försökt flytta till en plats utanför staden, där vattnet är djupare."
"Industries and handicrafts close daily in Greece, while others relocate to neighbouring Balkan countries.", "Industrier och hantverk stängs dagligen i Grekland, medan andra utlokaliseras till närliggande länder på Balkan."
"In any case, national and European public aid must be withdrawn from those companies which relocate.", "I vilket fall som helst måste det offentliga nationella och europeiska stödet avskaffas för företag som omlokaliserar."
"It is acceptable to relocate or avoid the production of steel, aluminium and copper wherever it is possible to do so.", "Det är godtagbart att omplacera eller undvika tillverkning av stål, aluminium och koppar, när så är möjligt."
"We therefore welcome the recent decision to relocate the asylum seekers, who currently number 475, away from the border region.", "Detta är viktigt eftersom Uzbekistan, trots att det är ett fattigt land, ändå har en växande ekonomi."
"Recently, however, the German chemical company Bayer decided to relocate from Antwerp, and that is a bad omen.", "Men nyligen beslutade den tyska kemikoncernen Bayer att flytta verksamheten från Antwerpen, och detta är illavarslande."
"All we will achieve will be that a large proportion of European businesses will relocate and jobs will be lost.", "Det enda som kommer att hända är att många av Europas företag kommer att omlokalisera och att jobb kommer att försvinna."
"Of course, last week the prices fell, but nevertheless we can expect prices to remain high.", "Förra veckan föll priserna förstås, men vi kan ändå räkna med att priserna förblir höga."
"It is likely that fuel prices will remain high in the coming years.", "Det är troligt att bränslepriserna förblir höga under de kommande åren."
"The stakes remain very high at a national and an international level.", "Mycket står på spel både på nationell och på internationell nivå."
"Poverty and unemployment levels remain high and are growing, while profits continue to rise.", "Fattigdomen och arbetslösheten är fortsatt hög och fortsätter att öka, medan vinsterna stiger."
"Looking to the future, I assure you this will remain high on our agenda.", "Jag försäkrar er om att denna fråga kommer att fortsätta att ligga högt på vår dagordning i framtiden."
"It is also important that the rights of women and homosexuals remain high on Serbia's agenda.", "Det är också viktigt att kvinnors och homosexuellas rättigheter står kvar överst på Serbiens dagordning."
"Whilst counterfeiting rates remain high, measures taken to combat forgery are bearing fruit.", "Medan antalet förfalskningar förblir stort håller åtgärderna för att bekämpa falskmynteri på att bära frukt."
"For example, we are seeing signs of economic recovery now, but levels of unemployment remain very high.", "Vi ser t.ex. tecken på ekonomisk återhämtning nu men arbetslösheten ligger kvar på mycket höga nivåer."
"On the contrary we will set ourselves cost levels which remain permanently high and will continue to have high unemployment.", "Tvärtom permanentar vi ett för högt kostnadsläge med fortsatt hög arbetslöshet."
"Moreover, it is likely that in spite of recent price decreases they will remain high in the medium and long term.", "Dessutom kommer priserna troligen att förbli höga på längre sikt trots den senaste prissänkningen."
"In 1999, the level of imports is expected to remain high.", "Under 1999 väntas importen fortfarande ligga högt."
"The Commission shares the opinion that oil prices are likely to remain high in the medium and long term.", "Kommissionen anser att oljepriserna sannolikt kommer att ligga kvar på en hög nivå på medellång och lång sikt."
"Nothing would remain of the high ambitions entertained.", "Inget skulle återstå av de höga ambitionerna."
"Another issue that will remain high up on the European agenda in the coming months is security.", "Ett annat ämne som kommer att fortsätta att ligga högt uppe på den europeiska dagordningen under de kommande månaderna är säkerheten."
"If nothing is done to curb these costs for employers, the level of redundancies will remain high.", "Om inget görs för att minska dessa kostnader för arbetsgivarna, då kommer utslagningen av människor från arbetsplatserna att förbli mycket hög."
"It seems likely that the risk of error will remain high for as long as the legal framework remains unchanged and procedures are not simplified.", "Den stora risken för fel kommer sannolikt att kvarstå tills den rättsliga ramen ändras och förfarandena förtydligas."
"Only in very exceptional circumstances can the Solidarity Fund be mobilised for disasters that remain below this high threshold.", "Endast under mycket särskilda omständigheter kan medel ur solidaritetsfonden frigöras för katastrofer som hamnar under denna höga tröskel."
"consumer prices are nearly five to ten times farm gate prices and, despite the reduction in inflation, consumer prices remain very high;", "konsumentpriserna är nästan fem till tio gånger priset fritt gården och fortfarande är mycket höga, trots den minskade inflationen,"
"Sub-Saharan Africa receives more international aid than any other region in the world yet poverty levels remain stubbornly high.", "Afrika söder om Sahara erhåller mer internationellt bistånd än någon annan region i världen; ändå håller fattigdomen sig envist kvar på höga nivåer."
"As regards aid levels, the general trend that they are falling is confirmed, although this does not alter the fact that they remain very high.", "Vad gäller stödnivåer så håller den generellt sjunkande tendensen i sig, vilket dock inte hindrar att nivåerna är fortsatt mycket höga."
"However, we must also remain realistic and realise that we cannot achieve everything.", "Men det finns verkligheter som man också måste ta hänsyn till. Man kan inte få allt."
"We should stop dreaming of cure-all renewable energy sources and remain realistic.", "Vi måste sluta drömma om universalmedel i form av förnybara energikällor och vara realistiska."
"At all times I try to remain realistic in the proposals I put forward.", "I de förslag jag lägger fram försöker jag hela tiden vara realistisk."
"We remain realistic and do not expect any dramatic changes.", "Vi förblir realistiska och förväntar oss inga dramatiska förändringar."
