//Sentences
"I would say that Mrs Martens found the right words to express this concern.", "Jag menar att Maria Martens hittade rätt ord för att uttrycka denna oro."
"I think that Mr Brok found the right words to express what we want.", "Jag tror att Elmar Brok hittade rätt ord för att beskriva vad vi eftersträvar."
"He was right, and his words still ring true for the European Union today.", "Han hade rätt, och hans ord gäller också för Europeiska unionen i dag."
"We have taken note of your answers, and I have to say today that you have used the right words.", "Vi har noterat era svar, och jag måste i dag säga att ni har använt de rätta orden."
"Commissioner, it is time for action, not just the right words.", "Fru kommissionär! Det är dags att handla, inte bara att formulera de rätta orden."
"Mr McCartin has already mentioned the right key words in his report.", "McCartin har också i sitt betänkande redan nämnt de riktiga stickorden."
"You see, good old Goethe had the right words even in this situation.", "Ni ser att den gamle gode Goethe fann de rätta orden också för detta."
"Of course, it is not always easy for you to find the right words.", "Givetvis är det inte alltid enkelt för er att hitta de rätta orden."
"We have to find the right words to provide a solution.", "Man måste kunna uttala orden för att finna en lösning."
"Mr President, Mr Schulz is right; all our words and all their consequences are of enormous importance.", "– Herr talman! Martin Schulz har rätt, alla våra formuleringar och deras konsekvenser har en enorm betydelse."
"workers’ rights to be informed, to negotiate and take collective action – in other words, the right to strike.", "deras rätt att få information, förhandla och vidta kollektiva åtgärder – med andra ord, rätten att strejka."
"I am struggling to find the right words because the directive gives no clear definition of a technical contribution.", "Jag kämpar för att finna de rätta orden, för direktivet ger inte någon tydlig definition av tekniska bidrag."
"You are enthusiastic, you show your feelings, you are colourful in your speech and you use the right words.", "Det är så härligt att lyssna på dig när du kommunicerar - du är entusiastisk, du visar känslor, du använder färger och du använder rätt ord."
"Mr Deprez found the right words, balance and the voice of reason; he supports an open Europe and I welcome that.", "Gérard Deprez hittade de rätta orden och balansen och visade en förnuftig inställning. Han stöder ett öppet Europa och det välkomnar jag."
"In this regard, Mr Juncker, having worked so hard to avoid such a deplorable outcome, found the right words to denounce the main culprit for this fiasco.", "Martin Schulz verkar vara positivt inställd till denna idé, men i ett mycket institutionellt sammanhang."
"You have said what we wanted to hear but, even though the right words about solidarity, progress and security are important, they are not enough.", "Ni har sagt vad vi ville höra, men även om de rätta orden om solidaritet, framsteg och trygghet är viktiga, är de inte tillräckliga."
"Before YouTube, there was no way for him to discover his sport's true potential, because you can't communicate this stuff in words, right?", "Innan YouTube fanns, kunde han inte upptäcka alla möjligheter som fanns i hans sport, eftersom man inte kan kommunicera sånt här med ord, eller hur?"
"It was a good conference in the sense that the right words were said, but there is also cause for some despair when we look at the realities.", "Det var en bra konferens i den meningen att de rätta orden blev sagda, men det finns också anledning till en slags förtvivlan när man ser till realiteterna."
"Of course, social integration makes no sense without recognition of political rights and obligations, in other words the right to vote and to be elected.", "Social integration saknar givetvis mening utan ett erkännande av politiska rättigheter och skyldigheter, med andra ord rätten att rösta och bli vald."
"But I believe that we do have some grounds for hoping that, with our integration policy, we now have the right strategy for capping words with deeds.", "Men jag tycker att vi åtminstone har skäl att hoppas på att vi i och med integreringspolitiken har funnit den rätta strategin för att gå från ord till handling."
"Firstly, Mr Fischler, we have not reduced the over-compensation from 1992.", "Vi har för det första, herr Fischler, inte sänkt överkompensationen från 1992."
"At the same time, the Member States will benefit from reduced spending on administration.", "Samtidigt kommer medlemsstaterna att gynnas av minskade förvaltningsutgifter."
"The fact that the visa fee could not be reduced from EUR 60 to EUR 35 is disappointing.", "Att visumavgiften inte kunde sänkas från 60 till 35 euro är en besvikelse."
"The number of PNR data has been reduced from 34 to 19 as a result of rationalisation and merging.", "Antalet passageraruppgifter har minskats från 34 till 19 genom rationalisering och sammanslagning."
"In the Netherlands, for example, the overall length of the trawl has been reduced from 14 to 12 metres.", "I Nederländerna har trålarnas längd minskats från 14 till 12 meter."
"The limit value for the mass of particulate emissions is being reduced from the Euro 4 value of 25 mg/km to 5 mg/km.", "Gränsvärdet för partikelmassautsläpp sänks från Euro 4-normen 25 mg/km till 5 mg/km."
"For cephalopod trawlers, the gross registered tonnage has been reduced from 4000 to 3000 GRT per year.", "Och vad gäller bläckfiskfartygen minskar deras bruttoregisterton från 4 000 till 3 000 BRT per år."
"The number of Polish Members would be reduced from 54 to 51.", "Antalet polska ledamöter skulle minska från 54 till 51."
"Thus, from January 2006 onwards, Thailand will again benefit from reduced duties on its fishery products under the new GSP.", "Den andra rör import av skodon med överdelar av läder från Kina och Vietnam."
"In this amending budget, we have reduced the buildings reserve from EUR 15 million to EUR 11 million.", "I denna ändringsbudget har vi minskat avsättningen för fastigheter från 15 miljoner euro till 11 miljoner euro."
"From 2003 to 2004, losses were reduced by approximately 50%, from EUR 170 million to EUR 80 million.", "Mellan 2003 och 2004 minskade skadevolymen med omkring 50 procent, från 170 miljoner euro till 80 miljoner euro."
"From 2003 to 2004, losses were reduced by approximately 50 %, from EUR 170 million to EUR 80 million.", "Mellan 2003 och 2004 minskade skadevolymen med omkring 50 procent, från 170 miljoner euro till 80 miljoner euro."
"I think the ridge is quite a way from being reduced, sir.", "Jag tror bergskammen är långt ifrån övergiven."
"It would be reduced from 400 mg/ l to 350 mg/ l. mg/ l.", "Man skulle gå från 400 mg / l till 350 mg / l."
"This is more important to us than the Singapore issues, even if they appear to have been reduced in number from four to two.", "Detta är viktigare för oss än Singaporefrågorna, även om dessa tycks ha minskat från fyra till två."
"It would be reduced from 400 mg/l to 350 mg/l. mg/l.", "Man skulle gå från 400 mg/l till 350 mg/l."
"The Commission refers to the administrative reform whereby the number of voyvodships is to be reduced from 40 to approximately 10.", "Kommissionen nämner förvaltningsreformen där " vojvodskapen" skall reduceras från 40 till ca 10."
"This would mean that the average translation costs could be reduced from their previous DEM 22 500 to DEM 4 000.", "På det viset skulle de genomsnittliga översättningskostnaderna på hittills 22 500 DEM kunna sänkas till 4 000 DEM."
"The Commission refers to the administrative reform whereby the number of voyvodships is to be reduced from 40 to approximately 10.", "Kommissionen nämner förvaltningsreformen där " vojvodskapen " skall reduceras från 40 till ca 10."
"It is true that we reduced poverty from 40% to 18%, and extreme poverty from 12.9% to 4%.", "Det är ett faktum att vi har minskat fattigdomen från 40 procent till 18 procent, och den extrema fattigdomen från 12,9 procent till 4 procent."
