//Sentences
"Do the Rabit teams have their own equipment for border control and surveillance?", "Har de snabba gränsinsatsenheterna egen utrustning för gränskontroll och övervakning?"
"RABIT has a voluntary basis and is not an attempt to build walls to shut out the surrounding world.", "RABIT bygger på frivillighet och är inte ett försök att bygga murar mot omvärlden."
"With regard to Rabit, have any Member States requested the deployment of a rapid intervention team?", "Är det några medlemsstater som har begärt utplacering av en snabb gränsinsatsenhet?"
"RABIT is part of the work designed to prevent people from dying in the hands of cynical people-smugglers.", "RABIT är en del i arbetet att förhindra att människor dör i händerna på cyniska människosmugglare."
"Secondly, we need the urgent deployment of a Frontex RABIT mission - a rapid border intervention team.", "För det andra måste gränsförvaltningsbyrån snarast tillsätta ett RABIT-uppdrag - en snabb gränsinsatsenhet."
"They are doing an excellent job of staff training, as Mr Marinescu has explained, in the RABIT exercises and in identifying false travel documents.", "Som Marian-Jean Marinescu förklarade är de mycket duktiga på personalutbildning, Rabit-övningar och på att avslöja falska resehandlingar."
"On the subject of RABIT - Rapid Border Intervention Teams - no Member State has as yet requested the deployment of a rapid border intervention team, Mr França.", "När det gäller snabba gränsinsatsenheter (Rabit) har ingen medlemsstat hittills begärt utplacering av en sådan enhet, herr França."
"The Presidency is promoting these initiatives, as well as the very important Commission proposal for a Regulation for establishing Rapid Border Intervention Teams (the ‘Rabit’ Regulation).", "Ordförandeskapet främjar dessa initiativ samt kommissionens mycket viktiga förslag om en förordning för att inrätta snabbinsatsgrupper inom gränsförvaltningen (”Rabit”-förordningen)."
"I'm not one of your good people, Rachel.", "Jag är inte en av dina goda människor, Rachel."
"Rachel, you wanna see something cool?", "Rachel, vill du se något häftigt?"
"Rachel, help me with this brick yoke.", "Rakel, hjälp mig med stenoket."
"Put on your seat belt, Rachel.", "Ta på dig säkerhetsbältet, Rachel."
"Rachel, this man killed my parents.", "Han dödade mina föräldrar."
"That's where we're going, Rachel.", "Vi är på väg dit nu!"
"I'm not staying, Rachel.", "Jag ska inte stanna, Rachel."
"We are also supporting Operation Rachel, a joint South Africa/ Mozambique operation, on the collection and destruction of small arms.", "Vi stöder också " Operation Rachel ", ett gemensamt projekt mellan Sydafrica och Moçambique, om insamling och förstöring av handeldvapen."
"You're thinking about Rachel?", "Du tänker på Rachel."
"Rachel, let me see.", "Får jag titta, Rachel?"
"Rachel, sweetheart...", "Rachel, hjärtat..."
"So tell me, Rachel.", "Så säg mig, Rachel."
"Rachel, all of -", "Rachel, allt som..."
"Rachel Keyes.", "Rachel Keyes."
"Hello, Rachel.", "Hej, Rachel."
"We also support Operation Rachel, a joint South Africa-Mozambique project, to collect and destroy arms left over since the civil war.", "Vi stöder också Operation Rachel, ett gemensamt projekt mellan Sydafrika och Moçambique för att samla in och förstöra vapen som blivit kvar sedan inbördeskriget."
"Yes, Rachel.", "Ja, Rachel?"
"Rachel Carson's book, Silent Spring, had a powerful impact in 1962 and was a wake-up call for many to become committed to caring for the environment and to nature conservation.", "Rachel Carsons bok Tyst vår blev ett begrepp 1962 och en väckarklocka för många att engagera sig för miljö- och naturvård."
"Instead of taking off, she falls back, and she grabs Paula Radcliffe, says, "Come on.", "Istället för att ge sig iväg saktar hon in, tar tag i Paula Radcliffe och säger: "Kom igen."
"Only 10 minutes off the men's world record, Paula Radcliffe is essentially unbeatable.", "Med en tid endast tio minuter efter det manliga världsrekordet är Paula Radcliffe i praktiken oslagbar."
"So Paula Radcliffe, unfortunately, does it.", "Dessvärre gör Paula Radcliffe det."
". ~~~ And Paula Radcliffe at that point says, "I'm done.", "Och den andra gången Derartu Tulu tar tag i henne och försöker att dra med henne Och Paula Radcliffe säger vid denna punkt "Jag är helt slut."
"Paula Radcliffe, the one person who is sure to snatch the big paycheck out of Derartu Tulu's under-underdog hands, suddenly grabs her leg and starts to fall back.", "Paula Radcliffe, hon som är säker på att rycka åt sig den stora vinsten ur Derartu Tulus under-underdoghänder tar sig plötsligt åt benet och börjar tappa."
"Last Saturday, Mr President, I was a guest at the Transnational Radical Party Congress in Geneva.", "Herr talman! I lördags gästade jag det Transnationella radikala partiets kongress i Genève."
"The symbols worn by those who were arrested were, moreover, those of the Transnational Radical Party.", "De symboler som bars av dem som arresterades var dessutom de som tillhörde det transnationella radikala partiet."
"Well then, it is good to hear a voice raised in the explanations of vote on behalf of the Radical Party too.", "Det är verkligen trevligt att det finns röster som höjs för det radikala partiets räkning även i samband med röstförklaringarna."
"As the Radical Party we propose satyagraha, the search for truth, as a collective global political initiative.", "Som medlemmar av det radikala partiet föreslår vi att satyagraha, sökandet efter sanningen, blir en kollektiv och global politiskt handlingsprincip."
"The Transnational Radical Party dedicated an entire congress to this issue last weekend, identifying two possible goals which I would like you to make your own.", "Det transnationella radikala partiet ägnade en hel kongress åt denna fråga under förra veckoslutet."
"We all remember that throughout her intense political activity Mrs Aglietta was the political secretary of the Italian Radical Party.", "Alla minns att Adelaide Aglietta under sin intensiva politiska verksamhet var politisk sekreterare i det italienska radikala partiet."
"It is, however, slightly ironical that the best information about what happened at the summit has appeared on the radical party’s web sites.", "Det är dock litet ironiskt att den bästa informationen om vad som hände på toppmötet har funnits på det radikala partiets hemsidor."
