//Sentences
"That's the same amount I used in the Rain Forest War.", "Jag använde exakt den mängden i regnskogskriget."
"The only people who can really manage the essential rain forest ecosystem are the Indians who live there.", "De enda som verkligen kan hantera den tropiska skogens livsviktiga ekosystem är de indianska befolkningar som bor där."
"And the rain forest.", "Och regnskogarna."
"In Brazil, the rain forest is being destroyed to grow sugar that nobody wants, so sugar-based bio-ethanol is being produced instead.", "I Brasilien håller regnskogen på att förstöras för att man skall kunna odla socker som ingen vill ha, och därför tillverkar man sockerbaserad bioetanol i stället."
"Is the Brazilian Congress not due to issue an opinion in the near future on a project that authorises the use of 50 % of the Amazon rain forest, which we know represents a huge genetic pool?", "Det är inte på grund av bristande intresse som människan förstör eller hotar den biologiska mångfalden, tvärtom."
"Within the leading group, there are also conflicting economic interests in the extraction of minerals, in the felling of tropical rain forest and in the production of opium.", "Inom den ledande gruppen finns det också motstridiga ekonomiska intressen inom mineralutvinning, avverkning av tropisk regnskog och produktion av opium."
"It is a fact in all this that there has been no long term utilization of the rain forest for industrial purposes and under the auspices of multinational concerns.", "Därvid är det ett faktum att det inte finns något kontinuerligt nyttjande av den tropiska skogen för industriella ändamål och under skyddet av multinationella företag."
"Is the Brazilian Congress not due to issue an opinion in the near future on a project that authorises the use of 50% of the Amazon rain forest, which we know represents a huge genetic pool?", "Skall inte den brasilianska kongressen därför inom kort uttala sig om ett projekt som tillåter 50 procents utnyttjande av Amazonasskogen som vi vet utgör en så stor genetisk tillgång?"
"The German interpretation gave your words as: ' Please raise your hand clearly' .", "I den tyska översättningen översattes era ord så här: Var snälla och räck upp handen ordentligt."
"The German interpretation gave your words as: ' Please raise your hand clearly '.", "I den tyska översättningen översattes era ord så här: Var snälla och räck upp handen ordentligt."
"You were the first to raise your hand, Mr Schulz, you were the quickest.", "Den förste som räckte upp handen var ni, herr Schulz, ni var snabbast."
"Seriously, if you have a calculator with you, raise your hand, raise your hand.", "Allvarligt, om du har en miniräknare med dig, räck upp en hand."
"Raise your hand.", "(Skratt) Hur många i publiken heter Resnick i efternamn som jag? ~~~ Upp med en hand."
"If you want to participate in this process, I kindly ask you to raise your hand way in advance.", "Om ni vill delta i debatten ber jag er räcka upp handen i förväg."
"If you think you know your birth day, raise your hand.", "Om du tror dig veta vilken veckodag du föddes, räck upp handen."
"It is also useful to raise your hand.", "Det är också praktiskt att räcka upp handen."
"So those who are "yes," raise your hand.", "Ni som säger "ja", räck upp er hand."
"Maurice, you did not raise your hand.", "Maurice, du räckte inte upp handen."
"Raise your hand if you see dolphins.", "Räck upp handen om ni ser delfiner."
"Raise your hand if you do. ~~~ Oh, wow.", "Räck upp handen om du gör det."
"Raise your hand if you got that.", "Räck upp handen om du såg det."
"AB blood types raise your hand", "Ni med blodgrupp AB, räck upp handen."
"Put questions in writing, raise your hand at the beginning, quickly and with the reflexes of a parliamentarian, or use the corridor when the President-in-Office of the Council leaves.", "Ni kan lämna in skriftliga frågor, räcka upp handen i början, snabbt, och i parlamentarisk anda, eller utnyttja tillfället i korridoren när rådets tjänstgörande ordförande lämnar salen."
"The vote was not clear for me, either, because you did not raise your hands.", "Omröstningen var otydlig även för mig, eftersom ni inte räckte upp handen."
"Those who wish Mr Bloom to stay please raise your hands.", "Kan de som vill att herr Bloom ska stanna vara vänliga att räcka upp händerna?"
"Those in favour please raise your hands.", "Kan de som vill rösta för vara vänliga att räcka upp händerna?"
"and second, please raise your hands.", "och för det andra, var snälla och räck upp händerna."
"The vote will be long and I understand that you will get tired, but please raise your hands when we vote.", "Omröstningen kommer att ta lång tid och jag förstår att ni kommer att bli trötta, men var snälla och räck upp händerna när vi röstar."
"Those who are against, raise your hands.", "Ni som är mot, räck upp era händer."
"Raise your hands.", "Upp med armarna."
"Raise your hands.", "Upp med en hand."
"Raise your hands.", "Låt mig få se."
"So I ask, even now, that you raise your voice and make our sympathies known.", "Jag ber er att åtminstone nu visa lyhördhet i denna fråga och formulera en protest."
"You're gonna raise your voice to me?!", "Kommer du höja rösten mot mig nu eller?!"
"Don't you raise your voice at me.", "Höj inte rösten åt mig."
"Raise your voice.", "Höj din röst."
"That is essential if we are truly going to integrate the market for capital raising.", "Detta är nödvändigt om vi verkligen skall kunna integrera marknaden för kapitalanskaffning."
"This measure would only result in raising the cost of capital and credit and would put a brake on investment.", "Denna åtgärd kommer bara att leda till ökade kapital- och kreditkostnader och hämma investeringarna."
"Indirect taxes on the raising of capital (vote)", "Indirekta skatter på kapitalanskaffning (omröstning)"
"Raising capital requirements will certainly contribute to an increase in the security of the banking sector by a growth in liquidity.", "Högre kapitalkrav kommer att bidra till bättre säkerhet inom banksektorn genom den ökade likviditeten."
"It would add EUR 130 billion to Europe's wealth and reduce the cost of raising capital for business by 0.5%.", "Europas välstånd skulle dessutom växa med 130 miljarder euro och kostnaderna för företagen att anskaffa kapital skulle minska med 0,5 procent."
"The funds which the Commission will be raising on the capital market are to be allocated to Ukraine under normal terms and conditions.", "De medel som kommissionen tar upp på kapitalmarknaden kommer att ledas vidare till Ukraina till oförändrade villkor."
"It would add EUR 130 billion to Europe's wealth and reduce the cost of raising capital for business by 0.5 %.", "Europas välstånd skulle dessutom växa med 130 miljarder euro och kostnaderna för företagen att anskaffa kapital skulle minska med 0,5 procent."
"I largely share the rapporteur's concern to enhance the conditions for raising of capital via Europe's financial markets.", "Jag delar i stort sett föredragandens oro när det gäller förutsättningarna för att förstärka kapitalanskaffningen via Europas finansmarknader."
"I largely share the rapporteur's concern to enhance the conditions for raising of capital via Europe's financial markets.", ". (PT) Jag delar i stort sett föredragandens oro när det gäller förutsättningarna för att förstärka kapitalanskaffningen via Europas finansmarknader."
"As Mr Ettl said, raising capital is vital, and it is more vital perhaps for small businesses where delicate problems can cause immense harm.", "Som Ettl sade är det absolut nödvändigt att skaffa kapital och detta är kanske ännu viktigare för små företag där känsliga problem kan ställa till med ofantliga skador."
"Ralf Walter is active on that score and - you know what he is like - he is a thoroughgoing person in this respect.", "Ralf Walter är aktiv i den frågan och - ni vet hur han är - han är en noggrann person i det avseendet."
"He is from the Moselle valley and is used to flooding; whenever the waters are at their height, Ralf is at his best, so warm thanks to him.", "Han kommer från Moseldalen och är van vid översvämningar. När vågorna går höga är Ralf som bäst, så stort tack till honom."
"The National Archives has launched RALF, a tool for organizations that deliver digital archives can use to verify that the contents are ready to send to them.", "Riksarkivet har sjösatt RALF, ett verktyg som den som levererar digitala arkiv till RA kan använda för att kontrollera att leveransen är färdig att skickas in."
"As the members of my group have already said, starting with the coordinator, Mr Ralf Walter, our opinion of the work carried out by Mr Costa Neves and Mrs Buitenweg is positive.", "Som redan har sagts av kollegerna i min grupp, till att börja med samordnaren Ralf Walter, så ser vi positivt på det arbete som utförts av Costa Neves och Buitenweg."
"more_vert open_in_new Link to European Parliament warning Request revision I hope that this is recognised in Jerusalem and that it is recognised in Ramallah.", "expand_more Jag hoppas att man erkänner detta i Jerusalem och i Ramallah."
"more_vert open_in_new Link to European Parliament warning Request revision Jag hoppas att man erkänner detta i Jerusalem och i Ramallah.", "expand_more I hope that this is recognised in Jerusalem and that it is recognised in Ramallah."
"Listen to me, Rameses, you thought I was evil when I went to Moses, and you were right.", "Lyssna på mig, Ramses, du tyckte att jag var ond när jag gick till Mose, och du hade rätt."
"Rameses is massing the Libyan axemen, the chariots, Sardinian swordsmen.", "Ramses kallar samman libyska yxmän, vagnar och sardinska svärdsmän."
"Have the days of darkness made you see the light, Rameses?", "Har dessa mörka dagar fått dig att se ljuset, Ramses?"
"Go and tell Rameses l'm coming back to my house.", "Berätta för Ramses att jag kommer tillbaka till mitt hus."
"Shall I tell you what happened, Rameses?", "Ska jag berätta vad som hände, Ramses?"
"Do you hear laughter, Rameses?", "Hör du skratten, Ramses?"
"I want to see it, Rameses!", "Jag vill se den, Ramses!"
