//Sentences
"There is enough other work to be done without embarking on this kind of Sisyphean task.", "Vi har nog med arbete för att inte behöva göra ett sådant sisyfosarbete."
"This is a sisyphean task.", "Detta är ett sisyfosarbete."
"– Mr President, ladies and gentlemen, but above all Mrs Echerer, congratulations on the Sisyphean task that I am sure this report has been.", "Det är inte alltid det råder så stor enighet här i parlamentet och det visar att folk nu har blivit mer medvetna om problemen."
"– Mr President, ladies and gentlemen, but above all Mrs Echerer, congratulations on the Sisyphean task that I am sure this report has been.", "– Herr talman, mina damer och herrar, men framför allt Raina A. Mercedes Echerer! Tack för det sisyfosarbete som detta betänkande säkert har inneburit."
"Every one of us should realise that she took a real Sisyphean task upon herself here and I believe she has done an admirable and fantastic job.", "Var och en av oss måste känna till att hon här har tagit på sig ett sisyfosarbete, och jag anser att hon har gjort det på ett beundransvärt och fantastiskt sätt."
"Sweet girl.", "Söt tjej."
"if we want safe food, because only safe foods can and should be European foods;", "om vi vill ha säkra livsmedel eftersom EU endast bör producera säkra livsmedel,"
"Gliders are grounded because perfectly safe winches no longer meet new specifications.", "Segelflygare får inte starta eftersom helt säkra vinschar inte längre uppfyller nya krav."
"No amount of alcohol is safe during pregnancy, because alcohol is a teratogen.", "Det finns ingen alkoholmängd som är säker under graviditeten, eftersom alkohol är en teratogen."
"As a trading place it must be safe, because that is also in the interest of business.", "Handelsplatsen måste kunna vara säker, därför ligger det också i affärsverksamhetens intresse."
"You will be perfectly safe, because thousands of cameras will be watching you, as will ΝΑΤΟ.", "Ni kommer att vara fullständigt säker eftersom tusentals kameror kommer att övervaka er, så också Nato."
"They are so safe because they no longer work.", "De är så säkra därför att de inte längre fungerar."
"We want better control, we want a safe product, because European consumers, be they large or small, must feel safe.", "Vi vill ha bättre kontroll, vi vill ha en säker produkt, eftersom de europeiska konsumenterna, stora som små, måste känna sig säkra."
"30% of our fish species are now officially outside safe biological limits, because there are too few adult fish left for normal reproduction.", "30 procent av våra fiskarter befinner sig nu officiellt utanför säkra biologiska gränser, eftersom det finns för få vuxna fiskar kvar för normal reproduktion."
"I mean that the notion of a safe country must be a relative assumption, because many refugees flee from a safe country because they are personally persecuted.", "Det jag vill säga är att begreppet "säkert land" borde vara något relativt, med tanke på att många flyktingar flyr från ett säkert land, eftersom de förföljs personligen."
"I mean that the notion of a safe country must be a relative assumption, because many refugees flee from a safe country because they are personally persecuted.", "Det jag vill säga är att begreppet " säkert land " borde vara något relativt, med tanke på att många flyktingar flyr från ett säkert land, eftersom de förföljs personligen."
"Most importantly, our consumers do not feel safe because they do not know the rules and, in many cases, the compensation mechanisms are not working in the way they should.", "Framför allt känner sig våra konsumenter inte säkra eftersom de inte känner till reglerna, och i många fall fungerar inte kompensationsmekanismerna på det sätt som de borde."
"Not because we necessarily disagree with the Scientific Committee on the issue of whether radiation can be safe for foodstuffs, but because it is not the whole story.", "Inte på grund av att vi ovillkorligen är oense med den vetenskapliga kommittén angående frågan huruvida bestrålning av livsmedel är riskfritt, utan på grund av att det inte är hela sanningen."
"The likely answer to the second of these questions is that they do not always feel safe, because we are all aware of what happened on 11 March in Madrid, and of a great many similar incidents.", "Svaret på den andra frågan är förmodligen att de inte alltid känner sig trygga, eftersom vi alla känner till det som hände den 11 mars i Madrid och väldigt många andra liknande händelser."
"Saturated fatty acids are at least as harmful as trans-fatty acids.", "Mättade fettsyror är minst lika skadliga som transfettsyror."
"On average the total intake of saturated fatty acids is considerably higher than the World Health Organisation recommends.", "I genomsnitt är den totala konsumtionen av mättade fettsyror avsevärt högre än den som Världshälsoorganisationen rekommenderar."
"These nutrient profiles were to be established by reference to amounts of fat, saturated fatty acids, sugars and salt/ sodium present in the food.", "Förfarandet rättfärdigas med att det är mindre besvärligt, men sanningen är att det är konsumenterna som förlorar på det."
"These nutrient profiles were to be established by reference to amounts of fat, saturated fatty acids, sugars and salt/sodium present in the food.", "Dessa näringsprofiler skulle fastställas med hänvisning till mängderna fett, mättade fettsyror, socker och salt/natrium i livsmedlen."
"According to the UK Food Standards Agency for instance, a ban on trans-fatty acids in fact leads to a concentration of saturated fatty acids.", "Enligt den brittiska livsmedelsmyndigheten skulle till exempel ett förbud mot transfettsyror leda till en koncentration av mättade fettsyror."
"It is surprising that there has been no mention of the significance of saturated fatty acids in the e-mail discussions and in the amendments tabled.", "Det är förvånansvärt att ingen har tagit upp betydelsen av mättade fettsyror i e-postdiskussionerna och i de ändringsförslag som lagts fram."
"We have to ensure that we do not have a trade-off between trans-fatty acids and saturated fatty acids, with consumer health not being improved at all as a result.", "Vi måste se till att vi inte ersätter transfettsyror med mättade fettsyror, eftersom det inte är bättre för konsumenternas hälsa."
"Since Mrs Záborská is not here, I will save my answer until later.", "Eftersom Anna Záborská inte är här sparar jag mitt svar till senare."
"I want you to save my daughter... not to watch your stupid dance.", "Jag vill att du räddar min dotter... inte se din löjliga dans."
"Boromir died to save us...... my kinsman and me.", "Boromir dog för att rädda oss...... mina landsman och jag."
"I'm from Essex in England and for the last seven years I've worked fairly tirelessly to save lives in my own way.", "Jag kommer från Essex i England och har under de senaste sju åren jobbat outtröttligt med att rädda liv på mitt eget sätt."
"It'll save my family from poverty.", "Det räddar min familj från fattigdom."
"Arnold, I have to save my sister.", "Arnold, Jag måste rädda min syster."
"I am trying to save my life, madam.", "Jag försöker rädda mitt liv."
"I shall therefore save my reply for the interventions, so as not to say too much at the moment and therefore take up too much time.", "Jag kommer därför att spara mina svar till era inlägg för att inte säga för mycket för ögonblicket och därför ta upp för mycket tid."
"You have to save my father!", "Du måste rädda min pappa!"
"Save my baby!", "Rädda min baby!"
"I must say, to save my honour, that it referred to only two Members, who tried to practise mediaeval politics in modern Europe, like robber barons.", "Detta måste jag säga för att rädda mångas heder - detta hänför sig enbart till två ledamöter, som genom rovriddarmetoder försökte bedriva medeltidspolitik i ett modernt Europa."
"Another area where the schoolteacher would rap the Council over the knuckles is the European patent.", "Ytterligare ett område där skolläraren skulle slå rådet på fingrarna är det europeiska patentet."
"You started work at a very early age as a schoolteacher.", "Ni började arbeta mycket tidigt som lärare."
"I'm not your goddamn schoolteacher!", "Jag är inte din satans lärarinna!"
"I kind of liked that schoolteacher.", "Jag gillade den där läraren."
"This is truly a vital requirement, not least with regard to the future selection of candidates.", "Detta är verkligen ett viktigt krav, inte minst när det gäller urval av kandidater i framtiden."
"This will also prove to be a useful yardstick by which we can measure the quality of our selection of candidates.", "Med hjälp av detta kommer vi också att kunna bedöma lämpligheten i valet av kandidater."
"This applies in particular to the election of party organs, the selection of candidates and the drawing up of lists and has now been included in paragraph 5.", "Detta gäller särskilt för val av partiorgan, val av kandidater och upprättande av listor, och detta har nu tagits med i punkt 5."
"The final selection of candidates is made by the portfolio Commissioner, by myself as the Commissioner for Personnel Administration, and the President.", "Det slutliga valet av kandidater görs av berörd kommissionär, av mig själv som kommissionär med ansvar för personal och administration, och ordföranden."
"During the selection of candidates and the award of the contract, we need to ensure compliance with legal provisions relating to employment protection and working conditions.", "Vid det slutliga valet bland anbudssökandena och vid tilldelningen av kontrakt måste vi se till att reglerna om anställningsskydd och arbetsvillkor följs."
"In addition to the policy of target setting, the members of selection boards are reminded of the principles of equal opportunities to be taken into consideration in the selection of candidates.", "Utöver linjen att uppställa mål, påminns ledamöterna i uttagningskommittéer om de jämställdhetsprinciper som skall beaktas vid valet av kandidater."
"The rest relate to the EU's other institutions and separate agencies.", "Resten hänför sig till EU:s andra institutioner och separata byråer."
"The division of labour between the various actors, such as the Commission and the separate agencies, is, however, unclear.", "Arbetsfördelningen mellan de olika aktörerna, såsom kommissionen och särskilda organ, är dock otydlig."
"It is going to create another two separate agencies in addition to the previous ones and the European Institute of Technology besides.", "Den ska inrätta ytterligare två enskilda byråer jämte de som redan finns, och dessutom Europeiska tekniska institutet."
"The EU has hitherto always boasted that it has a lean administration - which, of course, is not true if we take into account the separate agencies.", "EU har hittills alltid skrutit med att det har en slimmad förvaltning, något som förstås inte är sant om vi tar med de fristående byråerna i beräkningen."
"This will give Parliament not only power over the budget, but power over control of expenditure once it has been allocated to the separate agencies.", "Detta kommer inte bara att ge parlamentet större makt över budgeten, utan också makt över utgiftskontrollen så snart den har tilldelats de olika organen."
"Serious efforts have to be made by the operators to apply the measures in practice.", "Operatörerna måste göra seriösa insatser för att genomföra åtgärderna i praktiken."
"In order to guarantee a promising future, we demand serious efforts from both sides.", "För att få en framtid som ger hopp kräver vi seriösa ansträngningar från båda parter."
"We are expecting serious efforts in terms of guaranteeing media freedom and independence.", "Vi förväntar oss seriösa insatser för att garantera frihet och oberoende för medierna."
"Serious efforts will need to be undertaken in the discussion of the new budgetary perspective.", "Det kommer att krävas seriösa ansträngningar i diskussionerna om den nya budgetramen."
"We should then demonstrate that we too are serious about their efforts.", "Då skall vi också visa att vi menar allvar med deras strävan."
"When will you make some serious efforts to honour the promise that was made to us last year?", "När kommer ni att göra allvar att det löfte ni gav oss i fjol?"
"Regional prosperity, therefore, depends on serious efforts to promote economic growth.", "Det regionala välståndet är därför beroende av seriösa ansträngningar som främjar den ekonomiska tillväxten."
"If we had that, we would ensure that serious efforts were made to control fraud.", "Om vi hade det skulle vi nog se till att det på allvar skulle göras en ordentlig insats för att bekämpa bedrägeriet."
"In my view, neither side is willing to make any serious efforts to achieve lasting peace.", "Jag ser en bristande beredvillighet på båda sidor att uppbringa en seriös ansträngning för att nå en varaktig fred."
"Therefore serious efforts will be needed in this respect, including the private sector, so that to achieve this target.", "Därför krävs det en allvarlig kraftansträngning, även i den privata sektorn, för att uppnå det målet."
"But serious efforts are required, indeed.", "Det krävs dock verkligen stora kraftansträngningar."
"Virtually no serious efforts are being made to stop corruption, and the gap between rich and poor is growing.", "Egentligen görs det inga ansträngningar för att på allvar stoppa korruptionen, och klyftan mellan rika och fattiga växer."
"If we had that, we would ensure that serious efforts were made to control fraud.", "Om vi hade det skulle vi nog se till att det på allvar skulle göras en ordentlig insats för att bekämpa bedrägeriet."
"As stated in our report, there is no doubt that the Commission has made some serious efforts to develop the action plan.", "Som jag har nämnt i betänkandet har kommissionen utan tvekan gjort avsevärda ansträngningar för att utarbeta handlingsplanen."
"If Parliament is serious about enlargement eastwards, efforts must be made to cut back considerably on the costs of agriculture.", "Om parlamentet menar allvar med östutvidgningen måste man verka för omfattande nedskärningar i kostnaderna för jordbruket."
"The young government of the country is making serious efforts to eliminate the deficiencies and deserves to be commended for this.", "Det stämmer att den största etniska minoritetsgruppen, de en och en halv miljonerna ungrare, har upplevt betydande förbättringar."
"These countries undertook serious efforts to meet expectations, even though we often see that their political lives are divided.", "Dessa länder har gjort verkliga insatser för att uppfylla förväntningarna, även om vi ofta ser att deras politiska liv är uppdelade."
"Commitment to environmental technology is now more than ever necessary, as are serious efforts with a view to the involvement of developing countries.", "Engagemang i miljöteknik behövs nu mer än någonsin, liksom seriösa insatser för att involvera utvecklingsländerna."
"Let me at this point specifically thank the Commission for making serious efforts and also taking serious initiatives in this area.", "Jag skulle här uttryckligen vilja tacka kommissionen för att den inom detta område gjort betydande insatser och också tagit initiativ."
"They are asking us to make serious efforts to enable them to contact international financial institutions despite their current status.", "De ber oss verkligen se till att de till och med med sin nuvarande status kan ta kontakt med internationella finansieringsinstitutioner."
"We know that serious human rights violations are being committed in Algeria.", "Vi vet att det begås stora övergrepp mot de mänskliga rättigheterna i Algeriet."
"We are debating individual cases of serious humans rights violations.", "Vi debatterar enskilda fall av allvarliga brott mot de mänskliga rättigheterna."
