//Sentences
"The table will be filtered in the view with a " Select " SQL statement.", "Tabellen filtreras i vyn genom SQL-satsen " Select "."
"The table given here appears in the Control properties as an element of an SQL statement in the List Contents field.", "I kontrollfältsegenskaper na visas den här angivna tabellen som en del av en SQL-sats i fältet Listinnehåll."
"You can also enter an SQL statement in the Data Source box, if you have selected the " SQL " option as the data source type.", "I fältet Datakälla kan du även ange en SQL-sats, om du valt alternativet " SQL " under Typ av datakälla."
"In an appropriate SQL statement, this variable is compared to the table data the subform refers to.", "Med hjälp av en lämplig SQL-sats jämförs den här variabeln med data i den tabell, som det underordnade formuläret refererar till."
"The field name given here appears in the Control properties as an element of an SQL statement in the List Contents field.", "I kontrollfältsegenskaper na visas det här valda datafältet som en del av en SQL-sats i fältet Listinnehåll."
"This opens the Execute SQL Statement dialog.", "Öppnar dialogrutan Utför SQL-sats."
"Enter the SQL statement in this field.", "Här skriver du SQL-instruktionen."
"If you now specify an SQL statement in the Data Source box using this variable, the relevant values are displayed in the subform.", "Om du nu med hjälp av denna variabel anger en SQL-sats i fältet Datakälla, visas motsvarande värden i det underordnade formuläret."
"If you create a form using an SQL statement, entered in the Data source field, enter the variable you use in the statement.", "Om du skapar det underordnade formuläret med hjälp av en SQL-sats, som skrivs in i fältet Datakälla, anger du här den variabel som du använder i satsen."
"Under Data Field, you specify the field of the SQL statement whose contents you want to be displayed.", "där " Kundnamn " är datafältet i den länkade tabellen "Kunder " och "Kundnr " är det fält i tabellen "Kunder " som är länkat till det fält i formulärtabellen som anges under Datafält."
"The data source can be an existing table or a query (previously created in the database) or, it can be defined by an SQL-statement.", "Datakällan kan för det första vara en existerande tabell eller sökning, som redan skapats i databasen, för det andra kan den definieras genom en SQL-sats."
"The SQL statement can either be entered in the Data Source field, or you can create an appropriate parameter query, which can be used to create the subform.", "Du kan antingen ange SQL-satsen i fältet Datakälla eller skapa en motsvarande parametersökning, med vars hjälp du skapar ett underordnat formulär."
"Well I have say that it is going to be included in the definition of an SRM.", "Jag måste säga att det skall ingå i definitionen av specificerat riskmaterial (SRM)."
"3.Will the roadmap consider reducing the material (especially mesentery fat) included in the SRM list?", "4.Kommer man i färdplanen att överväga att höja åldern för när ryggraden avlägsnas?"
"The situation is that something over 95% of the infectivity is located in the SRM in an infected animal.", "Situationen är den att strax över 95 procent av smittsamheten återfinns i det specificerade riskmaterialet i ett smittat djur."
"The situation is that something over 95 % of the infectivity is located in the SRM in an infected animal.", "Situationen är den att strax över 95 procent av smittsamheten återfinns i det specificerade riskmaterialet i ett smittat djur."
"So we extend the definition of SRM to include mechanically recovered meat which then has to be disposed of in the way that the law requires.", "På det sättet utökar vi definitionen av SRM till att även inkludera maskinurbenad köttmassa som sedan måste tas om hand på lagenligt sätt."
"I partly accept Amendment No 19 to Article 8, requesting a review of the age limits for SRM removal under a commitology procedure.", "Jag godtar ändringsförslag 19 till artikel 8 delvis och begär en översyn av åldersgränserna för avlägsnande av specificerat riskmaterial under ett kommittéförfarande."
"SS: So, then Aimee makes it to the 1996 Paralympics, and she's all excited.", "Cheryl: Sedan tar sig Aimee till handikapp-OS 1996, och det är spännande."
"The communication ship SS Layton has become disabled and has wandered into foreign territory.", "SS Layton har förlorat sina motorer och har drivit in på främmande vatten."
"SS: Well, why don't you tell them how you got to Georgetown -- why don't we start there?", "Cheryl: Kan du inte berätta för dem hur du kom till Georgetown?"
"SS: Well, on your way to the Olympics, a couple of memorable events happened at Georgetown.", "Cheryl: Kan du inte berätta om-- på vägen till OS-- några minnesvärda händelser vid Georgetown."
"For example, with the code hh:mm:ss,00 you show the time as 01:02:03,45.", "Du kan t.ex. visa tiden 01:02:03,45 med koden hh:mm:ss,oo."
"For example, the time code [ h]:mm:ss will display more than 24 hours.", "Exempelvis visar tidskoden [ h ]:mm:ss mer än 24 timmar."
"Waffen-SS murderers and torturers are given pensions and looked on as freedom fighters in the Baltic States.", "Mörare och torterare från Waffen-SS får pensioner och betraktas som frihetskämpar i Baltikum."
"A monument commemorating the soldiers of the murderous Waffen SS Galizien Division was unveiled there.", "Ett monument avtäcktes där till minne av soldaterna i den mordlystna galiziska Waffen SS-divisionen."
"There was something particularly despicable in repeating the word 'detail' in Munich, surrounded by former Waffen-SS.", "Det var särskilt avskyvärt att upprepa ordet " detalj" i München, omringad av f.d. Waffen-SS."
"One hormone, oestradiol 17ß, was worse than the others.", "Ett hormon, östradiol 17-ß, var värre än de andra."
"Where is our opinion on the reunions and actions of former members of SS units in EU countries?", "Vad är vår inställning till de återföreningar och den verksamhet som medlemmar av f.d. SS-enheter bedriver i EU:s medlemsländer?"
"SS: Can you tell about who designed your other legs?", "AM: Så dessa är sprintben, jag kan sätta mina andra... Cheryl: Kan du berätta vem som utformade dina andra ben?"
"MM:SS,00 or [ HH]:MM:SS,00 or [ HH]:MM:SS.", "MM:SS,00, [ HH]:MM:SS,00 eller [HH ]:MM:SS."
"SS: You know, show us more than one set of legs.", "Cheryl: Visa dem mer än ett par ben."
"that is to say, the role of the SS henchman.", "... det vill säga som SS-bödel."
"SS: She can't really stand on these legs.", "Jag kan faktiskt sätta på båda."
"SS: Why don't you show them your legs?", "Cheryl: Vill du visa dem dina ben?"
"New evidence was reported on the disposition of esters of 17ß-oestradiol and their accumulation in edible animal body fats.", "Inga nya bevis lades fram om sammansättningen av estrar med 17ß-östradiol och deras anhopning i ätbara animaliska kroppsfetter."
"SS: You got to pick your height?", "Cheryl: Kunde du välja din längd?"
"SS: Are you a different height?", "Cheryl: Har du en annan längd?"
"The decision is based, as I say, on the opinion of the SSC.", "Beslutet grundas alltså på det vetenskapliga styrkommitténs yttrande."
