//Sentences
". - (SV) Competition for ambitious, skilled workers has only just begun.", "skriftlig. - Konkurrensen om de drivna och kompetenta arbetarna har bara börjat."
". - (SV) We have chosen to vote 'no' in the final vote on this report.", "skriftlig. - Vi har valt att rösta nej i slutomröstningen om detta betänkande."
"(SV) Mr President, Commissioner, let me especially welcome Mrs Bachelot-Narquin.", "Herr talman! Fru kommissionsledamot och speciellt välkommen till fru Bachelot."
"(SV) There are several translation errors in the Swedish version of this report.", "Det finns flera översättningsfel i den svenska versionen av detta betänkande."
"- (SV) The draft European Convention and Parliament's opinion are generally sound.", ". Europeiska konventets utkast och parlamentets yttrande är generellt sett bra."
"(SV) Mr President, I hope that I am not departing from the questions to be put now.", "Herr talman! Jag hoppas att jag inte avviker från de frågor som ska ställas nu."
"(SV) Mr President, I would like to comment on what has been said in this debate.", "Jag vill gärna göra några kommentarer till det som har sagts under debatten."
"(SV) - We Swedish Social Democrats supported the report, which is good.", "skriftlig. - Vi svenska socialdemokrater ställde oss bakom betänkandet som är bra."
". - (SV) We Swedish Social Democrats support this report as a whole.", "skriftlig. - Vi svenska socialdemokrater stödjer detta betänkande som helhet."
". - (SV) Today we Swedish Social Democrats voted on the 2008 EU budget.", "skriftlig. - I dag röstade vi svenska socialdemokrater om EU:s budget 2008."
"(SV) Mr President, resolutions like this one always use extremely diplomatic language.", "Herr talman! Resolutioner som den här har alltid ett oerhört diplomatiskt språk."
"- (SV) The present increase in haulage in Europe is untenable in the long term.", ". Den nuvarande utvecklingen av transporterna i Europa är ohållbar på sikt."
"(SV) I wish to thank the rapporteur, Mr Papadimoulis, for his excellent work.", "Jag vill tacka föredragande Dimitrios Papadimoulis för hans utmärkta arbete."
". - (SV) We have chosen to abstain in the final vote on these reports.", "skriftlig. Vi har valt att avstå i slutomröstningen om dessa betänkanden."
"(SV) Mr President, Europe today is a continent defined by peace and democracy.", "Herr talman! Europa är idag en kontinent som präglas av fred och demokrati."
"(SV) Mr President, Commissioner, allow me firstly to make a very personal observation.", "Herr talman, fru kommissionär! Låt mig först göra en mycket personlig anmärkning."
"(SV) Mr President, I would like to highlight two main points in this report.", "Herr talman! Jag skulle vilja lyfta fram två huvudpoänger i detta betänkande."
". - (SV) Mr President, let me first make two brief observations.", "förslagsställare. - Herr talman! Först vill jag göra två korta konstateranden."
"(SV) Mr President, the map of Europe has changed through armed attack and war.", "Herr talman! Europas karta har förändrats genom väpnade attacker och krig."
". - (SV) There is no doubt that children feel better for eating fruit.", "skriftlig. - Det råder inga tvivel om att barn mår bra av att äta frukt."
"But I regret I am not in a position to read the mind of the SVC.", "Men jag beklagar att jag inte är i stånd att läsa veterinärkommitténs tankar."
"Finally, what is the SVC's opinion of the various methods of disposal used in the UK where a million animals have now been culled?", "Slutligen, hur ser Ständiga veterinärkommittén på de olika metoder för kvittblivning som används i Förenade kungariket, där en miljon djur nu har slaktats?"
"The Netherlands is in this unfortunate position and the Commission and the Member States in the SVC are sympathetic to the situation.", "Nederländerna befinner sig i denna olyckliga belägenhet, och kommissionen och medlemsstaterna i Ständiga veterinärkommittén är fulla av förståelse för situationen."
"I expect and hope that the proposals will receive a welcome at the SVC and there will not be a need for the proposals to then go forward to the Agriculture Council.", "Jag förväntar mig och hoppas att förslagen kommer att välkomnas i kommittén, och det kommer då inte att finnas något behov av att förslagen går vidare till rådet (jordbruk)."
"In the Netherlands, where there have been a total of 12 cases since the first case was detected on 21 March, the situation will be reviewed in the SVC today and tomorrow.", "Situationen i Nederländerna, där totalt 12 fall har konstaterats sedan det första fallet upptäcktes den 21 mars, kommer att ses över i Ständiga veterinärkommittén i dag och i morgon."
"Nationally, Hakan had several assignments including the TFR which then went into the VR and he had for example a very large part in turbine technology program, and that this program became SVC.", "Nationellt har Håkan haft flera uppdrag bland annat av TFR som sedan gick in i VR och han hade till exempel mycket stor del i turbinteknikprogrammet och att detta program sedan blev SVC."
"SVT Nordnytt folowed with the X-ray staff at Sunderby hospital to get an insight into their working day.", "SVT Nordnytt följde med röntgenpersonalen på Sunderby sjukhus för att få en inblick i deras arbetsdag."
"This time tells SVT about the new product.", "Denna gång berättar SVT om den nya produkten."
"(SVT is a Swedish public broadcasting company)", "– Otroligt att SVT kunde sända en sådan serie helt utan faktagranskning!"
"He is a journalist and foreign correspondent for SVT and the financial newspaper Dagens industri with Wall Street as a specialty.", "Han är journalist och utrikeskorrespondent för bland annat SVT och Dagens industri med bevakning av Wall Street som specialitet."
"This week participated Einar Häckner, Professor Emeritus of Business Administration at Luleå University of Technology, on SVT.", "I veckan medverkade Einar Häckner, professor emeritus i företagsekonomi vid Luleå tekniska universitet, i ett nyhetsinslag i Rapport i SVT."
"After last week's release of the Satin video on YouTube, SVT:s regional news program Nordnytt reported on the App-builder tool.", "Efter förra veckans släpp av Satin-videon på YouTube så har nu SVT:s regionala nyhetsprogram Nordnytt uppmärksammet det nya app-utvecklar verktyget."
"As a first step in Jon's research project has an initial contact has been made by SVT to discuss issues relating to noise levels and the new recommendations made.", "Som ett första steg i Jons forskningsprojekt har en inledande kontakt har tagits med SVT för att diskutera problematiken kring ljudnivåer och de nya rekommendationer som finns."
"Lecturer and midwife Inger Lindberg involved in SVT programs Uppdrag granskning as an expert in the application of "Childbirth Injuries suspected blinded in the records"", "Universitetslektorn och barnmorskan Inger Lindberg medverkar i SVT:s program Uppdrag granskning som expert i programmet "Förlossningsskador misstänks mörkas i journalerna""
