//Sentences
"They celebrate their Sabbath from sunset on Friday till sunset on Saturday.", "De firar sabbaten från solnedgången på fredag till solnedgången på lördag."
"I'm here from Creem magazine to interview Black Sabbath.", "Jag kommer från Creem magazine för att intervjua Black Sabbath."
"' Remember the Sabbath day, to keep it holy.", "Tänk på sabbatsdagen, så att du helgar den."
"I'm here to interview Black Sabbath.", "Jag är här för att intervjua Black Sabbath."
"The Sabbath can be sacred.", "Sabbaten kan vara helig."
"Here comes Sabbath!", "Här kommer Sabbath!"
"This was one of the great things about my year, doing the Sabbath, because I am a workaholic, so having this one day where you cannot work, it really, that changed my life.", "Det var en av de bästa sakerna med mitt år, att jag helgade sabbaten. ~~~ Jag är arbetsnarkoman, så att ha en dag där jag inte kan arbeta, det förändrade mitt liv."
"And after the Sabbath, he made 12 loaves of bread, took them to the synagogue, went into the synagogue, opened the ark and said, "God, I don't know why you want this bread, but here you are."", "Efter sabbaten skar han 12 skivor bröd, tog med sig dem till synagogan, gick in i synagogan, öppnade arken och sa: "Gud, jag vet inte varför du vill ha brödet, men varsågod.""
"' Remember the Sabbath day, to keep it holy.", "Tänk på sabbatsdagen, så att du helgar den."
"Dear Members of the Sabor, we welcome you to our European Parliament here in Strasbourg.", "Ledamöter från Sabor! Vi välkomnar er till Europaparlamentet här i Strasbourg."
"How does the Commission view the Lower Sabor dam project?", "Vilken bedömning gör kommissionen av dammprojektet i Baixo Sabor?"
"I am very pleased to inform you that we have with us here today a delegation of Members of the Croatian Parliament, the Sabor.", "Det glädjer mig att informera er om att vi i dag har besök av en delegation från Kroatiens parlament, Sabor."
"Is it true that wild-flowing rivers such as the Sabor can contribute to the development of a region based precisely on its biodiversity features?", "Kan orörda floder som Sabor bidra till utvecklingen av en region med just den biologiska mångfalden som grund?"
"The Sabor River is considered as the last remaining wild-flowing river in Portugal, given that there is not a single dam along the river's 120 km in the Trás-os-Montes region.", "Floden Sabor räknas som den sista orörda floden i Portugal."
"The bill to regulate humanitarian organizations, which is now before the Croatian Parliament, the Sabor, still has its flaws.", "Regeringens lagförslag beträffande humanitära organisationer, som det presenterats i det kroatiska parlamentet, sabor, har emellertid fortfarande sina brister."
"What studies has the Commission conducted regarding the justification for and sustainability of the Lower Sabor dam project from the economic and energy viewpoints?", "Vilka studier besitter kommissionen om dammbyggets berättigande och hållbarhet i Baixo Sabor från ekonomisk och energimässig synpunkt?"
"I welcome the recent decision of the Sabor, the Croatian Parliament, to suspend the application of all aspects of the ZERP for EU vessels, in line with Croatia's earlier commitments.", "Jag välkomnar det kroatiska parlamentet Sabors nyligen fattade beslut att upphäva tillämpningen av alla aspekter av miljö- och fiskeskyddszonen, i linje med Kroatiens tidigare åtaganden."
"Some years ago, the Chief Rabbi in Britain, Jonathan Sachs, wrote a book called .", "För några år sedan skrev Storbritanniens överrabbin, Jonathan Sachs, en bok med titeln (olikheternas värdighet)."
"As we know, Mr Sutherland at present heads two supranational giants: BP and Goldman Sachs International.", "Som vi vet leder Peter Sutherland i dag två multinationella jättar: BP och Goldman Sachs International."
"In this context, Goldman Sachs is accused of having advised the Greeks in this falsification.", "I detta sammanhang beskylls Goldman Sachs för att ha varit rådgivare till Grekland i samband med denna förfalskning."
"Your spiritual horizons, Mr Prodi, are those of Goldman Sachs, not of bell towers and cathedrals, as ours are.", "Er andliga horisont, herr Prodi, sammanfaller med Goldman Sachs, inte med vår, den man ser från klocktorn och katedraler."
"This was a right-wing government which for two terms of office disguised the figures with the help of Goldman Sachs Bank.", "Detta var en högerregering som under två mandatperioder förvrängde siffrorna med hjälp av banken Goldman Sachs."
"Europe then says nothing about the explosion, at a time when Goldman-Sachs is predicting a price per barrel of 200 dollars.", "Sedan säger Europa ingenting om explosionen vid en tidpunkt då Goldman-Sachs förespår ett pris på 200 US-dollar per fat."
"The last two pure investment banks - Goldman Sachs and Morgan Stanley - have now switched to the commercial banking sector.", "De sista två rena investeringsbankerna, Goldman Sachs och Morgan Stanley, har nu gått över till den kommersiella banksektorn."
"The presentation that Professor Jeffrey Sachs made to the committee recently was a great example of how that money can be targeted.", "Den presentation som professor Jeffrey Sachs gjorde i utskottet nyligen var ett utmärkt exempel på hur man kan rikta dessa pengar."
"I know that Professor Geoffrey Sachs, who is incidentally a remarkable man, is fighting and campaigning for a global food fund.", "Jag vet att professor Geoffrey Sachs, som för övrigt är en utomordentlig person, kämpar och driver kampanj för en global livsmedelsfond."
"The head of Goldman Sachs recently said - and we need to let these words sink in slowly - 'I am just a banker doing God's work'.", "Chefen för Goldman Sachs sade nyligen något som man verkligen behöver smälta, nämligen att han bara är en bankman som utför Guds arbete."
"The fact that Goldman Sachs appears on Mr Draghi's CV puts him beyond the pale, thereby disqualifying him for this role.", "Det faktum att Goldman Sachs finns med på Mario Draghis meritförteckning gör honom helt otänkbar som kandidat och han diskvalificeras därmed för uppgiften."
"At the same time the investment banks - Goldman Sachs, Morgan Stanley, Deutsche Bank - are minimising what they have done in the Greece case.", "På samma gång bagatelliserar investeringsbankerna - Goldman Sachs, Morgan Stanley, Deutsche Bank - sitt handlande i fallet med Grekland."
"The well-known company Goldman Sachs stated that Bangladesh was a country with a very promising future, as far as swift economic growth was concerned.", "Det välkända företaget Goldman Sachs konstaterade att Bangladesh var ett land med en väldigt lovande framtid i alla fall när det gällde snabb ekonomisk tillväxt."
"People talk about an early warning system, but what we see is that, in the markets, the people who really have the ability to raise the alarm are called Goldman Sachs.", "Man talar om ett system för tidig varning, men det vi ser är att den som verkligen har förmågan att slå larm på marknaderna är investeringsbanken Goldman Sachs."
