//Sentences
"We see no reason not to endorse this conclusion and therefore voted in favour.", "Vi ser ingen anledning att inte stödja denna slutsats och har därför röstat för."
"I see no reason why the report should now be referred back to that committee.", "Jag ser ingen anledning till att betänkandet nu bör återförvisas till utskottet."
"However, we see no reason for the EU to run up its flag on a naval operation.", "Men vi ser ingen anledning till att en maritim operation ska ske under EU-flagg."
"On the basis of today’s report, I see no reason why that date should be missed.", "Utifrån dagens rapport ser jag ingen anledning till att man skulle missa detta datum."
"I see no reason why certain European countries should not adopt this Charter.", "Jag ser inga skäl till varför vissa EU-länder inte skulle anta denna stadga."
"Given this, I see no reason to vote against the mobilisation of the fund in this case.", "Därför ser jag ingen anledning att rösta mot att fonden utnyttjas i detta fall."
"We therefore see no reason why we should go along with the proposed change of strategy.", "Vi ser därför ingen anledning att medverka till det eftersträvade strategibytet."
"We cannot see any reason why the EU should deal with this area as well.", "Det finns för oss ingen anledning att EU också skall sysselsätta sig med frågan."
"We see no reason to reinforce the Commission&#x02BC;s role in this context.", "Vi ser ingen anledning att förstärka kommissionens roll i detta sammanhang."
"My Group can see no reason not to grant discharge for the 1996 budget.", "Min grupp ser ingen anledning till att bevilja ansvarsfrihet för 1996 års budget."
"We see no reason for extending majority decision-making into this area.", "Vi finner ingen anledning att utvidga området för majoritetsbeslut på detta område."
"Personally, I cannot see any reason why the European Parliament should be thanking Russia.", "Personligen tycker jag inte att Europaparlamentet har anledning att tacka Ryssland."
"Nor do I see any reason why, in the future too, they should not be different.", "Jag tycker att det mycket väl kan se olika ut också i fortsättningen."
"But we have the facts on tar sands now, so I do not see any reason to delay.", "Men vi har fakta om tjärsand nu, så jag ser inget skäl till försening."
"We see no reason why we should in any way change these objectives at this time.", "Vi ser för närvarande ingen anledning att ändra något i dessa mål."
"I certainly, therefore, see no reason for the EU to get involved.", "Därför ser jag verkligen ingen anledning till varför EU ska blanda sig i detta."
"On the other hand, I see no reason to force this on all Member States.", "Å andra sidan anser jag inte att det finns skäl att påtvinga alla medlemsstater detta."
"We see no reason to reinforce the Commissionʼ s role in this context.", "Vi ser ingen anledning att förstärka kommissionens roll i detta sammanhang."
"I can therefore see no reason why Parliament should seek to block this move.", "Jag kan därför inte se något skäl för parlamentet att hindra detta."
"I see no reason why women should have to work with pneumatic drills.", "Jag inser inte varför kvinnor skall tvingas arbeta med pneumatiska borrar."
"For better or for worse, we are shaping Europe's future by how we raise our children.", "I med- eller motgång formar vi Europas framtid genom hur vi uppfostrar våra barn."
"This possibility is giving more people a voice in shaping our future.", "Denna möjlighet ger fler människor något att säga till om när vi utformar vår framtid."
"This will require greater involvement of the people of Europe in shaping the future of the Union.", "Detta kräver ett ökat samarbete med våra medborgare för att utforma unionens framtid."
"It is these young people who need a helping hand, as they will be shaping the future of their country.", "Dessa ungdomar behöver hjälp, eftersom de kommer att skapa landets framtid."
"I am sure we all agree that young people are vital to shaping the future of Europe.", "Jag är övertygad om att vi alla är överens om ungdomens betydelse när det gäller att forma Europas framtid."
"A radical course has been set for shaping the future European agricultural policy.", "Marken har beretts för det framtida utformandet av den europeiska jordbrukspolitiken på ett genomgripande sätt."
"The peoples of Europe now have the opportunity to join together in shaping their future in freedom and under democracy.", "Europas folk har nu möjlighet att gemensamt utforma sin framtid i frihet och demokrati."
"Sixty years have passed since the Second World War, and Europe together with its allies is shaping its future.", "Nu har 60 år gått sedan andra världskriget, och Europa utformar sin framtid tillsammans med sina bundsförvanter."
"These are hardly the hallmarks of a Presidency and Prime Minister leading the agenda and shaping our future.", "Detta är knappast vad som utmärker ett ordförandeskap och en premiärminister som styr dagordningen och formar vår framtid."
"The most important thing is to get the new countries around the table with us, so that they can be involved in shaping Europe's future.", "Det viktigaste är att få de nya länderna till förhandlingsbordet, så att de kan vara med om att utforma Europas framtid."
"I am delighted that, with this initiative, the European Parliament is once again assuming its responsibilities in shaping the future of Europe.", "Det gläder mig att Europaparlamentet ännu en gång med detta initiativ tar sitt ansvar när det gäller att skapa Europas framtid."
"They have said yes to the new tools that the Lisbon Treaty offers for shaping Europe's future and giving substance to its people's aspirations.", "De har sagt ja till de nya verktyg som Lissabonfördraget innehåller för att utforma Europas framtid och förverkliga européernas ambitioner."
"We hope that the governments will abandon their blocking mentality and remember that they should be a force for shaping the future of Europe.", "Vi hoppas att regeringarna kommer att överge sin blockeringsmentalitet och dra sig till minnes att de skall vara en kraft som skall forma Europas framtid."
"I also ask the House to support the amendment that calls for the involvement of disadvantaged communities in the shaping of future health policies.", "Jag ber även kammaren att stödja det ändringsförslag där man kräver att missgynnade samhällen involveras i utformandet av den framtida hälsopolitiken."
"I suppose I believe in the institutions which are shaping the future, and the European Parliament is certainly a point of reference and not just for Europe.", "Jag tror på de institutioner som skall lägga ut kursen för framtiden, och Europaparlamentet är viktigt i det sammanhanget, inte bara för Europa."
"We want to shape the future, and shaping the future does not mean fighting a rearguard action or useless protectionism, but accompanying change.", "Vi vill forma framtiden och att forma framtiden innebär inte att helt ägna sig åt en defensiv åtgärd eller onödig protektionism, utan att åtfölja förändringen."
"The theoretical difficulty in shaping the future of security policy is of course obvious, because those involved differ widely in their objectives and resources.", "Den teoretiska svårigheten att skapa en modell för den säkerhetspolitiska framtiden är också uppenbar, eftersom aktörerna är så olika beträffande."
