//Sentences
"Click on the HYP field on the status bar so that SEL appears in it.", "Möjlighet 2: klicka på fältet HYP på statuslisten så att SEL står där."
"On the status bar of text documents, find the field marked HYP or SEL.", "På statuslisten för textdokument finns fältet HYP eller SEL."
"When SEL is displayed, you can click on the hyperlink and edit it.", "Om SEL visas, kan du klicka på hyperlänken och redigera den."
"Click on the field to switch between HYP and SEL.", "Du kan växla mellan HYP och SEL genom att klicka i fältet."
"Whatever you wanna call yourself, Sel", "" Svarta " eller vad du vill kalla dem."
"Click here on the status bar to switch the text hyperlinks in the document from active (HYP) to edit (SEL).", "I det här fältet på statuslisten växlar du mellan Utför (HYP) och Redigera (SEL) för text-hyperlänkarna i dokumentet genom att klicka med musen."
"You don't know what's going on, Sel", "Du vet inte vad som är på gång."
"I can't get one rite now, ok, Sel", "Jag kan inte skaffa nån bil nu."
"Where's the money, Sel?", "Var är pengarna, Sel?"
"We have a shut, Sel", "Vi har en chans, Sel."
"I got a car, Sel", "Jag har en bil."
"As long as documents in connection with proceedings against SEL are withheld from me and the Committee on Budgetary Control, discharge should not be granted for Parliament either.", "Så länge som man undanhåller mig och budgetkontrollutskottet underlag i samband med ett förfarande mot SEL, gäller det också här att det inte beviljas någon ansvarsfrihet för parlamentet."
"Environmental Scanning Electron Microscope (SEM) with EDS, WDS and EBSD analysis.", "Environmental Scanning Electron Microscope (SEM) with EDS, WDS and EBSD analysis."
"The Commission is taking an active stance, as demonstrated by the SEM 2000 project.", "Kommissionen arbetar aktivt med dessa frågor, vilket visas av SEM 2000-projektet."
"SEM 2000 has for example taken up 23 of the positions of which 8 are on A2-level.", "Bland annat har SEM 2000 tagit 23 tjänster i anspråk, varav 8 på A2-nivå."
"The Commission has started reforms of SEM 2000, sound financial management.", "Kommissionen har inlett reformer av SEM 2000, sund ekonomisk förvaltning."
"First, on progress made in the context of the SEM 2000 initiative.", "För det första vad gäller de framsteg som förs i samband med SEM 2000initiativet."
"Access LTU materials laboratory (SEM, TEM, optical microscopy, hardness measurement, etc.)", "Tillgång till LTUs materiallaboratorium (SEM, TEM, optisk mikroskopi, hårdhetsmätning mm)"
"I shall not go back here over the reforms already carried out in the context of SEM 2000.", "Jag skall inte här åter ta upp de reformer som redan har genomförts inom ramen för SEM 2000."
"SEM 2000 is one of the new slogans of the moment. It stands for sound and efficient management .", "SEM 2000 lyder ett av de nya slagorden, sound and effective management ."
"The President of the Commission himself mentioned MAP 2000 and SEM 2000.", "MAP 2000 och SEM 2000, som kommissionsordföranden också nämnde."
"The reform efforts of the Commission concentrate on SEM 2000.", "Kommissionens ansträngningar för att åstadkomma reformer koncentrerar sig på SEM 2000."
"The Commission has also entered into commitments to cooperate with Parliament in terms of SEM 2000.", "Samtidigt har kommissionen förpliktigat sig att samarbeta med parlamentet på området SEM-2000."
"In this respect, we are building on the experience gained from SEM 2000.", "Därvid bygger vi på våra erfarenheter från SEM 2000."
"I have seen draft reports on the SEM 2000 programmes.", "Jag har sett utkasten till betänkanden om SEM 2000-programmen."
"The Commission has launched several projects aimed at boosting its efficiency, including SEM 2000.", "Kommissionen har inlett arbetet med flera projekt vilka syftar till att effektivisera arbetet inom kommissionen."
"Part of this effort is being made in the Agenda 2000 framework, but there are other vehicles too, especially the SEM 2000 project.", "Det sker dels inom ramen för Agenda 2000, dels inom ramen för projektet SEM 2000."
"This is what the SEM 2000 and MAP 2000 initiatives are for.", "Det gäller initiativet SEM 2000 och MAP 2000."
"They are words of encouragement along the lines of Mr Wynn's report; encouragement by supporting the work of SEM 2000.", "Det är uppmuntrande ord i linje med Wynns betänkande; uppmuntran genom att stödja SEM 2000-arbetet."
"The SEM 2000 programme has been the catalyst and therefore we have managed to achieve a turnaround in political will.", "SEM 2000 har fungerat som katalysator och därför har vi lyckats åstadkomma en ändring av den politiska viljan."
"The Commission lays great stress on SEM 2000.", "Kommissionen lägger stor tonvikt vid SEM 2000."
"We congratulate you on SEM 2000 and MEP 2000.", "Grattis till SAM 2000 och MEP 2000."
"more_vert open_in_new Link to Google warning Request revision Make sure to research the potential advantages as well as the damage that an irresponsible SEO can do to your site.", "sökmotoroptimering kan göra."
"Glacann rialtaisí an Aontais Eorpaigh le moltaí an Choimisiúin ar an ábhar seo.", "Glacann rialtaisí an Aontais Eorpaigh le moltaí an Choimisiúin ar an ábhar seo."
"SEO is an acronym for "search engine optimization" or "search engine optimizer."", "SEO är en förkortning av "Search Engine Optimizer", eller sökmotoroptimerare."
"Is mór an onóir dom an deis seo a fháil labhairt le Parlaimint na hEorpa.", "Is mór an onóir dom an deis seo a fháil labhairt le Parlaimint na hEorpa."
"The SEO promises this will make the page more relevant for more queries.", "Optimeringsleverantören hävdar att detta gör webbsidan mer relevant för fler sökfrågor."
"If you feel that you were deceived by an SEO in some way, you may want to report it.", "Om du anser att du på något sätt har lurats av en optimeringsleverantör kan du rapportera detta."
"If you're thinking about hiring an SEO, the earlier the better.", "Om du tänker anlita en sökmotoroptimerare är det bra att göra det i ett tidigt skede."
"While you consider whether to go with an SEO, you may want to do some research on the industry.", "Samtidigt som du överväger att anlita en webbplatsoptimerare bör du undersöka branschen."
