//Sentences
"The Treaty of Paris after the Second World War did not solve the problems either.", "Problemen löstes inte heller genom Parisfördraget efter andra världskriget."
"Ever since the Treaty of Paris, we have maintained friendly, close and cooperative links with that country.", "Ända sedan Parisfördraget har vi haft vänskapliga och nära förbindelser och samarbetat med landet."
"Belgium, France, Germany, Italy, Luxembourg and the Netherlands sign the European Defence Community (EDC) Treaty in Paris.", "Belgien, Frankrike, Tyskland, Italien, Luxemburg och Nederländerna undertecknar i Paris Fördraget om Europeiska försvarsgemenskapen, (EDC)."
"As a result of the Treaty of Paris of 1856, the lower Danube section was made suitable for navigation, and this contributed to the region's economic development.", "I och med Parisfördraget 1856 blev nedre Donau tillgänglig för sjöfarten, vilket stimulerade den ekonomiska utvecklingen i regionen."
"Belgium, France, Germany, Italy, Luxembourg and the Netherlands sign the Treaty of Paris establishing the European Coal and Steel Community (ECSC).", "Belgien, Frankrike, Tyskland, Italien, Luxemburg och Nederländerna undertecknar Parisfördraget, som ligger till grund för Europeiska kol- och stålgemenskapen (EKSG)."
"But it is urgent to do so and overcome all resistance, transcend all indifference.", "Men frågan är ändå brådskande för att övervinna allt motstånd, alla olikheter."
"The actors within the market transcend borders and have become international.", "Aktörerna på marknaden överskrider gränser och har blivit internationella."
"Indeed, these are social and economic problems at a European level that transcend borders.", "Dessa är verkligen sociala och ekonomiska problem på EU-nivå som överskrider gränser."
"Very often, certain traditions need to be transcended which we know it is not easy to transcend.", "Ofta måste vi komma till rätta med vissa traditioner, vilket inte är helt lätt."
"This is not appropriate for processes since the effects do not transcend borders.", "För processer är det här inte aktuellt med tanke på att det inte är fråga om gränsöverskridande effekter."
"It is vital to understand that this creates new challenges that transcend traditional frontiers.", "Man måste också inse att detta medför nya utmaningar som sträcker sig över nationsgränserna."
"Most of these ‘goods’ transcend national borders, and agriculture and industry pollute land and water.", "De flesta av de här tillgångarna är av gränsöverskridande karaktär."
"Human rights are universal and transcend all borders.", "De mänskliga rättigheterna är universella och överskrider alla gränser."
"When they are most effective, libraries function as networks that transcend all borders, including national ones.", "Effektivast fungerar biblioteken som nätverk över alla gränser även internationellt."
"Human rights are universal and transcend all borders.", "De mänskliga rättigheterna är universella och går utöver alla gränser."
"They transcend state borders and national interests.", "Problemen är gränsöverskridande och går utöver nationella intressen."
"The proposed reforms transcend the limits of freedom to make an individual choice of healthcare system.", "De föreslagna reformerna överskrider gränserna för friheten att välja hälso- och sjukvårdssystem."
"Noise pollution is local and certainly does not transcend borders.", "Buller är lokalt och absolut inte gränsöverskridande."
"We are currently trying to create pan-European financial services, which transcend the borders of Europe.", "Vi försöker för närvarande inrätta paneuropeiska, gränsöverskridande finansiella tjänster i Europa."
"Let us transcend our religious differences in order to achieve a more humane world, preferably without violence.", "Låt oss stiga över våra religiösa skillnader och skapa en mänskligare värld, helst utan våld."
"This also demonstrates, however, that the data being collected does indeed transcend the domain of agriculture.", "Detta visar emellertid även att de uppgifter som samlas in verkligen går utöver jordbruksområdet."
"Europe needs decisions that transcend local interests.", "EU behöver beslut som går utöver lokala intressen."
"Democracy is the only basis for lasting internal stability which in future will also transcend borders.", "Demokrati utgör den enda grunden för hållbar intern stabilitet, vilken i framtiden också kan visa sig över gränserna."
"In practice, defence material is often produced by joint ventures which transcend European borders.", "I praktiken tillverkas försvarsmaterial ofta genom samriskföretag. De inskränker sig inte till den europeiska världsdelen."
"Since criminals do not keep to national boundaries, tracing them must transcend these too.", "Ett exempel på det är de brittiska och nederländska flygspanare som, som ni kanske minns, blev anhållna i Grekland för några år sedan."
"In some Member States, like Spain and the Baltics, it is at a tragic level.", "I vissa medlemsstater, t.ex. Spanien och Baltikum, har den nått en tragisk nivå."
"In the Baltics, the project moving forward is the Estlink project.", "Det projekt som går snabbast framåt i de baltiska staterna är Estlink-projektet."
"If this happens then I do not believe there is any cause for concern in the Baltics or in this House.", "Om så sker, finns det, som jag förstår det, ingen anledning till oro i Baltikum och inte heller i denna kammare."
"This figure, however, masks the higher energy import dependency of peripheral and geographically isolated energy markets such as the Baltics, Ireland and other island communities.", "Men den här siffran döljer det större behovet av energiimport för avlägsna och geopolitiskt isolerade energimarknader, som de baltiska staterna, Irland och andra ö-samhällen."
"It is possible to take faculty-wide courses within other graduate programmes.", "Det finns möjlighet att delta i kurser inom andra forskarutbildningar inom området."
"Faculty examiner was Dr. Thanasis D. Papathanassiou, University of Thessaly, Greece.", "Opponent var Dr. Thanasis D. Papathanassiou, University of Thessaly, Greece."
"Additional requirements faculty examiner section 13.3 (Vice-chancellor ref no1510-12)", "tillägg kompetenskrav opponent vid disputation avsnitt 13.3 (Re dnr 1510-12)"
"The faculty also appoints the opponent and the chairman for the public defence.", "Området utser också fakultetsopponent och ordförande vid disputationen."
"For further information contact the exchange student office at your respective faculty.", "För närmare information kontakta utbytesansvariga på respektive fakultet."
"Faculty Examiner Professor Anders Lundquist Department of Statistics Umeå University", "Faculty Examiner Professor Anders Lundquist Department of Statistics"
"In the spring of 2013, a zebra fish facility will open at the Faculty of Health Sciences.", "Våren 2013 öppnas en anläggning för zebrafisk vid Hälsouniversitetet."
"For students at the Faculty of Health Sciences", "Läs mer om examina för studenter vid Hälsouniversitetet"
"There is good matching between many of LTU’s Department and the corresponding Monash Faculty.", "There is good matching between many of LTU’s Department and the corresponding Monash Faculty."
"From 2002 through 2008, I was Dean of the Faculty of Educational Sciences at Linköping University.", "Åren 2002 – 2008 var jag dekanus för området Utbildningsvetenskap vid Linköpings universitet."
"Our e-resources are available for students and faculty at LTU.", "Våra e-resurser är tillgängliga för studenter och forskare på LTU."
"General curricula - The Board of the Faculty of Humanities and Social Sciences", "Allmänna studieplaner - Filosofisk fakultetsnämnd"
"Masters’ student at the faculty of Arts and Sciences, please send your application to the Admissions Office.", "Mastersstudenter vid Filosofiska fakulteten ansöker via Antagningsenheten."
"LiU, as we often call it, is a multi-faculty university where research and education are equally important.", "LiU, som vi ofta kallar oss, är ett av de större universiteten i Sverige."
"At the banquet you will be seated with your guests and colleagues from the same department or faculty.", "Vid middagen placeras du med dina gäster och kolleger från samma institution eller fakultet."
"The launch of an Economics Research Program took place in 1992, and so antedates the new Faculty.", "The launch of an Economics Research Program took place in 1992, and so antedates the new Faculty."
"SAINT grants can be complemented with Faculty grants.", "Beviljat bidrag kan i förekommande fall kompletteras med fakultetsmedel."
"If it merely involves spelling out a faculty for individual vessels, there is no need to regulate.", "Om det bara handlar om ett tillstånd för enskilda fartyg finns det inget behov av att reglera detta."
"Associate Professor Jacinta Ruru, Faculty of Law, University of Otago Otepoti, Dunedin, New Zeeland.", "Associate Professor Jacinta Ruru, Faculty of Law, University of Otago Otepoti, Dunedin, New Zeeland."
"There’s a ring for each faculty: Health Sciences, Arts and Sciences and the Institute of Technology.", "Ringarna för de olika fakulteterna: Hälsouniversitetet, Filosofiska fakulteten och Tekniska högskolan."
"The administration of justice is another sector requiring fundamental reform.", "Rättsskipning är ett annat område där det krävs grundläggande reformer."
"Sound and timely administration of justice is a vital component of the constitutional state.", "En bra och punktlig rättsskipning är en avgörande del av rättsstaten."
"This could also speed up the procedure and improve the quality of the administration of justice.", "Detta skulle även gynna förfarandenas förlopp i tiden och kvaliteten i rättsskipningen."
"It was promised that there would be a swift and efficient administration of justice in these cases.", "Det utlovades en snabb och effektiv hantering av rättvisan i dessa fall."
"Cooperation in the area of the administration of justice does not proceed very easily at European level; that is true.", "Samarbetet inom det rättsliga området går inte så lätt på europeisk nivå, det är sant."
"In many cases, the standards of administration of justice are far from those expected in the 21st century.", "I många fall är normerna för rättsskipningen långt ifrån de man väntar sig det tjugoförsta århundradet."
"It concerns the prestige and development of the international administration of justice in the area of criminal law.", "Det gäller den internationella rättskipningens prestige och utveckling på straffrättens område."
"The administration of justice in the United States does not provide sufficient guarantees for the rights of suspects.", "Rättsskipningen i Förenta staterna ger otillräckliga garantier för misstänkta personers rättigheter."
"In both these cases, the demands are too far-reaching and infringe the Member States' administration of justice.", "I båda dessa fall är kraven alltför långtgående och inkräktar på medlemsstaternas utövande av rättsskipningen."
"In both these cases, the demands are too far-reaching and infringe the Member States ' administration of justice.", "I båda dessa fall är kraven alltför långtgående och inkräktar på medlemsstaternas utövande av rättsskipningen."
"No political parties, no system for the administration of justice, not a single functioning institution apart from the Church.", "Inga politiska partier, inget rättsligt system, inga som helst fungerande institutioner förutom kyrkan."
"We need to prepare for this joint decision in several areas, primarily security and the administration of justice.", "Vi måste förbereda oss för detta gemensamma beslut på flera områden, främst inom säkerhet och förvaltningen av rättvisa."
"Secondly, we are not in favour of harmonising criminal legislation and the administration of justice in the Member States.", "För det andra går vi inte in för inte harmonisering av medlemsstaternas straff- och jurisdiktionslagstiftningar."
"Reform the administration of justice, particularly the system of military jurisdiction.", "Det måste bli ett slut på att brottslingar går fria, och rättsväsendet måste reformeras, i synnerhet militärdomstolarna!"
"He wants to make Pakistan a Muslim state with the associated administration of justice and reintroduction of the death penalty.", "Han vill göra Pakistan till en verklig islamisk stat med tillhörande rättskipning och återinförande av dödsstraff."
"From the Commission side, we are already supporting a project from 2004-2007 to strengthen the administration of justice in Mexico.", "Från kommissionens sida stöder vi redan ett projekt från 2004 till 2007 för att stärka domstolssystemet i Mexiko."
"The uncertain relations that prevail in the Ukrainian administration of justice mean that it can take many years for property to be recovered.", "De osäkra förhållandena som råder inom Ukrainas rättskipning betyder att det kan ta många år att få tillbaka egendom."
"At the end of the day, what is important is that the people of Bulgaria should have confidence in their administration and justice system.", "Det viktiga när allt kommer omkring är att Bulgariens folk har förtroende för sin förvaltningsapparat och sitt rättssystem."
". - (PL) Madam President, seeking humanitarianism in the administration of justice is one of Europe's important missions.", "för UEN-gruppen. - (PL) Fru talman! Att sträva efter humanism inom rättskipningen är ett av EU:s viktigaste uppdrag."
"What measures is the Commission taking to improve the operational capability of the administration and justice system in Romania and Bulgaria?", "Vilka åtgärder vidtar kommissionen för att få förvaltningen och rättsväsendet i Rumänien och Bulgarien att fungera bättre?"
"We will of course keep you informed of progress in conformity with the applicable rules.", "Vi kommer naturligtvis att hålla er informerade om utvecklingen enligt tillämpliga regler."
"Businesses and consumers need to be aware of the applicable rules.", "Företag och konsumenter måste vara medvetna om vilka regler som gäller."
"In terms of the applicable rules, the Council must wait for a Commission proposal before making a decision on this issue.", "Enligt de tillämpliga bestämmelserna måste rådet invänta ett förslag från kommissionen innan det kan fatta beslut om denna fråga."
"It was therefore right, and important, to demand that large countries too follow the applicable rules even when these appear less appropriate.", "Därför var det riktigt, och viktigt, att kräva att också stora länder följer gällande regler även när dessa ter sig mindre lämpliga."
"Imports of products to the Union have to be subject to applicable rules established in Union legislation regarding the issues of animal health and food safety.", "Importen av produkter till unionen måste vara underkastad tillämpliga regler i unionens lagstiftning om djurhälsa och livsmedelssäkerhet."
"Indeed, global processing activity demonstrates how important and necessary it is to protect data subject rights and clarify the applicable rules.", "I själva verket visar den globala bearbetningen av uppgifter hur viktigt och nödvändigt det är att skydda de registrerades rättigheter och klargöra vilka regler som gäller."
"It was therefore right, and important, to demand that large countries too follow the applicable rules even when these appear less appropriate.", "Problemen minskar nu för länder med höga strukturella budgetunderskott som Frankrike och Tyskland, men ökar för länder med hög offentlig skuldsättning som Italien, Grekland och Belgien."
"Mr Carnero González is, of course, free not to sympathise with the content of the regulation adopted, but it was taken recently and all applicable rules were adhered to.", "Självklart står det sedan den ärade ledamoten fritt att inte sympatisera med innehållet i beslutet, men det har fattats nyligen, och alla gällande regler har respekteras."
"These reforms will have to be aimed at making for easier reading of the applicable rules and reducing bureaucratic and administrative burdens, especially in accounting.", "Syftet med reformerna måste vara att göra de tillämpliga bestämmelserna mer lättförståeliga och minska de byråkratiska och administrativa bördorna, särskilt på redovisningsområdet."
"It is a method familiar to us from the business world, under the term 'holding company '.", "Det är en metod som är känd från affärsvärlden under namnet " holdingbolag "."
"Today, the business world sees and treats children as important consumers.", "Affärsvärlden av i dag ser på och behandlar barn som viktiga konsumenter."
"Faced with these scandals, the business world is still affected by the same short-sightedness.", "Trots dessa skandaler är affärsvärlden fortfarande påverkad av samma kortsynthet."
"There are good conditions here for specialisation and renewal of the county’s business world.", "Här finns goda förutsättningar för specialisering och förnyelse av länets näringsliv."
"We are already receiving significant amounts of money from the business world for it.", "Vi mottar redan betydande summor pengar från näringslivet för det."
"That would send out the strong and clear signal the business world needs.", "Parlamentet skulle därmed sända den tydliga och starka signal till företagen som de har behov av."
"In the business world, assets only exist if they are profitable.", "I företagens värld existerar yrkesarbetande endast om de ger vinst."
"The market share approach adopted in the paper is regarded with great suspicion by the business world.", "Synsättet på frågan som funktion av marknadsandel ses mycket misstroget av näringslivet."
"The slow pace of the legislative process is the reason why the business world has overtaken us.", "Lagstiftningsprocessens långsamma takt är anledningen till att affärsvärlden har gått förbi oss."
