//Sentences
"Thinking about what is in this report, a number of messages have come through.", "När det gäller innehållet i betänkandet är det flera budskap som är tydliga."
"This is why I feel that even today we should all be thinking about what to do in Nagoya.", "Därför hoppas jag att vi redan i dag gemensamt funderar över vad vi skall göra i Nagoya."
"I think after 20 years we can allow ourselves...... to stop thinking about what Thomas Wayne would have done.", "Jag tror att det är dags att sluta tänka på vad Thomas Wayne hade gjort."
"It set me thinking about what is really meant by fairness.", "Det fick mig att tänka på vad som faktiskt menas med rättvisa."
"I didn't get a lot of sleep thinking about what Spence had said.", "Jag sov dåligt förjag tänkte på det Spence sagt."
"The federalists are simply reeling off the same old recipes by rote, without thinking about what they are saying.", "Federalistanhängarna upprepar sina beprövade recept, som en besvärjelse och utan minsta fantasi."
"You were thinking about what was really important.", "Du tänkte på det som verkligen spelade roll."
"Thinking about what UC can do for your company", "Funderar över hur UC kan gagna ditt företag"
"So, working with kids, they created images, thinking about what might the images you see sound like if we could listen to them.", "I arbete med barn, fick barnen skapa bilder, och tänka på hur bilderna man ser skulle låta om vi kunde lyssna på dem."
"I am thinking about what lies closest to my heart, namely the most northerly all year round ferry route in the Northern Straits.", "Jag tänker på den som ligger mitt hjärta närmast, nämligen Europas nordligaste åretrunttrafikerade färjeförbindelse i Norra Kvarken."
"So, my interest in cheating started when Enron came on the scene, exploded all of a sudden, and I started thinking about what is happening here.", "Så, mitt intresse för fusk började när Enronaffären, helt plötsligt exploderade, och jag började fundera på vad det var som hände."
"Many of the people involved have special interests or short-term interests that get them not thinking about what the implications of the trends are.", "Många av dem som är inblandade har särskilda intressen, eller kortsiktiga intressen som får dem att att förbise vad konsekvenserna för vissa trender är."
"However, he is now elderly, sick and physically incapable of running the country, so we must start thinking about what to do when he has finally gone from the power stage of Cuba.", "Men han är nu gammal, sjuk och fysiskt oförmögen att styra landet, så vi måste börja fundera på vad vi ska göra när han slutligen inte längre är vid makten i Kuba."
"This coordination will be needed to reassure the Member States, in particular, and I am thinking about what Mr Nassauer said, those with worries about public order and security.", "Denna samverkan kommer att behövas för att lugna medlemsstaterna, i synnerhet, och nu tänker jag på vad Hartmut Nassauer sa, de som har problem med den allmänna ordningen och säkerheten."
"Neither the basic rules enshrined in the EC Treaty nor those set out in the Pact have been changed.", "Varken grundreglerna i EG-fördraget eller reglerna i pakten har förändrats."
"Secondly, the intended objectives must remain the same as those set out at the beginning.", "Ur den synvinkeln är de allvarliga avslöjandena om den militära delen i Rambouillet oroväckande."
"Today's major projects are those set out in the 2020 Strategy.", "De viktigaste projekten i dag är de som ingår i Europa 2020-strategin."
"The ECJ decided that it is prohibited to make requirements which are additional to or greater than those set out in the directive.", "EG-domstolen har beslutat att det är förbjudet att ställa fler eller hårdare krav än vad direktivet medger."
"However, this should be done in accordance with certain principles, not least those set out in the Chemicals Strategy.", "Detta bör emellertid ske i enlighet med vissa principer, inte minst med dem som fastställs i strategin för den framtida kemikaliepolitiken."
"This decision represents a waiver from the normal rules of patent law, particularly those set out in the WTO TRIPs Agreement.", "Detta beslut utgör ett undantag från de normala bestämmelserna i patentlagstiftningen, särskilt de som fastställs i WTO:s TRIPs-avtal."
"This decision represents a waiver from the normal rules of patent law, particularly those set out in the WTO TRIPs Agreement.", "Detta beslut utgör ett undantag från de normala bestämmelserna i patentlagstiftningen, särskilt de som fastställs i WTO: s TRIPs-avtal."
"Minimum rules are better because you then give individual Member States an opportunity to introduce tougher rules than those set out by the EU.", "Det är bättre med minimiregler, eftersom man då ger enskilda medlemsländer en möjlighet att införa strängare regler än de som EU fastställer."
"To combat all of these perils effectively, I feel that priority should be given to objectives and means other than those set out in the Commission communication.", "Jag tror att det behövs andra målsättningar och medel än de som utvecklas i kommissionens meddelande för att effektivt bekämpa dessa faror."
"Of course there is a need for information, but it must be based on entirely different premises to those set out in this report if we are to succeed in converting distrust into confidence.", "Självklart finns ett behov av information, men den måste ha helt andra utgångspunkter än i detta betänkande om man skall kunna vända misstro till tilltro."
"How could I remain indifferent about a text on pluralism and the concentration of power in regulatory authorities such as those set out in the still fresh Hungarian media law?", "Hur skulle jag kunna förhålla mig neutral till en text om pluralism och maktkoncentration i tillsynsmyndigheter av det slag som föreskrivs i den ännu helt nya ungerska medielagen?"
"To meet those standards, I want to give you some assurances and clarifications.", "För att uppfylla dessa normer vill jag ge er vissa försäkringar och förtydliganden."
"We still have problems where those standards are not being recognised by Member States.", "Vi har fortfarande problem där dessa standarder inte erkänns av medlemsstaterna."
"We do not want stricter standards than those called for by the Commission.", "Vi vill inte ha strängare regler än de som efterfrågas av exekutivutskottet."
