//Sentences
"Fish are, in fact, not a risk factor, as fishmeal is not a vector for TSE.", "Fisk utgör faktiskt inte någon riskfaktor eftersom den inte kan bära TSE-smitta."
"It is repeatedly pointed out that there is no TSE risk from fishmeal.", "Upprepade gånger har det påpekats att fiskmjöl inte innebär någon risk för TSE."
"Secondly, there are tests for a rapid diagnosis and to identify TSE in cattle.", "För det andra finns det tester för en snabb diagnos och för att upptäcka TSE hos nötkreatur."
"It should be noted that the TSE Regulation does not establish any rules in this area.", "Det bör noteras att det inte fastställs några regler inom detta område i TSE-förordningen."
"This proposal addresses all TSE risk in all animals at all stages of the production chain.", "Detta förslag innehåller alla TSE-risker i alla djur och i alla faser i produktionskedjan."
"With reference to the TSE Roadmap II, could the Commission confirm:", "Kan kommissionen med avseende på TSE färdplan II redovisa följande:"
"Indeed, we take TSE and BSE very seriously in the United Kingdom.", "Vi tar verkligen TSE och BSE på stort allvar i Förenade kungariket."
"We should respect the undisputed scientific consensus that fishmeal poses no risk of TSE.", "Vi bör respektera den obestridda vetenskapliga enigheten om att fiskmjöl inte utgör någon risk för TSE."
"This is already comprehensively covered by the TSE Regulation.", "Detta omfattas redan på ett uttömmande sätt i TSE-förordningen."
"It is repeatedly pointed out that there is no TSE risk from fishmeal.", "Vi i Europaparlamentet vill helt enkelt inte ha fiskmjöl eller andra animaliska produkter i kreatursfoder."
"I would like to remind you that last year the Commission adopted the TSE roadmap.", "Jag skulle vilja påminna er om att kommissionen förra året antog färdplanen för transmissibel spongiform encefalopati (TSE)."
"That is why I have chosen to copy the wording of the TSE regulation on Community controls word for word.", "Därför har jag har valt att ordagrant kopiera TSE-förordningens formuleringar om gemenskapkontrollen."
"They were also brought into line with the corresponding article of the TSE Regulation on Community inspections.", "Vidare har en anpassning gjorts till artiklarna i frågan i TSE-förordningen om gemenskapskontroller."
"Contrary to the Commission's proposal, the report refers to instant tests, which are being used to detect TSE, by name.", "Mot kommissionens förslag nämns i betänkandet de snabbtest som används för fastställandet av TSE."
