//Sentences
"The Commission does not consider it appropriate to undertake a study of this matter.", "Kommissionen ser inga fördelar med att vidare utreda frågan."
"We wish, Mr Commissioner, the Commission to undertake a study on this matter.", "Vi uppmanar därför kommissionen att undersöka denna fråga."
"Commissioner, there are economic research institutes which can undertake this study on your behalf.", "Enligt de regler som fastställdes för fyra år sedan är vi hänvisade till dessa rapporter."
"Commissioner, there are economic research institutes which can undertake this study on your behalf.", "Det finns ekonomiska forskningsinstitut som kan genomföra denna undersökning åt er, herr kommissionär."
"The Commission is to undertake a study of the various technical options that are possible in this area.", "Kommissionen kommer att genomföra en studie om de olika tekniska alternativ som är tänkbara i det här sammanhanget."
"The Commission will undoubtedly undertake further study of all these subjects and the many suggestions made by the rapporteur.", "Kommissionen kommer att ytterligare undersöka alla dessa ämnen och föredragandens många förslag."
"As far as the question of claims representatives is concerned, the European Commission did undertake a study.", "När det gäller skaderegleringsrepresentanter har kommissionen genomfört en studie som vi har granskat mycket noga."
"Will it undertake to study these proposals without delay and send a representative to the areas concerned to hold discussions with all the bodies affected?", "Kan kommissionen lova att undersöka dessa förslag och sända över en delegation som diskuterar detta med berörda instanser?"
"We need to undertake a study as quickly as possible, and, as Mr Seppänen quite rightly pointed out, one that is not just industry's own investigation.", "Man behöver så snabbt som möjligt forskning, och som ledamot Seppänen alldeles riktigt lade fram, även annan än industrins egen forskning."
"We must analyse it in Parliament, we must undertake a study, and we must hold a conference, but we already know that there are three intermingled factors.", "Vi måste analysera det i parlamentet, vi måste göra en studie och vi måste hålla en konferens, men vi vet redan att det finns tre inblandade faktorer."
"The Commission, independently of the adoption of the proposal today, will undertake a study to ensure that all safety concerns will be addressed by those directives.", "Oavsett om förslaget antas i dag eller inte kommer kommissionen att inleda en studie för att se till att alla säkerhetsaspekter tas med i dessa direktiv."
"Nevertheless, I am prepared to undertake a study of this kind, or to use any data on internal or external studies that the Commission already has at its disposal.", "Jag är dock beredd att genomföra en undersökning av detta slag, eller att använda uppgifter från interna eller externa undersökningar som kommissionen redan förfogar över."
"I meantime undertake to study during the holidays all the material that has been provided and reserve the right to return to this issue with a wealth of detail.", "För egen del kommer jag att ägna semestern åt att " studera" allt det material vi har fått och jag förbehåller mig rätten att återkomma i ärendet med mer detaljerade synpunkter."
"I meantime undertake to study during the holidays all the material that has been provided and reserve the right to return to this issue with a wealth of detail.", "För egen del kommer jag att ägna semestern åt att " studera " allt det material vi har fått och jag förbehåller mig rätten att återkomma i ärendet med mer detaljerade synpunkter."
