//Sentences
"Karlsbad Wafers were produced and sold in Karlsbad and Marienbad.", "Karlsbader Oblaten tillverkades och såldes i Karlsbad och Marienbad."
"I can provide confirmation from across the group divide that those wafers are indeed very good.", "– Jag kan ge en allmän bekräftelse från alla grupper att dessa kex verkligen är mycket goda."
"So, another strategy we're following is actually to create wafers that we stack together, like an accordion, if you will.", "Så en annan strategi vi försöker är att skapa blad, som vi sätter samman, lite som ett dragspel."
"So, we stack these wafers together, using the kidney cells. ~~~ And then you can see these miniature kidneys that we've engineered.", "Vi lägger ihop dessa blad, med njurcellerna, och så ser ni dessa njurar i miniatyr, som vi har konstruerat."
"Take a look at me; you can tell that I know a thing or two about food, and I can confirm that they are the best Karlsbad Wafers.", "Titta på mig; man kan se att jag vet ett och annat om mat, och jag kan bekräfta att de är de bästa Karlsbader Oblaten."
"The Czech Republic is seeking to have such protection of designation of origin applied to the product known as 'Karlovarske oplatky' (Karlsbader Oblaten – Karlsbad Wafers).", "Tjeckien har ansökt om att den produkt som kallas ”Karlovarske oplatky” (på tyska ”Karlsbader Oblaten”) skall beviljas sådant skydd."
"They were being produced and sold worldwide back in the 19th and 20th centuries, and nowadays the best Karlsbad Wafers in the world are produced in Dillingen an der Donau by a company called Wetzel.", "De tillverkades och såldes över hela världen på 1800-talet och 1900-talet, och nuförtiden tillverkas de bästa Karlsbader Oblaten i Dillingen an der Donau av ett företag kallat Wetzel."
"The second is to replace a whole generation of wage-earners who are now retiring.", "För det andra handlar det om att ersätta en hel generation löntagare som nu går i pension."
"All of these austerity measures hit wage-earners and the weakest sectors of society.", "Alla dessa åtstramningsåtgärder drabbar löntagarna och de svagaste sektorerna i samhället."
"Wage earners, obviously viewed as the force of inertia, will be most appreciative.", "Det kommer säkert löntagarna, som uppenbarligen betraktas som en tröghetskraft, att uppskatta mycket."
"That is the only way in which we can guarantee decent conditions for all European wage earners.", "Det är det enda sättet att garantera anständiga villkor för alla europeiska inkomsttagare."
"All wage earners in Europe must be guaranteed an acceptable income.", "Alla löntagare i Europa måste garanteras en dräglig inkomst."
"Is it the wage earners, or the holders of movable capital incomes?", "Löntagarna? De som lever på sina finansiella tillgångar?"
"All too many European wage earners work 60 or 65 hours a week while millions remain unemployed.", "Alltför många europeiska löntagare arbetar 60 eller 65 timmar per vecka, samtidigt som miljoner förblir arbetslösa."
"So-called structural reforms that cut wage earners’ purchasing power will not fill manufacturers’ order books.", "Så kallade strukturreformer som minskar löntagarnas köpkraft kan inte fylla tillverkarnas orderböcker."
"The other 90% only have the skills to be wage earners.", "Övriga 90 procent har bara förmåga att bli löntagare."
"So-called structural reforms that cut wage earners ’ purchasing power will not fill manufacturers’ order books.", "Vi måste sluta vara pessimistiska för EU: s del och stärka förtroendet, särskilt konsumenternas förtroende, för EU."
"In this way, the number of wage earners working in the housing maintenance sector has increased in France by 8.6% in two years.", "På detta sätt har antalet löntagare som arbetar med bostadsunderhåll ökat i Frankrike med 8,6 procent på två år."
"Some fringe benefits will apply only to domestic wage earners, whilst different rules apply to foreign wage earners.", "En del anställningsförmåner kommer endast att gälla för inhemska löntagare, medan andra regler gäller för gästande löntagare."
"This would be disastrous for all, particularly the wage-earners, and hence for the very idea of the construction of Europe.", "Det skulle vara katastrofalt för alla, särskilt för de anställda, och därmed för hela idén med den europeiska integrationen."
"We have today voted in favour of all EU wage-earners being able to derive maximum benefit from the 1993 directive on working hours.", "Vi har i dag röstat för att alla löntagare i EU i största möjliga omfattning skall få glädje av arbetstidsdirektivet från 1993."
"What is important - no, essential - is that these own resources do not impose an additional burden on normal wage earners.", "Vad som inte bara är viktigt utan absolut nödvändigt är att de egna resurserna inte blir någon ytterligare börda för normalinkomsttagare."
"It is, however, particularly hypocritical to cause wage earners who purchase cars, including the most ordinary ones, to bear the penalties for pollution.", "Men att bestraffa löntagare som köper bilar, även de mest vanliga, för miljöförorening är synnerligen hycklande."
"We should encourage our citizens to work by reforming our tax systems, for example by reducing the burden on low-wage earners.", "Vi borde uppmuntra våra medborgare att arbeta genom att reformera våra skattesystem, till exempel genom att minska bördan på låginkomsttagarna."
"In France, that means 2.5 million jobs or 10% of wage and salary earners, and 15% of expenditure on research and development.", "I Frankrike innebär detta 2,5 miljoner arbetstillfällen eller 10 procent av löntagarna och 15 procent av kostnaderna för forskning och utveckling"
"Sweden can defend the rights of wage earners and a social Europe by demanding exceptions in the Treaty of Lisbon for collective agreements.", "Sverige kan försvara löntagarnas rättigheter och ett socialt Europa genom att begära undantag i Lissabonfördraget för kollektivavtal."
"Comparisons are made between different labour market models and the ways they guarantee wage earners reasonable wages in the Lisbon Strategy.", "Jämförelser mellan olika arbetsmarknadsmodeller och hur de klarar av att garantera löntagare rimliga löner finns inom Lissabonstrategin."
"Wage formation is not, and should not be, an EU competence.", "Lönebildning är inte och bör inte vara en EU-behörighet."
"Moreover, the social partners must be committed to ensuring transparency concerning the value scales used in the wage formation process.", "Dessutom måste arbetsmarknadens parter lova att garantera insyn i de värdeskalor som används vid lönebildningsprocessen."
"At the moment, however, the crisis is instead being used to attack trade unions, employees and free wage formation and to strike at unemployment benefits and pensions.", "Nu utnyttjas i stället krisen till att attackera facket, attackera löntagarna och den fria lönebildningen samt ge sig på arbetslöshetsersättningar och pensioner."
"As our request to remove references to new legal instruments for directing wage formation at EU level was given a hearing, we have chosen to vote in favour of the report as a whole.", "Då vi fått gehör för vårt krav att lyfta ut hänvisningar till nya rättsliga instrument för att på EU-nivå styra lönebildningen har vi valt att rösta för rapporten i sin helhet."
"As Mark Twain said of Wagner’ s music: ‘ It’ s not as bad as it sounds.’", "Såsom Mark Twain en gång sa om Wagners musik, ” Den är mycket bättre än den låter ”."
"As Mark Twain said of Wagner’s music: ‘It’s not as bad as it sounds.’", "Såsom Mark Twain en gång sa om Wagners musik, ”Den är mycket bättre än den låter”."
"For this reason, I support the content and the proposals of the report by Mr Sosa Wagner.", "Därför stödjer jag innehållet och förslagen i Sosa Wagners betänkande."
"And I beat Sharpman, Robbers, Wagner.", "Jag slog Sharpman, Robbers, Wagner."
"Mr Sosa Wagner, I am happy to be here with you in this forum, in this great institution, at this time and in this debate.", "Herr Sosa Wagner! Jag är glad över att vara här tillsammans med er i detta forum, i denna betydelsefulla institution, just nu och i denna debatt."
"I have no alternative but to vote in favour of the report by Mr Sosa Wagner on the need to ensure ethical and secure governance of the Internet.", "Jag har inget annat val än att rösta för Francisco Sosa Wagners betänkande om behovet av att sörja för en etisk och säker Internetförvaltning."
"The next item is the report by Francisco Sosa Wagner, on behalf of the Committee on Industry, Research and Energy, on Internet governance: the next steps -.", "Nästa punkt är ett betänkande av Francisco Sosa Wagner, för utskottet för industrifrågor, forskning och energi, om förvaltning av Internet - framtida åtgärder -."
"Although we have rightly heard a certain sense of alarm about the dual presidency, it may not be as bad as it sounds, like the music of Wagner.", "Även om vi mycket riktigt hört en viss känsla av varningssignal med avseende på det dubbla ordförandeskapet så kanske det inte är så illa som det låter, precis som musiken av Wagner."
"As another poet used to say - Mr Sosa Wagner has quoted a German poet, I will quote a French one, Paul Valéry - poems are never finished, they are simply abandoned.", "Liksom en annan poet sade - Francisco Sosa Wagner citerade en tysk poet och jag kommer att citera en fransk, Paul Valéry - avslutas aldrig poem, utan de överges helt enkelt."
"The rapporteur Mr Sosa Wagner - and I pay tribute to him - and his colleagues are to be congratulated for addressing the relevant public policy issues in the report.", "Föredraganden Francisco Sosa Wagner, som jag vill lovorda, och hans kolleger gratuleras till att de i betänkandet har tagit upp de relevanta frågorna om den offentliga politiken."
". - I voted in favour of the Sosa Wagner report as the EU should show strong leadership on all aspects of Internet governance in the international arena.", "skriftlig. - (EN) Jag röstade för Sosa Wagner-betänkandet, eftersom EU bör visa ett starkt ledarskap när det gäller alla aspekter av förvaltning av Internet på den internationella arenan."
"Otherwise, what is the difference between the Wahid government and the old Suharto regime?", "Vad är annars skillnaden mellan Wahid-regeringen och den gamla Suharto-regimen?"
"President Wahid needs our support to cope with the difficult situation he is faced with.", "President Wahid behöver vårt stöd för att klara av den svåra situation han befinner sig i."
"It is vital to support the Wahid government at present.", "För närvarande är det absolut nödvändigt att ge Wahids regering vårt stöd."
"It seems that President Wahid travels more safely abroad than in his own archipelago - a fateful sign!", "Tydligen reser president Wahid säkrare i utlandet än i den egna övärlden. Ett dåligt tecken!"
"Here is a great deal of opposition to the Wahid government and the process appears to have come to a standstill.", "Motståndet mot regeringen Wahid är stort och processen verkar stagnera."
"The brave attitude of President Wahid should not go unmentioned.", "President Wahids modiga hållning förtjänar att nämnas."
"Wahid's government is of good will and is genuinely trying to undo old-style practices in the short term.", "Wahids regering planerar med god och uppriktig vilja att snabbt ändra den gamla regimens tillvägagångssätt."
"The situation has improved and we must encourage President Wahid, but there are still horrendous problems.", "Situation har förbättrats och vi måste uppmuntra president Wahid, men det finns fortfarande förfärliga problem."
"President Wahid and Vice-President Sukarnoputri have been unable to demonstrate a great deal of governmental power so far.", "President Wahid och vicepresident Soekarnopoetri har inte kunnat visa särskilt mycket styrka i sin regim."
"Madam President, despite this tragedy, I believe we ought to pledge our support to President Wahid and Vice-President Sukarnoputri.", "Fru talman! Trots denna händelse anser jag att vi måste stödja president Wahid och vice president Sukarnoputri."
"Mr President, since his official appointment over one and a half months ago, President Wahid has already made fifteen foreign visits.", "Herr talman! Sedan han tillsattes officiellt, för drygt en och en halv månad sedan, har president Wahid redan gjort femton besök i utlandet."
"We are naturally delighted that Indonesia is under new rule and that Mr Wahid and Mrs Sukarnoputri are the new President and Vice-President.", "Vi är naturligtvis mycket glada över att Indonesien har en ny regering och att Wahid och Soekarnopoetri innehar posterna som president och vicepresident."
"Behind these actions are forces that wish to sabotage President Wahid' s efforts at democratisation.", "Bakom dessa rörelser finns krafter som vill sabotera president Wahids demokratiska ansträngningar, och vi måste förstå dessa och bekämpa dem."
"The idea would not be to attack the Wahid government, but to urge it to deal with the human rights violations more effectively and bring the culprits to justice.", "Inte för att angripa regeringen Wahid, utan för att uppmana regeringen att göra någonting åt de här kränkningarna och ställa de skyldiga inför rätta."
"Thousands of people have been killed or have taken refuge, and the new fragile democratisation process, which has been initiated so ambitiously by the Wahid government, is under enormous threat.", "Tusentals människor har dödats eller tvingats på flykt, och även den färska, känsliga demokratiseringsprocess, som Wahid-regeringen så ambitiöst har initierat, är allvarligt hotad."
"As rapporteur I find that intolerable and I would therefore ask the Commissioner what the European Union can do with respect to the Wahid government in order to prevent further bloodshed.", "Som föredragande tycker jag det är oacceptabelt och jag frågar därför kommissionären vad Europeiska unionen kan göra med avseende på Wahid-regeringen för att förhindra ytterligare blodsutgjutelse?"
"Keep the mouse button pressed and wait a moment while the object is copied to the clipboard.", "Håll ner musknappen och vänta ett ögonblick medan grafikobjektet kopieras till urklippet."
"Keep the mouse button pressed and wait a moment while the object is copied to your clipboard.", "Håll ner musknappen och vänta ett ögonblick medan grafikobjektet kopieras till urklippet."
"Ladies and gentlemen, could you please wait another moment as the Green Group has still not spoken.", "Ärade ledamöter, ett ögonblick till eftersom Gruppen De gröna är kvar."
"Much obliged though I am to the various groups for their suggestions, I will nonetheless wait a moment more.", "Även om jag är tacksam mot de olika grupperna för deras förslag kommer jag att vänta en stund till."
"Much obliged though I am to the various groups for their suggestions, I will nonetheless wait a moment more.", "Bulgariens och Rumäniens anslutning kommer därför att fullborda denna femte utvidgningsrunda, som totalt omfattar 12 länder."
"Wait a moment please, Mr Schulz.", "– Var snäll och vänta lite, herr Schulz."
"Wait a moment please, Mr Schulz.", "– Var snäll och vänta lite, herr Schulz."
"Wait a moment, I...", "Vänta lite, jag... Lara"
"Could you wait a moment?", "Kan du vänta lite?"
"Please wait a moment.", "Vänta ett ögonblick."
"Wait a moment!", "Vänta lite."
"If the text document is not visible, first move the mouse pointer to the text document icon on the task bar and wait a moment until the text document opens.", "Om textdokumentet inte är synligt måste du först föra muspekaren till textdokumentets symbol på aktivitetsfältet och vänta ett ögonblick tills textdokumentet öppnas."
"Also, when you are chairing a meeting, wait a moment before giving the floor to the next speaker so that the interpreters can finish the speech and change to the appropriate channel.'", "När ni är ordförande för ett möte, vänta ett ögonblick innan ni ger ordet till nästa talare så att tolkarna kan slutföra anförandet och byta till rätt kanal.”"
"If the sales person says, "Wait a second.", "Om försäljaren säger, "Vänta lite."
"Can you wait a second, please?", "Snälla, kan ni vänta en sekund?"
"Wiley, just wait one second.", "Vänta lite, Wiley."
"Hey, wait a second.", "Hej, vänta en sekund."
"Now wait a second.", "Sakta i backarna."
"Wait a second here!", "Vänta ett tag."
"Now wait a second.", "Vänta nu lite."
"Wait a second.", "Vänta lite nu..."
"Wait a second.", "Vänta en sekund."
"Wait a second.", "Vänta ett tag."
"Wait a second.", "Vänta nu lite."
"Wait a second.", "Vänta lite."
"Wait a second.", "Vänta här."
"Wait a second.", "Vänta nu!"
"But he did not seem so very sure, for he sat down to wait with me.", "Men han verkade inte helt säker, för han satte sig ner och väntade med mig."
"How long you think she's gonna wait for me while I'm inside?", "Hur lång tid tror du hon skulle vänta medan jag sitter inne?"
"Take her to the car and wait for me.", "Ta henne till bilen och vänta på mig."
"Wait, let me do that one more time.", "Får jag försöka en gång till?"
"You go home and wait for me there!", "Gå hem och vänta på mig där."
"Don't wait for me, Juni.", "Vänta inte på mig, Juni."
"Wait for me here.", "Vänta på mig här."
"Wait for me.", "Vänta på mig."
"Mr Ephremidis, I am glad you are so enthusiastic, but I would be grateful if you would wait for me to give you the floor before you speak.", "Herr Ephremidis, detta ordförandeskap uppskattar den entusiasm ni visar i ert inlägg, men skulle också vara tacksam om ni tog ordet efter det att ordföranden hade givit er det."
"Therefore, they do not need to be here to wait in vain for their speaking time.", "Därför behöver de inte infinna sig här och förgäves invänta sin talartid."
"He said, "Wait here. ~~~ We'll be back; we won't be very long," and they went and left her.", "Han sa, "Vänta här, vi kommer tillbaka, det tar inte lång tid." och de lämnade henne."
"Poppins, if you'll wait here for just a moment we'll be back in a jiffy, as you say.", "Poppins, om ni väntar här ett kort ögonblick...... så är vi tillbaka i ett nafs, som ni säger."
"On many occasions we wait here and you do not get to our questions.", "Ofta väntar vi här och ni kommer aldrig fram till våra frågor."
"One of us should wait here in case he comes back.", "Kanske borde någon vänta här om han skulle komma tillbaka."
"You just have to wait here for 5 minutes ok?", "Du behöver bara vänta i fem minuter, okej?"
"Can you just wait here just one second, please?", "Vänta här ett ögonblick bara."
"So, wait here while I get its card key.", "Jag hämtar rätt kortnyckel."
"I' ll wait here, Mr Ambassador.", "Jag väntar här, herr ambassadör."
"Here we wait until all the warning lights are lit before intervening, and this is also the problem with the European Commission's communication.", "Här väntar vi med att ingripa tills alla lampor lyser rött och just det är problemet med kommissionens meddelande."
"Can you wait here for a moment?", "Kan du vänta här en stund?"
"We'll wait here for you, Maximus.", "Vi väntar här, Maximus."
"You wait here, Kjell Bjarne.", "Kjell Bjarne, du väntar där."
"Wait here and stay hidden.", "Vänta här och håll er undan."
"Sir, sir Wait come here", "Du, vänta lite."
"If you wait here,", "Om du väntar här -"
"Wait for me here.", "Vänta på mig här."
"We wait right here.", "Vi väntar här."
"Wait a second here!", "Vänta ett tag."
"Now just wait here.", "Vänta här nu."
