//Sentences
"This Amendment No 69 was drafted by a number of Flemish and Wallonian colleagues of mine.", "Ändringsförslag 69 hade lagts fram av ett antal flamländska och wallonska kolleger."
"This is now also being corroborated by various Wallonian politicians and prominent economists.", "Detta bekräftas nu också av olika vallonska politiker och framstående ekonomer."
"In fact we are talking about 60 billion if Wallonian cofinancing is honoured.", "Egentligen handlar det om 60 miljarder franc om man räknar med den vallonska samfinansieringen."
"In our own country, this pressure was exerted by both Flemish and Wallonian Environment administrations.", "I mitt eget land skedde det både genom de flamländska och de wallonska miljömyndigheterna."
"In absolute terms the underspending of structural funds is primarily a Wallonian problem.", "I absoluta siffror är underskottet i användningen av strukturfonderna framförallt ett problem i Vallonien."
"The Wallonian politicians make absolutely no serious effort to clean up the situation, and obstruct every fundamental reform of economy and politics.", "De vallonska politikerna gör inga allvarliga ansträngningar för att sanera och de hindrar varje grundläggande försök att göra ekonomin och politiken sund."
"It is true that the Wallonian province Henegouwen uses European subsidies to tempt businesses away from the Kortwijk region in Western Flanders.", "Det är mycket riktigt så att den vallonska provinsen Hainaut med hjälp av det europeiska stödet lockar bort företag från området kring Kortrijk i Västflandern."
"The DOCUP established by the Walloon executive was approved by the Commission on 14 June 1994.", "Den DOCUP som de vallonska myndigheterna utarbetade godkändes av kommissionen den 14 juni 1994."
"For decades, Belgium too has no longer had national parties, only Flemish and Walloon parties.", "Sedan decennier tillbaka har även Belgien inte längre några nationella partier, endast flamländska och vallonska partier."
"The Walloon case to which Mrs Ries referred involved a site identified by Belgium as a bathing site.", "Fallet om Walloon, som Frédérique Ries hänvisade till, gällde en plats som hade fastställts som badplats i Belgien."
"Subject: Aid to a Walloon transport undertaking", "Angående: Stöd till ett transportföretag i Vallonien"
"Does this also apply to residents of the Walloon region who have ever made use of the right to ‘freedom of movement for workers’?", "Gäller detta även invånare i Vallonien, som tidigare har använt sig av ”den fria rörligheten för arbetstagare”?"
"I am particularly thinking of Mr Louis Michel, Foreign Affairs Minister, and Mr Elio di Rupo, the chairman of the Walloon Parti Socialiste.", "Jag tänker då först och främst på Louis Michel, utrikesministern, och Elio di Rupo, ordföranden för det vallonska Parti Socialiste."
"All four enterprises even have a joint headquarters in Brussels, which remains a joint capital for the Fleming and Walloon peoples.", "Alla fyra företagen har till och med ett gemensamt huvudkontor i Bryssel, som fortfarande är flamländarnas och vallonernas gemensamma huvudstad."
"Only recently, the FN-Herstal arms company, of which the Walloon Region is a shareholder, delivered 5 500 semi-automatics to an unknown end user.", "För inte så länge sedan levererade vapenfabriken FN-Herstal, som regionen Valonia är aktieägare i, 5 500 k-pistar till en okänd slutanvändare."
"It is therefore only fair that nations such as Flanders, the Walloon provinces, the Basque country, Catalonia, Wales, Scotland and Galicia can do that too.", "Det är alltså inte mer än rimligt att nationer som Flandern, Vallonien, Baskien, Katalonien, Wales, Skottland och Galicien får göra det samma."
"It is also the Belgian Government which has meekly accepted the Walloon socialists' demands and has prevented the Flemish economy from bringing its wage costs down.", "Det är även den belgiska regeringen som följer det vallonska socialistiska diktatet och förbjuder den flamländska ekonomin att hålla lönekostnaderna för låga."
"It is also the Belgian Government which has meekly accepted the Walloon socialists ' demands and has prevented the Flemish economy from bringing its wage costs down.", "Det är även den belgiska regeringen som följer det vallonska socialistiska diktatet och förbjuder den flamländska ekonomin att hålla lönekostnaderna för låga."
"The Flemish and Walloon societies are different, their political and economic worlds are different, and therefore they opt for different approaches and priorities.", "Flamländarnas och vallonernas samhällen är olika, deras politiska och ekonomiska världar skiljer sig från varandra, och därför satsar de på olika strategier och prioriteringar."
"Something that should feed and open up regions - such as the Walloon, Lorraine and Luxembourg regions - across borders is a train that has not progressed in the past hundred years.", "Det som borde ge näring åt och öppna upp - bortom gränserna - regioner som t.ex. Vallonien, Lorraine, Luxemburg, det är ett tåg som har stått stilla i hundra år."
"The result, Mrs Wallström, is impossible to communicate to the ordinary citizen.", "Fru Wallström! Resultatet är omöjligt att lägga fram för den vanliga medborgaren."
"– Madam President, Commissioner Wallström, I strongly support Mr Wijkman.", "– Fru talman, fru kommissionär Wallström! Jag stöder bestämt Anders Wijkman."
"Esmail Salehi-Sangari, Anne Engström, Maria Ek Styvén & Åsa Wallström (2012).", "Esmail Salehi-Sangari, Anne Engström, Maria Ek Styvén & Åsa Wallström (2012)."
"Åsa Wallström, Anne Engström, Maria Ek Styvén & Esmail Salehi-Sangari (2011).", "Åsa Wallström, Anne Engström, Maria Ek Styvén & Esmail Salehi-Sangari (2011)."
"Maria Ek Styvén, Åsa Wallström, Anne Engström & Esmail Salehi-Sangari (2011).", "Maria Ek Styvén, Åsa Wallström, Anne Engström & Esmail Salehi-Sangari (2011)."
"Anne Engström, Maria Ek Styvén, Åsa Wallström & Esmail Salehi-Sangari (2011).", "Anne Engström, Maria Ek Styvén, Åsa Wallström & Esmail Salehi-Sangari (2011)."
"Maria Ek Styvén, Åsa Wallström, Anne Engström & Esmail Salehi-Sangari (2011).", "Maria Ek Styvén, Åsa Wallström, Anne Engström & Esmail Salehi-Sangari (2011)."
"Åsa Wallström, Anne Engström, Esmail Salehi-Sangari & Maria Ek Styvén (2009).", "Åsa Wallström, Anne Engström, Esmail Salehi-Sangari & Maria Ek Styvén (2009)."
"I remember Margot Wallström being introduced as Commissioner in the Committee.", "Jag minns när Margot Wallström introducerades som kommissionär i utskottet."
"I therefore urge you, Mrs Wallström, to make sure that 2009 is not a wasted year!", "Fru Wallström! Jag uppmanar er därför att se till att 2009 inte blir ett bortkastat år!"
"Mrs Wallström, I believe this is a great challenge, especially for the Commission.", "Margot Wallström, jag tror att detta är en stor utmaning, inte minst för kommissionen."
"I wish to thank the Commission for that in the presence of Vice-President Wallström.", "Jag vill tacka kommissionen för detta via vice ordförande Margot Wallström."
"Lennart Wallström , Head of Department Department of Engineering Science and Mathematics", "Lennart Wallström, avdelningschef Institutionen för teknikvetenskap och matematik"
"As I have said, my colleague, Commissioner Wallström, is on the spot today.", "Som jag sade så är min kollega, kommissionär Wallström, i rampljuset i dag."
"Commissioner Wallström speaks of Plan D – for dialogue, debate and democracy.", "Kommissionsledamot Margot Wallström talar om plan D – för dialog, debatt och demokrati."
"Mr President, ladies and gentlemen, many thanks, Commissioner Wallström.", "Herr talman, mina damer och herrar! Stort tack, kommissionsledamot Wallström."
"Vice-President and Commissioner Wallström has also fought hard and long.", "Vice ordförande kommissionär Wallström har också kämpat intensivt och länge."
"Mrs Wallström, your new portfolio might prove useful in this respect.", "Fru Wallström! Er nya portfölj kan visa sig vara till nytta på det här området."
"I spoke to Mrs Wallström and she told me that the Commission was in agreement.", "Jag talade med Margot Wallström och hon sa att kommissionen samtyckte."
"Mr Evans, we have discussed the matter with Vice-President Wallström.", "(EN) Herr Evans! Vi har diskuterat frågan med vice ordförande Margot Wallström."
"Now imagine doing the same thing for every different type of product on sale in Walmart.", "Föreställ er att ni gör samma sak för varje produkt som säljs på Walmart."
"And the best part is all of those ingredients are available to every family at the neighborhood Walmart.", "Och det bästa är att alla de ingredienserna är tillgängliga. till varje familj vid grannområdet Walmart."
"Now, he's selling them to Walmart.", "Nu säljer han dem till Walmart."
"There isn't even a Walmart.", "Det finns inte ens en stormarknad."
"Some of the world's largest retailers, such as Carrefour and Wal-Mart, have already banned Brazilian beef on the grounds of the deforestation the industry is responsible for.", "Några av världens största detaljhandlare, som Carrefour och Wal-Mart, har redan förbjudit brasilianskt nötkött på grund av den avskogning som industrin gör sig skyldig till."
"♫ ♫ Oh my friend, multiply, we’re a franchise, like Walt Disney or Hannibal Lecter.", "♫ ♫ Oh min vän, förökas, vi är ett franschise som Walt Disney eller Hannibal Lecter."
"Ayers in 2008, two years ago, at Walt Disney Concert Hall.", "Jag träffade Mr Ayers 2008, för två år sedan, i Walt Disney Concert Hall."
"So, Tanya, I had no idea that you and Walt were, you know, seeing each other.", "Jag hade ingen aning om att du och Walt var tillsammans."
"You know Walt Tenor from the series Honey and the Beaze,", "Ni känner alla till Walt Tenor från " Honey & The Beaze "."
"Gosh, Walt's been volunteering down at the hospital for years.", "Walt har varit volontär på sjukhuset i flera år."
"You will not be the director as Walt Disney is American.", "Ni är inte regissör, Walt Disney är amerikan."
"Walt, this is from the management.", "Det här bjuder ledningen på."
"I'm really happy for you, Walt.", "Jag är så glad för din skull."
