//Sentences
"I was here yesterday during the presentation of the Sakharov Prize to listen to Basta Ya.", "Jag var här i går under överlämnandet av Sacharovpriset för att lyssna på Basta Ya."
"Someone shoulda told ya - never give an Irishman good cause for revenge.", "Någon skulle berättat att man inte ger en irländare en ursäkt att hämnas."
"We just get Tony Robbins back here, he puts the Vulcan mind-meld on ya and he puts you back under.", "Vi söker upp Tony Robbins, han gör sin Vulcan-grej och så är du förtrollad igen."
"Ya... one look at the skin and we figure we know just what's underneath.", "En titt på ytan och vi tror vi vet vad som finns på insidan."
"He was also an active member of the Basque citizen's initiative, ¡Basta Ya!", "Han var också en aktiv medlem av den baskiska medborgarrörelsen, ¡Basta Ya! - ?Nu är det nog!?."
"He was also an active member of the Basque citizen's initiative,¡Basta Ya!", "Han var också en aktiv medlem av den baskiska medborgarrörelsen,¡ Basta Ya! -? Nu är det nog!?."
"I was saying, it's not had that effect in our bedroom, I can tell ya.", "Men det har knappast haft den effekten i vår sängkammare."
"Madam President-in-Office of the Council, Commissioner, it is now time to say, loudly and firmly, 'basta ya!'", "Fru rådsordförande, herr kommissionär! Nu är det dags att högt och tydligt säga "basta ya!""
"The prize will be awarded to the 'Basta Ya ' association in the course of the December part-session.", "Priset kommer att delas ut till föreningen " Basta Ya " under den kommande sammanträdesperioden i december."
"I trust you, so I'm just gonna lay this right on ya.", "Jag litar på dig, så jag ska säga precis som det är..."
"Once again your main man is gonna come through for ya.", "Ännu en gång så kommer din grabb och räddar dig."
"Course I'm not gonna charge you, ya stupid bastard.", "Klart jag inte skulle ta betalt, din dumma jävel."
"You wouldn't be talkin ' about me, would ya, loverboy?", "Det är väl inte mig, du snackar om, Don Juan?"
"Well, I guess you're about ready then, aren't ya?", "Ja, då är det väl på tiden, eller hur?"
"Ya see, my mom used to say that this was our house, and as long as I never broke it, we'd always have a place to stay.", "Mamma sa alltid, att det var vårt hus... och så länge som jag inte tog sönder den skulle vi alltid ha ett ställe att bo på."
"Ya gonna get your baggy ass whooped.", "Det kan vara så att det blir du som lider."
"You travelling with two sheila's are ya mate?", "Reser du med två tjejer, grabben?"
"But you had to do it anyway, didn't ya?", "Men du måste göra det ändå, eller hur?"
"Do me a favour, go upstairs and bake, will ya?", "Var snäll och gå upp och baka."
"Ya, I know, I've seen your commercials.", "Ja, jag vet, jag har sett er reklam."
"A few weeks ago, I was at Yad Vashem, the memorial site in Jerusalem.", "För några veckor sedan var jag i Yad Vashem, minnesplatsen i Jerusalem."
"A few weeks ago, I was at Yad Vashem, the memorial site in Jerusalem.", "Låt oss minnas Anne Frank en dag som denna."
"‘ Every day, ’ said the director of Yad Vashem, ‘ when I come out of that hell and see that sight, I know that they did not succeed.", "Låt mig upprepa: tre namn som vi erinrar oss och som får företräda alla dem vi bör minnas."
"The Director of Yad Vashem, who guided me around, said to me: ‘ Every day, I descend into this hell and see them – the pictures, them alone.", "Jag tänker också på Krzysztof Baczynski, en ung polsk poet som sköts till döds i Warszawa av en tysk prickskytt."
"The Director of Yad Vashem, who guided me around, said to me: ‘Every day, I descend into this hell and see them – the pictures, them alone.", "Direktören för Yad Vashem som visade mig runt sade till mig: ”Varje dag går jag ned i detta helvete och ser dem – bilderna, bara dem."
"After visits to Oswiecim, Yad Vashem or the Holocaust Museum in Washington DC, you are always shocked by the inhumanity of the Holocaust perpetrators.", "När man besöker Auschwitz, museet Yad Vashem eller Förintelsemuseet i Washington blir man alltid bestört över hur omänskliga förintelsens förövare var."
"Not only must it be maintained, but it can be, because this city, the city of Yad Vashem and of the Grove of the Righteous of All Nations, is a symbol of the vulnerability of terrorism.", "Den måste inte bara upprätthållas, den kan det också, ty denna Yad Vashems stad och staden som lund för de rättfärdiga från alla folk, står för att terrorn kan besegras."
"I should like to thank Mrs Yade for having raised the issue of procedural rights.", "Jag vill tacka Rama Yade för att hon tog upp frågan om rättssäkerhetsgarantier."
"We have one small problem: the Council representative, Mrs Yade, cannot join us yet.", "Vi har ett litet problem: rådets företrädare Rama Yade kan inte ansluta sig till oss riktigt än."
"Both you, Mrs Yade, and the Council as a whole should do your jobs.", "Fru Yade, både ni och rådet måste göra ert arbete."
"Thank you, Mrs Yade, for being present at this debate, and I regret that the Commission is not here too.", "Fru Yade! Tack för er närvaro under debatten och det är beklagligt att inte kommissionen också är här."
"Thank you, Mrs Yade, for the impetus you have provided today.", "Tack, fru Yade för den impuls ni gett oss i dag."
"Madam President, I should like to finish by touching on the subject of Passenger Name Records (PNR) that was broached by Mrs Yade.", "Jag vill avrunda med att vidröra frågan om passageraruppgifter (PNR) som framkastades av Rama Yade."
"I greet State Secretary, Mrs Rama Yade.", "Jag vill välkomna statssekreterare Rama Yade."
"Your answer, Mrs Yade, is reassuring.", "Ert svar fyller oss med tillförsikt, fru Yade."
"Mrs Yade, I have the greatest respect for you for having the courage to criticise your own government's relations with Libya here.", "Fru Yade! Jag respekterar er djupt för att ni här så djärvt kritiserade er egen regerings förbindelser med Libyen."
"(ES) Mr President, I am grateful to Mrs Yade for being present at this debate on a subject that causes citizens so much concern.", "(ES) Herr talman! Jag är tacksam för att Rama Yade närvarar vid denna debatt om ett ämne som bekymrar medborgarna så."
"I suggest that we start with the Commission and then proceed to the debate, and that Mrs Yade be given the floor in due course.", "Jag föreslår att vi börjar med kommissionen och sedan går vidare med debatten, och så får Rama Yade ordet så småningom."
"After all, Mrs Yade, what is important is not which treaties are now consolidated and which are not, but rather that you enter into talks.", "Fru Yade! Det som är viktigt i slutändan är inte vilka fördrag som nu konsolideras och inte, utan att ni startar samtalen."
". - Madam President, let me first say that I understand that our colleague, Rama Yade, has experienced difficulty getting here.", "Fru talman! Låt mig först meddela att vår kollega Rama Yade, såvitt jag förstår, har fått lite svårt att ta sig hit."
". - (IT) Mr President, ladies and gentlemen, I would like to thank Commissioner Barrot and Mrs Yade for their words in support of my report.", "föredragande. - (IT) Herr talman, mina damer och herrar! Tack till kommissionsledamot Jacques Barrot och Rama Yade för deras värmande ord om mitt betänkande."
"(DE) Mr President, Mrs Yade, ladies and gentlemen, the European Parliament elections are coming round again next year, and disinformation is particularly rampant in the run-up to elections.", "(DE) Herr talman, fru Yade, mina damer och herrar! Valet till Europaparlamentet är åter här nästa år och desinformation flödar särskilt våldsamt i valupptakter."
"Mrs Yade, if you say that we should wait for the Commission to produce its report and only then begin to negotiate what may be the definitive statute for OLAF, we will be wasting time.", "Fru Yade, om ni säger att vi ska vänta på att kommissionen lägger fram sin rapport och först då börja förhandla om vilken Olafs definitiva status ska bli slösar vi bort tiden."
"All I want is General Yang in return for the lives of these villagers.", "Jag vill att General Yang släpps i utbyte mot att byborna får leva."
"Does the Council share my deep concern at the ongoing detention and treatment of Yang Chunlin?", "Delar rådet min djupa oro över att Yang Chunlin fortfarande är fängslad samt över hur han behandlas?"
"Thripundomrong Liddomerong who was working in the special unit...... died while arresting General Yang.", "Löjtnant Thripundomrong Liddomerong som arbetade i specialstyrkan...... dog under gripandet av General Yang."
"Now I want General Yang delivered at 8 AM.", "Nu vill jag ha General Yang utlämnad klockan 08. 00."
"Take care of General Yang, then cross over the mountains", "Ta General Yang, och gå över bergen."
"You take General Yang out of here...", "För bort General Yang härifrån..."
"Take General Yang away from here!", "Ta General Yang härifrån!"
"Don't wait for General Yang.", "Vänta inte på General Yang."
"The US government narcotic agency have contacted the Thai government...... to have General Yang extradited to the US to stand trial this week.", "Den amerikanska knarkroteln har kontaktat den Thailändska regeringen...... för att få General Yang utvisad för rättegång i USA den här veckan."
"In early 2007, human rights activist Yang Chunlin was collecting signatures for a petition in China entitled 'We Want Human Rights, not the Olympics.'", "I början av 2007 samlade människorättsförkämpen Yang Chunlin underskrifter på en framställning som hette ”Vi vill ha mänskliga rättigheter och inte någon olympiad”."
"Dr Rupel reiterated to Mr Yang the European Union's hope that the Chinese authorities and the Dalai Lama or his representatives would begin dialogue as soon as possible.", "Dimitrij Rupel upprepade EU:s hopp om att Kinas myndigheter och Dalai Lama eller hans representanter skulle inleda en dialog så snart som möjligt."
"The main work of the project is to study the harmonic emissions from the modern wind turbines, and the propagation through a wind park, says Kai Yang.", "Mitt projekt handlar om att studera övertoner från enskilda moderna vindkraftverk och hur dessa övertoner samverkar och sprids genom vindkraftsparker, säger Kai Yang."
"In the 17th century, a doodle was a simpleton or a fool -- as in Yankee Doodle.", "På 17 hundra talet, en "doodle" var en dåre eller en idiot -- som en Yankee Doodle."
"The Connecticut Yankee was not particularly concerned about competition rules.", "Yankeen från Connecticut var inte särskilt intresserad av konkurrensregler."
"Let it never again be said that European democratic law yields to the orders - in inverted commas - of Yankee imperialism.", "Låt det aldrig mer sägas att EU:s demokratiska lagstiftning ger efter för USA-imperialismens order, inom citattecken."
"Let's go meet the Yankee muppet.", "Nu åker vi och träffar jänkaren."
"You keep that Yankee cunt happy.", "Håll den där jänkaren glad."
"The Connecticut Yankee was a telephone engineer in America who sustained a blow to his head and was transported back to the time of King Arthur.", "Yankeen från Connecticut var en telefoningenjör i Amerika som fick ett slag i huvudet och transporterades tillbaka till Kung Arturs tid."
"With regard to Yannick Jadot's report, we must, of course, promote 'green' trade.", "När det gäller Yannick Jadots betänkande måste vi givetvis främja ”grön” handel."
"Recommendation by Yannick Jadot, on behalf of the Committee on International Trade", "Rekommendation från Yannick Jadot, för utskottet för internationell handel"
". - Madam President, we agree with the general approach of Yannick Jadot to this issue.", "Fru talman! Vi instämmer med Yannick Jadots allmänna inriktning i denna fråga."
"We are very pleased to join in the protest against the harassment which Yannick Bigah is undergoing in Togo.", "Vi ansluter oss gärna till protesterna mot de förföljelser som Yannick Bigah utsatts för i Togo."
"- (FR) We are very pleased to join in the protest against the harassment which Yannick Bigah is undergoing in Togo.", ". (FR) Vi ansluter oss gärna till protesterna mot de förföljelser som Yannick Bigah utsatts för i Togo."
". - Madam President, let me begin by thanking Yannick Jadot for his exemplary cooperation with his shadows.", "Fru talman! Jag vill börja med att tacka Yannick Jadot för hans utmärkta samarbete med skuggföredragandena."
"Motion for a resolution (B5-0194/2003) by the Committee on Development and Cooperation, on the situation of Mr Yannick Bigah, Chairman of ACAT - Togo.", "Resolutionsförslag (B5-0194/2003) från utskottet för utveckling och samarbete om situationen för Yannick Bigah, ordförande för ACAT-Togo."
"more_vert open_in_new Link to europa.eu warning Request revision In Yaoundé, an association agreement is signed between the EEC and 18 African countries.", "expand_more Associeringsavtal mellan EG och 18 afrikanska länder undertecknas i Yaoundé."
"more_vert open_in_new Link to europa.eu warning Request revision Associeringsavtal mellan EG och 18 afrikanska länder undertecknas i Yaoundé.", "expand_more In Yaoundé, an association agreement is signed between the EEC and 18 African countries."
"The second Yaoundé Convention and the Arusha Agreements enter into force.", "Andra Yaoundékonventionen och Arusha-avtalen träder i kraft."
"Signature of the second Yaoundé convention.", "Den andra Yaoundékonventionen undertecknas."
"The Yaoundé Convention enters into force.", "Yaoundékonventionen träder i kraft."
"more_vert open_in_new Link to TED warning Request revision Year after year, after year, after year, they're more innovative than all their competition.", "expand_more År efter år, efter år, efter år, är de mer innovativa än alla konkurrenter."
"more_vert open_in_new Link to European Parliament warning Request revision The first year, 2001, was a special case which we discussed last year.", "expand_more Det första året, 2001, innebar en särskild omständighet som vi diskuterade förra året."
"more_vert open_in_new Link to Open Office warning Request revision Select here the range, which is meant when entering a two-digit year.", "expand_more Här väljer du intervallet som ska gälla vid inmatning av tvåsiffriga årtal."
"more_vert open_in_new Link to statmt.org warning Request revision The other crisis, of the year 2000, was greater Europe.", "expand_more Den andra krisen, av årgång 2000, var det större EU."
"Mr President, we have only just learnt of the death of Umaru Yar'Adua.", "Herr talman! Vi har alldeles nyss fått veta att Umaru Yar'Adua har avlidit."
"General Yar'Adua, a principal opponent of General Abacha, died in prison in mysterious circumstances.", "General Yar'Adua, en huvudmotståndare till general Abacha, har dött i fängelse under mystiska omständigheter."
"General Yar'Adua, a principal opponent of General Abacha, died in prison in mysterious circumstances.", "General Yar ' Adua, en huvudmotståndare till general Abacha, har dött i fängelse under mystiska omständigheter."
". - Mr President, we learnt with great sadness that former President Umaru Musa Yar'Adua died last night.", "ledamot av kommissionen. - (EN) Herr talman! Med stor sorg har vi fått veta att före detta presidenten Umaru Musa Yar'Adua dog i går kväll."
