//Sentences
"I hope that this will now be the case to a larger extent.", "Jag hoppas att detta nu kommer att bli fallet i större utsträckning."
"Women have, to a larger extent, lower paid jobs, part-time work and a lower level of employment.", "Kvinnorna har i större utsträckning lägre betalda arbeten, deltidsarbete och lägre sysselsättningsgrad."
"I hope that this will now be the case to a larger extent.", "Jag anser att vi har nått detta mål."
"However, to open up to a larger extent to non-EU tourism, we must implement a coordinated policy to grant tourist visas.", "För att öka möjligheterna för turism från tredjeländer måste vi dock införa en samordnad politik för turistvisum."
"The second condition is to involve structural funds to a larger extent into building the research and development infrastructure.", "Det andra villkoret är att involvera strukturfonderna i större utsträckning i byggandet av forsknings- och utvecklingsinfrastrukturen."
"It is extremely important to support non-oil based energy production research to a larger extent in Europe, both at community and Member State level.", "Det är oerhört viktigt att stödja forskning om icke-oljebaserad energiproduktion i större utsträckning i EU, både på gemenskaps- och medlemsstatsnivå."
"It will relieve animal suffering, both in the Union and in third countries to a much larger extent than would be the case if a ban was imposed.", "Det kommer att minska djurens lidande, både inom unionen och i tredje länder i mycket större omfattning än vad som vore fallet om ett förbud skulle införas."
"Children and young people in Latin America are affected to a larger extent by this scourge, with more than half of them being deprived of sufficient material resources.", "Barn och ungdomar i Latinamerika drabbas hårdast av det här gisslet, och mer än hälften av dem saknar tillräckliga materiella resurser."
"This approach does not only require a change of technology or method of implementing the Cohesion Policy but, to a much larger extent, a change of philosophy.", "Detta synsätt kräver inte bara att vi ändrar teknik eller metod för genomförandet av sammanhållningspolitiken, utan även, och i mycket högre grad, en ändrad filosofi."
"more_vert open_in_new Link to OpenSubtitles warning Request revision Get me an SUV, a minivan, a bus, a scooter... a motorcycle, or a rickshaw.", "expand_more Ge mig en stor bil, en minivan, en buss, en scooter... en motorcykel, eller en lådebil."
"more_vert open_in_new Link to European Parliament warning Request revision In one case, even a company with 2, 000 employees was defined as a small company.", "expand_more I ett fall definierades ett företag med 2 000 anställda som ett litet företag."
"more_vert open_in_new Link to European Parliament warning Request revision But what we do not want is a vote on something that has not been discussed.", "expand_more Men något som vi inte vill ha är en omröstning om något som inte har diskuterats."
"more_vert open_in_new Link to European Parliament warning Request revision I really do not think that a new law or new provisions are needed here.", "expand_more Här anser jag inte att någon ny lag eller någon ny föreskrift är nödvändig."
"more_vert open_in_new Link to statmt.org warning Request revision Does this mean by a few hundredths, a few tenths or a few points?", "expand_more Menar han med några hundradelar, några tiondelar eller några procentenheter?"
"more_vert open_in_new Link to statmt.org warning Request revision Every company, every country and every citizen will have to make an effort.", "expand_more Varje företag, varje land och varje medborgare måste dra sitt strå till stacken."
"more_vert open_in_new Link to European Parliament warning Request revision I support, as Mr Pirker's report does, a degree of controlled primary immigration.", "expand_more Jag stöder, liksom Pirkers betänkande, en viss kontrollerad huvudsaklig invandring."
