//Sentences
"This creates an atmosphere in which any method of getting hold of EU subsidies is permissible.", "Det skapar en känsla av att alla medel är tillåtna för att komma åt EU-bidragen."
"But even if I did not, I would still object to any method being imposed by the EU.", "Men även om jag inte gjorde det, skulle jag fortfarande motsätta mig alla metoder som EU påtvingar oss."
"Any method that artificially generates clicks or impressions on your Google ads is strictly prohibited.", "Metoder som på konstgjord väg framkallar klick på eller visningar av dina Google-annonser är strängt förbjudna."
"Stoning is not just a death sentence, but something more, a barbarous and unacceptable method for any civilian society.", "Stening är mer än en dödsdom, det är en barbarisk metod som inte kan tillåtas i ett civiliserat samhälle."
"In cases of divorce, the Jugendamt uses any method to deprive the parent who is not German of their parental rights.", "I skilsmässofall använder Jugendamt alla möjliga metoder för att ta ifrån den förälder som inte är tysk dennes umgängesrätt."
"They should be able to express their opinions openly and they should be allowed to raise funds through any method that their voters will tolerate.", "De bör kunna uttrycka sina åsikter öppet och de bör tillåtas att samla in medel på alla de sätt som deras väljare tolererar."
"Any alternative method - and there are some - will not obviate the need to confront the real problem of ratification by national parliaments.", "På ett generellt plan handlar det om att föra unionen närmare dess medborgare och att på ett beslutsamt sätt prioritera de insatser som rör medborgarnas vardag."
"Any return to the method of intergovernmental bargaining we witnessed in the early hours of the Nice summit would represent a political failure for the European Union.", "Den viktigaste uppgiften för regeringskonferensen är nu att besluta hur den utvidgade unionen skall kunna nå sina mål och öka sin beslutsförmåga."
"Any return to the method of intergovernmental bargaining we witnessed in the early hours of the Nice summit would represent a political failure for the European Union.", "Varje återgång till det mellanstatliga köpslående som vi upplevde strax efter toppmötet i Nice skulle innebära ett politiskt misslyckande för Europeiska unionen."
"Member States undertake not to submit a dispute concerning the interpretation or application of the Constitution to any method of settlement other than those provided for therein.3.", "Medlemsstaterna förbinder sig att inte lösa tvister om tolkningen eller tillämpningen av konstitutionen på annat sätt än som bestämts genom denna.3."
"If it is intended to ban driftnets, then logic would suggest a ban on beam trawling or indeed any other method of fishing deemed to be deleterious to the environment.", "Om avsikten är att förbjuda drivgarn, så säger logiken att man också borde förbjuda trålning och i sanning varje annan fiskemetod som kan anses vara skadlig för miljön."
"But this is not the appropriate moment to exclude any method, and so I invite the Commission to continue its deliberations and to include a third option, too: benchmarking.", "Detta är dock inte rätt ögonblick för att utesluta någon metod, och därför ber vi kommissionen att fortsätta denna diskussion och bredda den till även ett tredje alternativ: benchmarking."
"However, there is a practical sticking point: for the time being we do not have any recognised standard or method for calculating the weight of those VOCs which remain bound in the film.", "Däremot finns det en praktisk hake: för närvarande saknar vi en etablerad standard eller metod för att fastställa halten av de flyktiga organiska föreningar som förblir bundna i det täckande skiktet."
"We merely regret that this report has appeared before its time and is unacceptable.", "Vi beklagar bara att detta betänkande har lagts fram före sin tid och inta kan antas."
"I have appeared before committees of this House on a number of occasions also.", "Jag har också varit inför parlamentets utskott vid flera tillfällen."
"You yourself appeared before us in committee and we asked you quite specifically about it.", "Ni har själv besökt vårt utskott och vi frågade er då specifikt om detta."
"On 9 July 2003 the President of Burundi appeared before the Committee on Development and Cooperation.", "Den 9 juli 2003 framträdde Burundis president i utskottet för utveckling och samarbete."
"Certain notes appeared in the press before they came to the attention of the Committee of Inquiry.", "Viss information har dykt upp i pressen innan undersökningskommittén fått kännedom om den."
"Minister Janez Lenarčič has appeared before us for the last time as President-in-Office of the Council.", "Minister Janez Lenarčič har talat till oss för sista gången som tjänstgörande rådsordförande."
"I was also with them when they appeared before the European Commission and appealed to Europe to help them.", "Jag var också med dem när de inställde sig inför Europeiska kommissionen och vädjade till EU om hjälp."
"We started working on energy and development cooperation before energy appeared on the Johannesburg agenda.", "Vi började arbeta med energi och utvecklingssamarbete redan innan energifrågorna togs med i Johannesburgagendan."
"I have already appeared before the French Senate.", "Jag har varit inför den franska senaten."
"He was unable to offer an explanation for such behaviour when he appeared before Parliament's Committee on Foreign Affairs.", "Han kunde inte ge någon förklaring på sitt uppförande när han talade inför parlamentets utskott för utrikesfrågor."
"I have mentioned two candidate Commissioners but there was a third who appeared before us, candidate Commissioner Busquin.", "Jag har nämnt två kommissionskandidater, men det fanns en tredje som frågades ut av oss, kommissionskandidat Busquin."
"I announced that when I appeared before you on 13 January, and this is precisely the principle that will guide my action.", "Jag aviserade det när jag talade inför er den 13 januari och det är just den princip som kommer att styra mina åtgärder."
"On 9 July 2003 the President of Burundi appeared before the Committee on Development and Cooperation.", "Om freden upprätthålls bör det humanitära stödet dessutom lättare kunna nå människor som förflyttats och befolkningen i krigshärjade områden."
"When the Commissioner appeared before the Committee on Budgetary Control, he blamed Parliament for blocking the MED programmes.", "Dagen då kommissionären inställde sig hos budgetkontrollutskottet beskyllde han parlamentet för att blockera Med-programmen."
"When I appeared before you during my hearing, I assured you that I would promote health issues and, above all, consumer safety.", "Vid min utfrågning här i parlamentet försäkrade jag er om att jag skulle främja hälsofrågor och framför allt konsumentsäkerhet."
"Its president, Jacques de Larosière, appeared before the Confederal Group of the European United Left/Nordic Green Left to report to us on its activities.", "Ordföranden Jacques de Larosière har besökt GUE/NGL-gruppen för att redogöra för bankens verksamhet."
"The last time you appeared before us in the Committee on Economic and Monetary Affairs, the opinions you expressed on Germany were quite opaque.", "Senaste gången som ni besökte utskottet för ekonomi och valutafrågor yttrade ni er ganska svävande om Tyskland."
"Its president, Jacques de Larosière, appeared before the Confederal Group of the European United Left/ Nordic Green Left to report to us on its activities.", "Ordföranden Jacques de Larosière har besökt GUE / NGL-gruppen för att redogöra för bankens verksamhet."
"As has been pointed out, President Pastrana appeared before this House and offered to make a substantial effort to bring all the parties to dialogue.", "Såsom har sagts framträdde president Pastrana i denna kammare och erbjöd sig tacknämligt att kämpa för att få alla parter att återuppta en dialog."
". - Mr President, this is the first time that I have appeared before you this year, 2009.", "hög representant för den gemensamma utrikes- och säkerhetspolitiken. - (EN) Herr talman! Detta är första gången som jag talar till er i år, 2009."
"Number is the value, whose arccosine value is to be calculated.", "tal är det värde vars arcuscosinusvärde ska beräknas."
"The arccosine of -1 returns the value 3.14.", "Arcuscosinus för -1 ger värdet 3,14."
"The arccosine of 0 returns the value 1.57.", "Arcuscosinus för 0 ger värdet 1,57."
"The arccosine of 1 returns the value 0.", "Arcuscosinus för 1 ger värdet 0."
"Modern society demands that we move around a great deal in the course of our work.", "Det är en del av det moderna samhället att vara verksam på flera olika ställen."
"And that will only happen if we move towards common European defence structures.", "Detta kräver att vi rör oss i riktning mot gemensamma europeiska försvarsstrukturer."
"So without further ado we move on to Question No 6 by Brian Crowley (H-0714/98)", "Vi övergår nu utan vidare diskussion till fråga nr 6 från Brian Crowley (H-0714/98):"
