//Sentences
"I referred to it again a couple of times last night and again this morning.", "Jag hänvisade åter till den några gånger i går kväll och på nytt denna morgon."
"After you guys have been together a couple of times he's out of here, OK?", "Efter det att ni två har varit tillsammans ett par gånger - - så sticker han."
"The Council reopened the debate on the agreed details a couple of times.", "Rådet öppnade debatten på nytt om de överenskomna detaljerna ett par gånger."
"I have had the opportunity to meet Richard Holbrooke already a couple of times, and General Petraeus.", "Jag har redan haft möjlighet att träffa Richard Holbrooke ett par gånger och general Petraeus."
"And also, we had them [actively] email us a couple of times a week.", "De fick även [aktivt] e-posta oss några gånger i veckan."
"Denmark is also mentioned a couple of times in the annual report, and that is a couple of times too many.", "Danmark nämns också ett par gånger i den årliga rapporten, faktiskt ett par gånger för mycket."
"Let me also make another general observation, and I referred to this a couple of times during my hearing.", "Låt mig också göra en annan allmän kommentar, som jag berörde ett par gånger under min utfrågning."
"Commissioner Oettinger has already appeared in plenary a couple of times to set forth what he stands for and what he wants to do.", "Günther Oettinger har redan framträtt i plenum några gånger för att tala om var han står och vad han vill göra."
"That has been said a couple of times already.", "Det har redan sagts ett par gånger."
"Taken it to the range a couple of times.", "Jag har testat den ett par gånger."
"Mr Barroso, you said a couple of times today that we cannot go on as if it is business as usual and we need to be bold and courageous.", "Herr Barroso! Ni har sagt ett par gånger i dag att vi inte kan fortsätta som vanligt och att vi måste vara djärva och modiga."
"Just a couple of times.", "Bara ett par gånger."
"A couple of times.", "Ett par gånger."
"Here I should like to emphasise - as has been mentioned a couple of times today already - that there have been departures from my original report on some matters.", "Här vill jag framhålla - vilket redan har nämnts några gånger i dag - att det förekommer avvikelser från mitt ursprungliga betänkande på några punkter."
"I have already had the opportunity to speak with you a couple of times, including in the form of a dialogue, at the knowledge for innovation summits in this House.", "Jag har redan haft tillfälle att tala med er några gånger, bland annat i dialogform, i samband med mötena med parlamentets kunskaps- och innovationsgrupp."
"Why not create a sort of council of the parliaments that could meet a couple of times a year and agree upon the work programme and the legal basis for projected bills?", "Varför inte skapa ett slags parlamentens råd, som skulle kunna mötas ett par gånger om året och vidta arbetsprogram och bestämmelser för potentiella lagförslag?"
"Secondly, it is, of course, important to promote administrative cooperation, particularly through the Internal Market Information System (IMI), as has been mentioned a couple of times.", "För det andra är det naturligtvis viktigt att främja administrativt samarbete, särskilt genom informationssystemet för den inre marknaden (IMI), vilket redan har nämnts ett par gånger."
