//Sentences
"Where -- Where do I find a drifter?", "Var hittar vi en luffare?"
"Look, a drifter.", "Titta, en luffare!"
"I hope that I will no longer have to see myself waltz around in the internal press and various parliamentary publications like an unparalleled drifter.", "Jag hoppas att jag nu slipper att se mig själv valsa runt i internpress i olika publikationer från parlamentet som varande en oerhörd hoppjerka."
"A drifter?", "En luffare?"
"A failure to meet requirements does not, in my view, represent discrimination.", "Att inte leva upp till krav innebär enligt min mening inte någon diskriminering."
"Faced with failure, following the Balkan conflict, it has had a change of heart.", "Inför misslyckandet och efter kriget på Balkan har unionen nu bytt inriktning."
"It is understandable that the Commission could not ignore this failure to act.", "Det är förståeligt att kommissionen inte kunde bortse från bristen på agerande."
"Failure to do so will give rise to an imbalance and distortion of competition.", "Underlåtenhet att göra så kommer att leda till obalans och snedvriden konkurrens."
"War is always a failure in which the first victims are always innocent people.", "Krig är alltid ett misslyckande och de största offren är alltid oskyldiga civila!"
"The current gender structures and attitudes play an important role in this failure.", "Dagens könsstrukturer och attityder spelar en viktig roll i detta misslyckande."
"Madam President, such failure of financial markets has never happened until now.", "(EN) Fru talman! En sådan krasch på finansmarknaderna har aldrig inträffat tidigare."
"However, I do not believe that these peace talks were a complete failure either.", "Jag anser dock inte att dessa fredssamtal var ett fullständigt misslyckande."
"With a hundred different kinds of jeans on display, there is no excuse for failure.", "Med 100 olika modeller till förfogande finns det ingen ursäkt för misslyckande."
"Personally, I am worried about Turkey’ s failure to respect religious freedom.", "Personligen är jag bekymrad över Turkiets bristande respekt för religionsfriheten."
"A failure to do so will provoke a serious crisis in our relations with Turkey.", "Om inte, kommer det att leda till en allvarlig kris i våra relationer med Turkiet."
"Otherwise, their reduction would lead to the failure of the Europe 2020 Strategy.", "Annars skulle en minskning av dessa leda till att Europa 2020-strategin misslyckas."
"However, no one spoke about what the role of corruption was in that failure.", "Ingen har dock talat om vilken roll korruptionen har haft i detta misslyckande."
"Personally, I am worried about Turkey’s failure to respect religious freedom.", "Personligen är jag bekymrad över Turkiets bristande respekt för religionsfriheten."
"However, no one spoke about what the role of corruption was in that failure.", "Ingen har dock talat om vilken roll korruptionen har haft i detta misslyckande."
"Our failure on this approach has meant a further descent into renewed clashes.", "Vårt misslyckande i detta sammanhang har resulterat i ytterligare konflikter."
"Failure was due to increasingly widespread rejection of the free trade system.", "Misslyckandet berodde på det alltmer omfattande förkastandet av frihandelssystemet."
"Mr President, the Treaty of Nice represents both a failure and an opportunity.", "Herr talman! Nicefördraget innebär ett misslyckande och en möjlighet på samma gång."
"In Germany, though, this essentially good European measure has proved a failure.", "Men i Tyskland har denna i grunden goda EU-åtgärd blivit ett misslyckande."
"This was not due to a fall in the stock market but to serial failure in regulation.", "Det här berodde inte på något börsfall, utan på allvarliga regleringsbrister."
