//Sentences
"This programme is financed under the Competitiveness and Innovation Framework Programme (CIP).", "Detta program finansieras enligt ramprogrammet för konkurrenskraft och innovation."
"We also need to enhance the Competition and Innovation Programme (CIP).", "Vi måste även förbättra programmet för konkurrens och innovation (CIP)."
"Without the EIB we would not have got the CIP off to such a good start.", "Utan EIB skulle ramprogrammet för forskning och konkurrenskraft inte ha fått en så bra start."
"One of these successful instruments is the Competitiveness and Innovation Framework Programme (CIP).", "Ett av dessa framgångsrika instrument är ramprogrammet för konkurrenskraft och innovation."
"Hence, the importance of an ambitious budget for the Competitiveness and Innovation Programme (CIP).", "Härav betydelsen av en ambitiös budget för ramprogrammet för konkurrenskraft och innovation."
"To conclude: the CIP is a good idea, a very good idea.", "Slutligen är ramprogrammet ett bra initiativ, ett mycket bra initiativ."
"This ensures that the CIP also applies to enterprises in, for example, the adventure industry.", "Härigenom garanteras att ramprogrammet är tillämpligt även på företag i till exempel äventyrsbranschen."
"CIP is already much less bureaucratic than the Seventh Framework Programme.", "Ramprogrammet för konkurrenskraft och innovation är redan mycket mindre byråkratiskt än det sjunde ramprogrammet."
"Some of my fellow Members have raised the subject of the framework programme for competitiveness and innovation (CIP).", "Några av mina kolleger har tagit upp ramprogrammet för konkurrenskraft och innovation."
"Arms dealers are also satisfied with the CIP marking.", "Vapenhandlarna är också belåtna med kontrollmärkningen."
"The CIP is aimed fairly and squarely at SMEs.", "– Jag tackar kommissionsledamoten för detta uttömmande svar."
"A substantial challenge in relation to the CIP is to achieve the necessary synergy effects in relation to other programmes.", "En stor utmaning med ramprogrammet är att uppnå de nödvändiga synergieffekterna med andra program."
"Finally, I would like to emphasise the fact that I believe equality to be an important dimension within the CIP.", "Avslutningsvis skulle jag vilja betona att jag anser att jämställdhet är en viktig dimension inom ramprogrammet."
"Creating the Competitiveness and Innovation Programme (CIP) and a top-class European Institute of Technology are key issues.", "Att förverkliga innovationsprogrammet CIP och ett europeiskt tekniskt institut av toppklass är nyckelfrågor."
"This CIP has encouraged the development of best practice models in the economic, social and environmental sectors.", "Detta gemenskapsinitiativ främjade utvecklingen av goda metoder inom de ekonomiska, sociala och miljömässiga sektorerna."
"I particularly welcome the idea of gearing the CIP towards potential applicants, in other words its direct beneficiaries.", "Jag välkomnar särskilt idén att styra programmet i riktning mot möjliga sökande, med andra ord de direkta mottagarna."
"The CIP is aimed fairly and squarely at SMEs.", "CIP är enbart inriktat mot SMF."
"What will happen to CIP when the common strategic framework for research and innovation is developed?", "Vad kommer att hända med ramprogrammet för konkurrenskraft och innovation när det gemensamma strategiska ramverket för forskning och innovation utvecklas?"
"I also agree with the rapporteur that there needs to be a one-stop shop for the CIP to facilitate contact with the stakeholders.", "Jag instämmer också med föredraganden om att det behövs en enda kontaktpunkt för programmet för att underlätta kontakten med intressenterna."
"(DA) We have voted in favour of the report on the communication from the Commission concerning the guidelines for EU initiative programmes (CIP).", "(DA) Vi har röstat för betänkandet om meddelandet från kommissionen om riktlinjer för program inom gemenskapsinitiativ (CIP)."
"SEK enjoys a margin of 0,25% p.a. which is included in the CIRR rate.", "Den enda ersättning SEK får är en marginal om 0,25% p.a. som ingår i räntesatsen."
"A new CIRR rate will be applied if the credit agreement is not signed within this period.", "Om kreditavtal inte tecknas inom denna period, kommer en ny CIRR-ränta att åsättas."
"The prevailing CIRR rates for the currencies that SEK can offer are published by SEK.", "Gällande räntesats för de valutor som SEK kan erbjuda publiceras av SEK."
"A new CIRR rate will be applied if the credit agreement is not signed within this period.", "Om kreditavtal inte tecknats inom denna period, kommer en ny CIRR-ränta att utsättas."
"At the time of application the applicant has to choose between Offer CIRR and Contract CIRR.", "Vid ansökningstillfället kan man välja mellan Offert-CIRR och Kontrakts-CIRR."
"SEK will offer market rate for any part not qualifying for CIRR rate.", "SEK erbjuder Marknadsränta för den del som inte kvalificerar för statsstöd."
"When applying for a credit at CIRR rate, one has to choose between the following:", "När man ansöker om kredit med CIRR-ränta ska man bestämma sig för vilket alternativ man vill ha:"
"The loan will carry a market interest rate or a state supported interest rate (CIRR).", "Lånen lämnas till marknadsmässiga eller statsstödda villkor."
"Normally the application for CIRR rate is sent directly to SEK.", "Normalt skickas ansökan om kredit med CIRR-ränta direkt till SEK."
"The Swedish government does not pay any remuneration to SEK for its administration of the CIRR system.", "Riskprovision uttages på den del av krediten som ej garanteras av EKN."
"Application for CIRR rate should be sent to SEK before the date of signing of the commercial contract.", "Ansökan om kredit med CIRR-ränta ska ske innan köpeavtal tecknats."
"The higher of the prevailing CIRR rate and the CIRR rate contained in SEK's offer will be applied.", "Den högre av gällande CIRR-ränta vid detta tillfälle och tidigare offererade ränta kommer att tillämpas."
"At the time of prolongation of an offer one can opt between Offer CIRR and Contract CIRR or vice verse.", "Vid varje förlängningstillfälle kan man byta mellan Offert-CIRR och Kontrakts-CIRR eller vice versa."
"Click here to see which CIRR rate currencies are offered by SEK", "Klicka här för att se vilka CIRR-valutor som erbjuds"
"The higher of the prevailing CIRR rate and the CIRR rate contained in SEK's offer will be applied.", "Den högre av gällande CIRR-ränta vid detta tillfälle och den tidigare offererade räntan kommer att tillämpas."
"Click here for info on the Swedish CIRR rate system", "Klicka här för att se information om CIRR-räntekredit"
"SEK will in such case determine the applicable CIRR rate.", "SEK fastställer den CIRR-ränta som ska gälla."
"Advance payments cannot be financed at CIRR rate.", "Förskottet kan inte finansieras med CIRR-ränta."
"Click here for the CIRR rates", "Klicka här för att gå direkt till CIRR-räntesatserna"
"It is not, however, a certainty that a credit qualifying for EKN cover, can enjoy the benefit of a CIRR rate (or vice verse).", "En kredit som EKN är beredd att försäkra kvalificerar dock inte självklart för kredit med CIRR-ränta (eller omvänt)."
"For the CIS countries, this objective is still to promote transition to a market economy.", "För OSS-länderna handlar det fortfarande om att främja övergången till en marknadsekonomi."
"Today, as the CIS talks about diversity, only Russian troops are present.", "I dag, när OSS talar om mångfald, finns det bara ryska trupper där."
